,Date,Open,High,Low,Close,Volume
0,2000-01-03,1.294925,1.294925,1.185185,1.185185,684577
1,2000-01-04,1.283951,1.316872,1.196159,1.234568,665213
2,2000-01-05,1.262003,1.262003,1.218107,1.245542,4803427
3,2000-01-06,1.283951,1.294925,1.240055,1.251029,1010348
4,2000-01-07,1.240055,1.240055,1.207133,1.207133,233508
5,2000-01-10,1.207133,1.229081,1.207133,1.207133,68344
6,2000-01-11,1.207133,1.218107,1.207133,1.207133,95681
7,2000-01-12,1.223594,1.223594,1.207133,1.21262,349692
8,2000-01-13,1.207133,1.229081,1.207133,1.21262,244898
9,2000-01-14,1.229081,1.234568,1.218107,1.234568,154913
10,2000-01-18,1.248285,1.272977,1.248285,1.256516,146939
11,2000-01-19,1.262003,1.283951,1.251029,1.251029,74039
12,2000-01-20,1.26749,1.278464,1.262003,1.262003,43284
13,2000-01-21,1.262003,1.283951,1.262003,1.278464,66066
14,2000-01-24,1.27572,1.278464,1.26749,1.26749,50119
15,2000-01-25,1.256516,1.278464,1.234568,1.253772,146939
16,2000-01-26,1.26749,1.278464,1.251029,1.251029,207309
17,2000-01-27,1.262003,1.272977,1.251029,1.251029,20503
18,2000-01-28,1.272977,1.481481,1.272977,1.437586,20359603
19,2000-01-31,1.437586,1.443073,1.294925,1.399177,1164122
20,2000-02-01,1.404664,1.415638,1.300412,1.305898,226673
21,2000-02-02,1.360768,1.39369,1.316872,1.382716,142383
22,2000-02-03,1.396433,1.426612,1.377229,1.426612,203892
23,2000-02-04,1.426612,1.44856,1.426612,1.44856,426009
24,2000-02-07,1.44856,1.459534,1.39369,1.39369,535359
25,2000-02-08,1.404664,1.415638,1.382716,1.415638,115045
26,2000-02-09,1.459534,1.580247,1.404664,1.580247,2058286
27,2000-02-10,1.624143,1.684499,1.613169,1.62963,1618608
28,2000-02-11,1.613169,1.62963,1.569273,1.624143,190223
29,2000-02-14,1.602195,1.624143,1.51989,1.602195,178833
30,2000-02-15,1.591221,1.591221,1.404664,1.486968,364500
31,2000-02-16,1.530864,1.558299,1.530864,1.547325,243759
32,2000-02-17,1.558299,1.580247,1.547325,1.547325,123019
33,2000-02-18,1.580247,1.580247,1.547325,1.547325,374752
34,2000-02-22,1.569273,1.580247,1.547325,1.580247,151495
35,2000-02-23,1.580247,1.580247,1.547325,1.57476,68344
36,2000-02-24,1.541838,1.580247,1.536351,1.541838,238064
37,2000-02-25,1.552812,1.555556,1.536351,1.536351,2683631
38,2000-02-28,1.569273,1.569273,1.514403,1.525377,201614
39,2000-02-29,1.536351,1.536351,1.492455,1.497942,58092
40,2000-03-01,1.492455,1.508916,1.426612,1.44856,279070
41,2000-03-02,1.437586,1.44856,1.437586,1.443073,234647
42,2000-03-03,1.426612,1.470508,1.426612,1.454047,182250
43,2000-03-06,1.459534,1.514403,1.454047,1.492455,426009
44,2000-03-07,1.45679,1.481481,1.454047,1.475995,395255
45,2000-03-08,1.503429,1.536351,1.497942,1.536351,140105
46,2000-03-09,1.536351,1.558299,1.514403,1.558299,329189
47,2000-03-10,1.580247,1.635117,1.569273,1.591221,801900
48,2000-03-13,1.613169,1.613169,1.558299,1.585734,103655
49,2000-03-14,1.580247,1.602195,1.580247,1.585734,51258
50,2000-03-15,1.602195,1.602195,1.536351,1.541838,522830
51,2000-03-16,1.541838,1.591221,1.541838,1.580247,129853
52,2000-03-17,1.580247,1.591221,1.547325,1.547325,823542
53,2000-03-20,1.580247,1.591221,1.555556,1.580247,1550264
54,2000-03-21,1.569273,1.602195,1.547325,1.558299,121880
55,2000-03-22,1.580247,1.580247,1.51989,1.532236,38728
56,2000-03-23,1.536351,1.541838,1.525377,1.541838,361083
57,2000-03-24,1.530864,1.558299,1.530864,1.558299,79734
58,2000-03-27,1.558299,1.558299,1.525377,1.547325,159469
59,2000-03-28,1.514403,1.558299,1.503429,1.558299,63788
60,2000-03-29,1.536351,1.558299,1.514403,1.514403,34172
61,2000-03-30,1.514403,1.558299,1.514403,1.558299,37589
62,2000-03-31,1.536351,1.558299,1.536351,1.541838,128714
63,2000-04-03,1.558299,1.558299,1.536351,1.536351,25059
64,2000-04-04,1.541838,1.558299,1.525377,1.558299,146939
65,2000-04-05,1.525377,1.525377,1.514403,1.514403,47841
66,2000-04-06,1.514403,1.580247,1.514403,1.580247,46702
67,2000-04-07,1.57476,1.744856,1.57476,1.711934,544472
68,2000-04-10,1.739369,1.750343,1.706447,1.711934,191363
69,2000-04-11,1.711934,1.750343,1.711934,1.717421,332606
70,2000-04-12,1.722908,1.722908,1.70096,1.70096,91125
71,2000-04-13,1.722908,1.821674,1.711934,1.788752,519413
72,2000-04-14,1.838134,1.838134,1.711934,1.711934,334884
73,2000-04-17,1.711934,1.744856,1.689986,1.733882,164025
74,2000-04-18,1.75583,1.794239,1.75583,1.783265,700523
75,2000-04-19,1.832647,1.849108,1.744856,1.777778,522830
76,2000-04-20,1.788752,1.832647,1.761317,1.816187,454486
77,2000-04-24,1.838134,1.887517,1.777778,1.843621,511439
78,2000-04-25,1.843621,1.843621,1.799726,1.832647,108211
79,2000-04-26,1.843621,1.854595,1.75583,1.803841,378169
80,2000-04-27,1.739369,1.777778,1.733882,1.739369,185667
81,2000-04-28,1.733882,1.843621,1.733882,1.843621,126436
82,2000-05-01,1.893004,1.931413,1.887517,1.903978,453347
83,2000-05-02,1.920439,1.920439,1.75583,1.8107,414619
84,2000-05-03,1.821674,1.838134,1.783265,1.794239,287044
85,2000-05-04,1.794239,1.82716,1.777778,1.788752,239203
86,2000-05-05,1.794239,1.843621,1.794239,1.816187,283627
87,2000-05-08,1.82716,1.849108,1.783265,1.849108,234647
88,2000-05-09,1.840878,1.876543,1.832647,1.843621,121880
89,2000-05-10,1.843621,1.876543,1.777778,1.794239,251733
90,2000-05-11,1.783265,1.843621,1.783265,1.788752,773423
91,2000-05-12,1.788752,1.864198,1.733882,1.733882,751781
92,2000-05-15,1.739369,1.887517,1.739369,1.887517,133270
93,2000-05-16,1.903978,1.953361,1.849108,1.849108,174277
94,2000-05-17,1.88203,1.920439,1.88203,1.893004,13669
95,2000-05-18,1.928669,1.9369,1.887517,1.903978,47841
96,2000-05-19,1.898491,1.898491,1.876543,1.876543,48980
97,2000-05-22,1.876543,1.876543,1.783265,1.843621,69483
98,2000-05-23,1.865569,1.887517,1.821674,1.854595,217561
99,2000-05-24,1.838134,1.947874,1.838134,1.898491,216422
100,2000-05-25,1.9369,1.942387,1.898491,1.942387,149217
101,2000-05-26,1.909465,1.986283,1.898491,1.931413,123019
102,2000-05-30,1.975309,1.997257,1.887517,1.997257,191363
103,2000-05-31,1.997257,2.183813,1.994513,2.139918,1065023
104,2000-06-01,2.1893,2.37037,2.183813,2.266118,1215380
105,2000-06-02,2.282579,2.381344,1.986283,2.11797,969342
106,2000-06-05,2.194787,2.205761,1.914952,2.183813,742669
107,2000-06-06,2.216735,2.216735,2.106996,2.194787,184528
108,2000-06-07,2.101509,2.1893,2.052126,2.079561,522830
109,2000-06-08,2.074074,2.139918,2.057613,2.096022,75178
110,2000-06-09,2.112483,2.326475,2.052126,2.304527,451069
111,2000-06-12,2.337449,2.37037,2.282579,2.304527,225534
112,2000-06-13,2.260631,2.304527,2.238683,2.249657,84291
113,2000-06-14,2.260631,2.348422,2.260631,2.348422,191363
114,2000-06-15,2.364883,2.414266,2.288066,2.337449,124158
115,2000-06-16,2.364883,2.37037,2.353909,2.353909,46702
116,2000-06-19,2.392318,2.441701,2.37037,2.397805,324633
117,2000-06-20,2.389575,2.447188,2.353909,2.37037,830377
118,2000-06-21,2.364883,2.364883,2.326475,2.348422,373613
119,2000-06-22,2.359396,2.359396,2.271605,2.271605,702802
120,2000-06-23,2.255144,2.271605,2.0631,2.123457,419175
121,2000-06-26,2.106996,2.150892,2.085048,2.106996,305269
122,2000-06-27,2.106996,2.24417,2.101509,2.194787,146939
123,2000-06-28,2.197531,2.233196,2.178326,2.183813,88847
124,2000-06-29,2.194787,2.216735,2.183813,2.1893,67205
125,2000-06-30,2.128944,2.150892,2.128944,2.150892,74039
126,2000-07-03,2.139918,2.139918,2.128944,2.128944,6834
127,2000-07-05,2.134431,2.148148,2.106996,2.106996,84291
128,2000-07-06,2.161866,2.161866,2.106996,2.11797,140105
129,2000-07-07,2.106996,2.128944,2.106996,2.106996,166303
130,2000-07-10,2.112483,2.128944,2.096022,2.096022,226673
131,2000-07-11,2.098765,2.106996,2.0631,2.0631,341719
132,2000-07-12,2.041152,2.0631,2.041152,2.041152,230091
133,2000-07-13,2.041152,2.101509,2.041152,2.0631,357666
134,2000-07-14,2.167353,2.194787,2.0631,2.0631,153773
135,2000-07-17,2.0631,2.101509,2.0631,2.096022,214144
136,2000-07-18,2.096022,2.128944,2.085048,2.128944,137827
137,2000-07-19,2.123457,2.194787,2.106996,2.161866,150356
138,2000-07-20,2.170096,2.304527,2.150892,2.24417,242620
139,2000-07-21,2.255144,2.255144,2.096022,2.128944,181111
140,2000-07-24,2.085048,2.150892,2.085048,2.085048,67205
141,2000-07-25,2.123457,2.293553,2.085048,2.194787,260845
142,2000-07-26,2.293553,2.293553,2.134431,2.134431,59231
143,2000-07-27,2.139918,2.150892,2.128944,2.128944,20503
144,2000-07-28,2.139918,2.139918,2.096022,2.096022,23920
145,2000-07-31,2.150892,2.150892,2.093278,2.096022,72900
146,2000-08-01,2.098765,2.106996,2.098765,2.101509,101377
147,2000-08-02,2.150892,2.233196,2.101509,2.178326,107072
148,2000-08-03,2.238683,2.304527,2.101509,2.238683,126436
149,2000-08-04,2.194787,2.205761,2.194787,2.205761,35311
150,2000-08-07,2.200274,2.205761,2.194787,2.194787,11391
151,2000-08-08,2.310014,2.310014,2.194787,2.216735,89986
152,2000-08-09,2.24417,2.282579,2.211248,2.282579,85430
153,2000-08-10,2.282579,2.293553,2.194787,2.293553,26198
154,2000-08-11,2.216735,2.293553,2.205761,2.255144,38728
155,2000-08-14,2.282579,2.29904,2.238683,2.282579,77456
156,2000-08-15,2.249657,2.282579,2.238683,2.282579,27338
