,Date,Open,High,Low,Close,Volume
0,2001-11-29,13.386667,14.466667,13.36,13.88,371100
1,2001-11-30,13.88,14.266667,13.88,14.266667,165300
2,2001-12-03,14.233333,14.233333,13.783333,13.783333,127500
3,2001-12-04,13.783333,13.783333,13.233333,13.233333,95400
4,2001-12-05,13.433333,14.783333,13.433333,14.666667,598200
5,2001-12-06,14.733333,14.733333,14.57,14.573333,157200
6,2001-12-07,14.583333,14.666667,14.466667,14.666667,215100
7,2001-12-10,14.633333,14.64,14.586667,14.616667,119100
8,2001-12-11,14.6,14.71,14.586667,14.586667,378600
9,2001-12-12,14.583333,14.583333,14.036667,14.1,114600
10,2001-12-13,14.083333,14.266667,13.966667,13.966667,113700
11,2001-12-14,13.95,13.95,13.516667,13.63,233400
12,2001-12-17,13.663333,14.0,13.663333,13.666667,106200
13,2001-12-18,13.683333,13.866667,13.666667,13.666667,101400
14,2001-12-19,13.666667,13.683333,13.58,13.683333,157800
15,2001-12-20,13.733333,14.23,13.733333,14.1,97200
16,2001-12-21,14.183333,15.3,14.166667,15.113333,659400
17,2001-12-24,15.1,15.35,15.066667,15.266667,50700
18,2001-12-26,15.3,15.653333,15.266667,15.333333,378000
19,2001-12-27,15.75,15.883333,15.4,15.65,349200
20,2001-12-28,15.733333,15.733333,15.633333,15.683333,295500
21,2001-12-31,15.7,16.583332,15.566667,16.583332,255900
22,2002-01-02,16.166668,16.166668,15.883333,15.926667,132300
23,2002-01-03,15.9,15.903333,15.1,15.1,89700
24,2002-01-04,15.1,15.2,13.666667,14.166667,346500
25,2002-01-07,14.166667,14.366667,13.283333,13.933333,601500
26,2002-01-08,13.85,13.933333,13.5,13.7,442200
27,2002-01-09,13.716667,13.866667,13.7,13.733333,60000
28,2002-01-10,13.733333,14.133333,13.733333,14.033333,216300
29,2002-01-11,14.333333,14.75,14.316667,14.5,340800
30,2002-01-14,14.5,14.566667,14.3,14.3,230700
31,2002-01-15,14.75,15.45,14.75,15.336667,1030200
32,2002-01-16,15.31,15.783333,15.166667,15.633333,526200
33,2002-01-17,15.666667,15.933333,15.666667,15.733333,42900
34,2002-01-18,15.7,16.0,15.566667,15.766667,70500
35,2002-01-22,15.77,15.77,15.233333,15.566667,130800
36,2002-01-23,15.6,15.716667,15.566667,15.633333,38700
37,2002-01-24,15.666667,15.733333,15.333333,15.416667,125100
38,2002-01-25,15.466667,15.766667,15.316667,15.633333,88800
39,2002-01-28,15.683333,15.9,15.26,15.433333,75300
40,2002-01-29,15.45,15.533333,15.433333,15.453333,27300
41,2002-01-30,15.466667,15.566667,15.366667,15.55,67800
42,2002-01-31,15.583333,15.7,15.483333,15.616667,36600
43,2002-02-01,15.65,15.733333,15.65,15.7,9000
44,2002-02-04,15.666667,15.666667,15.433333,15.443333,13200
45,2002-02-05,15.366667,15.383333,15.283333,15.296667,39300
46,2002-02-06,15.263333,15.266667,15.166667,15.233333,54300
47,2002-02-07,14.833333,14.95,14.6,14.9,216000
48,2002-02-08,14.883333,14.95,14.833333,14.933333,71100
49,2002-02-11,14.9,15.166667,14.866667,15.133333,21600
50,2002-02-12,15.166667,15.4,15.166667,15.4,14100
51,2002-02-13,15.333333,15.366667,14.966667,15.0,74100
52,2002-02-14,15.033333,15.033333,14.8,14.883333,58500
53,2002-02-15,14.85,14.866667,14.833333,14.866667,17100
54,2002-02-19,14.9,14.93,14.816667,14.833333,9900
55,2002-02-20,14.8,15.25,14.633333,14.733333,88500
56,2002-02-21,14.666667,14.793333,14.6,14.793333,132300
57,2002-02-22,14.793333,14.983333,14.793333,14.966667,45600
58,2002-02-25,14.933333,15.1,14.933333,15.0,25800
59,2002-02-26,15.033333,15.1,15.0,15.033333,88800
60,2002-02-27,15.05,15.2,14.983333,15.033333,127200
61,2002-02-28,15.066667,15.066667,14.833333,14.933333,22500
62,2002-03-01,14.933333,14.933333,14.516667,14.633333,219000
63,2002-03-04,14.6,14.733333,14.516667,14.633333,129300
64,2002-03-05,14.633333,14.633333,14.4,14.566667,269100
65,2002-03-06,14.533333,14.663333,14.45,14.533333,501000
66,2002-03-07,14.066667,14.066667,13.6,13.633333,13530300
67,2002-03-08,13.67,13.863333,13.506667,13.833333,3135000
68,2002-03-11,13.833333,14.066667,13.666667,13.996667,3147600
69,2002-03-12,13.833333,13.983333,13.8,13.933333,1657800
70,2002-03-13,13.833333,13.95,13.833333,13.9,777900
71,2002-03-14,14.0,14.4,13.966667,14.366667,2705400
