,Date,Open,High,Low,Close,Volume
0,2002-03-21,15.55,15.8,15.3,15.55,92900
1,2002-03-22,15.52,15.65,15.5,15.56,30600
2,2002-03-25,15.5,15.5,15.15,15.27,36100
3,2002-03-26,15.25,15.42,15.2,15.25,179100
4,2002-03-27,15.3,15.36,15.25,15.25,389800
5,2002-03-28,15.25,15.25,15.1,15.25,211300
6,2002-04-01,15.25,15.25,15.0,15.15,103400
7,2002-04-02,15.1,15.2,15.0,15.05,118100
8,2002-04-03,15.0,15.01,14.6,14.63,202300
9,2002-04-04,14.7,14.7,14.3,14.54,254000
10,2002-04-05,14.54,15.0,14.33,15.0,327700
11,2002-04-08,15.25,15.5,15.1,15.3,429400
12,2002-04-09,15.45,15.6,15.32,15.4,330300
13,2002-04-10,15.9,18.0,15.9,18.0,679700
14,2002-04-11,17.5,17.6,17.07,17.299999,241100
15,2002-04-12,17.4,17.450001,17.049999,17.15,95200
16,2002-04-15,17.0,17.0,16.700001,16.75,75900
17,2002-04-16,17.1,17.18,16.75,16.799999,161800
18,2002-04-17,16.5,17.1,16.5,17.049999,127600
19,2002-04-18,17.049999,17.690001,17.049999,17.280001,131700
20,2002-04-19,17.299999,17.549999,17.25,17.34,32200
21,2002-04-22,17.4,18.0,17.4,17.6,233200
22,2002-04-23,18.049999,19.200001,18.049999,18.85,403200
23,2002-04-24,19.200001,19.959999,19.200001,19.549999,384400
24,2002-04-25,19.58,19.68,18.5,18.799999,183000
25,2002-04-26,19.0,19.5,19.0,19.15,414600
26,2002-04-29,19.4,19.4,19.08,19.15,78300
27,2002-04-30,19.200001,19.799999,19.15,19.66,193500
28,2002-05-01,19.9,19.93,19.26,19.35,342700
29,2002-05-02,19.32,19.549999,19.299999,19.35,91200
30,2002-05-03,19.75,20.58,19.75,20.4,438300
31,2002-05-06,20.65,21.17,20.65,20.950001,278800
32,2002-05-07,21.0,21.0,20.360001,20.76,167500
33,2002-05-08,20.870001,22.1,20.85,21.5,214100
34,2002-05-09,21.5,22.450001,21.42,22.25,163500
35,2002-05-10,22.15,22.25,21.620001,21.76,81400
36,2002-05-13,21.52,21.52,20.85,21.299999,60400
37,2002-05-14,21.549999,22.16,21.450001,22.129999,100000
38,2002-05-15,22.0,22.01,21.5,21.690001,49700
39,2002-05-16,21.700001,21.700001,20.9,20.9,83900
40,2002-05-17,20.99,20.99,19.799999,20.02,89100
41,2002-05-20,19.5,20.98,19.4,20.9,78900
42,2002-05-21,20.950001,20.950001,20.0,20.34,33600
43,2002-05-22,20.5,20.5,19.5,19.6,74900
44,2002-05-23,19.450001,20.25,19.200001,19.76,107400
45,2002-05-24,19.76,20.030001,19.76,19.99,92200
46,2002-05-28,19.93,19.93,19.1,19.25,29600
47,2002-05-29,19.18,19.23,18.5,18.85,101400
48,2002-05-30,18.85,18.9,18.15,18.15,59700
49,2002-05-31,18.049999,19.5,17.950001,19.5,141700
50,2002-06-03,19.4,19.4,18.15,18.18,114500
51,2002-06-04,18.18,18.18,15.55,15.93,398500
52,2002-06-05,16.25,16.9,15.81,16.35,253100
53,2002-06-06,16.25,16.5,16.25,16.4,154300
54,2002-06-07,16.4,16.4,15.01,15.15,168800
55,2002-06-10,15.35,15.9,15.35,15.62,155600
56,2002-06-11,15.5,15.84,15.5,15.5,108800
