,Date,Open,High,Low,Close,Volume
0,2000-01-03,10.25,10.3125,10.0,10.15625,241600
1,2000-01-04,10.0625,10.1875,10.0,10.1875,124800
2,2000-01-05,10.125,10.125,10.0,10.0625,54800
3,2000-01-06,10.09375,10.1875,10.03125,10.09375,127800
4,2000-01-07,10.09375,10.1875,10.03125,10.125,121000
5,2000-01-10,10.125,10.125,10.0,10.125,226200
6,2000-01-11,10.125,10.125,10.0,10.03125,75800
7,2000-01-12,9.96875,10.0625,9.9375,10.0,127600
8,2000-01-13,9.96875,10.0625,9.625,9.6875,209200
9,2000-01-14,10.0,10.125,9.9375,10.125,114000
10,2000-01-18,10.0625,10.09375,9.84375,9.90625,92800
11,2000-01-19,9.96875,10.09375,9.9375,10.0625,79200
12,2000-01-20,10.125,10.15625,9.90625,10.15625,151200
13,2000-01-21,10.15625,10.625,10.125,10.59375,310400
14,2000-01-24,10.5625,10.6875,10.53125,10.5625,93800
15,2000-01-25,10.53125,10.53125,10.28125,10.28125,143400
16,2000-01-26,10.28125,10.4375,10.21875,10.25,67800
17,2000-01-27,10.21875,10.34375,10.21875,10.25,50400
18,2000-01-28,10.25,10.28125,10.09375,10.09375,129800
19,2000-01-31,10.21875,10.34375,10.1875,10.25,161000
20,2000-02-01,10.3125,10.40625,10.125,10.3125,477400
21,2000-02-02,10.34375,10.34375,10.1875,10.21875,364400
22,2000-02-03,10.25,10.5,10.25,10.5,296600
23,2000-02-04,10.5,11.0,10.4375,10.9375,228800
24,2000-02-07,10.875,10.9375,10.75,10.875,109000
25,2000-02-08,10.75,10.78125,10.53125,10.59375,160800
26,2000-02-09,10.59375,10.625,10.5,10.5625,75200
27,2000-02-10,10.53125,10.78125,10.53125,10.78125,140600
28,2000-02-11,10.84375,10.90625,10.65625,10.703125,164800
29,2000-02-14,10.875,11.03125,10.875,11.03125,79600
30,2000-02-15,11.0,11.46875,11.0,11.21875,107200
31,2000-02-16,11.5,11.8125,11.4375,11.625,172800
32,2000-02-17,11.875,12.625,11.8125,12.625,205200
33,2000-02-18,12.5625,12.59375,12.3125,12.3125,173000
34,2000-02-22,12.3125,12.3125,11.8125,12.09375,137000
35,2000-02-23,12.0625,12.40625,12.0,12.375,109600
36,2000-02-24,12.3125,12.3125,11.8125,12.0,297000
37,2000-02-25,12.0625,12.1875,12.0,12.0625,139400
38,2000-02-28,12.0625,12.28125,12.0625,12.28125,48800
39,2000-02-29,12.375,12.59375,12.375,12.59375,400600
40,2000-03-01,12.59375,12.71875,12.46875,12.59375,241000
41,2000-03-02,12.5625,12.8125,12.5,12.75,77800
42,2000-03-03,12.9375,13.3125,12.8125,13.09375,135800
43,2000-03-06,13.03125,13.0625,12.84375,12.875,89600
44,2000-03-07,12.8125,12.9375,12.625,12.90625,116400
