,Date,Open,High,Low,Close,Volume
0,2000-01-03,16.8125,16.875,16.0625,16.390625,7384400
1,2000-01-04,15.75,16.453125,14.984375,15.015625,7813200
2,2000-01-05,14.5625,15.6875,14.5625,15.3125,14927200
3,2000-01-06,15.359375,15.65625,15.15625,15.4375,10221200
4,2000-01-07,15.390625,16.1875,15.21875,16.1875,8253200
5,2000-01-10,16.34375,16.8125,15.90625,16.8125,10987200
6,2000-01-11,16.796875,16.8125,15.59375,15.65625,9616000
7,2000-01-12,15.6875,15.84375,15.4375,15.578125,8051200
8,2000-01-13,15.703125,16.5,15.6875,16.40625,5527200
9,2000-01-14,16.65625,16.84375,16.40625,16.578125,5136800
10,2000-01-18,16.265625,16.46875,16.0,16.0,5201600
11,2000-01-19,15.929688,16.09375,15.625,15.78125,4559200
12,2000-01-20,15.90625,16.15625,15.375,15.953125,4248800
13,2000-01-21,16.125,16.21875,15.5,15.71875,6900000
14,2000-01-24,15.773438,15.875,15.03125,15.140625,5895600
15,2000-01-25,15.039063,15.84375,14.71875,15.75,7566000
16,2000-01-26,15.78125,16.0625,15.234375,15.296875,4466000
17,2000-01-27,15.203125,16.0,15.203125,15.671875,5864400
18,2000-01-28,15.296875,15.46875,14.15625,14.390625,5712000
19,2000-01-31,14.28125,14.53125,13.359375,13.765625,16459200
20,2000-02-01,13.96875,14.21875,13.78125,13.96875,6765600
21,2000-02-02,13.984375,15.40625,13.90625,15.328125,13409600
22,2000-02-03,15.953125,17.28125,15.84375,17.265625,19747200
23,2000-02-04,17.179688,18.625,16.75,18.5,13516800
24,2000-02-07,18.4375,19.359375,18.0625,19.265625,12919200
25,2000-02-08,19.390625,21.0,19.1875,20.9375,14297200
26,2000-02-09,20.96875,21.9375,20.71875,21.890625,15321600
27,2000-02-10,21.640625,22.8125,21.0625,22.8125,13175600
28,2000-02-11,22.5,22.8125,21.71875,22.609375,7216800
29,2000-02-14,22.03125,22.5,21.265625,22.40625,6994800
30,2000-02-15,22.101563,23.0,21.5625,22.21875,7082400
31,2000-02-16,22.0,24.6875,21.875,24.546875,10723600
32,2000-02-17,24.75,25.53125,24.03125,25.390625,10482400
33,2000-02-18,25.65625,25.671875,24.25,24.5625,6311200
34,2000-02-22,24.453125,24.90625,22.609375,24.570313,7825600
35,2000-02-23,24.375,26.25,23.859375,24.90625,7614800
36,2000-02-24,25.28125,26.65625,24.25,26.59375,6901200
37,2000-02-25,25.875,26.109375,24.5,24.625,4176000
38,2000-02-28,24.382813,24.90625,23.75,24.453125,6549600
39,2000-02-29,25.0,25.75,24.78125,25.5,6718800
40,2000-03-01,25.554688,25.5625,24.6875,25.09375,5105200
41,2000-03-02,24.0625,24.0625,20.0,20.15625,24963600
42,2000-03-03,21.046875,22.933594,20.632813,22.65625,18611200
43,2000-03-06,22.3125,22.40625,21.0,21.453125,6946400
44,2000-03-07,21.953125,21.96875,20.140625,20.296875,6066400
45,2000-03-08,20.390625,20.40625,19.625,19.765625,8405600
46,2000-03-09,19.90625,20.34375,19.25,19.53125,10022000
47,2000-03-10,19.875,21.421875,19.859375,20.8125,15000800
48,2000-03-13,20.1875,21.15625,20.125,20.53125,6446400
49,2000-03-14,21.875,22.21875,20.0,20.359375,12852800
50,2000-03-15,20.75,21.609375,20.0,20.890625,9849600
51,2000-03-16,21.140625,23.6875,19.5,23.609375,22378000
52,2000-03-17,22.25,22.84375,21.484375,21.921875,18887600
53,2000-03-20,22.046875,22.484375,21.40625,21.859375,8595200
54,2000-03-21,21.890625,23.015625,21.28125,22.921875,10534000
55,2000-03-22,23.695313,25.5,22.984375,25.5,16744800
56,2000-03-23,25.140625,27.390625,24.75,26.640625,12223600
57,2000-03-24,26.40625,27.5,26.34375,27.046875,7835600
58,2000-03-27,27.21875,28.671875,27.0,28.40625,6834400
59,2000-03-28,28.1875,28.84375,27.5,27.78125,6964400
60,2000-03-29,27.75,28.40625,26.96875,27.84375,5551200
61,2000-03-30,27.375,29.0,26.75,26.796875,6503200
62,2000-03-31,27.0625,28.75,26.671875,27.828125,7458000
63,2000-04-03,28.273438,28.625,25.75,26.390625,10012400
64,2000-04-04,27.109375,27.25,22.0625,25.4375,20696400
65,2000-04-05,25.25,27.625,24.5,26.796875,9953200
66,2000-04-06,27.34375,28.65625,27.03125,28.65625,10676000
67,2000-04-07,28.984375,31.25,28.90625,31.25,11309200
68,2000-04-10,30.710938,31.125,29.0,29.296875,6682800
69,2000-04-11,28.6875,30.5,27.84375,29.875,9586000
70,2000-04-12,30.0,30.25,27.5,28.015625,10696800
71,2000-04-13,28.332031,29.5,27.0,28.390625,11635200
72,2000-04-14,27.71875,27.734375,23.796875,24.453125,14822800
73,2000-04-17,24.53125,28.328125,24.421875,28.328125,10586800
74,2000-04-18,28.890625,30.40625,28.328125,29.25,8886000
75,2000-04-19,28.9375,29.3125,27.90625,28.15625,5971600
76,2000-04-20,28.203125,28.621094,26.625,28.15625,6578800
77,2000-04-24,26.921875,28.0,24.25,26.1875,9034800
78,2000-04-25,26.703125,30.375,26.0,30.0,14261600
79,2000-04-26,29.640625,30.1875,28.078125,28.71875,10008800
80,2000-04-27,27.015625,31.125,26.75,30.859375,11139200
81,2000-04-28,31.203125,31.96875,29.5,30.234375,11328800
82,2000-05-01,30.546875,32.75,30.53125,32.671875,8049200
83,2000-05-02,32.15625,32.1875,28.8125,28.875,6946800
84,2000-05-03,28.9375,29.90625,26.0,28.1875,12529600
85,2000-05-04,28.375,28.6875,27.0625,28.484375,6709600
86,2000-05-05,27.9375,30.203125,27.84375,29.921875,6605600
87,2000-05-08,29.0625,29.4375,27.25,27.34375,5495200
88,2000-05-09,27.875,29.40625,26.34375,28.078125,9874800
89,2000-05-10,27.3125,28.40625,26.4375,26.546875,10190400
90,2000-05-11,27.328125,27.5625,25.40625,27.09375,10963200
91,2000-05-12,27.234375,28.34375,26.625,27.046875,4381600
92,2000-05-15,27.34375,27.65625,26.5625,27.5,5064800
93,2000-05-16,28.117188,31.21875,28.109375,30.96875,11287200
94,2000-05-17,29.78125,30.71875,29.125,30.078125,6428400
95,2000-05-18,30.015625,31.0625,28.75,28.75,5727200
96,2000-05-19,28.5,29.3125,27.34375,27.390625,8564000
97,2000-05-22,27.53125,27.53125,25.75,27.421875,11500400
98,2000-05-23,27.359375,28.75,26.8125,27.234375,10874800
99,2000-05-24,26.875,27.34375,25.5625,26.53125,13330400
100,2000-05-25,26.953125,28.125,25.875,26.125,5880400
101,2000-05-26,26.21875,26.625,25.40625,25.703125,4354400
102,2000-05-30,26.65625,29.1875,26.65625,29.140625,6782800
103,2000-05-31,28.5625,29.78125,28.125,28.140625,6144800
104,2000-06-01,28.960938,29.984375,28.46875,29.625,6863200
105,2000-06-02,30.390625,31.96875,30.390625,31.25,5660400
106,2000-06-05,31.25,33.0,31.1875,32.171875,10037200
107,2000-06-06,31.828125,31.828125,28.875,28.921875,13826400
108,2000-06-07,29.75,30.0,28.0625,28.578125,11221600
109,2000-06-08,29.375,30.34375,29.046875,29.59375,8131200
110,2000-06-09,30.234375,30.5,29.875,30.171875,4936000
111,2000-06-12,31.21875,31.25,30.3125,30.3125,8233600
112,2000-06-13,30.789063,31.917969,30.0625,31.796875,8335200
113,2000-06-14,32.226563,32.625,30.0,30.46875,11954400
114,2000-06-15,30.75,31.734375,29.9375,31.1875,9943600
115,2000-06-16,30.03125,30.1875,28.46875,30.0625,17876800
116,2000-06-19,29.679688,32.125,29.671875,31.84375,9478400
117,2000-06-20,31.5625,32.984375,31.375,32.8125,11540400
118,2000-06-21,32.09375,32.75,31.1875,32.203125,5958800
119,2000-06-22,32.007813,32.25,30.09375,30.265625,4679600
120,2000-06-23,30.53125,30.84375,29.125,29.4375,4730800
121,2000-06-26,29.835938,31.75,29.4375,31.171875,4722400
122,2000-06-27,30.632813,30.933594,29.515625,29.515625,5097600
123,2000-06-28,30.109375,31.480469,29.910156,31.203125,5057200
124,2000-06-29,30.960938,32.0,30.65625,31.0625,4454400
125,2000-06-30,31.492188,32.5,31.1875,32.5,5107200
126,2000-07-03,32.25,32.453125,31.640625,31.96875,1652800
127,2000-07-05,31.433594,32.03125,31.0,31.921875,5099200
128,2000-07-06,32.140625,33.75,31.375,33.734375,10177600
129,2000-07-07,33.40625,34.828125,32.78125,34.34375,7556400
130,2000-07-10,33.984375,34.421875,33.125,33.84375,5060400
131,2000-07-11,33.859375,35.4375,33.5,34.5625,5798000
132,2000-07-12,35.148438,35.25,34.625,35.125,3848800
133,2000-07-13,35.25,35.828125,34.171875,34.46875,4286800
134,2000-07-14,34.9375,34.9375,33.5,34.046875,5538400
135,2000-07-17,34.40625,34.421875,33.375,33.765625,3456400
136,2000-07-18,33.78125,33.8125,32.5,32.734375,3682400
137,2000-07-19,33.054688,33.949219,31.90625,32.484375,4300800
138,2000-07-20,33.15625,34.4375,32.625,34.3125,5474000
139,2000-07-21,34.046875,34.53125,32.84375,33.671875,7378400
140,2000-07-24,33.289063,33.625,30.84375,31.296875,6861200
141,2000-07-25,31.757813,32.03125,30.75,31.71875,6166800
142,2000-07-26,31.367188,31.640625,30.5,30.984375,5663600
143,2000-07-27,30.757813,32.0625,27.4375,28.375,12136400
144,2000-07-28,28.507813,29.28125,26.5625,27.84375,6603600
145,2000-07-31,28.023438,28.8125,25.75,28.625,11458000
146,2000-08-01,29.375,29.5625,28.25,28.609375,5923200
147,2000-08-02,28.765625,29.714844,28.5,29.078125,5342000
148,2000-08-03,27.578125,28.625,27.0,28.4375,7311600
149,2000-08-04,29.03125,29.890625,28.46875,29.1875,3659600
150,2000-08-07,29.328125,30.546875,28.625,30.515625,4090000
151,2000-08-08,30.40625,30.796875,29.421875,30.359375,3934800
152,2000-08-09,30.8125,31.0,29.0,29.078125,3711200
153,2000-08-10,29.1875,29.1875,28.015625,28.203125,4460000
154,2000-08-11,28.0625,29.296875,27.53125,28.890625,3412800
155,2000-08-14,29.1875,30.449219,28.8125,30.40625,4078800
156,2000-08-15,30.375,30.875,29.5,30.03125,3042000
157,2000-08-16,29.9375,30.859375,28.25,28.984375,3816400
158,2000-08-17,28.890625,31.25,28.875,31.21875,6036400
