,Date,Open,High,Low,Close,Volume
0,2000-01-03,14.375,14.375,13.625,13.9375,24500
1,2000-01-04,14.0625,14.1875,13.5625,13.5625,3500
2,2000-01-05,13.5,13.625,13.125,13.3125,17100
3,2000-01-06,13.375,13.625,13.3125,13.5625,8400
4,2000-01-07,13.5625,13.6875,13.4375,13.6875,8600
5,2000-01-10,13.6875,13.75,13.4375,13.75,5600
6,2000-01-11,13.5625,13.8125,13.5,13.8125,10200
7,2000-01-12,13.625,14.0,13.5625,13.75,8900
8,2000-01-13,13.625,13.8125,13.5625,13.6875,10000
9,2000-01-14,13.8125,14.0,13.625,14.0,10400
10,2000-01-18,13.875,13.9375,13.5,13.5625,13800
11,2000-01-19,13.6875,13.9375,13.5,13.5,12800
12,2000-01-20,13.4375,13.8125,13.4375,13.6875,9000
13,2000-01-21,13.8125,13.8125,13.625,13.625,14100
14,2000-01-24,13.8125,13.8125,13.5,13.5,4800
15,2000-01-25,13.625,13.75,13.5,13.5625,8100
16,2000-01-26,13.6875,13.6875,13.25,13.3125,12900
17,2000-01-27,13.3125,13.75,13.25,13.75,9000
18,2000-01-28,13.75,14.0,13.75,13.75,17300
19,2000-01-31,13.875,13.9375,13.75,13.75,3800
20,2000-02-01,13.875,13.875,13.75,13.75,6400
21,2000-02-02,13.75,13.9375,13.75,13.875,11500
22,2000-02-03,13.875,13.875,13.75,13.75,5100
23,2000-02-04,13.75,13.9375,13.6875,13.6875,8900
24,2000-02-07,13.5,14.0625,13.5,13.75,39700
25,2000-02-08,13.625,13.875,13.625,13.8125,8800
26,2000-02-09,13.75,14.0,13.75,13.8125,14600
27,2000-02-10,14.0625,14.0625,13.75,14.0,5300
28,2000-02-11,13.875,14.0,13.875,14.0,10100
29,2000-02-14,14.0,14.0,14.0,14.0,3000
30,2000-02-15,14.0,14.0,13.875,14.0,6600
31,2000-02-16,14.0,14.0,13.625,13.875,7400
32,2000-02-17,13.875,13.9375,13.875,13.875,7100
33,2000-02-18,13.9375,13.9375,13.75,13.75,3400
34,2000-02-22,13.875,13.9375,13.4375,13.5,15100
35,2000-02-23,13.5,13.9375,13.375,13.9375,7200
36,2000-02-24,13.9375,13.9375,13.75,13.75,10300
37,2000-02-25,13.5625,14.1875,13.5625,14.1875,30900
38,2000-02-28,14.1875,14.1875,13.6875,13.6875,28700
39,2000-02-29,13.5625,13.875,13.5625,13.75,11400
40,2000-03-01,13.5625,13.875,13.5,13.875,9500
41,2000-03-02,13.75,14.0,13.6875,13.6875,6200
42,2000-03-03,13.75,13.8125,13.5625,13.8125,8500
43,2000-03-06,13.8125,13.875,13.5625,13.625,10900
44,2000-03-07,13.6875,13.875,13.625,13.625,10500
45,2000-03-08,13.8125,13.8125,13.5625,13.5625,12700
46,2000-03-09,13.75,13.8125,13.5625,13.75,4000
47,2000-03-10,13.625,13.75,13.5625,13.6875,6800
