,Date,Open,High,Low,Close,Volume
0,2000-01-03,32.5625,32.625,31.5625,32.3125,700800
1,2000-01-04,32.3125,32.5,32.1875,32.3125,455600
2,2000-01-05,32.3125,33.5625,32.3125,33.5625,1293200
3,2000-01-06,33.5625,33.6875,33.25,33.4375,320400
4,2000-01-07,33.5,34.0,33.4375,33.9375,312700
5,2000-01-10,33.9375,34.25,33.625,33.6875,483300
6,2000-01-11,33.625,33.6875,33.4375,33.625,479200
7,2000-01-12,33.75,33.875,33.3125,33.8125,240400
8,2000-01-13,33.75,34.0625,33.625,33.9375,235100
9,2000-01-14,33.875,33.875,33.1875,33.4375,280900
10,2000-01-18,33.4375,33.4375,32.3125,32.3125,416000
11,2000-01-19,32.4375,33.1875,32.375,33.125,406200
12,2000-01-20,32.9375,33.0625,32.75,33.0,212300
13,2000-01-21,33.0625,33.25,32.8125,33.25,407000
14,2000-01-24,33.25,33.9375,33.25,33.4375,342400
15,2000-01-25,33.375,33.5,32.4375,32.625,405900
16,2000-01-26,32.75,33.25,32.6875,33.0,324600
17,2000-01-27,32.875,33.125,32.75,32.9375,291100
18,2000-01-28,32.6875,32.8125,32.25,32.3125,610400
19,2000-01-31,32.375,32.8125,32.0,32.5625,256700
20,2000-02-01,32.8125,32.8125,32.3125,32.5625,185200
21,2000-02-02,32.8125,33.375,32.5625,32.5625,418500
22,2000-02-03,32.5625,33.4375,32.5625,32.9375,434400
23,2000-02-04,33.0,33.1875,31.75,31.9375,378700
24,2000-02-07,31.9375,31.9375,31.625,31.75,234900
25,2000-02-08,31.75,32.4375,31.75,31.875,309900
26,2000-02-09,32.5,32.5,31.5,31.5625,328900
27,2000-02-10,31.5625,31.8125,31.0,31.125,367100
28,2000-02-11,31.125,31.375,31.0,31.0,446200
29,2000-02-14,31.25,31.5,30.875,31.25,261500
30,2000-02-15,31.25,31.3125,31.0,31.125,199700
31,2000-02-16,31.0,31.1875,30.8125,30.9375,154000
32,2000-02-17,30.9375,30.9375,30.4375,30.5,186900
33,2000-02-18,30.5,30.5,29.5625,30.25,463200
34,2000-02-22,30.5,30.625,30.125,30.4375,209700
35,2000-02-23,30.375,30.4375,29.6875,30.25,292300
36,2000-02-24,30.25,30.25,28.5,28.875,397900
37,2000-02-25,28.875,29.1875,28.5,28.875,297400
38,2000-02-28,29.125,30.125,28.875,30.0625,652300
39,2000-02-29,29.9375,30.0625,29.6875,30.0,767000
40,2000-03-01,29.8125,29.9375,29.0,29.5,317700
41,2000-03-02,28.8125,29.125,28.5625,28.9375,580800
42,2000-03-03,29.0,29.5,28.8125,29.1875,273600
43,2000-03-06,29.0,29.0,28.0,28.1875,2242900
44,2000-03-07,27.75,28.375,27.625,27.875,294700
45,2000-03-08,27.9375,28.375,27.75,28.0,489500
46,2000-03-09,28.0,28.25,27.75,28.0625,379700
47,2000-03-10,28.3125,28.3125,28.0,28.125,216800
48,2000-03-13,28.25,28.25,27.875,28.125,252800
49,2000-03-14,28.125,28.125,27.5625,27.8125,299800
50,2000-03-15,27.8125,29.1875,27.8125,29.0625,446000
51,2000-03-16,29.3125,30.75,29.1875,30.625,483700
52,2000-03-17,30.375,30.5,30.0,30.125,806100
53,2000-03-20,30.125,30.5,30.0,30.25,448600
54,2000-03-21,30.25,30.5,30.25,30.4375,508100
55,2000-03-22,30.4375,30.4375,29.75,30.125,646400
56,2000-03-23,29.875,30.6875,29.875,30.1875,321900
57,2000-03-24,30.0625,30.5,29.875,30.5,338500
58,2000-03-27,30.625,31.0625,30.5625,30.9375,229200
59,2000-03-28,31.0,31.125,30.3125,30.3125,353500
60,2000-03-29,30.375,31.1875,30.375,30.6875,369900
61,2000-03-30,30.9375,31.1875,30.3125,30.625,453500
62,2000-03-31,30.9375,30.9375,30.3125,30.9375,320500
63,2000-04-03,30.875,31.1875,30.625,31.125,496600
64,2000-04-04,31.0625,32.125,31.0625,31.9375,640600
65,2000-04-05,31.875,33.0,31.875,32.5625,376900
66,2000-04-06,32.625,32.8125,31.9375,32.1875,366700
67,2000-04-07,32.1875,32.5625,31.5625,31.625,308300
68,2000-04-10,31.375,32.375,31.1875,31.8125,370900
69,2000-04-11,32.0625,32.5625,31.75,32.0,164700
70,2000-04-12,32.25,33.0,32.25,32.375,190400
71,2000-04-13,32.375,33.875,32.0,33.25,879500
72,2000-04-14,33.25,33.8125,32.5625,32.875,220800
73,2000-04-17,32.625,33.25,32.0625,33.25,393700
74,2000-04-18,33.0625,33.5625,32.875,33.25,437900
75,2000-04-19,33.0,33.1875,32.4375,33.125,257900
76,2000-04-20,33.1875,33.875,33.0,33.875,450500
77,2000-04-24,33.75,35.0,33.75,34.9375,335900
78,2000-04-25,35.0625,36.75,35.0,36.5625,737000
79,2000-04-26,36.75,38.0,36.6875,37.875,596800
80,2000-04-27,37.5,38.0,37.1875,37.25,713100
81,2000-04-28,37.125,37.125,35.9375,36.6875,354700
82,2000-05-01,36.4375,36.8125,36.0,36.4375,378500
83,2000-05-02,36.4375,36.75,35.4375,35.5625,441400
84,2000-05-03,35.375,35.6875,35.0,35.3125,235300
85,2000-05-04,35.0625,36.4375,34.6875,36.25,295200
86,2000-05-05,35.875,35.875,35.0,35.5,195400
87,2000-05-08,35.25,37.125,35.1875,35.9375,361600
88,2000-05-09,35.875,36.125,35.5625,35.9375,205600
89,2000-05-10,35.9375,36.625,35.875,36.125,272000
90,2000-05-11,35.75,37.0,35.75,36.9375,225400
91,2000-05-12,36.6875,37.125,36.375,36.5625,254900
92,2000-05-15,36.3125,37.3125,36.1875,36.9375,242700
93,2000-05-16,36.875,37.125,35.8125,36.6875,249400
94,2000-05-17,36.5625,36.5625,35.1875,35.625,318800
95,2000-05-18,35.4375,36.75,35.4375,36.0625,199400
96,2000-05-19,35.8125,36.25,35.25,36.1875,259800
97,2000-05-22,36.375,37.3125,36.25,36.8125,214900
98,2000-05-23,36.375,36.8125,36.25,36.5625,268200
99,2000-05-24,36.6875,37.625,36.5625,37.25,260700
100,2000-05-25,37.0625,37.0625,36.375,36.875,256100
101,2000-05-26,36.625,37.625,36.5625,36.8125,278000
102,2000-05-30,37.0625,37.0625,36.25,36.4375,214500
103,2000-05-31,36.5625,37.0625,36.4375,36.6875,142800
104,2000-06-01,36.4375,36.8125,36.0625,36.75,293700
105,2000-06-02,36.75,36.8125,36.0,36.0625,159000
106,2000-06-05,36.0,36.0,34.875,35.1875,2485500
107,2000-06-06,33.875,35.375,33.875,35.25,486400
108,2000-06-07,35.125,35.3125,34.9375,35.0,246000
109,2000-06-08,34.9375,35.0,34.0,34.5625,738400
110,2000-06-09,35.0625,35.5,34.8125,35.4375,336200
111,2000-06-12,35.5625,35.9375,35.5,35.59375,235000
112,2000-06-13,35.5,36.375,35.5,35.625,219600
113,2000-06-14,35.75,35.75,34.875,34.9375,188800
114,2000-06-15,35.125,36.25,35.0625,35.625,186000
115,2000-06-16,35.25,36.0,35.25,35.4375,399600
116,2000-06-19,35.1875,35.75,35.0625,35.375,399100
117,2000-06-20,35.125,35.4375,34.5,35.25,253400
118,2000-06-21,35.0625,35.9375,35.0625,35.3125,244100
119,2000-06-22,35.0,35.0625,34.5625,34.9375,363500
120,2000-06-23,35.0625,35.4375,34.75,35.0,157900
121,2000-06-26,35.125,36.0625,34.9375,35.5,1027100
122,2000-06-27,35.5625,35.9375,34.5625,34.6875,350200
123,2000-06-28,34.625,35.75,34.0,35.5625,367100
124,2000-06-29,35.625,35.75,34.4375,34.5625,542800
125,2000-06-30,34.625,35.75,33.3125,33.75,695000
126,2000-07-03,34.0625,34.9375,34.0625,34.875,338900
127,2000-07-05,34.9375,35.625,34.6875,34.8125,523500
128,2000-07-06,34.625,35.1875,34.5,34.5625,236000
129,2000-07-07,34.625,35.125,34.375,34.875,228500
130,2000-07-10,35.0,35.5,34.8125,35.25,363600
131,2000-07-11,35.0,35.8125,34.6875,35.8125,272300
132,2000-07-12,36.0,36.375,35.25,35.875,361300
133,2000-07-13,35.375,35.8125,35.375,35.75,189400
134,2000-07-14,35.625,36.0625,35.0,35.125,201400
135,2000-07-17,35.125,35.375,35.0,35.21875,227200
136,2000-07-18,35.25,35.9375,35.25,35.4375,271300
137,2000-07-19,36.0,36.625,36.0,36.0,425400
138,2000-07-20,36.5,36.75,36.375,36.5,277800
139,2000-07-21,36.5,36.625,36.0625,36.3125,251000
140,2000-07-24,36.0625,36.25,35.5,35.875,218300
141,2000-07-25,36.0,36.3125,35.875,36.125,190800
142,2000-07-26,35.875,36.3125,35.5625,35.640625,252600
143,2000-07-27,35.6875,36.75,35.625,36.5625,454800
144,2000-07-28,36.625,36.8125,36.0625,36.375,170200
145,2000-07-31,36.875,37.0,36.0625,36.1875,309200
146,2000-08-01,36.25,37.5,36.1875,37.375,548500
147,2000-08-02,37.375,37.8125,37.3125,37.625,447500
148,2000-08-03,37.8125,38.875,37.6875,38.015625,730200
149,2000-08-04,37.875,38.625,37.0,38.375,378000
150,2000-08-07,38.25,38.625,37.625,38.578125,517800
151,2000-08-08,38.875,38.9375,38.3125,38.75,247700
152,2000-08-09,38.5625,38.75,38.375,38.6875,373900
153,2000-08-10,38.875,38.875,38.375,38.640625,132000
154,2000-08-11,38.625,39.1875,38.625,38.828125,438400
155,2000-08-14,38.625,39.25,38.375,39.125,287100
156,2000-08-15,39.0,39.5,38.9375,39.25,340300
157,2000-08-16,38.875,39.625,38.8125,39.625,137300
158,2000-08-17,39.625,40.3125,39.5625,39.8125,283600
159,2000-08-18,39.75,40.0,39.75,39.9375,359000
160,2000-08-21,39.75,39.9375,39.3125,39.5625,215100
161,2000-08-22,39.3125,39.5625,39.1875,39.5,141300
162,2000-08-23,39.25,39.75,39.125,39.5625,121100
163,2000-08-24,39.375,39.4375,39.125,39.375,189000
164,2000-08-25,39.125,39.1875,38.875,39.125,269200
165,2000-08-28,38.75,39.9375,38.75,39.625,243300
166,2000-08-29,39.5,39.6875,39.3125,39.5,261100
167,2000-08-30,39.25,40.5,39.25,39.75,274500
168,2000-08-31,39.75,40.625,39.6875,40.453125,517700
169,2000-09-01,40.25,40.375,40.0625,40.25,268000
170,2000-09-05,40.0,41.1875,40.0,41.1875,390700
171,2000-09-06,40.9375,42.0,40.9375,41.9375,1501600
172,2000-09-07,41.5,41.9375,41.5,41.9375,2313100
173,2000-09-08,41.8125,42.75,41.75,42.71875,882300
174,2000-09-11,42.625,43.375,42.625,42.953125,572300
175,2000-09-12,43.0,43.625,42.875,43.125,648800
176,2000-09-13,43.0625,43.6875,42.5625,42.75,628600
177,2000-09-14,42.5625,42.5625,41.6875,42.1875,491600
178,2000-09-15,42.375,42.8125,42.1875,42.515625,974100
179,2000-09-18,42.125,42.5,41.875,42.4375,765100
180,2000-09-19,42.375,42.375,40.375,40.5,391500
181,2000-09-20,40.25,40.25,38.75,39.0,720300
182,2000-09-21,38.875,38.9375,37.4375,37.9375,889800
183,2000-09-22,37.9375,39.5625,37.625,39.375,606500
184,2000-09-25,39.25,39.875,39.0,39.6875,292800
185,2000-09-26,39.75,40.8125,39.75,40.5625,373200
186,2000-09-27,40.375,41.375,39.5,41.1875,694600
187,2000-09-28,41.1875,42.0,41.125,41.5,383100
188,2000-09-29,41.5625,42.3125,41.5625,41.890625,342500
189,2000-10-02,42.125,42.5,40.9375,42.5,633100
190,2000-10-03,42.3125,42.5,41.1875,41.25,434100
191,2000-10-04,41.25,42.0625,39.75,40.125,462400
192,2000-10-05,40.3125,41.125,39.1875,39.25,395300
193,2000-10-06,39.25,39.8125,39.0,39.0625,422200
194,2000-10-09,39.0625,39.4375,38.5625,38.6875,273700
195,2000-10-10,39.0,40.0625,38.6875,39.0625,612300
196,2000-10-11,39.3125,39.9375,38.75,39.125,537600
