,Date,Open,High,Low,Close,Volume
0,2000-01-03,10.222222,10.333333,9.680556,9.777778,5825700
1,2000-01-04,9.611111,9.611111,8.861111,8.916667,5556150
2,2000-01-05,8.888889,9.986111,8.694444,9.590278,5880600
3,2000-01-06,9.444444,9.638889,8.833333,8.909722,4610250
4,2000-01-07,8.958333,9.305556,8.861111,9.111111,2036700
5,2000-01-10,8.902778,9.166667,8.888889,9.0,1586250
6,2000-01-11,8.958333,8.958333,8.222222,8.270833,6451200
7,2000-01-12,8.430556,8.888889,8.305556,8.875,3396600
8,2000-01-13,8.888889,8.888889,8.444444,8.75,3118950
9,2000-01-14,8.729167,8.819444,8.5,8.513889,2399400
10,2000-01-18,8.5,8.555556,8.222222,8.5,5064300
11,2000-01-19,8.527778,8.527778,8.0,8.166667,3034350
12,2000-01-20,8.277778,8.305556,7.611111,7.986111,4459950
13,2000-01-21,7.986111,8.388889,7.861111,8.125,4457700
14,2000-01-24,8.222222,8.333333,8.166667,8.166667,3364200
15,2000-01-25,8.180556,8.194444,7.909722,8.027778,2944800
16,2000-01-26,7.930556,9.166667,7.916667,8.680556,9238500
17,2000-01-27,8.666667,9.0,8.388889,8.5,2162250
18,2000-01-28,7.833333,8.138889,7.53125,7.798611,8091450
19,2000-01-31,7.986111,8.083333,7.555556,8.069444,2853900
20,2000-02-01,8.111111,8.166667,7.583333,7.583333,5130000
21,2000-02-02,7.680556,7.763889,7.458333,7.722222,12150450
22,2000-02-03,7.444444,7.458333,6.722222,6.725694,12019500
23,2000-02-04,7.0,7.111111,6.138889,6.611111,23076900
24,2000-02-07,6.680556,7.333333,5.888889,6.680556,29818350
25,2000-02-08,6.861111,6.944444,6.375,6.520833,9668700
26,2000-02-09,6.597222,6.597222,6.111111,6.180556,9064350
27,2000-02-10,6.194444,6.388889,6.111111,6.222222,2880000
28,2000-02-11,6.222222,6.236111,5.944444,6.0,7296750
29,2000-02-14,6.027778,6.388889,5.958333,6.333333,5374350
30,2000-02-15,6.416667,6.472222,6.208333,6.319444,3770550
31,2000-02-16,6.222222,6.263889,5.472222,5.75,10959750
32,2000-02-17,5.333333,5.361111,4.583333,4.652778,20501100
33,2000-02-18,4.638889,4.819444,4.555556,4.569444,11450250
34,2000-02-22,4.777778,5.277778,4.666667,5.055556,10062450
35,2000-02-23,5.194444,5.222222,4.638889,5.027778,9487350
36,2000-02-24,5.027778,5.236111,4.833333,4.888889,5662350
37,2000-02-25,4.916667,5.222222,4.805556,5.0,4884750
38,2000-02-28,5.125,5.611111,5.055556,5.125,11862900
39,2000-02-29,5.347222,5.777778,5.291667,5.666667,5274000
40,2000-03-01,6.25,6.694444,5.555556,5.694444,19296000
41,2000-03-02,6.0,6.166667,5.819444,6.027778,7474950
42,2000-03-03,6.111111,6.166667,5.875,6.0,3769650
43,2000-03-06,6.0,6.111111,5.875,5.916667,2332800
44,2000-03-07,5.916667,6.027778,5.888889,5.902778,2177100
45,2000-03-08,5.888889,6.013889,5.583333,6.0,2886300
46,2000-03-09,5.972222,6.027778,5.777778,5.986111,3723750
47,2000-03-10,5.902778,6.111111,5.777778,5.986111,4647150
48,2000-03-13,5.986111,5.986111,5.666667,5.847222,4836150
49,2000-03-14,5.861111,6.027778,5.805556,6.013889,2289600
50,2000-03-15,6.069444,6.680556,6.041667,6.666667,12792600
51,2000-03-16,6.763889,8.055556,6.722222,7.916667,17783550
52,2000-03-17,7.375,8.055556,7.333333,7.791667,12631050
53,2000-03-20,7.638889,7.916667,7.166667,7.305556,5280750
54,2000-03-21,7.166667,7.583333,7.055556,7.388889,3540150
55,2000-03-22,7.388889,8.222222,7.388889,8.138889,8961750
56,2000-03-23,8.0,8.013889,7.583333,7.680556,3955050
57,2000-03-24,7.583333,7.833333,7.555556,7.680556,1521000
58,2000-03-27,7.555556,7.819444,7.555556,7.607639,2777400
