,Date,Open,High,Low,Close,Volume
0,2000-01-03,32.0,32.0,31.125,31.4375,396900
1,2000-01-04,31.375,31.9375,31.375,31.8125,325500
2,2000-01-05,31.8125,33.125,31.8125,33.0,392200
3,2000-01-06,32.75,33.6875,32.75,33.1875,433000
4,2000-01-07,33.375,33.75,33.0625,33.625,250500
5,2000-01-10,33.625,33.8125,33.4375,33.5,307700
6,2000-01-11,33.5,33.6875,33.5,33.625,223000
7,2000-01-12,33.5625,33.9375,33.5,33.875,252500
8,2000-01-13,33.875,34.0,33.625,33.8125,222400
9,2000-01-14,33.875,33.875,33.5,33.8125,529900
10,2000-01-18,33.6875,33.75,33.0,33.0,363800
11,2000-01-19,33.0,33.625,33.0,33.4375,215500
12,2000-01-20,33.375,33.375,33.0625,33.0625,278800
13,2000-01-21,33.3125,34.0,33.1875,34.0,345000
14,2000-01-24,34.0,34.4375,33.875,33.875,855500
15,2000-01-25,33.875,34.125,32.625,32.875,964400
16,2000-01-26,33.125,33.6875,32.875,33.6875,508500
17,2000-01-27,33.6875,34.125,33.3125,33.5625,923900
18,2000-01-28,33.5625,33.625,32.875,33.0,357300
19,2000-01-31,33.1875,33.5625,33.0,33.5,209900
20,2000-02-01,33.5,33.75,33.0625,33.6875,318200
21,2000-02-02,33.625,34.0625,33.5625,33.625,765300
22,2000-02-03,33.6875,34.8125,33.6875,34.75,536200
23,2000-02-04,34.9375,34.9375,33.875,34.0625,1106200
24,2000-02-07,34.0,34.0,33.5625,33.6875,2040500
25,2000-02-08,33.125,33.5,33.0625,33.3125,461400
26,2000-02-09,33.25,33.25,32.5,32.5625,307500
27,2000-02-10,32.5625,32.5625,31.4375,31.625,399000
28,2000-02-11,31.625,31.9375,31.3125,31.8125,339400
29,2000-02-14,31.8125,32.3125,31.6875,31.75,317600
30,2000-02-15,31.75,31.8125,31.3125,31.3125,234600
31,2000-02-16,31.125,31.3125,30.6875,30.6875,367900
32,2000-02-17,30.75,30.75,30.3125,30.4375,287100
33,2000-02-18,30.125,30.1875,29.8125,29.9375,510500
34,2000-02-22,30.0,30.5625,29.9375,30.4375,410600
35,2000-02-23,30.375,30.375,29.625,30.0,356400
36,2000-02-24,29.75,29.8125,28.375,28.9375,653000
37,2000-02-25,28.875,28.875,28.0,28.1875,798200
38,2000-02-28,28.375,29.125,28.125,28.75,335700
39,2000-02-29,28.75,28.75,28.0625,28.125,365600
40,2000-03-01,28.125,28.1875,27.5,27.5625,324200
41,2000-03-02,27.5625,27.8125,27.5625,27.5625,455900
42,2000-03-03,27.5625,27.8125,27.0625,27.3125,595000
43,2000-03-06,27.3125,27.3125,25.9375,26.1875,386100
44,2000-03-07,26.6875,27.9375,26.5625,27.0,828200
45,2000-03-08,26.75,26.9375,26.625,26.75,442100
46,2000-03-09,26.8125,27.0,26.375,26.625,430200
47,2000-03-10,26.6875,26.75,26.0,26.0625,687100
48,2000-03-13,26.625,28.375,26.125,26.5,555600
49,2000-03-14,26.5,26.9375,26.1875,26.875,458400
50,2000-03-15,27.125,29.125,27.0,28.75,744900
51,2000-03-16,29.0,31.125,28.875,30.9375,908000
52,2000-03-17,30.9375,31.0,30.375,30.375,813300
53,2000-03-20,30.4375,30.4375,29.875,30.0625,293400
54,2000-03-21,30.1875,30.375,29.625,29.8125,591800
55,2000-03-22,29.9375,29.9375,28.5,29.1875,375900
56,2000-03-23,29.1875,30.0,29.1875,29.5,340500
57,2000-03-24,29.25,30.0625,29.125,29.9375,257800
58,2000-03-27,29.9375,30.4375,29.8125,30.0,420500
59,2000-03-28,30.125,30.3125,29.3125,29.3125,240800
60,2000-03-29,29.4375,30.25,29.375,29.875,357400
61,2000-03-30,29.9375,30.3125,29.875,29.9375,491600
62,2000-03-31,29.6875,29.8125,29.25,29.8125,315800
63,2000-04-03,29.8125,30.1875,29.5,29.8125,441000
64,2000-04-04,30.0,31.0625,29.75,30.8125,561800
65,2000-04-05,31.0,32.3125,30.875,31.625,527000
66,2000-04-06,31.625,31.8125,30.25,30.5625,350200
67,2000-04-07,30.5625,30.8125,30.25,30.5,450900
68,2000-04-10,30.5625,31.3125,30.5,31.0,457300
69,2000-04-11,31.125,31.875,31.0,31.625,523200
70,2000-04-12,32.125,33.0,32.0,32.6875,737500
71,2000-04-13,32.6875,33.9375,32.625,33.875,559900
72,2000-04-14,33.875,34.375,33.0,33.25,898000
73,2000-04-17,33.25,33.9375,32.3125,33.8125,734000
74,2000-04-18,33.6875,34.0,33.3125,33.875,863500
75,2000-04-19,33.4375,33.8125,32.875,33.6875,338400
76,2000-04-20,33.5,33.8125,33.4375,33.8125,261300
77,2000-04-24,33.8125,35.125,33.8125,35.0,421500
78,2000-04-25,35.0,36.25,34.8125,36.125,368000
79,2000-04-26,36.125,37.8125,36.125,37.75,715100
80,2000-04-27,37.75,38.5,37.625,38.125,1064900
81,2000-04-28,37.9375,38.0,36.5,36.625,537900
82,2000-05-01,37.375,37.375,36.5,36.5,396100
83,2000-05-02,36.3125,36.6875,35.25,35.5625,521000
84,2000-05-03,35.0625,35.1875,34.1875,34.625,747700
85,2000-05-04,34.8125,35.875,34.0,35.375,585700
86,2000-05-05,35.375,35.4375,34.25,34.625,1953200
87,2000-05-08,34.0,35.8125,34.0,35.1875,506500
88,2000-05-09,35.1875,35.25,34.9375,35.125,327200
89,2000-05-10,35.0,36.1875,35.0,36.1875,773600
90,2000-05-11,36.0625,36.375,35.8125,36.3125,450400
91,2000-05-12,36.4375,36.4375,35.625,36.0625,385200
92,2000-05-15,36.125,36.8125,35.8125,36.5625,368400
93,2000-05-16,36.3125,36.3125,35.125,36.25,279800
94,2000-05-17,35.75,35.75,34.875,35.0625,386300
95,2000-05-18,35.0625,36.375,35.0625,35.9375,334800
96,2000-05-19,35.625,36.1875,35.5,36.0625,373900
97,2000-05-22,36.0625,37.25,36.0625,36.5625,250200
98,2000-05-23,36.8125,36.8125,35.25,35.5,812900
99,2000-05-24,35.9375,36.8125,35.625,35.75,544500
100,2000-05-25,35.75,35.8125,35.0,35.375,511900
101,2000-05-26,35.5,35.875,35.375,35.625,382500
102,2000-05-30,35.8125,35.8125,34.6875,35.25,247500
103,2000-05-31,35.25,35.75,35.25,35.5625,322100
104,2000-06-01,35.75,35.75,34.75,35.5625,379000
105,2000-06-02,35.5625,35.5625,34.5625,34.625,774800
106,2000-06-05,34.625,34.6875,33.5,33.5,410100
107,2000-06-06,34.125,34.4375,33.875,34.1875,812900
108,2000-06-07,34.25,34.625,34.25,34.375,342400
109,2000-06-08,34.5625,34.5625,33.5625,34.0625,378300
110,2000-06-09,34.375,34.875,34.25,34.625,366800
111,2000-06-12,35.25,35.625,35.0,35.375,471700
112,2000-06-13,35.25,35.9375,35.1875,35.375,363500
113,2000-06-14,35.25,35.3125,34.1875,34.25,350800
114,2000-06-15,34.125,35.1875,34.125,35.0,570700
115,2000-06-16,34.125,35.0625,34.125,34.875,839400
116,2000-06-19,34.8125,34.8125,33.625,33.9375,610700
117,2000-06-20,34.0,34.0,32.9375,33.5,843800
118,2000-06-21,33.4375,33.8125,33.1875,33.3125,520600
119,2000-06-22,33.25,33.25,32.0,32.6875,1299600
120,2000-06-23,32.5625,32.9375,32.0,32.1875,1041400
121,2000-06-26,32.1875,32.5,31.75,32.4375,942800
122,2000-06-27,32.0625,32.1875,30.9375,31.0,1118200
123,2000-06-28,30.5,31.875,30.0,31.71875,1389800
124,2000-06-29,31.3125,32.0625,30.75,30.75,568300
125,2000-06-30,30.6875,31.75,29.4375,29.625,1542200
126,2000-07-03,30.0,30.75,29.9375,30.75,446300
127,2000-07-05,30.125,31.5625,30.125,30.625,594400
128,2000-07-06,30.75,31.1875,30.5,30.75,676900
129,2000-07-07,30.8125,31.3125,30.8125,31.125,500800
130,2000-07-10,31.1875,32.25,31.1875,32.125,690500
131,2000-07-11,32.0625,32.8125,31.875,32.8125,1019100
132,2000-07-12,33.0625,33.0625,32.4375,32.75,1238000
133,2000-07-13,32.5,33.0625,32.375,32.9375,705800
134,2000-07-14,33.0,33.3125,32.0625,32.3125,894300
135,2000-07-17,32.0625,33.125,32.0625,33.0625,681800
136,2000-07-18,33.125,33.5,32.875,33.25,503000
137,2000-07-19,33.25,33.6875,33.125,33.5,550700
138,2000-07-20,33.5,34.0,33.25,33.8125,880900
139,2000-07-21,33.8125,34.0,33.1875,33.1875,307800
140,2000-07-24,33.25,33.8125,32.8125,33.75,674000
141,2000-07-25,33.75,34.5,33.3125,33.6875,456500
142,2000-07-26,33.4375,33.5625,32.5,32.640625,876100
143,2000-07-27,32.9375,33.75,32.875,33.125,710600
144,2000-07-28,33.1875,34.0,32.6875,33.0625,767600
145,2000-07-31,32.75,33.5,32.6875,32.8125,943400
146,2000-08-01,32.8125,34.1875,32.8125,34.125,967100
147,2000-08-02,34.375,34.75,34.1875,34.5,756500
148,2000-08-03,34.75,35.3125,34.375,34.515625,740800
149,2000-08-04,34.4375,34.9375,33.625,34.875,799700
150,2000-08-07,34.8125,35.078125,34.375,35.0625,2937000
151,2000-08-08,35.5,35.8125,34.625,35.375,841800
152,2000-08-09,35.125,35.1875,34.6875,35.046875,987300
153,2000-08-10,35.0625,35.125,34.6875,35.078125,309300
154,2000-08-11,35.125,35.375,34.9375,35.328125,771500
155,2000-08-14,35.3125,35.5,34.8125,35.0,351500
156,2000-08-15,35.0,35.75,35.0,35.3125,627700
157,2000-08-16,35.375,35.625,35.1875,35.390625,250100
158,2000-08-17,35.875,36.0625,35.625,35.9375,762700
159,2000-08-18,35.9375,36.1875,35.75,35.9375,550700
160,2000-08-21,35.75,35.8125,35.375,35.6875,765100
161,2000-08-22,35.6875,35.9375,35.5,35.8125,359600
162,2000-08-23,35.625,35.9375,35.4375,35.875,617100
163,2000-08-24,35.875,35.875,35.125,35.1875,290300
164,2000-08-25,35.1875,35.5,35.0625,35.125,550300
165,2000-08-28,35.0,35.5,34.9375,35.125,557900
