,Date,Open,High,Low,Close,Volume
0,2000-01-03,17.416668,17.416668,16.75,16.875,58950
1,2000-01-04,16.75,16.75,16.083332,16.5,73350
2,2000-01-05,16.416668,16.791668,16.083332,16.083332,171000
3,2000-01-06,16.291668,16.708332,15.875,16.5,157200
4,2000-01-07,16.541668,17.333332,16.541668,17.166668,77250
5,2000-01-10,17.083332,17.291668,16.625,16.75,88650
6,2000-01-11,16.25,16.333332,16.208332,16.208332,109650
7,2000-01-12,16.25,16.416668,16.125,16.125,113400
8,2000-01-13,15.958333,16.5,15.958333,16.375,70650
9,2000-01-14,16.458332,16.5,16.166668,16.166668,56700
10,2000-01-18,16.0,16.125,15.666667,15.875,69150
11,2000-01-19,15.75,15.916667,15.625,15.791667,40500
12,2000-01-20,15.833333,15.833333,15.0,15.0,122850
13,2000-01-21,15.208333,15.291667,15.041667,15.166667,73350
14,2000-01-24,15.291667,15.291667,14.666667,14.875,284850
15,2000-01-25,14.75,14.791667,14.583333,14.708333,274500
16,2000-01-26,14.791667,14.791667,14.333333,14.666667,120600
17,2000-01-27,14.708333,14.833333,14.5,14.625,72600
18,2000-01-28,14.541667,14.583333,14.208333,14.416667,121800
19,2000-01-31,14.125,14.416667,13.791667,14.25,151950
20,2000-02-01,14.291667,14.291667,13.833333,14.083333,76500
21,2000-02-02,14.083333,14.416667,13.833333,14.25,253500
22,2000-02-03,14.166667,14.166667,13.5,13.916667,94200
23,2000-02-04,13.916667,14.125,13.666667,14.041667,55200
24,2000-02-07,13.958333,13.958333,13.5,13.583333,61350
25,2000-02-08,13.541667,13.708333,13.333333,13.708333,157800
26,2000-02-09,13.75,13.833333,13.083333,13.25,119550
27,2000-02-10,13.25,13.333333,12.791667,12.791667,408450
28,2000-02-11,12.791667,13.083333,12.583333,12.583333,137850
29,2000-02-14,12.583333,12.833333,12.25,12.333333,113850
30,2000-02-15,12.333333,12.625,12.291667,12.541667,76050
31,2000-02-16,12.708333,13.583333,12.708333,13.541667,388500
32,2000-02-17,13.875,13.875,13.25,13.25,146400
33,2000-02-18,13.333333,13.5,12.958333,12.958333,90750
34,2000-02-22,13.125,14.625,13.0,13.916667,385200
35,2000-02-23,13.916667,14.291667,13.75,14.083333,467400
36,2000-02-24,14.083333,14.166667,13.791667,13.791667,184050
37,2000-02-25,13.958333,14.125,13.916667,14.125,199800
38,2000-02-28,14.041667,14.458333,13.916667,14.25,353550
39,2000-02-29,14.166667,14.333333,14.0,14.0,314850
40,2000-03-01,14.0,14.166667,13.333333,13.333333,354900
41,2000-03-02,13.5,13.791667,13.479167,13.75,139950
42,2000-03-03,13.666667,13.916667,13.541667,13.625,211050
43,2000-03-06,13.458333,13.666667,13.333333,13.583333,119550
44,2000-03-07,13.666667,13.916667,13.416667,13.625,260550
45,2000-03-08,13.5,13.5,13.333333,13.458333,130050
46,2000-03-09,13.625,13.625,13.375,13.458333,78300
47,2000-03-10,13.458333,13.666667,13.416667,13.541667,116400
48,2000-03-13,13.541667,13.541667,13.25,13.416667,177300
49,2000-03-14,13.458333,13.625,13.375,13.458333,111000
50,2000-03-15,13.541667,14.0,13.416667,13.958333,114300
51,2000-03-16,14.125,15.291667,14.083333,14.875,204750
52,2000-03-17,13.916667,15.083333,13.916667,14.958333,151200
53,2000-03-20,15.0,15.0,14.666667,14.875,63000
54,2000-03-21,14.833333,16.083332,14.833333,16.041668,166350
55,2000-03-22,16.0,16.0,15.416667,15.541667,159150
56,2000-03-23,15.541667,16.166668,15.458333,15.958333,109200
57,2000-03-24,15.791667,16.375,15.791667,15.958333,87750
58,2000-03-27,16.041668,16.125,15.625,15.625,154200
59,2000-03-28,15.625,16.75,15.625,16.666668,193800
60,2000-03-29,16.708332,17.0,16.666668,17.0,157950
61,2000-03-30,17.0,18.25,17.0,17.916668,289650
62,2000-03-31,17.916668,19.333332,17.875,19.083332,453900
63,2000-04-03,18.791668,18.958332,18.083332,18.958332,195000
64,2000-04-04,18.791668,18.833332,17.875,18.041668,169200
65,2000-04-05,17.916668,18.416668,17.708332,18.333332,123300
66,2000-04-06,18.416668,18.416668,17.708332,18.0,54750
67,2000-04-07,18.083332,18.083332,17.958332,17.958332,45000
68,2000-04-10,17.833332,17.833332,17.416668,17.708332,80400
69,2000-04-11,17.708332,18.291668,17.708332,17.958332,81150
70,2000-04-12,17.708332,18.5,17.708332,18.125,95850
71,2000-04-13,18.125,18.166668,17.958332,18.041668,73950
72,2000-04-14,17.875,17.916668,17.375,17.458332,56850
73,2000-04-17,17.375,17.416668,16.833332,17.0,107400
74,2000-04-18,17.083332,17.291668,17.041668,17.291668,79800
75,2000-04-19,17.208332,17.333332,17.041668,17.041668,60000
76,2000-04-20,16.958332,16.958332,16.583332,16.625,101700
77,2000-04-24,16.708332,17.166668,16.625,16.916668,62700
78,2000-04-25,17.0,17.416668,17.0,17.375,81600
79,2000-04-26,17.541668,17.916668,17.5,17.708332,69750
80,2000-04-27,17.583332,17.583332,16.916668,16.958332,42750
81,2000-04-28,16.958332,17.083332,16.791668,16.958332,72150
82,2000-05-01,16.875,17.5,16.875,17.5,96750
83,2000-05-02,17.333332,17.375,16.958332,17.25,95550
84,2000-05-03,17.208332,17.208332,16.583332,16.625,60000
85,2000-05-04,16.708332,17.708332,16.666668,17.291668,191550
86,2000-05-05,17.208332,17.625,17.208332,17.25,73800
87,2000-05-08,16.958332,17.375,16.958332,17.375,48900
88,2000-05-09,17.541668,17.916668,17.541668,17.875,161100
89,2000-05-10,17.75,18.083332,17.541668,17.75,71700
90,2000-05-11,17.75,18.25,17.729168,18.208332,69450
91,2000-05-12,18.125,18.375,17.583332,17.75,53250
92,2000-05-15,17.833332,18.083332,17.833332,18.041668,103050
93,2000-05-16,18.125,18.291668,18.041668,18.166668,58200
94,2000-05-17,18.083332,18.083332,17.375,17.833332,54150
