,Date,Open,High,Low,Close,Volume
0,2000-01-03,9.65625,9.65625,9.0,9.0,134000
1,2000-01-04,8.875,9.28125,8.875,9.0,68200
2,2000-01-05,9.0,9.25,9.0,9.15625,70000
3,2000-01-06,9.09375,9.5,9.03125,9.46875,78600
4,2000-01-07,9.4375,9.46875,9.25,9.3125,71800
5,2000-01-10,9.34375,9.34375,9.1875,9.28125,67000
6,2000-01-11,9.3125,9.34375,9.25,9.25,68200
7,2000-01-12,9.25,9.3125,9.21875,9.3125,93000
8,2000-01-13,9.3125,9.5,9.25,9.4375,94400
9,2000-01-14,9.5,9.5,9.25,9.25,118000
10,2000-01-18,9.1875,9.1875,8.9375,9.0625,74000
11,2000-01-19,9.0625,9.21875,9.0,9.09375,106000
12,2000-01-20,9.125,9.3125,8.875,8.96875,77400
13,2000-01-21,9.03125,9.1875,8.875,9.09375,111200
14,2000-01-24,9.28125,9.28125,8.9375,8.9375,120400
15,2000-01-25,8.96875,8.96875,8.5625,8.5625,67200
16,2000-01-26,8.59375,8.875,8.5625,8.875,91200
17,2000-01-27,8.9375,9.09375,8.9375,9.03125,83000
18,2000-01-28,9.03125,9.15625,8.75,8.8125,90800
19,2000-01-31,8.84375,9.1875,8.84375,9.03125,114600
20,2000-02-01,9.0,9.0,8.65625,8.78125,59000
21,2000-02-02,8.71875,8.9375,8.65625,8.8125,122200
22,2000-02-03,8.8125,8.875,8.6875,8.8125,61600
23,2000-02-04,8.78125,8.78125,8.5625,8.6875,101400
24,2000-02-07,8.5625,8.6875,8.5,8.6875,62200
25,2000-02-08,8.78125,8.84375,8.5,8.5625,70800
26,2000-02-09,8.625,8.8125,8.3125,8.4375,98800
27,2000-02-10,8.40625,8.5,8.21875,8.4375,522200
28,2000-02-11,8.4375,8.53125,7.96875,8.0,135000
29,2000-02-14,7.96875,8.25,7.90625,8.21875,56200
30,2000-02-15,8.3125,8.4375,8.15625,8.4375,76200
31,2000-02-16,8.4375,8.53125,8.125,8.125,86000
32,2000-02-17,8.21875,8.46875,8.1875,8.25,82400
33,2000-02-18,8.28125,8.28125,7.9375,7.96875,60400
34,2000-02-22,7.96875,8.0,7.8125,7.96875,123800
35,2000-02-23,8.03125,8.09375,7.6875,7.875,95600
36,2000-02-24,7.875,7.9375,7.65625,7.6875,41400
37,2000-02-25,7.71875,7.75,7.625,7.65625,63600
38,2000-02-28,7.625,7.78125,7.5,7.65625,110800
39,2000-02-29,7.65625,8.09375,7.53125,7.53125,194800
40,2000-03-01,7.5,7.53125,7.28125,7.28125,123200
41,2000-03-02,7.28125,7.5,7.28125,7.46875,156600
42,2000-03-03,7.4375,7.5625,7.4375,7.5,65000
43,2000-03-06,7.5,8.0,7.5,7.78125,179000
44,2000-03-07,7.84375,7.953125,7.5,7.5,222600
45,2000-03-08,7.875,7.96875,7.875,7.875,152400
46,2000-03-09,7.78125,7.90625,7.6875,7.71875,161200
47,2000-03-10,7.6875,8.078125,7.59375,8.0,167600
48,2000-03-13,7.8125,8.0,7.65625,7.84375,85600
49,2000-03-14,7.90625,7.9375,7.84375,7.90625,139200
50,2000-03-15,7.90625,8.65625,7.84375,8.625,141200
51,2000-03-16,8.65625,9.28125,8.65625,9.28125,368600
52,2000-03-17,9.125,9.5,9.125,9.46875,267800
53,2000-03-20,9.46875,9.8125,9.46875,9.8125,275800
54,2000-03-21,9.75,9.875,9.59375,9.875,353400
55,2000-03-22,9.875,10.0,9.40625,9.40625,338000
56,2000-03-23,9.3125,9.40625,9.0,9.34375,399200
57,2000-03-24,9.25,9.5,9.0,9.4375,61600
58,2000-03-27,9.375,9.5,9.09375,9.4375,67800
59,2000-03-28,9.375,9.40625,8.8125,9.15625,63800
60,2000-03-29,9.09375,9.09375,8.90625,8.96875,134400
61,2000-03-30,9.03125,9.5625,9.03125,9.5625,83800
62,2000-03-31,9.65625,10.5625,9.5,10.375,418200
63,2000-04-03,10.1875,10.1875,10.0,10.0,172000
64,2000-04-04,10.0,10.1875,9.75,10.125,154400
65,2000-04-05,10.15625,10.15625,9.65625,9.78125,86200
66,2000-04-06,9.84375,10.0,9.8125,9.9375,99400
67,2000-04-07,9.9375,10.21875,9.9375,10.15625,40200
68,2000-04-10,10.09375,10.1875,9.90625,9.90625,71400
69,2000-04-11,9.90625,10.1875,9.84375,10.0,375200
70,2000-04-12,10.0625,10.125,9.96875,9.96875,295600
71,2000-04-13,9.96875,10.0,9.65625,9.96875,219400
72,2000-04-14,10.0,10.125,9.90625,9.9375,218800
73,2000-04-17,9.90625,9.90625,9.65625,9.75,81200
74,2000-04-18,9.75,9.75,9.375,9.46875,173800
75,2000-04-19,9.53125,9.78125,9.53125,9.75,159000
76,2000-04-20,9.71875,10.0,9.6875,9.96875,502200
77,2000-04-24,9.875,10.3125,9.875,10.28125,157200
78,2000-04-25,10.46875,11.0,10.34375,10.5625,344200
