,Date,Open,High,Low,Close,Volume
0,2000-01-03,1.03125,1.03125,1.03125,1.03125,0
1,2000-01-04,1.03125,1.078125,1.03125,1.078125,4133
2,2000-01-05,1.078125,1.078125,1.078125,1.078125,4267
3,2000-01-06,1.078125,1.125,1.078125,1.125,7333
4,2000-01-07,1.171875,1.359375,1.125,1.359375,8933
5,2000-01-10,1.359375,1.359375,1.265625,1.359375,7867
6,2000-01-11,1.359375,1.359375,1.21875,1.21875,13067
7,2000-01-12,1.40625,1.40625,1.359375,1.40625,3600
8,2000-01-13,1.40625,1.40625,1.3125,1.40625,4533
9,2000-01-14,1.3125,1.40625,1.21875,1.40625,4933
10,2000-01-18,1.40625,1.40625,1.40625,1.40625,667
11,2000-01-19,1.453125,1.453125,1.3125,1.3125,10667
12,2000-01-20,1.359375,1.359375,1.21875,1.359375,2667
13,2000-01-21,1.359375,1.453125,1.359375,1.40625,9467
14,2000-01-24,1.3125,2.0625,0.984375,2.015625,131600
15,2000-01-25,2.015625,2.015625,1.921875,2.015625,24800
16,2000-01-26,2.0625,2.203125,1.875,2.109375,55333
17,2000-01-27,2.109375,2.109375,1.875,1.921875,12667
18,2000-01-28,1.96875,2.109375,1.59375,1.59375,112533
19,2000-01-31,1.6875,1.734375,1.6875,1.6875,10400
20,2000-02-01,1.734375,1.734375,1.734375,1.734375,2133
21,2000-02-02,1.78125,1.78125,1.78125,1.78125,2000
22,2000-02-03,1.6875,1.78125,1.6875,1.78125,7067
23,2000-02-04,1.875,1.96875,1.875,1.96875,14533
24,2000-02-07,2.015625,2.015625,1.875,1.96875,26533
25,2000-02-08,2.015625,2.109375,2.015625,2.0625,22800
26,2000-02-09,1.96875,1.96875,1.875,1.921875,32400
27,2000-02-10,1.78125,1.96875,1.78125,1.96875,6000
28,2000-02-11,1.96875,1.96875,1.96875,1.96875,4000
29,2000-02-14,1.96875,2.0625,1.96875,1.96875,1600
30,2000-02-15,2.0625,2.0625,2.0625,2.0625,6000
31,2000-02-16,1.921875,1.921875,1.921875,1.921875,267
32,2000-02-17,2.015625,2.015625,1.921875,2.015625,7733
33,2000-02-18,2.0625,2.109375,1.921875,2.109375,11333
34,2000-02-22,2.109375,2.203125,1.96875,2.15625,58667
35,2000-02-23,2.109375,2.109375,2.0625,2.0625,7600
36,2000-02-24,2.15625,2.15625,1.96875,2.0625,9733
37,2000-02-25,1.6875,2.203125,1.6875,2.15625,22400
38,2000-02-28,2.15625,2.15625,2.0625,2.0625,9600
39,2000-02-29,2.0625,2.0625,2.0625,2.0625,0
40,2000-03-01,1.96875,2.109375,1.875,2.109375,26000
41,2000-03-02,2.109375,2.25,2.0625,2.0625,27600
42,2000-03-03,2.203125,2.296875,2.15625,2.296875,28000
43,2000-03-06,2.296875,2.296875,2.109375,2.109375,1467
44,2000-03-07,2.296875,2.296875,2.109375,2.296875,2533
45,2000-03-08,2.203125,2.203125,2.109375,2.203125,4667
46,2000-03-09,2.109375,2.296875,1.96875,2.0625,14667
47,2000-03-10,2.15625,2.25,2.15625,2.25,1733
48,2000-03-13,2.25,2.34375,2.15625,2.296875,32533
49,2000-03-14,1.96875,2.296875,1.96875,1.96875,6667
50,2000-03-15,1.96875,2.296875,1.96875,2.0625,3733
51,2000-03-16,2.0625,2.25,2.0625,2.109375,7467
52,2000-03-17,2.0625,2.109375,2.0625,2.0625,14000
53,2000-03-20,2.25,2.273438,2.226563,2.226563,19467
54,2000-03-21,2.320313,2.320313,2.226563,2.25,6800
55,2000-03-22,2.320313,2.320313,2.0625,2.0625,16133
56,2000-03-23,2.0625,2.203125,1.96875,1.96875,56533
57,2000-03-24,1.96875,2.34375,1.96875,1.96875,23333
58,2000-03-27,2.25,2.25,2.25,2.25,24267
59,2000-03-28,2.15625,2.34375,2.0625,2.34375,34267
60,2000-03-29,2.296875,2.296875,1.96875,2.179688,27333
61,2000-03-30,2.203125,2.34375,2.15625,2.203125,21467
62,2000-03-31,2.15625,2.296875,2.0625,2.0625,9333
