,Date,Open,High,Low,Close,Volume
0,2000-01-03,4.075,4.478125,3.952344,4.46875,322352000
1,2000-01-04,4.26875,4.575,4.0875,4.096875,349748000
2,2000-01-05,3.525,3.75625,3.4,3.4875,769148000
3,2000-01-06,3.565625,3.634375,3.2,3.278125,375040000
4,2000-01-07,3.35,3.525,3.309375,3.478125,210108000
5,2000-01-10,3.628125,3.63125,3.278125,3.459375,295158000
6,2000-01-11,3.34375,3.5,3.25,3.3375,210654000
7,2000-01-12,3.39375,3.4,3.15,3.178125,216090000
8,2000-01-13,3.246875,3.359375,3.15625,3.296875,208962000
9,2000-01-14,3.3375,3.43125,3.2,3.2125,137072000
10,2000-01-18,3.171875,3.259375,3.15,3.20625,107698000
11,2000-01-19,3.20625,3.375,3.15,3.340625,164910000
12,2000-01-20,3.346875,3.35,3.196875,3.2375,119560000
13,2000-01-21,3.23125,3.23125,3.0,3.103125,229238000
14,2000-01-24,3.378125,3.66875,3.375,3.50625,583404000
15,2000-01-25,3.5,3.5625,3.3,3.4625,188682000
16,2000-01-26,3.43125,3.5,3.2375,3.240625,131160000
17,2000-01-27,3.259375,3.3875,3.23125,3.346875,135680000
18,2000-01-28,3.25,3.321875,3.0,3.084375,275558000
19,2000-01-31,3.01875,3.2375,2.921875,3.228125,213958000
20,2000-02-01,3.375,3.53125,3.21875,3.371875,268092000
21,2000-02-02,3.396875,3.6125,3.3875,3.471875,280518000
22,2000-02-03,4.05625,4.296875,3.86875,4.209375,875000000
23,2000-02-04,4.1375,4.1375,3.89375,3.928125,220460000
24,2000-02-07,3.809375,3.84375,3.65625,3.75,202580000
25,2000-02-08,3.7,4.2,3.671875,4.15625,389456000
26,2000-02-09,4.027344,4.186719,4.000781,4.0125,191608000
27,2000-02-10,3.925,3.99375,3.775,3.809375,199592000
28,2000-02-11,3.85625,3.95625,3.775,3.809375,166180000
29,2000-02-14,3.784375,3.7875,3.678125,3.721875,103394000
30,2000-02-15,3.671875,3.809375,3.53125,3.690625,128490000
31,2000-02-16,3.6375,3.671875,3.53125,3.534375,85204000
32,2000-02-17,3.5625,3.565625,3.4,3.45,122592000
33,2000-02-18,3.421875,3.45,3.19375,3.2375,174528000
34,2000-02-22,3.246875,3.325,3.153125,3.178125,113716000
35,2000-02-23,3.24375,3.5875,3.234375,3.521875,168824000
36,2000-02-24,3.528125,3.56875,3.28125,3.421875,117386000
37,2000-02-25,3.371875,3.46875,3.259375,3.45625,97410000
38,2000-02-28,3.328125,3.359375,3.20625,3.2875,101154000
39,2000-02-29,3.3,3.448438,3.29375,3.44375,142970000
40,2000-03-01,3.38125,3.425,3.25,3.29375,111534000
41,2000-03-02,3.246875,3.25,3.109375,3.128125,159602000
42,2000-03-03,3.1625,3.2375,3.103125,3.125,121190000
43,2000-03-06,3.14375,3.3625,3.140625,3.196875,153316000
44,2000-03-07,3.24375,3.290625,3.10625,3.175,83576000
45,2000-03-08,3.1625,3.2375,3.028125,3.18125,118814000
46,2000-03-09,3.15,3.45,3.109375,3.440625,166250000
47,2000-03-10,3.3625,3.426563,3.25,3.34375,74270000
48,2000-03-13,3.2,3.33125,3.15,3.265625,112686000
49,2000-03-14,3.303125,3.346875,3.16875,3.28125,96106000
50,2000-03-15,3.2375,3.25625,3.1,3.1875,121654000
51,2000-03-16,3.1125,3.31875,3.0,3.3125,194062000
52,2000-03-17,3.303125,3.31875,3.225,3.240625,105970000
53,2000-03-20,3.175,3.225,3.11875,3.209375,116270000
54,2000-03-21,3.25625,3.65,3.1125,3.61875,341658000
55,2000-03-22,3.54375,3.7,3.4625,3.534375,231328000
