,Date,Open,High,Low,Close,Volume
0,2000-01-03,2.71875,2.78125,2.71875,2.765625,52400
1,2000-01-04,2.8125,2.8125,2.65625,2.6875,1358800
2,2000-01-05,2.679688,2.703125,2.65625,2.703125,336400
3,2000-01-06,2.6875,2.703125,2.53125,2.703125,238800
4,2000-01-07,2.59375,2.703125,2.59375,2.703125,44800
5,2000-01-10,2.695313,2.71875,2.640625,2.71875,166000
6,2000-01-11,2.679688,2.71875,2.59375,2.65625,734000
7,2000-01-12,2.632813,2.640625,2.53125,2.59375,138400
8,2000-01-13,2.570313,2.570313,2.4375,2.5,113600
9,2000-01-14,2.4375,2.546875,2.40625,2.484375,323600
10,2000-01-18,2.484375,2.5,2.484375,2.484375,298000
11,2000-01-19,2.5,2.5,2.4375,2.46875,276000
12,2000-01-20,2.5,2.578125,2.4375,2.578125,393200
13,2000-01-21,2.578125,2.640625,2.5,2.640625,221600
14,2000-01-24,2.59375,2.796875,2.59375,2.71875,69200
15,2000-01-25,2.78125,2.921875,2.71875,2.796875,137200
16,2000-01-26,2.796875,2.796875,2.71875,2.75,30800
17,2000-01-27,2.734375,2.734375,2.6875,2.6875,28800
18,2000-01-28,2.625,2.6875,2.5625,2.5625,84000
19,2000-01-31,2.59375,2.6875,2.5625,2.5625,133600
20,2000-02-01,2.59375,2.6875,2.5625,2.65625,84400
21,2000-02-02,2.546875,2.6875,2.515625,2.6875,37200
22,2000-02-03,2.546875,2.578125,2.546875,2.578125,14800
23,2000-02-04,2.5,2.59375,2.5,2.59375,60000
24,2000-02-07,2.554688,2.6875,2.515625,2.5625,121600
25,2000-02-08,2.578125,2.859375,2.5625,2.78125,186800
26,2000-02-09,2.9375,3.25,2.90625,3.140625,976000
27,2000-02-10,3.28125,3.5,3.28125,3.375,828000
28,2000-02-11,3.390625,3.4375,2.96875,3.140625,408800
29,2000-02-14,3.125,3.25,3.09375,3.140625,848800
30,2000-02-15,3.171875,3.1875,3.03125,3.078125,548400
31,2000-02-16,3.070313,3.109375,3.0,3.109375,989600
32,2000-02-17,3.125,3.5625,3.09375,3.328125,1075600
33,2000-02-18,3.46875,3.5625,3.265625,3.28125,596400
34,2000-02-22,3.3125,3.3125,3.1875,3.21875,471600
35,2000-02-23,3.25,3.53125,3.15625,3.375,550800
36,2000-02-24,3.34375,3.34375,2.953125,3.0,1591200
37,2000-02-25,3.039063,3.078125,2.96875,3.0,355200
38,2000-02-28,3.0625,3.1875,2.96875,3.09375,1062800
39,2000-02-29,3.1875,3.21875,3.09375,3.21875,1582400
40,2000-03-01,3.21875,3.3125,3.1875,3.28125,634800
41,2000-03-02,3.375,3.4375,3.1875,3.21875,1180400
42,2000-03-03,3.34375,3.4375,3.25,3.375,3088400
43,2000-03-06,3.4375,3.59375,3.40625,3.4375,5235200
44,2000-03-07,3.714844,3.75,3.5625,3.578125,5404800
