,Date,Open,High,Low,Close,Volume
0,2000-01-03,3.635417,3.645833,3.572917,3.614583,113400
1,2000-01-04,3.604167,3.666667,3.5625,3.5625,164400
2,2000-01-05,3.583333,3.583333,3.489583,3.552083,188400
3,2000-01-06,3.541667,3.552083,3.5,3.5,161400
4,2000-01-07,3.520833,3.645833,3.520833,3.645833,106200
5,2000-01-10,3.6875,3.6875,3.625,3.6875,128400
6,2000-01-11,3.677083,3.6875,3.645833,3.645833,127200
7,2000-01-12,3.625,3.625,3.520833,3.520833,123000
8,2000-01-13,3.520833,3.59375,3.5,3.572917,106200
9,2000-01-14,3.59375,3.645833,3.583333,3.645833,55200
10,2000-01-18,3.625,3.625,3.583333,3.59375,30000
11,2000-01-19,3.666667,3.666667,3.604167,3.65625,97200
12,2000-01-20,3.677083,3.677083,3.5625,3.59375,145800
13,2000-01-21,3.583333,3.71875,3.541667,3.71875,573000
14,2000-01-24,3.739583,3.854167,3.729167,3.75,180000
15,2000-01-25,3.708333,3.708333,3.552083,3.5625,251400
16,2000-01-26,3.5625,3.5625,3.489583,3.489583,141000
17,2000-01-27,3.46875,3.46875,3.375,3.385417,223800
18,2000-01-28,3.385417,3.427083,3.3125,3.3125,192600
19,2000-01-31,3.3125,3.375,3.28125,3.291667,268200
20,2000-02-01,3.28125,3.28125,3.229167,3.239583,168000
21,2000-02-02,3.260417,3.28125,3.239583,3.270833,171600
22,2000-02-03,3.291667,3.291667,3.145833,3.15625,197400
23,2000-02-04,3.135417,3.1875,3.072917,3.145833,340800
24,2000-02-07,3.21875,3.21875,3.125,3.1875,402600
25,2000-02-08,3.1875,3.197917,3.0,3.010417,515400
26,2000-02-09,3.0,3.0,2.90625,2.958333,222600
27,2000-02-10,2.989583,2.989583,2.885417,2.927083,207600
28,2000-02-11,2.90625,2.96875,2.90625,2.927083,189600
29,2000-02-14,2.916667,2.916667,2.864583,2.885417,73800
30,2000-02-15,2.875,2.875,2.78125,2.864583,312000
31,2000-02-16,2.864583,2.864583,2.8125,2.864583,175200
32,2000-02-17,2.895833,2.989583,2.895833,2.895833,272400
33,2000-02-18,2.90625,2.90625,2.833333,2.854167,106200
34,2000-02-22,2.895833,2.927083,2.864583,2.916667,183600
35,2000-02-23,2.916667,2.958333,2.90625,2.9375,432000
36,2000-02-24,2.9375,2.958333,2.895833,2.947917,351600
37,2000-02-25,2.979167,3.0,2.927083,2.9375,226800
38,2000-02-28,2.958333,2.958333,2.885417,2.927083,101400
39,2000-02-29,2.916667,2.979167,2.875,2.875,147600
40,2000-03-01,2.875,2.885417,2.78125,2.78125,300000
41,2000-03-02,2.78125,2.791667,2.645833,2.729167,640200
42,2000-03-03,2.75,2.75,2.697917,2.729167,262200
43,2000-03-06,2.708333,2.71875,2.697917,2.708333,131400
44,2000-03-07,2.708333,2.708333,2.666667,2.677083,96000
45,2000-03-08,2.71875,2.729167,2.583333,2.729167,381600
46,2000-03-09,2.71875,2.71875,2.625,2.666667,229200
47,2000-03-10,2.645833,2.666667,2.625,2.65625,169200
48,2000-03-13,2.6875,2.6875,2.645833,2.645833,185400
49,2000-03-14,2.666667,2.6875,2.5,2.5,486000
50,2000-03-15,2.604167,2.614583,2.489583,2.541667,537000
51,2000-03-16,2.6875,2.75,2.6875,2.729167,508800
52,2000-03-17,2.708333,2.75,2.697917,2.71875,423600
53,2000-03-20,2.75,2.833333,2.75,2.802083,107400
54,2000-03-21,2.8125,2.854167,2.78125,2.854167,148800
55,2000-03-22,2.875,2.958333,2.864583,2.875,357600
56,2000-03-23,2.885417,2.895833,2.8125,2.885417,169200
57,2000-03-24,2.875,2.875,2.8125,2.854167,315600
58,2000-03-27,2.833333,2.864583,2.833333,2.864583,118200
59,2000-03-28,2.895833,2.927083,2.875,2.875,146400
60,2000-03-29,2.875,2.895833,2.854167,2.885417,212400
61,2000-03-30,2.875,3.0,2.875,2.958333,170400
62,2000-03-31,2.989583,3.020833,2.989583,3.0,226200
63,2000-04-03,3.03125,3.09375,3.020833,3.0625,157800
64,2000-04-04,3.0625,3.104167,3.010417,3.020833,307200
65,2000-04-05,3.03125,3.03125,2.96875,3.0,143400
66,2000-04-06,3.0,3.114583,2.989583,3.010417,186000
67,2000-04-07,3.020833,3.104167,3.020833,3.104167,74400
68,2000-04-10,3.09375,3.114583,3.072917,3.083333,120600
69,2000-04-11,3.072917,3.09375,3.041667,3.083333,76800
70,2000-04-12,3.0625,3.15625,3.0625,3.083333,159600
71,2000-04-13,3.072917,3.1875,3.0625,3.1875,291000
72,2000-04-14,3.208333,3.479167,3.197917,3.4375,531600
73,2000-04-17,3.416667,3.458333,3.354167,3.416667,295800
74,2000-04-18,3.385417,3.385417,3.177083,3.177083,439200
75,2000-04-19,3.145833,3.177083,3.041667,3.072917,289800
76,2000-04-20,3.072917,3.208333,3.041667,3.208333,208200
77,2000-04-24,3.239583,3.25,3.041667,3.041667,205200
78,2000-04-25,3.083333,3.197917,3.072917,3.1875,121200
79,2000-04-26,3.15625,3.34375,3.15625,3.34375,190200
80,2000-04-27,3.333333,3.375,3.3125,3.333333,130800
81,2000-04-28,3.333333,3.427083,3.333333,3.427083,76200
82,2000-05-01,3.427083,3.583333,3.427083,3.572917,182400
