,Date,Open,High,Low,Close,Volume
0,2000-01-03,2.107422,2.117188,2.082031,2.101563,4201600
1,2000-01-04,2.089844,2.091797,2.023438,2.029297,3363200
2,2000-01-05,2.021484,2.021484,1.939453,1.984375,3644800
3,2000-01-06,1.976563,1.976563,1.923828,1.929688,1561600
4,2000-01-07,1.9375,1.949219,1.894531,1.949219,3622400
5,2000-01-10,1.953125,2.046875,1.953125,2.041016,1526400
6,2000-01-11,2.046875,2.097656,2.041016,2.089844,2483200
7,2000-01-12,2.117188,2.4375,2.117188,2.378906,26086400
8,2000-01-13,2.386719,2.431641,2.3125,2.347656,5529600
9,2000-01-14,2.34375,2.4375,2.34375,2.396484,2304000
10,2000-01-18,2.462891,2.53125,2.449219,2.460938,5123200
11,2000-01-19,2.453125,2.5,2.394531,2.4375,3836800
12,2000-01-20,2.476563,2.527344,2.421875,2.423828,3126400
13,2000-01-21,2.423828,2.4375,2.328125,2.330078,2361600
14,2000-01-24,2.337891,2.414063,2.28125,2.3125,3001600
15,2000-01-25,2.3125,2.3125,2.222656,2.248047,1625600
16,2000-01-26,2.248047,2.298828,2.1875,2.28125,2688000
17,2000-01-27,2.289063,2.326172,2.240234,2.248047,2201600
18,2000-01-28,2.248047,2.267578,2.136719,2.142578,1104000
19,2000-01-31,2.142578,2.171875,2.087891,2.121094,2688000
20,2000-02-01,2.121094,2.130859,2.089844,2.107422,1625600
21,2000-02-02,2.107422,2.203125,2.107422,2.152344,1420800
22,2000-02-03,2.171875,2.177734,2.154297,2.162109,1449600
23,2000-02-04,2.171875,2.193359,2.167969,2.193359,924800
24,2000-02-07,2.171875,2.189453,2.148438,2.158203,812800
25,2000-02-08,2.179688,2.234375,2.179688,2.179688,2064000
26,2000-02-09,2.181641,2.181641,2.109375,2.115234,1164800
27,2000-02-10,2.121094,2.125,2.072266,2.083984,931200
28,2000-02-11,2.085938,2.105469,2.046875,2.070313,1376000
29,2000-02-14,2.070313,2.5625,2.060547,2.560547,24224000
30,2000-02-15,2.554688,2.554688,2.300781,2.347656,8166400
31,2000-02-16,2.349609,2.449219,2.349609,2.4375,4921600
32,2000-02-17,2.410156,2.417969,2.347656,2.369141,2028800
33,2000-02-18,2.373047,2.375,2.246094,2.271484,2131200
34,2000-02-22,2.240234,2.25,2.162109,2.228516,3017600
35,2000-02-23,2.244141,2.273438,2.140625,2.265625,2908800
36,2000-02-24,2.273438,2.335938,2.269531,2.310547,2489600
37,2000-02-25,2.3125,2.394531,2.294922,2.310547,3660800
38,2000-02-28,2.320313,2.34375,2.283203,2.34375,3929600
39,2000-02-29,2.34375,2.539063,2.34375,2.498047,4016000
40,2000-03-01,2.5,2.671875,2.486328,2.671875,4195200
41,2000-03-02,2.664063,2.664063,2.542969,2.570313,3702400
42,2000-03-03,2.59375,2.640625,2.5625,2.564453,1468800
43,2000-03-06,2.566406,2.621094,2.550781,2.578125,3625600
44,2000-03-07,2.578125,2.597656,2.4375,2.455078,1539200
45,2000-03-08,2.421875,2.439453,2.292969,2.378906,2928000
46,2000-03-09,2.371094,2.414063,2.351563,2.402344,1244800
47,2000-03-10,2.648438,2.75,2.613281,2.691406,12816000
48,2000-03-13,2.617188,2.664063,2.574219,2.601563,3014400
49,2000-03-14,2.621094,2.671875,2.509766,2.523438,2569600
50,2000-03-15,2.6875,2.810547,2.601563,2.691406,12323200
51,2000-03-16,2.707031,2.773438,2.662109,2.761719,3283200
52,2000-03-17,2.742188,2.96875,2.71875,2.966797,6848000
53,2000-03-20,2.966797,2.984375,2.898438,2.908203,4560000
54,2000-03-21,2.900391,2.9375,2.853516,2.898438,3971200
55,2000-03-22,2.90625,2.953125,2.90625,2.931641,1465600
56,2000-03-23,2.9375,3.074219,2.9375,3.066406,2624000
57,2000-03-24,3.058594,3.242188,3.015625,3.015625,6700800
58,2000-03-27,2.984375,3.257813,2.972656,3.228516,4716800
59,2000-03-28,3.222656,3.222656,3.097656,3.121094,2576000
60,2000-03-29,3.148438,3.205078,3.007813,3.011719,3193600
61,2000-03-30,3.007813,3.048828,2.980469,3.011719,4361600
62,2000-03-31,3.039063,3.208984,3.025391,3.195313,4569600
63,2000-04-03,3.179688,3.179688,3.134766,3.146484,4224000
64,2000-04-04,3.128906,3.1875,2.828125,3.15625,6582400
65,2000-04-05,3.148438,3.25,3.113281,3.25,3174400
66,2000-04-06,3.3125,3.46875,3.277344,3.453125,5251200
67,2000-04-07,3.507813,3.757813,3.457031,3.707031,6723200
68,2000-04-10,3.75,3.75,3.605469,3.667969,5603200
69,2000-04-11,3.59375,3.667969,3.460938,3.664063,3990400
70,2000-04-12,3.666016,3.734375,3.546875,3.601563,7296000
71,2000-04-13,3.554688,3.585938,3.363281,3.542969,7564800
72,2000-04-14,3.46875,3.46875,2.875,2.894531,5744000
73,2000-04-17,2.921875,3.125,2.90625,3.03125,8134400
74,2000-04-18,3.09375,3.5625,3.09375,3.507813,7123200
75,2000-04-19,3.65625,3.671875,3.515625,3.603516,3523200
76,2000-04-20,3.599609,3.626953,3.470703,3.53125,2512000
