,Date,Open,High,Low,Close,Volume
0,2000-01-03,31.8125,31.8125,31.25,31.25,48500
1,2000-01-04,31.125,31.125,30.5,30.5625,25200
2,2000-01-05,30.5,30.5625,30.0,30.0,12900
3,2000-01-06,29.875,29.875,29.375,29.4375,20300
4,2000-01-07,29.375,30.0,29.375,30.0,18700
5,2000-01-10,30.125,30.5,30.0,30.375,19600
6,2000-01-11,30.4375,30.4375,30.25,30.4375,18500
7,2000-01-12,30.375,30.375,29.8125,30.0,43900
8,2000-01-13,30.0,30.125,29.5,30.125,10500
9,2000-01-14,30.25,30.375,30.125,30.3125,4500
10,2000-01-18,30.3125,30.375,30.0,30.375,101800
11,2000-01-19,30.625,30.625,30.1875,30.25,26800
12,2000-01-20,30.125,30.375,30.125,30.25,14300
13,2000-01-21,30.125,30.1875,30.0625,30.125,7600
14,2000-01-24,30.1875,30.25,30.0,30.0,18600
15,2000-01-25,30.0,30.0,29.875,29.9375,11600
16,2000-01-26,29.875,30.25,29.625,29.6875,33700
17,2000-01-27,29.75,30.1875,29.5625,30.0625,22400
18,2000-01-28,30.125,30.1875,29.5,29.5625,7900
19,2000-01-31,29.625,29.6875,29.5,29.5,14300
20,2000-02-01,29.5625,29.75,29.5625,29.75,6600
21,2000-02-02,29.8125,29.9375,29.75,29.8125,8100
22,2000-02-03,29.875,29.875,29.5,29.5,33100
23,2000-02-04,29.6875,29.6875,29.5,29.5625,3600
24,2000-02-07,29.5625,29.5625,29.4375,29.4375,67000
25,2000-02-08,29.4375,29.4375,29.125,29.1875,7300
26,2000-02-09,29.0,29.125,29.0,29.125,26600
27,2000-02-10,29.1875,29.375,29.1875,29.25,6600
28,2000-02-11,29.1875,29.4375,29.0,29.125,28300
29,2000-02-14,29.25,29.625,29.1875,29.625,9300
30,2000-02-15,29.75,29.875,29.625,29.6875,34300
31,2000-02-16,29.3125,29.375,29.0,29.1875,165300
32,2000-02-17,29.1875,29.5,29.125,29.3125,38900
33,2000-02-18,29.875,30.1875,29.6875,29.8125,59500
34,2000-02-22,29.8125,29.8125,29.5,29.75,33100
35,2000-02-23,29.6875,29.875,29.4375,29.875,25400
36,2000-02-24,29.875,29.875,29.4375,29.5,26800
37,2000-02-25,29.6875,29.75,29.3125,29.375,13600
38,2000-02-28,29.375,29.875,29.375,29.75,37100
39,2000-02-29,30.25,30.625,30.1875,30.5625,113700
40,2000-03-01,30.4375,30.6875,30.0,30.625,52200
41,2000-03-02,30.375,30.375,29.875,30.0,58000
42,2000-03-03,29.875,30.3125,29.875,30.1875,56300
43,2000-03-06,30.1875,30.1875,29.875,30.0625,13300
44,2000-03-07,30.0625,30.0625,29.625,29.625,89700
45,2000-03-08,29.625,30.0625,29.625,30.0625,20800
46,2000-03-09,30.0,30.4375,30.0,30.375,15400
47,2000-03-10,30.25,30.25,29.875,30.125,26600
48,2000-03-13,30.1875,30.25,30.0625,30.1875,86500
49,2000-03-14,30.25,30.8125,30.25,30.625,37800
50,2000-03-15,30.625,31.0,30.5,30.75,26200
51,2000-03-16,30.9375,30.9375,30.6875,30.875,26300
52,2000-03-17,30.75,30.9375,30.6875,30.75,45300
53,2000-03-20,30.6875,30.875,30.625,30.8125,7000
54,2000-03-21,30.8125,30.875,30.5625,30.875,53800
55,2000-03-22,30.8125,31.125,30.8125,31.125,18400
56,2000-03-23,31.125,31.625,31.0,31.5625,16300
57,2000-03-24,31.5,31.8125,31.5,31.625,15800
58,2000-03-27,31.6875,32.0,31.6875,31.875,21500
59,2000-03-28,31.75,31.75,31.25,31.25,23900
60,2000-03-29,31.375,31.4375,30.9375,30.9375,18000
61,2000-03-30,31.0625,31.0625,30.5,30.75,46800
62,2000-03-31,30.3125,30.4375,30.0,30.0,45800
63,2000-04-03,30.25,30.25,30.0625,30.25,10000
64,2000-04-04,30.1875,30.625,30.1875,30.625,9300
65,2000-04-05,30.3125,30.375,30.0,30.3125,155200
66,2000-04-06,30.4375,30.8125,30.4375,30.8125,21700
67,2000-04-07,30.9375,31.0625,30.9375,31.0625,23600
68,2000-04-10,31.0625,31.5,31.0,31.5,54800
69,2000-04-11,31.5,31.5625,31.4375,31.5,17300
70,2000-04-12,31.375,31.875,31.3125,31.75,37500
71,2000-04-13,32.0,32.125,31.8125,32.0,55300
72,2000-04-14,32.0625,32.0625,31.75,32.0,67900
73,2000-04-17,32.125,32.125,31.875,32.0,59200
74,2000-04-18,32.0625,32.0625,31.5625,31.875,34700
75,2000-04-19,31.875,31.9375,31.8125,31.9375,12100
76,2000-04-20,31.9375,32.0,31.875,31.9375,8700
77,2000-04-24,31.9375,31.9375,31.8125,31.9375,5600
78,2000-04-25,32.0,32.0,31.75,31.875,5600
79,2000-04-26,31.9375,32.0,31.4375,31.625,18900
80,2000-04-27,31.625,32.0,31.625,31.9375,19800
81,2000-04-28,32.0,32.0,31.75,32.0,26900
82,2000-05-01,32.125,32.375,32.0,32.375,84300
83,2000-05-02,32.5,33.25,32.5,33.25,85700
84,2000-05-03,33.25,33.3125,32.6875,32.6875,41400
85,2000-05-04,32.75,32.875,32.375,32.75,22800
86,2000-05-05,32.75,33.1875,32.75,33.1875,54300
87,2000-05-08,33.25,33.25,32.9375,32.9375,11900
88,2000-05-09,32.9375,33.5,32.9375,33.5,32100
89,2000-05-10,33.5,33.5,33.0625,33.5,17400
90,2000-05-11,33.4375,34.0625,33.4375,34.0625,59400
91,2000-05-12,33.125,33.875,33.0625,33.6875,95400
92,2000-05-15,33.9375,34.5,33.875,34.5,77200
93,2000-05-16,34.5,34.5625,34.375,34.5,37000
94,2000-05-17,34.5,34.5625,34.4375,34.5625,73500
95,2000-05-18,34.8125,34.8125,34.5,34.5625,33200
96,2000-05-19,34.5,34.625,34.375,34.5625,36500
97,2000-05-22,34.5625,34.5625,34.0,34.5625,75100
98,2000-05-23,34.5625,34.5625,34.125,34.125,44700
99,2000-05-24,34.25,34.25,33.375,33.5,22100
100,2000-05-25,33.5625,33.5625,33.5,33.5,37000
101,2000-05-26,33.5,33.5625,33.1875,33.5625,44900
102,2000-05-30,33.5625,34.0,33.5,34.0,26600
103,2000-05-31,34.0,34.125,33.75,33.8125,43700
104,2000-06-01,33.8125,33.875,33.0,33.0,38900
105,2000-06-02,33.125,33.375,32.9375,33.375,19400
106,2000-06-05,33.3125,33.5625,33.3125,33.5625,12800
107,2000-06-06,33.5625,34.25,33.5625,34.25,28000
108,2000-06-07,34.1875,34.25,33.75,33.875,21500
109,2000-06-08,33.9375,34.3125,33.75,34.125,47400
110,2000-06-09,34.0,34.125,34.0,34.125,46000
111,2000-06-12,34.0,34.3125,34.0,34.25,12600
112,2000-06-13,34.1875,34.25,33.875,34.25,29800
113,2000-06-14,34.375,34.4375,34.0,34.3125,18000
114,2000-06-15,34.375,34.4375,33.6875,34.4375,17300
115,2000-06-16,34.4375,34.4375,33.625,33.9375,34700
116,2000-06-19,34.0625,34.25,34.0,34.25,27600
117,2000-06-20,34.25,34.4375,34.25,34.4375,11000
118,2000-06-21,34.5,34.75,34.5,34.5625,16600
119,2000-06-22,34.5625,34.875,34.5625,34.625,34100
120,2000-06-23,34.6875,34.6875,34.4375,34.5,13500
121,2000-06-26,34.5,34.5,33.875,34.25,62600
122,2000-06-27,34.375,34.75,34.25,34.5625,17900
123,2000-06-28,34.625,34.8125,34.625,34.8125,600
124,2000-06-29,34.6875,34.8125,34.5,34.5,87100
125,2000-06-30,34.1875,34.5,34.0,34.296875,85000
126,2000-07-03,34.3125,34.5,34.3125,34.5,5000
127,2000-07-05,34.5,34.875,34.5,34.8125,16100
