,Date,Open,High,Low,Close,Volume
0,2000-01-03,3.179688,3.390625,3.09375,3.390625,255200
1,2000-01-04,3.375,3.40625,3.3125,3.390625,374400
2,2000-01-05,3.390625,3.390625,3.1875,3.375,208400
3,2000-01-06,3.351563,3.390625,3.28125,3.28125,145600
4,2000-01-07,3.3125,3.3125,3.125,3.21875,458000
5,2000-01-10,3.21875,3.25,3.15625,3.15625,260800
6,2000-01-11,3.15625,3.21875,3.15625,3.21875,191600
7,2000-01-12,3.15625,3.21875,3.15625,3.1875,134000
8,2000-01-13,3.1875,3.25,3.171875,3.25,325600
9,2000-01-14,3.203125,3.375,3.203125,3.328125,190000
10,2000-01-18,3.34375,3.375,3.28125,3.34375,138400
11,2000-01-19,3.3125,3.5,3.3125,3.34375,283200
12,2000-01-20,3.328125,3.4375,3.328125,3.359375,86800
13,2000-01-21,3.375,3.46875,3.359375,3.40625,363600
14,2000-01-24,3.40625,3.46875,3.25,3.46875,303200
15,2000-01-25,3.484375,3.5,3.375,3.453125,204400
16,2000-01-26,3.453125,3.46875,3.40625,3.4375,142800
17,2000-01-27,3.46875,3.59375,3.4375,3.5,187200
18,2000-01-28,3.4375,3.5625,3.4375,3.5,131600
19,2000-01-31,3.5,3.5,3.4375,3.484375,188800
20,2000-02-01,3.5,3.625,3.4375,3.53125,182000
21,2000-02-02,3.59375,3.625,3.421875,3.4375,334800
22,2000-02-03,3.375,3.375,3.296875,3.3125,192800
23,2000-02-04,3.25,3.375,3.25,3.375,131600
24,2000-02-07,3.375,3.4375,3.375,3.375,93600
25,2000-02-08,3.40625,3.40625,3.3125,3.375,182800
26,2000-02-09,3.320313,3.40625,3.3125,3.40625,210400
27,2000-02-10,3.375,3.40625,3.328125,3.34375,116000
28,2000-02-11,3.375,3.4375,3.34375,3.4375,90800
29,2000-02-14,3.34375,3.34375,3.3125,3.328125,124000
30,2000-02-15,3.34375,3.46875,3.34375,3.375,94800
31,2000-02-16,3.34375,3.375,3.3125,3.3125,275600
32,2000-02-17,3.3125,3.3125,3.28125,3.296875,106000
33,2000-02-18,3.296875,3.3125,3.25,3.3125,162000
34,2000-02-22,3.25,3.28125,3.21875,3.21875,101200
35,2000-02-23,3.21875,3.25,3.125,3.1875,205200
36,2000-02-24,3.15625,3.3125,3.15625,3.3125,103200
37,2000-02-25,3.25,3.3125,3.140625,3.15625,175600
38,2000-02-28,3.15625,3.1875,3.03125,3.15625,241600
39,2000-02-29,3.125,3.1875,3.0625,3.125,181200
40,2000-03-01,3.1875,3.1875,3.0625,3.109375,96800
41,2000-03-02,3.0625,3.21875,3.0625,3.203125,117200
42,2000-03-03,3.15625,3.25,3.15625,3.25,127200
43,2000-03-06,3.1875,3.25,3.171875,3.1875,62800
44,2000-03-07,3.171875,3.203125,3.125,3.171875,147600
45,2000-03-08,3.125,3.25,3.125,3.15625,208400
46,2000-03-09,3.15625,3.15625,3.140625,3.140625,35600
47,2000-03-10,3.15625,3.1875,3.125,3.1875,52400
48,2000-03-13,3.15625,3.21875,3.140625,3.1875,68000
49,2000-03-14,3.171875,3.21875,3.171875,3.1875,169200
50,2000-03-15,3.1875,3.21875,3.15625,3.171875,152000
51,2000-03-16,3.21875,3.21875,3.15625,3.1875,94400
52,2000-03-17,3.171875,3.234375,3.171875,3.234375,147600
53,2000-03-20,3.234375,3.234375,3.171875,3.1875,214000
54,2000-03-21,3.171875,3.1875,3.15625,3.15625,90000
55,2000-03-22,3.15625,3.25,3.15625,3.25,145600
56,2000-03-23,3.21875,3.25,3.203125,3.21875,133200
57,2000-03-24,3.234375,3.25,3.234375,3.25,69600
58,2000-03-27,3.242188,3.25,3.1875,3.25,101200
59,2000-03-28,3.25,3.25,3.1875,3.1875,120800
60,2000-03-29,3.171875,3.21875,3.15625,3.15625,46000
61,2000-03-30,3.171875,3.171875,3.171875,3.171875,48800
62,2000-03-31,3.171875,3.171875,3.171875,3.171875,18000
63,2000-04-03,3.1875,3.1875,3.171875,3.171875,44000
64,2000-04-04,3.1875,3.234375,3.1875,3.234375,123200
65,2000-04-05,3.210938,3.3125,3.210938,3.28125,76000
66,2000-04-06,3.34375,3.34375,3.28125,3.3125,46800
67,2000-04-07,3.289063,3.328125,3.289063,3.328125,33600
68,2000-04-10,3.328125,3.375,3.3125,3.359375,112000
69,2000-04-11,3.34375,3.40625,3.3125,3.40625,167600
70,2000-04-12,3.3125,3.4375,3.3125,3.40625,114000
71,2000-04-13,3.4375,3.4375,3.3125,3.421875,112000
72,2000-04-14,3.40625,3.40625,3.28125,3.3125,135600
73,2000-04-17,3.3125,3.4375,3.25,3.25,204000
74,2000-04-18,3.25,3.375,3.21875,3.25,129600
75,2000-04-19,3.21875,3.28125,3.203125,3.21875,91200
76,2000-04-20,3.21875,3.40625,3.15625,3.234375,134800
77,2000-04-24,3.25,3.46875,3.25,3.375,350800
78,2000-04-25,3.46875,3.46875,3.34375,3.375,300800
79,2000-04-26,3.40625,3.5,3.375,3.4375,318400
80,2000-04-27,3.40625,3.4375,3.25,3.3125,246800
81,2000-04-28,3.34375,3.34375,3.25,3.265625,126800
82,2000-05-01,3.3125,3.375,3.25,3.375,277200
83,2000-05-02,3.3125,3.34375,3.25,3.296875,225200
84,2000-05-03,3.3125,3.34375,3.296875,3.34375,86400
