,Date,Open,High,Low,Close,Volume
0,2000-01-03,22.3125,22.5,22.125,22.1875,401800
1,2000-01-04,22.4375,23.5625,22.3125,22.875,572100
2,2000-01-05,22.875,23.75,22.75,23.625,452800
3,2000-01-06,23.5,23.6875,23.375,23.5,506100
4,2000-01-07,23.4375,23.75,23.3125,23.5,197800
5,2000-01-10,23.4375,23.75,23.1875,23.3125,334100
6,2000-01-11,23.0,23.0625,22.8125,22.8125,393900
7,2000-01-12,22.9375,22.9375,22.625,22.8125,391400
8,2000-01-13,23.0,23.125,22.6875,22.8125,373300
9,2000-01-14,22.5625,23.5,22.5625,23.4375,521100
10,2000-01-18,23.0625,23.4375,22.5,23.375,345600
11,2000-01-19,23.25,23.3125,22.75,22.75,236300
12,2000-01-20,22.75,23.0,22.5,22.5,384500
13,2000-01-21,22.875,22.875,22.0625,22.0625,358100
14,2000-01-24,22.75,22.75,21.4375,21.5,207700
15,2000-01-25,21.375,21.625,21.1875,21.625,375800
16,2000-01-26,21.5,21.625,21.3125,21.625,188900
17,2000-01-27,21.375,21.75,21.3125,21.4375,255400
18,2000-01-28,21.3125,21.5625,21.125,21.125,172900
19,2000-01-31,21.0625,21.25,20.75,20.875,302500
20,2000-02-01,20.8125,20.8125,20.1875,20.75,380100
21,2000-02-02,20.625,20.6875,19.5,19.5,594800
22,2000-02-03,19.5625,19.5625,18.5,18.875,651800
23,2000-02-04,19.0625,19.0625,18.5,18.625,395800
24,2000-02-07,18.5625,18.75,18.0,18.5625,315700
25,2000-02-08,19.0,19.1875,17.8125,18.1875,453900
26,2000-02-09,18.1875,18.75,18.0,18.3125,617600
27,2000-02-10,18.1875,18.25,17.8125,17.875,259800
28,2000-02-11,17.5,17.875,16.625,17.3125,377200
29,2000-02-14,17.0625,17.5625,17.0,17.3125,331600
30,2000-02-15,17.375,17.75,17.25,17.625,315600
31,2000-02-16,17.5,17.6875,17.3125,17.5,211900
32,2000-02-17,17.875,17.875,17.25,17.5625,258800
33,2000-02-18,17.3125,17.4375,16.875,17.375,332100
34,2000-02-22,17.25,18.1875,17.0,17.6875,297300
35,2000-02-23,17.75,18.0,16.9375,17.8125,437400
36,2000-02-24,17.625,17.625,16.125,16.8125,545600
37,2000-02-25,16.5625,17.125,16.4375,16.6875,296200
38,2000-02-28,16.6875,17.375,16.625,17.125,242000
39,2000-02-29,17.0,17.0625,16.6875,16.9375,412600
40,2000-03-01,16.6875,17.25,16.25,17.0625,314000
41,2000-03-02,17.0625,17.6875,16.9375,17.625,305300
42,2000-03-03,17.75,18.625,17.75,18.25,478100
43,2000-03-06,18.1875,18.1875,17.75,18.0,717700
44,2000-03-07,17.9375,18.0,17.625,17.6875,452000
45,2000-03-08,17.5625,17.5625,16.75,16.9375,424400
46,2000-03-09,16.9375,16.9375,16.4375,16.625,441000
47,2000-03-10,16.5625,17.6875,16.5625,17.6875,201100
48,2000-03-13,17.9375,18.125,17.0,17.0625,520800
49,2000-03-14,17.0,17.4375,16.9375,17.375,312100
50,2000-03-15,17.25,18.125,17.1875,17.9375,544400
51,2000-03-16,18.1875,18.75,18.0625,18.6875,580700
52,2000-03-17,18.3125,18.625,17.875,18.125,501600
53,2000-03-20,18.375,18.9375,18.3125,18.625,296800
54,2000-03-21,18.125,18.375,18.125,18.375,473500
55,2000-03-22,18.375,18.375,17.875,18.0,300400
