,Date,Open,High,Low,Close,Volume
0,2000-01-03,20.0,20.3125,20.0,20.0625,36600
1,2000-01-04,20.0,20.0,19.5625,19.5625,143800
2,2000-01-05,19.5625,20.5,19.5625,20.1875,251700
3,2000-01-06,20.0,20.0,19.75,19.875,24300
4,2000-01-07,19.75,20.0625,19.75,20.0625,228900
5,2000-01-10,20.0,20.0625,19.75,19.8125,57300
6,2000-01-11,19.8125,19.9375,19.75,19.8125,155600
7,2000-01-12,19.8125,19.8125,19.5,19.5,32500
8,2000-01-13,19.625,19.625,18.875,19.125,55500
9,2000-01-14,19.25,19.375,18.8125,18.8125,75900
10,2000-01-18,18.875,18.875,18.625,18.75,70400
11,2000-01-19,18.875,18.875,18.5,18.625,42500
12,2000-01-20,18.625,18.6875,18.5,18.5625,40300
13,2000-01-21,18.5,18.625,18.125,18.25,170900
14,2000-01-24,18.75,18.875,18.0,18.25,109100
15,2000-01-25,18.25,18.375,17.25,17.75,63400
16,2000-01-26,17.9375,17.9375,16.75,16.9375,72700
17,2000-01-27,17.0,17.375,16.875,17.0,34900
18,2000-01-28,17.125,17.25,16.75,16.75,50600
19,2000-01-31,16.875,17.75,16.875,17.5,72400
20,2000-02-01,17.625,18.0,17.5,17.75,36000
21,2000-02-02,17.625,17.875,17.375,17.4375,44100
22,2000-02-03,17.4375,17.875,17.375,17.8125,56200
23,2000-02-04,17.5625,17.8125,17.5,17.6875,62300
24,2000-02-07,17.6875,17.75,17.375,17.375,45900
25,2000-02-08,17.4375,17.5,17.25,17.3125,51000
26,2000-02-09,17.5625,17.5625,17.25,17.375,197700
27,2000-02-10,17.5,17.5,17.125,17.1875,40400
28,2000-02-11,17.0,17.1875,15.875,15.875,94100
29,2000-02-14,16.125,16.875,16.125,16.8125,59300
30,2000-02-15,16.8125,18.25,16.8125,17.4375,96500
31,2000-02-16,17.375,18.0625,17.25,17.75,32600
32,2000-02-17,17.75,18.125,17.625,17.875,41700
33,2000-02-18,17.6875,17.875,17.125,17.1875,61500
34,2000-02-22,17.1875,17.1875,16.25,16.5625,78600
35,2000-02-23,16.3125,16.875,16.25,16.5625,35400
36,2000-02-24,16.5,16.5,15.8125,16.0,46500
37,2000-02-25,16.125,16.125,15.6875,15.8125,4023800
38,2000-02-28,15.875,16.3125,15.875,16.25,70100
39,2000-02-29,16.0,17.125,16.0,17.125,86300
40,2000-03-01,17.25,17.25,16.4375,16.5,44700
41,2000-03-02,16.75,16.75,16.375,16.375,63300
42,2000-03-03,16.25,16.375,15.625,15.8125,55800
43,2000-03-06,15.5625,16.25,15.5,16.0,52700
44,2000-03-07,15.9375,15.9375,15.375,15.5625,106800
45,2000-03-08,15.625,15.6875,15.25,15.5625,91400
46,2000-03-09,15.8125,16.1875,15.75,16.125,81900
47,2000-03-10,15.75,15.9375,15.625,15.625,100900
48,2000-03-13,15.5625,17.125,15.5,17.125,124900
49,2000-03-14,17.375,17.5,17.1875,17.25,229300
50,2000-03-15,17.25,17.75,17.25,17.6875,52500
51,2000-03-16,17.8125,18.625,17.75,18.625,78700
52,2000-03-17,18.625,18.875,17.9375,18.375,87400
53,2000-03-20,18.3125,18.5625,18.1875,18.375,40200
54,2000-03-21,18.125,18.125,17.25,17.5625,46700
55,2000-03-22,17.5,17.875,17.0,17.4375,45700
56,2000-03-23,17.3125,18.375,17.25,18.125,36300
57,2000-03-24,18.125,18.125,17.125,17.4375,80200
58,2000-03-27,17.375,17.5,17.125,17.25,73000
59,2000-03-28,16.625,17.125,16.625,16.875,118800
60,2000-03-29,16.875,16.875,16.5,16.625,161200
61,2000-03-30,16.5,16.75,16.1875,16.25,195200
62,2000-03-31,16.375,16.6875,16.0,16.375,102200
63,2000-04-03,16.5,16.875,16.125,16.1875,50300
64,2000-04-04,16.1875,16.25,15.75,15.8125,100900
65,2000-04-05,15.9375,16.125,15.375,15.5,173400
66,2000-04-06,15.5,15.5,15.375,15.5,47700
67,2000-04-07,15.5,15.5,15.3125,15.5,65500
68,2000-04-10,15.5,15.5,15.3125,15.375,120400
69,2000-04-11,15.4375,15.5,15.375,15.375,43500
70,2000-04-12,15.375,15.5,15.375,15.4375,125100
71,2000-04-13,15.4375,15.5,15.375,15.4375,69800
72,2000-04-14,15.375,15.5,15.25,15.375,77900
73,2000-04-17,15.375,15.375,14.9375,15.0,123600
74,2000-04-18,15.0,15.0,14.75,14.9375,116800
75,2000-04-19,15.0,15.0,14.8125,14.875,100800
76,2000-04-20,14.9375,14.9375,14.75,14.8125,63100
77,2000-04-24,14.875,14.9375,14.75,14.75,197700
78,2000-04-25,14.8125,14.8125,14.5,14.75,69500
79,2000-04-26,14.875,14.9375,14.625,14.75,79900
80,2000-04-27,14.625,15.625,14.25,15.5,82900
81,2000-04-28,15.375,15.875,15.25,15.875,38700
82,2000-05-01,15.875,16.75,15.875,16.0,89500
83,2000-05-02,15.9375,16.3125,15.8125,15.9375,43400
84,2000-05-03,16.0,16.0,15.75,15.875,54400
85,2000-05-04,15.625,16.0,15.625,16.0,36500
86,2000-05-05,16.125,16.25,15.75,15.9375,69700
87,2000-05-08,16.0,16.1875,15.75,15.9375,77700
88,2000-05-09,15.9375,16.125,15.5625,15.5625,86900
89,2000-05-10,15.5625,15.625,15.1875,15.4375,67100
90,2000-05-11,15.4375,15.6875,15.375,15.6875,72700
91,2000-05-12,15.5625,15.9375,15.4375,15.9375,33100
92,2000-05-15,15.9375,16.4375,15.625,15.875,60800
93,2000-05-16,16.0,16.8125,16.0,16.5,101200
94,2000-05-17,16.6875,16.6875,16.1875,16.1875,45100
95,2000-05-18,16.25,16.625,15.875,16.0625,92200
96,2000-05-19,16.25,16.25,15.9375,16.125,43800
97,2000-05-22,16.1875,16.375,15.875,16.375,49400
98,2000-05-23,16.125,16.125,15.625,15.6875,47100
99,2000-05-24,15.6875,15.8125,15.5,15.6875,45800
100,2000-05-25,15.625,15.8125,14.9375,15.1875,80900
101,2000-05-26,15.6875,16.625,15.625,16.5625,216200
102,2000-05-30,16.75,17.3125,16.5625,17.125,190300
103,2000-05-31,17.1875,18.375,17.0625,18.3125,108000
104,2000-06-01,18.4375,19.0,18.0625,19.0,167300
105,2000-06-02,19.0,19.25,18.375,18.625,72100
106,2000-06-05,18.625,18.9375,18.625,18.6875,56300
107,2000-06-06,18.75,18.9375,18.75,18.75,32500
108,2000-06-07,18.875,19.25,18.875,19.125,86000
109,2000-06-08,19.25,19.25,19.0,19.125,18800
110,2000-06-09,19.125,19.125,19.0,19.0625,28800
111,2000-06-12,19.125,19.125,19.0625,19.125,53000
112,2000-06-13,19.1875,19.375,19.0625,19.375,63700
113,2000-06-14,19.5,19.5,19.25,19.25,24800
114,2000-06-15,19.375,19.75,19.25,19.75,36700
115,2000-06-16,20.0,20.125,19.75,20.125,61200
116,2000-06-19,20.0625,20.5625,20.0,20.5625,28500
117,2000-06-20,20.4375,20.4375,20.0,20.0,46400
118,2000-06-21,20.0,20.125,20.0,20.0,30200
119,2000-06-22,20.0,20.0625,19.5,20.0,66900
120,2000-06-23,19.875,19.875,19.5,19.75,8700
121,2000-06-26,19.625,19.6875,19.375,19.5,59100
122,2000-06-27,19.5,19.5,18.75,18.9375,91800
123,2000-06-28,19.0625,20.0,18.9375,20.0,92400
124,2000-06-29,19.875,19.9375,19.3125,19.4375,40000
125,2000-06-30,19.3125,19.5,17.5,17.515625,123700
126,2000-07-03,17.75,19.25,17.75,19.25,63100
127,2000-07-05,19.0,19.0,18.5,18.5,28700
128,2000-07-06,18.375,19.25,18.375,19.1875,30400
129,2000-07-07,19.1875,19.875,19.1875,19.8125,47500
130,2000-07-10,19.8125,20.4375,19.5,20.4375,53000
131,2000-07-11,20.375,20.4375,20.1875,20.375,20000
132,2000-07-12,20.0,20.375,20.0,20.375,29100
133,2000-07-13,20.25,20.375,19.75,20.0,24900
134,2000-07-14,20.0625,20.0625,19.625,19.75,27700
135,2000-07-17,19.8125,20.25,19.5,20.125,37900
136,2000-07-18,20.0625,20.0625,19.75,19.8125,24900
137,2000-07-19,19.9375,19.9375,19.6875,19.75,13000
138,2000-07-20,19.8125,20.3125,19.6875,20.3125,36100
139,2000-07-21,20.25,20.375,20.0,20.25,19100
140,2000-07-24,20.0,20.0625,19.6875,19.875,45900
141,2000-07-25,19.875,20.0,19.625,19.8125,63800
142,2000-07-26,19.875,19.875,19.5,19.8125,21100
143,2000-07-27,19.875,20.0,19.625,19.6875,40500
144,2000-07-28,20.0,20.0,19.625,19.6875,33500
