,Date,Open,High,Low,Close,Volume
0,2000-01-03,1.3125,1.375,1.166667,1.369792,7226400
1,2000-01-04,1.34375,1.354167,1.1875,1.328125,4262400
2,2000-01-05,1.317708,1.364583,1.3125,1.333333,3390000
3,2000-01-06,1.322917,1.333333,1.296875,1.307292,2430000
4,2000-01-07,1.322917,1.354167,1.291667,1.34375,15549600
5,2000-01-10,1.354167,1.416667,1.322917,1.411458,10951200
6,2000-01-11,1.416667,1.520833,1.40625,1.473958,10711200
7,2000-01-12,1.4375,1.4375,1.364583,1.411458,2689200
8,2000-01-13,1.40625,1.4375,1.375,1.427083,3267600
9,2000-01-14,1.40625,1.427083,1.390625,1.411458,2554800
10,2000-01-18,1.416667,1.453125,1.411458,1.416667,2461200
11,2000-01-19,1.427083,1.427083,1.390625,1.395833,3594000
12,2000-01-20,1.385417,1.416667,1.302083,1.317708,5340000
13,2000-01-21,1.315104,1.317708,1.239583,1.260417,11461200
14,2000-01-24,1.252604,1.265625,1.229167,1.25,5056800
15,2000-01-25,1.260417,1.260417,1.132813,1.208333,6114000
16,2000-01-26,1.229167,1.375,1.208333,1.322917,11746800
17,2000-01-27,1.4375,1.46875,1.354167,1.432292,9349200
18,2000-01-28,1.395833,1.416667,1.34375,1.364583,2914800
19,2000-01-31,1.380208,1.385417,1.291667,1.302083,1468800
20,2000-02-01,1.315104,1.458333,1.3125,1.40625,2316000
21,2000-02-02,1.416667,1.473958,1.375,1.447917,6187200
22,2000-02-03,1.453125,1.46875,1.432292,1.463542,6501600
23,2000-02-04,1.460938,1.463542,1.25,1.3125,25299600
24,2000-02-07,1.260417,1.276042,1.244792,1.25,10280400
25,2000-02-08,1.260417,1.270833,1.1875,1.229167,7245600
26,2000-02-09,1.229167,1.244792,1.197917,1.210938,2530800
27,2000-02-10,1.239583,1.239583,1.197917,1.203125,2600400
28,2000-02-11,1.229167,1.25,1.213542,1.239583,1788000
29,2000-02-14,1.239583,1.25,1.1875,1.197917,2164800
30,2000-02-15,1.213542,1.213542,1.166667,1.166667,2475600
31,2000-02-16,1.197917,1.223958,1.166667,1.167969,2821200
32,2000-02-17,1.197917,1.213542,1.166667,1.169271,2438400
33,2000-02-18,1.1875,1.208333,1.052083,1.125,5575200
34,2000-02-22,1.125,1.151042,1.088542,1.114583,1398000
35,2000-02-23,1.125,1.125,1.072917,1.088542,1274400
36,2000-02-24,1.104167,1.104167,1.0625,1.09375,1604400
37,2000-02-25,1.104167,1.104167,1.052083,1.0625,2985600
38,2000-02-28,1.057292,1.072917,1.041667,1.046875,2763600
39,2000-02-29,1.041667,1.072917,1.041667,1.057292,2793600
40,2000-03-01,1.072917,1.25,1.0625,1.208333,16405200
41,2000-03-02,1.231771,1.25,1.177083,1.208333,2438400
42,2000-03-03,1.208333,1.255208,1.177083,1.234375,12320400
43,2000-03-06,1.25,1.25,1.1875,1.197917,2218800
44,2000-03-07,1.208333,1.234375,1.098958,1.145833,2758800
45,2000-03-08,1.145833,1.145833,1.095052,1.098958,1924800
46,2000-03-09,1.125,1.203125,1.119792,1.203125,2037600
47,2000-03-10,1.203125,1.234375,1.1875,1.192708,5174400
48,2000-03-13,1.208333,1.208333,1.125,1.130208,1633200
49,2000-03-14,1.151042,1.171875,1.083333,1.15625,2685600
50,2000-03-15,1.166667,1.166667,1.067708,1.083333,7387200
