,Date,Open,High,Low,Close,Volume
0,2000-01-03,10.875,10.875,10.25,10.3125,91600
1,2000-01-04,10.0,10.375,9.75,10.25,135400
2,2000-01-05,10.125,10.375,10.125,10.1875,163000
3,2000-01-06,10.125,11.5,10.125,11.5,217900
4,2000-01-07,11.5,12.0,11.375,11.375,307200
5,2000-01-10,11.4375,11.5625,11.0,11.4375,186600
6,2000-01-11,11.1875,11.375,11.125,11.25,72300
7,2000-01-12,11.25,11.25,10.875,11.1875,83700
8,2000-01-13,11.125,11.75,11.125,11.5,308100
9,2000-01-14,11.375,11.6875,11.375,11.5,147300
10,2000-01-18,11.375,11.4375,11.125,11.375,88500
11,2000-01-19,11.25,11.3125,10.4375,10.625,282600
12,2000-01-20,10.6875,10.8125,10.25,10.8125,251800
13,2000-01-21,10.8125,10.8125,10.375,10.5625,121700
14,2000-01-24,10.5,10.75,10.5,10.5,67000
15,2000-01-25,10.5,10.5,10.25,10.25,69100
16,2000-01-26,10.375,12.0,10.375,12.0,410900
17,2000-01-27,12.0,12.3125,12.0,12.1875,440700
18,2000-01-28,12.125,12.25,11.5,11.5,226500
19,2000-01-31,11.5625,11.75,10.75,11.4375,154800
20,2000-02-01,11.4375,11.4375,10.875,11.125,90300
21,2000-02-02,11.0625,11.375,11.0625,11.375,71500
22,2000-02-03,11.25,11.375,11.0,11.375,138700
23,2000-02-04,11.3125,11.5,11.3125,11.4375,172300
24,2000-02-07,11.3125,11.4375,11.125,11.3125,279700
25,2000-02-08,11.375,11.4375,11.125,11.25,147800
26,2000-02-09,11.1875,11.25,10.875,11.125,75600
27,2000-02-10,11.0,11.0,10.1875,10.6875,243400
28,2000-02-11,10.6875,10.8125,10.5,10.5,134600
29,2000-02-14,10.625,11.0625,10.3125,10.9375,143800
30,2000-02-15,11.0,11.1875,10.8125,11.0625,111800
31,2000-02-16,10.875,11.125,10.875,11.0625,123900
32,2000-02-17,11.0625,11.5,11.0625,11.4375,214200
33,2000-02-18,11.75,12.0,10.8125,10.9375,519300
34,2000-02-22,11.0,11.0,10.75,10.9375,53500
35,2000-02-23,11.0625,11.0625,10.6875,10.8125,36200
36,2000-02-24,10.875,10.875,10.4375,10.5625,70400
37,2000-02-25,10.625,10.9375,10.5,10.5625,83700
38,2000-02-28,10.5,11.125,10.5,10.9375,84000
39,2000-02-29,10.875,11.5,10.875,11.4375,74100
40,2000-03-01,11.3125,11.375,10.625,10.6875,105900
41,2000-03-02,10.5625,10.8125,10.5625,10.75,31800
42,2000-03-03,11.0,11.0,10.5625,10.75,121400
43,2000-03-06,10.625,10.875,10.375,10.5625,71100
44,2000-03-07,10.5625,10.625,9.9375,10.0,76600
45,2000-03-08,10.125,10.5,10.125,10.25,141200
