,Date,Open,High,Low,Close,Volume
0,2000-01-03,30.0625,30.09375,29.53125,29.625,378000
1,2000-01-04,29.375,29.375,27.75,28.25,491000
2,2000-01-05,28.3125,28.3125,26.125,26.96875,1694400
3,2000-01-06,26.96875,27.15625,26.53125,26.65625,457600
4,2000-01-07,26.65625,27.0,26.46875,26.96875,734600
5,2000-01-10,26.96875,27.625,26.96875,27.5625,536800
6,2000-01-11,27.5625,28.15625,27.25,27.40625,722600
7,2000-01-12,27.4375,28.125,27.4375,27.875,367600
8,2000-01-13,28.0,28.09375,27.875,28.03125,466800
9,2000-01-14,28.625,29.4375,28.625,29.28125,509600
10,2000-01-18,29.28125,31.90625,28.90625,29.9375,1041000
11,2000-01-19,29.4375,29.53125,29.25,29.40625,435800
12,2000-01-20,29.4375,30.28125,29.25,29.3125,368400
13,2000-01-21,29.28125,29.59375,28.96875,29.03125,242000
14,2000-01-24,29.09375,29.9375,28.90625,28.90625,399400
15,2000-01-25,29.0,29.3125,28.65625,28.90625,679600
16,2000-01-26,29.0,30.0,28.78125,29.125,645400
17,2000-01-27,29.21875,29.75,28.375,28.625,573200
18,2000-01-28,28.4375,28.625,26.65625,26.75,533400
19,2000-01-31,27.25,27.25,26.6875,26.84375,244400
20,2000-02-01,27.0,27.03125,25.1875,26.1875,661000
21,2000-02-02,26.34375,26.875,26.125,26.5625,436400
22,2000-02-03,27.75,27.90625,27.25,27.75,501600
23,2000-02-04,27.4375,27.5,26.9375,26.9375,173400
24,2000-02-07,27.0625,27.0625,25.6875,26.3125,691600
25,2000-02-08,26.3125,26.65625,26.21875,26.21875,580200
26,2000-02-09,26.21875,26.25,25.4375,25.53125,317400
27,2000-02-10,25.125,26.21875,25.0,25.84375,577600
28,2000-02-11,25.875,25.875,25.0,25.03125,318400
29,2000-02-14,25.59375,26.71875,25.5,26.65625,688800
30,2000-02-15,26.40625,26.59375,26.09375,26.21875,391000
31,2000-02-16,25.96875,26.25,25.34375,25.4375,474000
32,2000-02-17,25.625,25.75,25.5,25.5625,415800
33,2000-02-18,25.5,25.8125,25.46875,25.71875,445000
34,2000-02-22,25.75,26.21875,25.71875,26.0625,587400
35,2000-02-23,26.09375,27.15625,26.09375,27.125,655200
36,2000-02-24,30.0,36.75,29.96875,35.0,3394400
37,2000-02-25,33.5,34.5,32.78125,33.5,1275600
38,2000-02-28,33.5,33.9375,32.84375,33.46875,689800
39,2000-02-29,33.15625,33.875,32.65625,33.4375,432400
40,2000-03-01,33.5625,34.4375,31.84375,32.71875,909000
41,2000-03-02,33.03125,33.34375,31.71875,32.09375,560400
42,2000-03-03,32.15625,33.0,32.15625,32.5,469800
43,2000-03-06,33.25,33.28125,31.875,32.3125,453800
44,2000-03-07,32.1875,32.4375,29.4375,29.46875,1053200
45,2000-03-08,30.28125,31.125,30.28125,30.75,683200
46,2000-03-09,30.78125,32.53125,30.78125,32.28125,611000
47,2000-03-10,32.15625,32.3125,31.28125,31.71875,395800
48,2000-03-13,31.4375,31.4375,30.15625,30.15625,341200
49,2000-03-14,30.4375,31.09375,29.84375,30.09375,473600
50,2000-03-15,30.3125,30.375,28.40625,28.40625,586600
51,2000-03-16,28.53125,29.84375,28.53125,29.71875,590400
52,2000-03-17,29.71875,30.90625,29.71875,30.84375,649600
53,2000-03-20,30.96875,31.40625,30.21875,30.25,282600
54,2000-03-21,30.3125,30.59375,29.71875,30.375,576000
55,2000-03-22,30.5625,30.875,30.3125,30.75,715400
56,2000-03-23,30.875,31.1875,30.25,30.3125,188400
57,2000-03-24,30.46875,31.25,30.46875,30.96875,634800
58,2000-03-27,30.96875,30.96875,29.875,30.46875,902400
59,2000-03-28,31.40625,32.78125,31.40625,32.75,2615200
60,2000-03-29,32.75,33.25,30.75,30.75,903800
61,2000-03-30,30.9375,31.375,29.8125,29.96875,813000
62,2000-03-31,30.625,33.25,30.625,31.5,1366400
63,2000-04-03,31.625,32.125,30.65625,30.65625,833200
64,2000-04-04,31.25,32.4375,28.96875,31.5,1621800
65,2000-04-05,32.0,34.28125,32.0,33.46875,1029000
66,2000-04-06,33.75,34.75,33.59375,34.09375,682600
67,2000-04-07,34.75,35.25,34.375,34.65625,416000
68,2000-04-10,35.125,35.46875,33.375,33.40625,635200
69,2000-04-11,33.59375,35.5,33.4375,34.0,2001400
70,2000-04-12,34.0,34.71875,33.28125,33.46875,644400
71,2000-04-13,33.84375,35.5,33.65625,34.25,1117600
72,2000-04-14,34.1875,34.375,31.28125,31.3125,937200
73,2000-04-17,31.4375,33.1875,30.78125,33.1875,997400
74,2000-04-18,33.75,36.0,33.65625,35.4375,1128000
75,2000-04-19,35.3125,36.0,34.5625,34.71875,949200
76,2000-04-20,34.71875,35.6875,34.5,35.0625,413000
77,2000-04-24,34.75,35.8125,34.65625,35.25,491400
78,2000-04-25,36.0,37.3125,35.90625,36.71875,971200
79,2000-04-26,37.0625,37.9375,37.0,37.09375,1209200
80,2000-04-27,36.5,38.5,36.375,38.125,1221400
81,2000-04-28,39.375,40.5625,39.15625,39.3125,1258000
82,2000-05-01,39.3125,40.1875,39.0625,39.21875,939400
83,2000-05-02,39.21875,39.71875,39.125,39.15625,400000
84,2000-05-03,38.875,39.15625,35.78125,37.03125,945400
85,2000-05-04,37.5,38.0625,36.84375,37.46875,692600
86,2000-05-05,37.46875,38.875,37.46875,37.78125,385000
87,2000-05-08,38.03125,38.09375,37.3125,37.34375,378400
88,2000-05-09,37.3125,37.5,35.96875,36.40625,559000
89,2000-05-10,36.375,37.6875,35.375,36.9375,1084800
90,2000-05-11,36.9375,37.59375,36.5625,36.71875,676800
91,2000-05-12,37.0,37.40625,36.28125,36.40625,821400
92,2000-05-15,36.5,36.875,35.59375,36.53125,470600
93,2000-05-16,36.875,38.4375,36.84375,38.375,732400
94,2000-05-17,37.875,37.90625,36.125,37.625,562000
95,2000-05-18,38.0,38.0,36.59375,36.71875,219400
96,2000-05-19,36.40625,36.4375,34.9375,34.9375,711400
97,2000-05-22,35.375,35.375,33.8125,34.8125,501400
98,2000-05-23,34.9375,34.9375,34.125,34.125,347200
99,2000-05-24,33.9375,34.125,30.5625,33.8125,1332200
100,2000-05-25,33.6875,35.25,33.34375,33.5,749600
101,2000-05-26,33.4375,34.0,32.46875,33.9375,364400
102,2000-05-30,34.25,35.375,34.15625,34.875,550800
103,2000-05-31,34.96875,35.34375,34.59375,34.59375,380600
104,2000-06-01,34.96875,36.28125,34.90625,35.8125,452800
105,2000-06-02,37.125,39.21875,37.0625,38.6875,629000
106,2000-06-05,38.125,38.90625,37.25,37.71875,579200
107,2000-06-06,38.09375,38.09375,36.5,36.5625,299400
108,2000-06-07,36.75,36.75,35.78125,36.15625,370400
109,2000-06-08,36.5625,37.53125,36.5,36.5,471800
110,2000-06-09,36.59375,38.125,36.59375,36.84375,636600
111,2000-06-12,36.84375,37.09375,34.75,35.21875,432800
112,2000-06-13,35.21875,36.53125,34.25,36.53125,613200
113,2000-06-14,36.75,37.21875,34.3125,35.1875,682400
114,2000-06-15,35.0625,35.09375,33.25,35.0,511000
115,2000-06-16,34.6875,34.875,33.84375,34.28125,345800
116,2000-06-19,34.25,35.71875,34.09375,35.46875,445400
117,2000-06-20,35.46875,35.6875,34.8125,35.28125,1009800
118,2000-06-21,35.28125,35.28125,34.3125,34.5,1146200
119,2000-06-22,34.5,34.625,34.09375,34.1875,760200
120,2000-06-23,34.125,34.21875,32.40625,32.78125,413600
121,2000-06-26,33.625,33.9375,31.875,32.21875,1108200
122,2000-06-27,32.21875,32.375,29.65625,29.84375,1861800
123,2000-06-28,30.125,31.0,30.0,30.3125,3243800
124,2000-06-29,30.25,30.25,28.0,28.0,1441800
125,2000-06-30,28.4375,30.65625,28.03125,29.617188,1876600
126,2000-07-03,29.6875,30.84375,29.6875,30.71875,271400
127,2000-07-05,30.59375,30.59375,28.15625,28.5625,1561800
128,2000-07-06,29.1875,30.0,28.375,29.8125,1339800
129,2000-07-07,29.4375,31.40625,29.40625,31.125,542200
130,2000-07-10,30.96875,31.75,30.5,31.75,930200
131,2000-07-11,31.75,33.1875,31.75,32.125,1242400
132,2000-07-12,32.25,32.90625,32.25,32.53125,329800
133,2000-07-13,33.78125,34.21875,32.375,32.625,1175800
134,2000-07-14,33.875,35.0,33.09375,34.84375,812800
135,2000-07-17,35.3125,35.40625,34.6875,35.09375,758800
136,2000-07-18,35.15625,35.3125,34.21875,34.6875,921800
137,2000-07-19,34.5625,35.34375,32.71875,32.84375,746600
138,2000-07-20,33.5625,34.34375,32.78125,33.1875,665200
139,2000-07-21,33.40625,33.40625,31.25,31.9375,663400
140,2000-07-24,32.0625,32.78125,30.5,30.96875,812600
141,2000-07-25,31.25,31.9375,31.25,31.46875,357200
142,2000-07-26,31.34375,31.34375,30.0625,30.6875,515400
143,2000-07-27,30.46875,30.5,29.0625,29.1875,508400
144,2000-07-28,28.875,29.21875,27.125,28.03125,1488600
145,2000-07-31,28.15625,28.46875,27.46875,28.46875,466400
146,2000-08-01,28.46875,28.96875,28.09375,28.53125,582600
147,2000-08-02,28.1875,29.21875,28.03125,28.65625,398400
148,2000-08-03,28.375,29.4375,27.71875,29.28125,774400
149,2000-08-04,29.875,30.34375,28.96875,29.0625,623200
150,2000-08-07,29.5,30.375,29.15625,30.34375,428800
151,2000-08-08,30.46875,30.6875,27.5,28.0625,1597600
152,2000-08-09,28.6875,29.25,27.6875,28.09375,1150400
153,2000-08-10,28.6875,28.9375,25.625,25.90625,2154200
154,2000-08-11,26.0,26.6875,25.53125,26.5,963800
155,2000-08-14,26.6875,27.46875,26.34375,26.9375,585200
156,2000-08-15,26.875,27.3125,26.65625,26.90625,816600
157,2000-08-16,26.96875,28.75,26.875,28.53125,1208400
158,2000-08-17,28.5625,29.03125,28.34375,28.8125,585200
159,2000-08-18,28.6875,29.625,28.6875,29.5625,796000
160,2000-08-21,29.6875,29.8125,28.9375,29.1875,524800
161,2000-08-22,29.3125,29.46875,28.9375,29.125,390000
162,2000-08-23,29.0,29.1875,28.84375,29.125,501600
163,2000-08-24,29.3125,30.21875,29.25,30.09375,317600
164,2000-08-25,30.09375,30.6875,30.09375,30.65625,348000
165,2000-08-28,30.625,31.0,29.90625,29.9375,318200
166,2000-08-29,29.96875,31.5,29.96875,31.40625,450200
167,2000-08-30,31.59375,31.875,30.53125,30.625,629400
168,2000-08-31,30.0,31.125,29.9375,29.9375,495600
169,2000-09-01,30.1875,31.09375,30.1875,30.53125,491600
170,2000-09-05,30.53125,30.8125,30.3125,30.71875,441800
171,2000-09-06,31.25,32.0,28.5625,28.90625,1889800
172,2000-09-07,29.1875,31.40625,29.1875,31.34375,849800
173,2000-09-08,31.34375,31.65625,31.15625,31.46875,1003400
174,2000-09-11,30.875,32.4375,30.875,31.5625,779600
175,2000-09-12,32.0,32.375,31.84375,31.875,558600
