,Date,Open,High,Low,Close,Volume
0,2000-01-03,11.958333,12.0,11.729167,11.979167,46800
1,2000-01-04,11.916667,12.041667,11.708333,11.770833,44700
2,2000-01-05,11.770833,11.875,11.666667,11.791667,25200
3,2000-01-06,11.770833,11.895833,11.6875,11.833333,25500
4,2000-01-07,11.708333,11.895833,11.666667,11.895833,27300
5,2000-01-10,11.979167,11.979167,11.875,11.895833,162000
6,2000-01-11,11.9375,12.0,11.875,12.0,31500
7,2000-01-12,11.979167,12.0,11.854167,11.854167,18300
8,2000-01-13,11.770833,12.083333,11.770833,12.041667,36300
9,2000-01-14,12.041667,12.041667,11.791667,11.916667,20100
10,2000-01-18,11.958333,11.958333,11.791667,11.833333,24000
11,2000-01-19,11.791667,11.8125,11.75,11.791667,11700
12,2000-01-20,11.75,11.833333,11.75,11.833333,11400
13,2000-01-21,11.791667,11.833333,11.791667,11.833333,25800
14,2000-01-24,11.791667,11.895833,11.625,11.625,50100
15,2000-01-25,11.625,11.625,11.354167,11.395833,30900
16,2000-01-26,11.395833,11.395833,11.166667,11.229167,15300
17,2000-01-27,11.229167,11.25,11.1875,11.1875,45000
18,2000-01-28,11.1875,11.25,11.104167,11.229167,40500
19,2000-01-31,11.1875,11.1875,11.041667,11.083333,54300
20,2000-02-01,11.0625,11.125,11.0625,11.083333,24300
21,2000-02-02,11.083333,11.125,11.041667,11.083333,33000
22,2000-02-03,11.041667,11.0625,11.0,11.0625,37200
23,2000-02-04,11.041667,11.041667,10.770833,10.895833,37200
24,2000-02-07,10.895833,10.895833,10.645833,10.770833,49800
25,2000-02-08,10.770833,10.833333,10.583333,10.645833,29100
26,2000-02-09,10.604167,10.666667,10.4375,10.4375,24300
27,2000-02-10,10.395833,10.5,10.270833,10.270833,20700
28,2000-02-11,10.1875,10.1875,9.770833,9.770833,56400
29,2000-02-14,9.770833,10.1875,9.729167,10.166667,43800
30,2000-02-15,10.125,10.125,10.041667,10.041667,59700
31,2000-02-16,10.020833,10.354167,9.833333,9.833333,52800
32,2000-02-17,9.916667,10.0,9.8125,9.8125,43800
33,2000-02-18,9.791667,9.791667,9.625,9.666667,22500
34,2000-02-22,9.666667,9.666667,9.354167,9.375,31200
35,2000-02-23,9.354167,9.354167,9.125,9.145833,21900
36,2000-02-24,9.208333,9.354167,8.833333,8.833333,44400
37,2000-02-25,8.854167,9.020833,8.833333,8.833333,45900
