,Date,Open,High,Low,Close,Volume
0,2001-06-19,0.508333,0.508333,0.46,0.46,237600
1,2001-06-20,0.458333,0.458333,0.445833,0.445833,56400
2,2001-06-21,0.445833,0.445833,0.445833,0.445833,7200
3,2001-06-22,0.445833,0.479167,0.445833,0.479167,142800
4,2001-06-25,0.479167,0.483333,0.475,0.479167,92400
5,2001-06-26,0.475,0.52,0.475,0.52,49200
6,2001-06-27,0.504167,0.508333,0.504167,0.508333,55200
7,2001-06-28,0.511667,0.511667,0.511667,0.511667,3600
8,2001-06-29,0.516667,0.540833,0.516667,0.533333,98400
9,2001-07-02,0.533333,0.5375,0.529167,0.533333,292800
10,2001-07-03,0.529167,0.529167,0.529167,0.529167,12000
11,2001-07-05,0.529167,0.529167,0.529167,0.529167,16800
12,2001-07-06,0.525,0.525,0.516667,0.520833,28800
13,2001-07-09,0.516667,0.520833,0.5,0.5,96000
14,2001-07-10,0.5,0.5,0.5,0.5,174000
15,2001-07-11,0.5,0.504167,0.5,0.504167,13200
16,2001-07-12,0.504167,0.504167,0.495833,0.495833,109200
17,2001-07-13,0.495833,0.5,0.495,0.495,33600
18,2001-07-16,0.491667,0.4925,0.4875,0.4875,72000
19,2001-07-17,0.483333,0.483333,0.483333,0.483333,3600
20,2001-07-18,0.483333,0.483333,0.479167,0.479167,96000
21,2001-07-19,0.470833,0.470833,0.466667,0.466667,164400
22,2001-07-20,0.479167,0.479167,0.466667,0.466667,42000
23,2001-07-23,0.479167,0.4875,0.4675,0.470833,67200
24,2001-07-24,0.4875,0.495833,0.475833,0.480833,222000
25,2001-07-25,0.473333,0.473333,0.473333,0.473333,21600
26,2001-07-26,0.473333,0.4775,0.473333,0.4775,31200
27,2001-07-27,0.48,0.488333,0.4775,0.488333,55200
28,2001-07-30,0.489167,0.51,0.489167,0.508333,58800
29,2001-07-31,0.504167,0.520833,0.501667,0.520833,224400
30,2001-08-01,0.520833,0.520833,0.516667,0.516667,21600
31,2001-08-02,0.520833,0.520833,0.511667,0.516667,88800
32,2001-08-03,0.521667,0.521667,0.516667,0.516667,404400
33,2001-08-06,0.509167,0.516667,0.5,0.516667,76800
34,2001-08-07,0.520833,0.541667,0.520833,0.5375,1464000
35,2001-08-08,0.5375,0.5625,0.534167,0.551667,696000
36,2001-08-09,0.554167,0.570833,0.551667,0.569167,1784400
37,2001-08-10,0.571667,0.591667,0.570833,0.591667,709200
38,2001-08-13,0.591667,0.645833,0.591667,0.644167,1141200
39,2001-08-14,0.644167,0.645833,0.621667,0.645,936000
40,2001-08-15,0.65,0.6625,0.64,0.66,1168800
41,2001-08-16,0.6625,0.675,0.645833,0.674167,1250400
42,2001-08-17,0.674167,0.679167,0.656667,0.664167,1190400
43,2001-08-20,0.670833,0.679167,0.6125,0.629167,378000
44,2001-08-21,0.631667,0.645833,0.615,0.64,196800
45,2001-08-22,0.65,0.65,0.605,0.641667,663600
46,2001-08-23,0.645,0.658333,0.645,0.6525,432000
47,2001-08-24,0.656667,0.7125,0.655833,0.7125,1924800
48,2001-08-27,0.716667,0.741667,0.683333,0.735,1335600
49,2001-08-28,0.74,0.754167,0.704167,0.708333,1693200
50,2001-08-29,0.705,0.7125,0.693333,0.708333,166800
51,2001-08-30,0.698333,0.704167,0.675,0.6875,153600
52,2001-08-31,0.679167,0.716667,0.679167,0.708333,852000
53,2001-09-04,0.715,0.7675,0.715,0.756667,393600
54,2001-09-05,0.758333,0.7625,0.7375,0.753333,350400
55,2001-09-06,0.734167,0.754167,0.725,0.725,352800
56,2001-09-07,0.716667,0.725,0.695833,0.720833,118800
57,2001-09-10,0.703333,0.729167,0.699167,0.729167,57600
58,2001-09-17,0.75,0.75,0.633333,0.7,1316400
59,2001-09-18,0.689167,0.729167,0.689167,0.708333,531600
60,2001-09-19,0.716667,0.716667,0.625,0.663333,494400
61,2001-09-20,0.635833,0.635833,0.585833,0.586667,279600
62,2001-09-21,0.583333,0.625,0.554167,0.566667,530400
63,2001-09-24,0.5875,0.641667,0.5875,0.633333,262800
64,2001-09-25,0.616667,0.666667,0.615,0.65,447600
65,2001-09-26,0.658333,0.6875,0.658333,0.6875,387600
66,2001-09-27,0.691667,0.729167,0.691667,0.725,776400
67,2001-09-28,0.731667,0.775833,0.7125,0.7125,1166400
68,2001-10-01,0.708333,0.708333,0.6875,0.6875,154800
69,2001-10-02,0.691667,0.715833,0.691667,0.715833,164400
70,2001-10-03,0.725,0.755833,0.724167,0.7475,373200
71,2001-10-04,0.741667,0.7425,0.736667,0.736667,369600
72,2001-10-05,0.741667,0.741667,0.704167,0.7375,103200
73,2001-10-08,0.741667,0.741667,0.7275,0.7275,126000
74,2001-10-09,0.735833,0.95,0.735833,0.9325,3620400
75,2001-10-10,0.940833,0.954167,0.875,0.900833,1616400
76,2001-10-11,0.939167,0.939167,0.866667,0.9075,434400
77,2001-10-12,0.908333,0.908333,0.829167,0.8475,457200
78,2001-10-15,0.855,0.869167,0.8125,0.853333,597600
79,2001-10-16,0.866667,0.8875,0.856667,0.881667,488400
80,2001-10-17,0.881667,0.885833,0.834167,0.835,306000
81,2001-10-18,0.840833,0.9025,0.840833,0.865833,1580400
82,2001-10-19,0.890833,1.041667,0.890833,1.025,4971600
83,2001-10-22,1.033333,1.046667,0.858333,0.891667,2266800
84,2001-10-23,0.876667,0.9225,0.8125,0.815,1377600
85,2001-10-24,0.816667,0.865,0.804167,0.854167,711600
86,2001-10-25,0.8475,0.866667,0.83,0.833333,646800
87,2001-10-26,0.8425,0.845833,0.808333,0.826667,243600
88,2001-10-29,0.823333,0.823333,0.766667,0.779167,240000
89,2001-10-30,0.77,0.795833,0.75,0.79,717600
90,2001-10-31,0.798333,0.833333,0.791667,0.795,510000
91,2001-11-01,0.8025,0.8025,0.793333,0.795833,518400
92,2001-11-02,0.808333,0.833333,0.804167,0.8225,470400
93,2001-11-05,0.8125,0.820833,0.8125,0.820833,50400
94,2001-11-06,0.808333,0.816667,0.789167,0.795833,117600
95,2001-11-07,0.8,0.8825,0.8,0.865,1736400
96,2001-11-08,0.875,0.883333,0.865833,0.883333,608400
97,2001-11-09,0.885,0.9375,0.870833,0.933333,730800
98,2001-11-12,0.931667,0.9875,0.930833,0.945833,1074000
99,2001-11-13,0.954167,0.958333,0.9275,0.9375,1089600
100,2001-11-14,0.933333,0.933333,0.875833,0.9,394800
101,2001-11-15,0.905833,1.125,0.9,1.105,11160000
102,2001-11-16,1.1525,1.261667,1.129167,1.184167,10719600
