,Date,Open,High,Low,Close,Volume
0,2000-01-03,2.453125,2.503906,2.433594,2.488281,3273600
1,2000-01-04,2.472656,2.519531,2.402344,2.40625,2446400
2,2000-01-05,2.398438,2.476563,2.398438,2.449219,1164800
3,2000-01-06,2.457031,2.53125,2.457031,2.488281,1073600
4,2000-01-07,2.496094,2.523438,2.398438,2.417969,2012800
5,2000-01-10,2.636719,2.636719,2.484375,2.496094,7582400
6,2000-01-11,2.5,2.558594,2.488281,2.542969,4955200
7,2000-01-12,2.542969,2.546875,2.433594,2.433594,2713600
8,2000-01-13,2.476563,2.609375,2.46875,2.488281,4419200
9,2000-01-14,2.609375,2.652344,2.589844,2.628906,3134400
10,2000-01-18,2.644531,2.703125,2.621094,2.648438,2838400
11,2000-01-19,2.664063,2.664063,2.585938,2.605469,4094400
12,2000-01-20,2.621094,2.644531,2.597656,2.621094,3382400
13,2000-01-21,2.664063,2.679688,2.5625,2.5625,4289600
14,2000-01-24,2.578125,2.582031,2.4375,2.460938,2654400
15,2000-01-25,2.453125,2.460938,2.34375,2.34375,3206400
16,2000-01-26,2.3125,2.402344,2.3125,2.375,2884800
17,2000-01-27,2.378906,2.386719,2.324219,2.339844,3680000
18,2000-01-28,2.34375,2.34375,2.25,2.25,2459200
19,2000-01-31,2.253906,2.300781,2.207031,2.273438,2233600
20,2000-02-01,2.257813,2.285156,2.21875,2.246094,1051200
21,2000-02-02,2.257813,2.261719,2.1875,2.207031,1801600
22,2000-02-03,2.257813,2.265625,2.191406,2.214844,1832000
23,2000-02-04,2.207031,2.214844,2.15625,2.171875,2139200
24,2000-02-07,2.183594,2.1875,2.121094,2.125,1766400
25,2000-02-08,2.132813,2.144531,2.058594,2.058594,1401600
26,2000-02-09,2.0625,2.109375,2.023438,2.070313,3310400
27,2000-02-10,2.070313,2.070313,2.019531,2.035156,1352000
28,2000-02-11,2.035156,2.046875,1.980469,2.019531,1659200
29,2000-02-14,2.019531,2.050781,2.011719,2.035156,1404800
30,2000-02-15,2.019531,2.054688,2.003906,2.003906,2776000
31,2000-02-16,2.03125,2.035156,1.949219,1.972656,2024000
32,2000-02-17,1.984375,2.003906,1.972656,1.984375,841600
33,2000-02-18,1.957031,1.972656,1.8125,1.851563,2905600
34,2000-02-22,1.898438,1.902344,1.859375,1.890625,1360000
35,2000-02-23,1.878906,1.921875,1.871094,1.871094,1884800
36,2000-02-24,1.871094,1.871094,1.773438,1.792969,1928000
37,2000-02-25,1.808594,1.8125,1.757813,1.765625,896000
38,2000-02-28,1.769531,1.773438,1.726563,1.757813,1097600
39,2000-02-29,1.757813,1.765625,1.675781,1.675781,1876800
40,2000-03-01,1.703125,1.707031,1.644531,1.679688,2932800
41,2000-03-02,1.683594,1.683594,1.625,1.65625,2374400
42,2000-03-03,1.652344,1.78125,1.648438,1.671875,2627200
43,2000-03-06,1.671875,1.726563,1.671875,1.691406,2220800
44,2000-03-07,1.703125,1.75,1.644531,1.675781,3065600
45,2000-03-08,1.691406,1.835938,1.691406,1.765625,5073600
46,2000-03-09,1.796875,1.835938,1.78125,1.804688,2291200
47,2000-03-10,1.789063,1.8125,1.761719,1.777344,1897600
48,2000-03-13,1.777344,1.808594,1.75,1.800781,2163200
49,2000-03-14,1.8125,1.855469,1.792969,1.832031,1921600
50,2000-03-15,1.84375,1.964844,1.835938,1.9375,3332800
51,2000-03-16,1.964844,2.117188,1.949219,2.109375,4539200
52,2000-03-17,2.109375,2.109375,2.03125,2.035156,2780800
53,2000-03-20,1.976563,2.085938,1.96875,1.972656,3942400
54,2000-03-21,1.96875,2.011719,1.925781,1.996094,3049600
55,2000-03-22,2.007813,2.011719,1.9375,1.976563,3464000
56,2000-03-23,1.960938,2.050781,1.953125,2.023438,2112000
57,2000-03-24,2.023438,2.023438,1.984375,2.0,2184000
58,2000-03-27,2.0,2.019531,1.992188,1.996094,2280000
59,2000-03-28,1.996094,2.023438,1.996094,1.996094,2054400
60,2000-03-29,1.996094,2.027344,1.960938,1.980469,1656000
61,2000-03-30,1.992188,2.058594,1.992188,2.039063,1484800
62,2000-03-31,2.023438,2.167969,2.003906,2.160156,2969600
63,2000-04-03,2.148438,2.238281,2.148438,2.210938,4408000
64,2000-04-04,2.203125,2.203125,2.09375,2.167969,2913600
65,2000-04-05,2.140625,2.234375,2.132813,2.21875,3192000
