,Date,Open,High,Low,Close,Volume
0,2000-01-03,21.75,21.75,21.0,21.375,190300
1,2000-01-04,21.3125,21.3125,20.5,20.5625,40300
2,2000-01-05,20.75,21.6875,20.5625,21.5,183800
3,2000-01-06,21.375,21.375,21.0,21.3125,84800
4,2000-01-07,21.4375,21.6875,21.125,21.3125,245900
5,2000-01-10,21.375,22.0,21.375,21.6875,80100
6,2000-01-11,21.625,21.6875,21.0625,21.0625,62900
7,2000-01-12,21.0625,21.0625,20.375,20.875,130500
8,2000-01-13,21.0,22.1875,20.875,21.9375,366900
9,2000-01-14,21.9375,22.0,21.5625,21.8125,91400
10,2000-01-18,21.75,22.0,21.5625,21.75,142100
11,2000-01-19,21.3125,22.0,21.3125,22.0,127000
12,2000-01-20,22.0,22.0,21.25,22.0,125800
13,2000-01-21,22.0,22.0,21.0625,21.3125,94400
14,2000-01-24,21.4375,21.5,20.5,20.5625,107800
15,2000-01-25,20.75,20.75,19.625,19.625,85000
16,2000-01-26,19.75,20.4375,19.75,19.875,81700
17,2000-01-27,20.125,20.4375,19.875,20.0625,96500
18,2000-01-28,19.875,20.25,19.3125,20.25,117000
19,2000-01-31,20.375,20.375,18.875,19.5,392400
20,2000-02-01,19.75,20.375,19.5625,20.125,270400
21,2000-02-02,19.875,19.875,19.0,19.5625,221700
22,2000-02-03,19.5,19.5,18.625,19.0625,122600
23,2000-02-04,18.8125,20.125,18.8125,19.6875,155200
24,2000-02-07,19.4375,19.5625,18.4375,19.0,296200
25,2000-02-08,19.25,19.25,18.4375,18.6875,84800
26,2000-02-09,18.4375,19.1875,18.1875,18.875,147200
27,2000-02-10,18.8125,18.8125,17.9375,18.125,111500
28,2000-02-11,18.1875,18.4375,18.0,18.375,67900
29,2000-02-14,18.25,18.5,18.0,18.125,109700
30,2000-02-15,18.0625,18.75,18.0625,18.75,92500
31,2000-02-16,18.5625,18.5625,17.875,17.875,153300
32,2000-02-17,18.0,18.1875,17.375,17.625,59400
33,2000-02-18,17.625,17.75,16.9375,16.9375,220100
34,2000-02-22,16.9375,17.125,16.9375,17.0,109500
35,2000-02-23,16.875,17.0625,16.4375,16.9375,106400
36,2000-02-24,16.625,16.8125,16.4375,16.8125,134700
37,2000-02-25,16.625,16.8125,16.3125,16.375,62900
38,2000-02-28,16.375,16.6875,15.875,16.6875,86200
39,2000-02-29,16.5625,17.875,16.5625,17.875,150300
40,2000-03-01,17.875,17.875,16.875,17.1875,503000
41,2000-03-02,17.25,17.25,16.4375,16.4375,174400
42,2000-03-03,16.5625,16.625,16.25,16.3125,134300
43,2000-03-06,16.5,16.75,16.0,16.0,188200
44,2000-03-07,16.25,16.3125,15.75,15.8125,287000
45,2000-03-08,15.8125,16.125,15.75,15.9375,196500
46,2000-03-09,15.9375,16.0,15.8125,15.875,122500
47,2000-03-10,15.75,16.4375,15.25,15.25,144100
48,2000-03-13,15.375,15.5,15.0,15.375,676100
49,2000-03-14,15.5,15.875,15.375,15.5,102200
50,2000-03-15,15.75,16.375,15.625,16.0625,143200
51,2000-03-16,16.125,17.0,16.0,16.6875,164200
52,2000-03-17,16.0,16.75,16.0,16.0,155300
53,2000-03-20,15.8125,16.25,15.8125,16.0625,138800
54,2000-03-21,15.875,16.4375,15.75,16.4375,120200
55,2000-03-22,16.375,16.8125,16.375,16.75,202100
56,2000-03-23,16.625,17.3125,16.625,17.1875,171000
57,2000-03-24,17.0625,17.125,16.5,16.6875,208700
58,2000-03-27,16.625,17.0625,16.625,16.75,191000
59,2000-03-28,16.8125,17.125,16.375,16.875,97700
60,2000-03-29,17.0,17.0,15.9375,16.0625,726300
61,2000-03-30,16.25,16.4375,16.0625,16.375,149700
62,2000-03-31,16.625,17.0,16.5,17.0,600500
63,2000-04-03,16.625,16.78125,16.1875,16.25,127900
64,2000-04-04,16.5,16.625,15.75,16.625,202500
65,2000-04-05,16.5,16.5625,16.25,16.375,100400
66,2000-04-06,16.4375,16.5,16.25,16.375,121800
67,2000-04-07,16.5,16.5,16.3125,16.5,94100
68,2000-04-10,16.375,16.6875,16.3125,16.3125,221500
69,2000-04-11,16.4375,16.625,16.25,16.625,140400
70,2000-04-12,16.625,16.875,16.25,16.8125,220700
71,2000-04-13,16.6875,17.0,16.5625,17.0,113400
72,2000-04-14,16.9375,17.0,16.375,16.375,171700
73,2000-04-17,16.5,17.125,16.375,16.625,122800
74,2000-04-18,16.5,17.0625,16.3125,17.0625,167500
75,2000-04-19,16.9375,17.125,16.625,16.6875,94300
76,2000-04-20,16.75,16.8125,16.125,16.25,224400
77,2000-04-24,16.375,16.5,16.0,16.1875,62400
78,2000-04-25,16.5,16.6875,16.3125,16.5,96900
79,2000-04-26,16.4375,16.625,16.375,16.625,291900
80,2000-04-27,16.5,16.8125,15.4375,15.875,203500
81,2000-04-28,15.875,16.375,15.8125,16.375,131700
82,2000-05-01,16.1875,16.8125,16.0625,16.5,94400
83,2000-05-02,16.3125,16.4375,15.1875,15.25,225200
84,2000-05-03,15.125,15.1875,14.8125,14.8125,231400
85,2000-05-04,14.9375,15.3125,14.875,14.9375,206800
86,2000-05-05,15.0,15.4375,14.9375,15.25,65800
87,2000-05-08,15.125,15.1875,14.8125,14.875,118800
88,2000-05-09,14.875,14.875,14.25,14.6875,163600
89,2000-05-10,14.75,14.9375,14.375,14.6875,216500
90,2000-05-11,14.75,15.25,14.75,15.0625,105700
91,2000-05-12,14.75,15.25,14.6875,15.0,191200
92,2000-05-15,15.0,15.0,14.5625,14.8125,110400
93,2000-05-16,14.8125,15.1875,14.75,14.8125,225000
94,2000-05-17,14.6875,14.8125,14.5625,14.6875,67300
95,2000-05-18,14.625,15.125,14.625,14.9375,96500
96,2000-05-19,14.9375,15.0625,14.4375,14.625,87000
97,2000-05-22,14.6875,14.75,14.25,14.5625,72100
98,2000-05-23,14.3125,14.5,14.25,14.3125,92400
99,2000-05-24,14.4375,15.0,14.1875,14.75,180300
100,2000-05-25,14.875,14.875,14.625,14.75,97700
101,2000-05-26,14.6875,15.0,14.5,14.6875,174700
102,2000-05-30,14.5625,15.125,14.5,14.6875,193700
103,2000-05-31,14.8125,15.375,14.6875,15.1875,343900
104,2000-06-01,15.1875,15.9375,15.1875,15.875,213000
105,2000-06-02,16.0625,16.25,14.9375,15.3125,162300
106,2000-06-05,15.1875,15.5,15.0,15.0,44900
107,2000-06-06,15.25,15.625,14.9375,15.5625,57900
108,2000-06-07,15.5,15.8125,15.5,15.625,133600
109,2000-06-08,15.625,15.875,15.625,15.75,88100
110,2000-06-09,15.6875,15.9375,15.65625,15.875,178000
111,2000-06-12,15.75,15.9375,15.0625,15.0625,53400
112,2000-06-13,15.3125,15.625,15.125,15.5,51700
113,2000-06-14,15.5625,15.875,15.0625,15.375,67600
114,2000-06-15,15.375,15.375,14.8125,15.1875,177900
115,2000-06-16,15.0,15.375,14.875,15.3125,232700
116,2000-06-19,15.0625,15.25,14.75,15.25,333200
117,2000-06-20,15.0625,15.25,14.5625,14.75,188600
118,2000-06-21,14.75,14.75,14.25,14.3125,105700
119,2000-06-22,14.1875,14.25,13.9375,13.9375,120700
120,2000-06-23,14.125,14.4375,13.8125,14.4375,280900
121,2000-06-26,14.3125,14.5625,14.1875,14.25,69500
122,2000-06-27,14.1875,14.5625,14.0,14.0625,76500
123,2000-06-28,14.1875,14.3125,13.9375,14.25,92800
124,2000-06-29,14.125,14.625,14.125,14.4375,101200
125,2000-06-30,14.5,14.5,13.4375,14.125,221700
126,2000-07-03,13.9375,14.5,13.75,14.5,33800
127,2000-07-05,14.1875,14.25,13.875,13.875,93100
128,2000-07-06,13.8125,14.25,13.375,13.75,93100
129,2000-07-07,13.875,14.4375,13.75,14.25,72700
130,2000-07-10,14.25,14.6875,14.1875,14.375,51300
131,2000-07-11,14.4375,14.4375,13.625,13.875,61500
132,2000-07-12,14.25,14.25,13.6875,13.75,214400
133,2000-07-13,13.625,13.8125,13.5,13.5,143500
134,2000-07-14,13.625,14.0,13.1875,13.1875,193500
135,2000-07-17,13.1875,13.375,13.1875,13.25,160600
136,2000-07-18,13.25,13.375,12.9375,13.0,231100
137,2000-07-19,13.0,13.0,12.5625,12.5625,87100
138,2000-07-20,12.5,12.625,12.0625,12.375,347400
139,2000-07-21,12.375,12.4375,11.875,11.9375,201500
140,2000-07-24,12.0625,12.0625,11.3125,11.3125,155000
141,2000-07-25,11.3125,12.0,11.3125,11.6875,193400
142,2000-07-26,11.5625,11.875,11.375,11.5,159100
143,2000-07-27,11.125,11.375,10.6875,10.9375,469500
144,2000-07-28,10.8125,11.1875,10.8125,11.0,205400
145,2000-07-31,11.125,12.0,10.9375,12.0,227700
146,2000-08-01,11.625,11.875,11.5,11.5625,172000
147,2000-08-02,11.5625,12.4375,11.5625,12.125,384700
148,2000-08-03,11.9375,14.25,11.875,13.8125,360800
149,2000-08-04,14.5,14.875,14.0,14.75,556200
150,2000-08-07,14.0625,14.375,13.875,14.0625,160100
151,2000-08-08,13.9375,13.9375,13.5,13.625,178200
152,2000-08-09,13.625,14.0,13.4375,13.875,114700
153,2000-08-10,13.875,13.875,13.5,13.5,57600
154,2000-08-11,13.5625,14.0625,13.5625,14.0625,112800
155,2000-08-14,13.9375,14.125,13.875,14.125,83800
156,2000-08-15,14.0,14.25,13.8125,14.25,114600
157,2000-08-16,14.125,14.5625,14.125,14.4375,105500
158,2000-08-17,14.5625,14.875,14.1875,14.875,54000
159,2000-08-18,14.75,14.9375,14.5,14.9375,120100
160,2000-08-21,14.9375,14.9375,14.8125,14.9375,146100
161,2000-08-22,14.875,15.125,14.875,15.125,58000
162,2000-08-23,15.1875,15.1875,14.875,15.0,208100
163,2000-08-24,14.875,15.25,14.875,15.1875,98400
164,2000-08-25,15.0625,15.5625,15.0625,15.5,205900
165,2000-08-28,15.4375,15.6875,15.4375,15.6875,92400
166,2000-08-29,15.6875,16.6875,15.6875,16.6875,222300
167,2000-08-30,16.5625,16.75,16.25,16.5,228700
168,2000-08-31,16.4375,16.9375,15.5625,15.5625,238200
169,2000-09-01,15.8125,16.1875,15.75,16.1875,74300
170,2000-09-05,15.875,16.25,15.8125,16.0625,77200
171,2000-09-06,15.9375,16.3125,15.875,16.1875,123900
172,2000-09-07,16.4375,16.4375,16.125,16.375,129500
173,2000-09-08,16.5,17.0625,16.375,16.9375,188500
174,2000-09-11,16.8125,17.1875,16.75,17.1875,135700
175,2000-09-12,17.5,17.5,17.0,17.0,60600
176,2000-09-13,17.0625,17.0625,16.8125,16.9375,118100
177,2000-09-14,16.875,16.875,15.9375,16.1875,200700
178,2000-09-15,15.9375,16.25,15.8125,16.0,143900
179,2000-09-18,16.1875,16.1875,15.625,15.625,148800
180,2000-09-19,15.375,15.6875,15.125,15.5625,119800
181,2000-09-20,15.4375,16.125,15.375,15.4375,48300
182,2000-09-21,15.125,15.625,15.0,15.125,82900
183,2000-09-22,15.0625,15.3125,15.0625,15.25,54000
184,2000-09-25,15.0625,15.25,14.875,15.0625,100700
185,2000-09-26,14.9375,15.25,14.75,14.9375,211700
186,2000-09-27,14.8125,15.4375,14.75,15.4375,106800
187,2000-09-28,15.3125,15.375,15.125,15.25,150800
188,2000-09-29,15.0625,15.75,15.0625,15.5,242600
189,2000-10-02,15.625,15.8125,14.8125,14.8125,116100
190,2000-10-03,14.8125,15.9375,14.8125,15.0,88400
191,2000-10-04,15.25,15.875,14.875,15.875,174100
192,2000-10-05,15.8125,15.8125,15.4375,15.6875,141800
193,2000-10-06,15.8125,16.25,15.8125,16.0625,110000
194,2000-10-09,16.0,16.25,15.8125,15.875,147600
195,2000-10-10,15.9375,16.0625,15.5,15.5625,65200
196,2000-10-11,15.375,15.5,14.75,15.0625,264900
197,2000-10-12,15.0625,15.3125,14.625,14.75,63400
198,2000-10-13,14.5,15.4375,14.5,15.25,157400
199,2000-10-16,15.3125,15.3125,14.9375,14.9375,119600
200,2000-10-17,14.8125,14.8125,14.125,14.5,130700
201,2000-10-18,14.375,14.5625,14.0,14.5,125400
202,2000-10-19,14.5625,14.875,14.375,14.8125,68400
203,2000-10-20,14.875,15.0625,14.75,14.75,248400
204,2000-10-23,15.0,15.0,14.6875,14.9375,181700
205,2000-10-24,15.1875,15.1875,14.875,15.0,157300
206,2000-10-25,14.8125,14.9375,14.375,14.5,81100
207,2000-10-26,14.4375,14.875,14.4375,14.75,55300
208,2000-10-27,14.75,15.0,14.625,14.875,80300
209,2000-10-30,14.75,15.0,14.75,14.875,193700
210,2000-10-31,14.9375,15.875,14.875,15.875,77800
211,2000-11-01,15.6875,15.6875,13.75,14.125,289800
212,2000-11-02,14.125,14.75,13.75,14.6875,184400
213,2000-11-03,14.6875,14.6875,14.0625,14.125,186800
214,2000-11-06,14.1875,14.4375,14.0625,14.4375,64500
215,2000-11-07,14.5625,15.1875,14.25,15.0,229500
216,2000-11-08,14.875,15.6875,14.875,15.5625,201300
217,2000-11-09,15.375,15.5,15.0625,15.25,110300
218,2000-11-10,15.125,15.375,14.75,15.0,86600
219,2000-11-13,15.0,15.9375,14.6875,15.6875,103200
220,2000-11-14,15.9375,16.0625,15.75,15.8125,96000
221,2000-11-15,15.75,16.4375,15.75,15.875,78100
222,2000-11-16,15.8125,16.125,15.25,15.3125,49600
223,2000-11-17,15.625,15.75,15.125,15.375,70400
224,2000-11-20,15.5,15.6875,15.25,15.375,52300
225,2000-11-21,15.25,15.4375,14.9375,15.4375,83100
226,2000-11-22,15.375,15.8125,15.25,15.5,146100
227,2000-11-24,15.5,15.5625,15.25,15.4375,46900
228,2000-11-27,15.3125,15.4375,15.3125,15.3125,94300
229,2000-11-28,15.1875,15.375,14.8125,15.0,90700
230,2000-11-29,14.875,15.0,14.75,14.875,82500
231,2000-11-30,14.75,15.5625,14.6875,15.125,204300
232,2000-12-01,15.125,16.5,15.125,16.125,174100
233,2000-12-04,16.0,16.25,16.0,16.1875,112700
234,2000-12-05,16.1875,16.5,16.1875,16.4375,130400
235,2000-12-06,16.375,17.5,16.375,16.8125,196900
236,2000-12-07,16.6875,17.8125,16.6875,17.625,211900
237,2000-12-08,17.625,18.3125,17.625,18.3125,258900
238,2000-12-11,18.1875,18.25,17.9375,18.25,225200
239,2000-12-12,18.125,18.1875,17.6875,17.75,78900
240,2000-12-13,17.625,18.0,17.375,18.0,100700
241,2000-12-14,17.8125,18.25,17.5,17.6875,114500
242,2000-12-15,17.375,18.0625,16.75,16.75,249200
243,2000-12-18,17.0,18.25,16.875,18.25,172500
244,2000-12-19,18.0625,18.5,17.6875,18.375,197400
245,2000-12-20,18.375,18.375,17.25,17.5625,111900
246,2000-12-21,17.625,18.25,17.625,18.1875,130600
247,2000-12-22,18.125,18.8125,17.875,18.8125,98000
248,2000-12-26,18.8125,19.125,18.3125,19.0625,62800
249,2000-12-27,18.9375,20.5,18.8125,20.0,172900
250,2000-12-28,19.875,19.9375,19.0,19.0,331400
251,2000-12-29,18.75,21.0,18.5625,19.875,293300
252,2001-01-02,19.625,20.125,19.5,19.5625,177100
253,2001-01-03,19.5,20.375,19.5,20.125,184300
254,2001-01-04,19.875,20.3125,19.625,20.0,243900
255,2001-01-05,20.0,20.0,19.5,19.5,93100
256,2001-01-08,19.5,19.5,18.625,19.375,139300
257,2001-01-09,19.4375,19.8125,19.0,19.75,117800
258,2001-01-10,19.75,20.125,19.0625,20.0625,137200
259,2001-01-11,19.9375,20.375,19.9375,20.125,147900
260,2001-01-12,20.125,20.5625,20.125,20.25,210100
261,2001-01-16,20.0,21.5625,20.0,21.375,146500
262,2001-01-17,21.5,22.0,21.1875,21.375,168900
263,2001-01-18,21.25,21.375,21.0,21.1875,153200
264,2001-01-19,21.0,21.25,21.0,21.1875,110000
265,2001-01-22,21.0,21.125,20.8125,20.875,175000
266,2001-01-23,20.625,21.3125,20.625,21.25,232800
267,2001-01-24,21.3125,22.4375,21.3125,21.875,175000
268,2001-01-25,21.6875,21.75,20.875,20.875,115000
269,2001-01-26,21.0,21.1875,20.5,20.6875,94600
270,2001-01-29,20.4,20.9,20.4,20.870001,103700
271,2001-01-30,20.620001,21.0,20.559999,20.99,79600
272,2001-01-31,20.99,21.0,20.450001,20.809999,256500
273,2001-02-01,20.6,20.6,18.15,18.4,585600
274,2001-02-02,18.6,18.6,17.860001,17.889999,479200
275,2001-02-05,18.0,18.4,17.9,18.26,296400
276,2001-02-06,18.280001,18.51,18.18,18.48,205300
277,2001-02-07,18.35,19.0,18.280001,18.85,264400
278,2001-02-08,18.6,18.940001,18.43,18.549999,185400
279,2001-02-09,18.5,19.200001,18.4,18.959999,232500
280,2001-02-12,19.1,19.25,19.1,19.200001,169100
281,2001-02-13,19.190001,19.280001,19.01,19.15,100300
282,2001-02-14,19.0,19.4,19.0,19.18,507900
283,2001-02-15,19.01,19.5,19.01,19.370001,157200
284,2001-02-16,19.610001,19.610001,19.01,19.110001,733100
285,2001-02-20,19.129999,19.129999,18.700001,18.75,113700
286,2001-02-21,18.75,19.299999,18.75,18.93,187500
287,2001-02-22,18.940001,19.200001,18.799999,18.950001,94800
288,2001-02-23,19.049999,19.440001,18.85,19.24,220100
289,2001-02-26,19.25,19.75,19.24,19.5,81500
290,2001-02-27,19.4,19.98,19.379999,19.41,141500
291,2001-02-28,19.549999,19.940001,19.5,19.85,121000
292,2001-03-01,19.9,19.9,19.51,19.799999,146900
293,2001-03-02,19.6,20.549999,19.6,20.35,130500
294,2001-03-05,20.34,20.4,20.1,20.299999,87400
295,2001-03-06,20.299999,20.9,20.200001,20.9,125300
296,2001-03-07,20.799999,22.049999,20.799999,21.200001,163800
297,2001-03-08,21.0,21.469999,20.6,21.049999,116100
298,2001-03-09,21.0,21.120001,20.860001,21.01,182900
299,2001-03-12,20.59,21.0,20.27,20.27,129500
300,2001-03-13,20.280001,20.450001,19.9,20.440001,86100
301,2001-03-14,20.1,20.35,19.75,19.799999,80600
302,2001-03-15,19.9,20.200001,19.9,20.01,175900
303,2001-03-16,20.25,20.85,20.25,20.41,322300
304,2001-03-19,20.450001,20.6,20.4,20.450001,215000
305,2001-03-20,20.4,20.950001,20.4,20.5,258800
306,2001-03-21,20.700001,20.75,20.4,20.4,126700
307,2001-03-22,20.5,20.5,19.6,20.200001,192700
308,2001-03-23,20.200001,20.51,19.799999,20.5,178300
309,2001-03-26,20.51,20.74,20.5,20.73,115900
310,2001-03-27,20.700001,20.700001,20.18,20.4,314200
311,2001-03-28,20.5,20.5,19.799999,20.209999,101000
312,2001-03-29,20.4,20.799999,20.4,20.68,215900
313,2001-03-30,20.879999,21.950001,20.879999,21.700001,416100
314,2001-04-02,21.690001,21.74,21.4,21.4,387000
315,2001-04-03,21.41,21.41,21.0,21.0,303500
316,2001-04-04,20.9,21.5,20.85,21.33,174600
317,2001-04-05,21.34,22.0,21.34,22.0,294300
318,2001-04-06,22.0,22.0,19.92,20.84,360100
319,2001-04-09,20.9,21.5,20.9,21.25,462800
320,2001-04-10,21.25,21.85,21.25,21.709999,130600
321,2001-04-11,21.82,21.82,20.85,20.85,502700
322,2001-04-12,20.950001,21.459999,20.889999,21.26,122500
323,2001-04-16,21.16,21.190001,20.799999,20.92,182400
324,2001-04-17,20.93,20.93,20.450001,20.67,473000
325,2001-04-18,20.75,21.0,20.6,20.700001,207100
326,2001-04-19,20.700001,20.950001,20.700001,20.700001,247700
327,2001-04-20,20.58,20.6,19.6,19.85,177800
328,2001-04-23,19.5,19.690001,19.35,19.35,167900
329,2001-04-24,19.549999,19.879999,19.43,19.58,115300
330,2001-04-25,19.48,19.969999,19.4,19.85,145000
331,2001-04-26,19.84,20.6,19.75,20.4,149900
332,2001-04-27,20.200001,21.4,20.190001,21.370001,247700
333,2001-04-30,21.23,21.780001,21.23,21.299999,206900
334,2001-05-01,21.15,21.58,21.0,21.440001,94000
