,Date,Open,High,Low,Close,Volume
0,2000-01-03,10.666667,10.8125,10.375,10.5625,1188000
1,2000-01-04,10.541667,10.583333,10.1875,10.375,1565700
2,2000-01-05,10.354167,10.5625,10.145833,10.541667,2461800
3,2000-01-06,10.520833,11.458333,10.520833,11.1875,3629700
4,2000-01-07,11.520833,11.520833,11.0,11.270833,1439700
5,2000-01-10,11.354167,11.416667,11.208333,11.333333,748800
6,2000-01-11,11.1875,11.3125,11.083333,11.145833,826200
7,2000-01-12,11.020833,11.270833,11.020833,11.1875,864600
8,2000-01-13,11.3125,11.395833,11.125,11.1875,2897700
9,2000-01-14,11.1875,11.229167,10.9375,11.125,5083800
10,2000-01-18,11.0625,11.229167,10.958333,11.104167,1296600
11,2000-01-19,11.083333,11.1875,11.020833,11.104167,1097400
12,2000-01-20,11.083333,11.479167,11.041667,11.416667,2076900
13,2000-01-21,11.875,12.0625,11.666667,11.791667,2886000
14,2000-01-24,11.8125,12.104167,11.8125,11.9375,1769100
15,2000-01-25,12.020833,13.0625,11.979167,12.833333,4832100
16,2000-01-26,12.25,12.833333,12.041667,12.666667,2701500
17,2000-01-27,12.625,12.625,12.1875,12.291667,1982100
18,2000-01-28,12.25,12.25,11.854167,11.916667,1404900
19,2000-01-31,11.916667,11.958333,11.75,11.895833,1673700
20,2000-02-01,11.895833,11.895833,11.604167,11.666667,1577700
21,2000-02-02,11.666667,12.0625,11.416667,11.854167,7222500
22,2000-02-03,11.9375,12.020833,11.708333,11.791667,800700
23,2000-02-04,11.770833,12.1875,11.770833,12.104167,2298600
24,2000-02-07,12.0,12.145833,11.854167,11.854167,1297500
25,2000-02-08,11.916667,11.9375,11.666667,11.708333,1023900
26,2000-02-09,11.708333,11.708333,11.166667,11.1875,1068300
27,2000-02-10,11.229167,11.5625,11.020833,11.0625,976500
28,2000-02-11,10.979167,11.3125,10.833333,11.0,959700
29,2000-02-14,11.0,11.0,10.541667,10.625,1509300
30,2000-02-15,10.625,10.791667,10.541667,10.729167,2182500
31,2000-02-16,10.708333,11.291667,10.333333,10.75,2101800
32,2000-02-17,10.6875,10.6875,10.270833,10.3125,1389900
33,2000-02-18,10.291667,10.395833,9.833333,9.9375,2033100
34,2000-02-22,10.0,10.104167,9.770833,9.895833,5856000
35,2000-02-23,9.895833,10.166667,9.604167,9.770833,994800
36,2000-02-24,9.8125,9.8125,9.375,9.604167,3215700
37,2000-02-25,9.604167,9.625,9.229167,9.229167,2167500
38,2000-02-28,9.3125,9.375,9.166667,9.291667,2653500
39,2000-02-29,8.958333,9.208333,8.854167,9.0625,2582100
40,2000-03-01,8.916667,9.145833,8.208333,9.0625,5560800
41,2000-03-02,9.0625,9.145833,8.854167,9.125,2813100
42,2000-03-03,9.020833,9.416667,8.979167,9.270833,1230600
43,2000-03-06,9.9375,9.979167,9.166667,9.25,2680500
44,2000-03-07,9.291667,9.333333,8.770833,8.791667,1705800
45,2000-03-08,8.791667,8.8125,8.395833,8.4375,1733100
46,2000-03-09,8.4375,8.791667,8.270833,8.770833,2644800
47,2000-03-10,8.5,9.072917,8.395833,8.75,2575500
48,2000-03-13,8.604167,8.666667,8.4375,8.583333,3209700
49,2000-03-14,8.5,8.541667,8.333333,8.395833,3876900
50,2000-03-15,8.979167,9.4375,8.416667,9.333333,2316600
51,2000-03-16,9.25,10.208333,9.229167,10.145833,3479100
52,2000-03-17,10.666667,10.666667,10.0,10.0,3333000
53,2000-03-20,10.0,10.25,9.6875,9.8125,1453500
54,2000-03-21,9.729167,10.020833,9.541667,10.0,1165200
55,2000-03-22,9.916667,10.125,9.645833,10.041667,1336500
56,2000-03-23,9.958333,10.625,9.875,10.625,1929000
57,2000-03-24,10.541667,11.5625,10.5,11.333333,3634200
58,2000-03-27,11.291667,11.354167,10.666667,10.854167,2235000
59,2000-03-28,10.895833,11.020833,10.5,10.604167,1915800
60,2000-03-29,10.625,11.0625,10.583333,10.604167,2348400
61,2000-03-30,10.645833,11.041667,10.458333,10.9375,1998900
62,2000-03-31,10.75,11.25,10.625,11.145833,1884300
63,2000-04-03,11.145833,11.645833,11.145833,11.25,1803600
64,2000-04-04,11.333333,11.416667,10.666667,10.895833,2103300
65,2000-04-05,10.916667,11.5,10.8125,11.354167,2108700
66,2000-04-06,11.375,11.666667,11.333333,11.583333,1094700
67,2000-04-07,11.5,11.583333,11.229167,11.3125,1113600
68,2000-04-10,11.041667,11.25,10.916667,11.041667,1472400
69,2000-04-11,11.208333,11.458333,11.083333,11.395833,1932600
70,2000-04-12,11.4375,12.083333,11.416667,12.083333,3300000
71,2000-04-13,11.875,11.895833,11.583333,11.583333,3443100
72,2000-04-14,11.5,11.5,10.458333,10.604167,2034300
73,2000-04-17,10.354167,10.625,10.25,10.395833,1887300
74,2000-04-18,10.229167,11.083333,10.020833,11.041667,1385100
75,2000-04-19,10.958333,11.291667,10.625,10.916667,1127700
76,2000-04-20,10.708333,11.104167,10.708333,11.104167,871500
77,2000-04-24,11.145833,11.291667,10.9375,11.229167,1726800
78,2000-04-25,11.041667,11.583333,10.9375,11.541667,1438500
79,2000-04-26,11.333333,11.458333,10.916667,11.1875,1425300
80,2000-04-27,10.875,10.9375,10.3125,10.708333,2215800
81,2000-04-28,11.166667,11.166667,10.416667,10.75,2228100
82,2000-05-01,10.333333,11.0,10.333333,10.5,3306600
83,2000-05-02,10.458333,10.625,10.354167,10.541667,1988100
84,2000-05-03,10.458333,10.729167,10.0625,10.25,1858200
85,2000-05-04,10.208333,10.25,9.958333,9.958333,836400
86,2000-05-05,9.958333,10.354167,9.916667,9.916667,821700
87,2000-05-08,10.0,10.395833,9.958333,10.25,1049700
88,2000-05-09,10.166667,10.541667,10.020833,10.1875,779100
89,2000-05-10,10.229167,10.25,9.854167,9.979167,791700
90,2000-05-11,10.083333,10.25,9.958333,10.229167,887400
91,2000-05-12,10.083333,10.479167,10.0625,10.354167,768600
92,2000-05-15,10.625,10.75,10.604167,10.708333,915300
93,2000-05-16,10.6875,10.770833,10.583333,10.729167,1140900
94,2000-05-17,10.5,10.729167,10.395833,10.625,864600
95,2000-05-18,10.583333,11.083333,10.5625,10.625,821100
96,2000-05-19,10.208333,10.520833,9.9375,9.958333,1150800
97,2000-05-22,10.041667,10.25,9.583333,9.895833,1109700
98,2000-05-23,9.958333,10.1875,9.916667,10.083333,1165500
99,2000-05-24,10.145833,10.583333,10.145833,10.3125,1226700
100,2000-05-25,10.229167,10.541667,9.6875,9.8125,1255800
101,2000-05-26,9.895833,10.083333,9.791667,9.854167,2280600
102,2000-05-30,9.833333,10.041667,9.791667,9.979167,931500
103,2000-05-31,9.854167,10.229167,9.791667,10.0,1993800
104,2000-06-01,9.979167,10.333333,9.854167,10.145833,2248500
105,2000-06-02,10.229167,10.9375,10.229167,10.8125,1772100
106,2000-06-05,10.854167,10.979167,10.625,10.666667,1029300
107,2000-06-06,10.583333,10.625,10.333333,10.5,973200
108,2000-06-07,10.479167,11.083333,10.479167,10.875,1508100
109,2000-06-08,10.8125,10.875,10.291667,10.3125,1131000
110,2000-06-09,10.354167,10.791667,10.104167,10.1875,1621200
111,2000-06-12,10.270833,10.375,10.020833,10.0625,672000
112,2000-06-13,10.020833,10.333333,10.020833,10.3125,716700
113,2000-06-14,10.625,10.625,10.3125,10.3125,1812000
114,2000-06-15,10.291667,10.291667,9.395833,9.854167,3807600
115,2000-06-16,9.854167,9.958333,9.75,9.833333,2202000
116,2000-06-19,9.8125,10.5,9.8125,10.25,2607000
117,2000-06-20,10.208333,10.416667,10.166667,10.333333,1754400
118,2000-06-21,10.25,10.375,9.854167,10.0,1288500
119,2000-06-22,9.916667,10.020833,9.833333,9.958333,1170600
120,2000-06-23,9.979167,9.979167,9.541667,9.75,1191600
121,2000-06-26,9.791667,10.270833,9.729167,10.25,2025300
122,2000-06-27,10.270833,10.479167,10.104167,10.229167,864900
123,2000-06-28,10.145833,10.416667,10.104167,10.302083,1196700
124,2000-06-29,10.229167,10.5,10.104167,10.291667,1899600
125,2000-06-30,10.333333,10.583333,10.0,10.125,2346900
126,2000-07-03,10.0625,10.375,10.0,10.333333,966600
127,2000-07-05,10.375,10.604167,10.229167,10.3125,1394400
128,2000-07-06,10.395833,10.479167,10.083333,10.4375,753900
129,2000-07-07,10.5,10.666667,10.5,10.625,1062600
130,2000-07-10,10.583333,10.75,10.416667,10.666667,2220000
131,2000-07-11,10.645833,11.104167,10.645833,10.9375,2159700
132,2000-07-12,11.333333,11.666667,11.1875,11.375,3371100
133,2000-07-13,11.375,11.791667,11.375,11.6875,1735500
134,2000-07-14,11.75,11.958333,11.6875,11.791667,1378200
135,2000-07-17,11.75,11.75,11.208333,11.416667,1667100
136,2000-07-18,11.416667,11.416667,11.020833,11.1875,668700
137,2000-07-19,11.208333,11.208333,10.875,10.958333,756600
138,2000-07-20,10.979167,11.416667,10.9375,11.25,3288300
139,2000-07-21,11.333333,11.541667,11.208333,11.354167,1717500
140,2000-07-24,11.354167,11.416667,11.208333,11.270833,1230300
141,2000-07-25,11.3125,11.333333,11.166667,11.270833,1057200
142,2000-07-26,11.25,11.25,11.041667,11.083333,1364100
143,2000-07-27,11.083333,11.583333,11.083333,11.479167,1022700
144,2000-07-28,11.541667,11.770833,11.479167,11.541667,2727600
145,2000-07-31,11.625,12.0625,11.604167,11.958333,3115800
146,2000-08-01,12.041667,12.145833,11.854167,11.979167,1135200
147,2000-08-02,11.8125,11.979167,11.791667,11.895833,1377300
148,2000-08-03,11.854167,11.875,11.625,11.6875,1346100
149,2000-08-04,11.770833,12.333333,11.770833,12.1875,2085300
150,2000-08-07,12.25,12.645833,12.020833,12.583333,1512600
151,2000-08-08,12.541667,12.541667,12.3125,12.5,1377600
152,2000-08-09,12.166667,12.291667,11.854167,12.083333,1935600
153,2000-08-10,12.208333,12.291667,11.8125,11.854167,1155000
154,2000-08-11,11.9375,12.0625,11.729167,11.8125,1817400
155,2000-08-14,11.875,11.895833,11.583333,11.875,1440000
156,2000-08-15,11.895833,11.895833,11.625,11.625,1246500
157,2000-08-16,11.5,11.708333,11.5,11.541667,1210500
158,2000-08-17,11.625,11.8125,11.583333,11.666667,1249200
159,2000-08-18,11.5,11.645833,11.375,11.479167,1158600
160,2000-08-21,11.416667,12.083333,11.3125,11.9375,1302600
