,Date,Open,High,Low,Close,Volume
0,2000-01-03,22.4375,22.4375,21.6875,21.875,38700
1,2000-01-04,21.875,21.875,21.5,21.6875,21900
2,2000-01-05,21.75,22.625,21.5625,22.4375,20500
3,2000-01-06,22.5,22.625,22.0625,22.625,22800
4,2000-01-07,22.5625,22.875,22.0625,22.8125,31400
5,2000-01-10,22.9375,23.0,22.5625,22.8125,35800
6,2000-01-11,22.8125,22.875,22.5,22.5,19800
7,2000-01-12,22.5,22.5,21.75,21.875,22600
8,2000-01-13,21.75,22.3125,21.625,22.3125,23400
9,2000-01-14,22.1875,22.5,21.875,22.0625,12900
10,2000-01-18,21.5625,21.9375,21.5,21.875,51500
11,2000-01-19,21.125,22.25,21.125,22.25,55000
12,2000-01-20,22.375,22.4375,21.6875,22.4375,31200
13,2000-01-21,22.6875,23.5,22.6875,23.3125,57100
14,2000-01-24,23.5,24.3125,23.5,24.0625,45400
15,2000-01-25,24.3125,24.4375,24.0,24.1875,43800
16,2000-01-26,24.1875,24.9375,24.1875,24.9375,35700
17,2000-01-27,24.9375,25.0,23.9375,24.1875,57900
18,2000-01-28,24.0625,24.5625,24.0625,24.25,24400
19,2000-01-31,24.375,24.375,23.5,23.9375,42100
20,2000-02-01,24.0,24.0,23.6875,24.0,20200
21,2000-02-02,23.9375,24.0,23.875,23.9375,14300
22,2000-02-03,24.0,24.375,23.875,24.3125,46500
23,2000-02-04,24.25,24.25,24.0,24.1875,19600
24,2000-02-07,24.1875,24.5625,24.1875,24.1875,16400
25,2000-02-08,24.25,24.8125,24.25,24.6875,31800
26,2000-02-09,24.5,25.1875,24.1875,25.0625,38300
27,2000-02-10,25.0,25.0,24.125,24.125,17200
28,2000-02-11,23.9375,24.4375,23.5,23.5,23500
29,2000-02-14,23.3125,23.8125,23.0625,23.8125,23100
30,2000-02-15,23.75,23.75,23.0625,23.5,25800
31,2000-02-16,23.5625,23.5625,23.0,23.0625,14700
32,2000-02-17,22.8125,23.25,22.8125,23.0,26300
33,2000-02-18,22.9375,22.9375,21.8125,22.1875,26600
34,2000-02-22,22.125,22.125,21.125,21.4375,66400
35,2000-02-23,21.5,21.5,21.0625,21.25,47300
36,2000-02-24,21.0625,21.125,20.4375,20.5625,41100
37,2000-02-25,20.5,20.9375,20.5,20.8125,67400
38,2000-02-28,20.9375,21.375,20.625,21.375,37700
39,2000-02-29,21.5,22.0,21.5,22.0,66500
40,2000-03-01,22.0,22.1875,21.875,22.125,60900
41,2000-03-02,22.1875,22.8125,22.0625,22.6875,37900
42,2000-03-03,22.875,22.9375,22.6875,22.8125,27700
43,2000-03-06,22.625,22.625,22.3125,22.5,27700
44,2000-03-07,22.5625,22.9375,22.5625,22.9375,23400
45,2000-03-08,23.0,23.4375,23.0,23.25,33600
46,2000-03-09,23.1875,23.3125,22.9375,23.125,12800
47,2000-03-10,23.0625,23.1875,22.9375,22.9375,17500
48,2000-03-13,22.6875,22.8125,22.0,22.125,34900
49,2000-03-14,22.125,22.125,21.5,22.125,25100
50,2000-03-15,21.875,22.25,21.625,22.125,21000
51,2000-03-16,22.25,23.1875,22.125,22.9375,47100
52,2000-03-17,22.5,22.6875,22.25,22.625,37300
53,2000-03-20,22.375,22.5,22.1875,22.375,29600
54,2000-03-21,22.375,22.5625,22.25,22.375,23700
55,2000-03-22,22.375,22.4375,21.8125,22.375,27000
56,2000-03-23,22.3125,22.375,22.25,22.25,21900
57,2000-03-24,22.0,22.1875,22.0,22.0625,12200
58,2000-03-27,22.0625,22.1875,21.75,22.0625,35500
59,2000-03-28,22.125,22.375,22.125,22.1875,43700
60,2000-03-29,22.1875,22.375,22.0625,22.0625,34800
61,2000-03-30,22.1875,22.5,22.1875,22.5,35800
62,2000-03-31,22.5,22.625,22.0625,22.0625,82800
63,2000-04-03,21.8125,22.25,21.75,21.9375,36900
64,2000-04-04,22.0,22.0,21.375,21.625,39500
65,2000-04-05,21.5625,22.25,21.5625,22.1875,36400
66,2000-04-06,22.3125,22.5,22.3125,22.4375,24000
67,2000-04-07,22.3125,22.5,22.0,22.125,16300
68,2000-04-10,22.1875,22.1875,21.5625,21.5625,24900
69,2000-04-11,21.5625,22.1875,21.5625,21.6875,31600
70,2000-04-12,21.5625,22.1875,21.5,21.625,19300
71,2000-04-13,21.625,21.875,21.3125,21.4375,27000
72,2000-04-14,21.375,21.5,21.0,21.4375,25000
73,2000-04-17,21.3125,21.375,20.875,21.375,27400
74,2000-04-18,21.1875,21.5625,21.0,21.5625,42200
75,2000-04-19,21.5,21.5625,21.5,21.5,25900
76,2000-04-20,21.5625,21.6875,21.375,21.5625,33800
77,2000-04-24,21.5,21.75,21.5,21.625,16800
78,2000-04-25,21.75,21.875,21.5625,21.875,16500
79,2000-04-26,21.9375,22.25,21.875,22.1875,138500
80,2000-04-27,22.0625,23.0,21.9375,23.0,35900
81,2000-04-28,22.875,22.9375,22.3125,22.9375,30300
82,2000-05-01,22.8125,23.125,22.0,23.125,88000
83,2000-05-02,22.9375,23.5625,22.8125,23.5625,59300
84,2000-05-03,23.4375,23.5625,22.125,22.125,25300
85,2000-05-04,22.3125,23.125,22.1875,23.125,53600
86,2000-05-05,23.375,23.75,23.125,23.5,35000
87,2000-05-08,23.125,23.5,22.9375,23.25,27800
88,2000-05-09,23.25,23.375,23.0,23.375,35200
89,2000-05-10,23.125,23.3125,22.875,22.9375,6000
90,2000-05-11,23.0,23.25,22.9375,23.1875,25700
