,Date,Open,High,Low,Close,Volume
0,2000-01-03,315.0,318.0,288.0,307.5,847700
1,2000-01-04,308.25,343.5,307.5,324.0,972750
2,2000-01-05,331.5,385.3125,327.75,359.625,1605417
3,2000-01-06,368.25,384.75,326.25,345.0,1175267
4,2000-01-07,358.125,364.5,333.75,343.5,339417
5,2000-01-10,352.125,357.75,317.25,325.5,2018800
6,2000-01-11,322.5,342.0,311.25,316.875,842983
7,2000-01-12,321.75,325.125,306.0,306.75,283767
8,2000-01-13,318.65625,319.125,300.0,309.75,299467
9,2000-01-14,315.0,342.0,313.5,341.25,789733
10,2000-01-18,334.5,355.875,333.0,355.125,572700
11,2000-01-19,354.0,377.25,349.875,374.625,710433
12,2000-01-20,370.875,372.0,354.0,371.625,580500
13,2000-01-21,374.25,387.0,369.0,381.0,825317
14,2000-01-24,383.625,386.625,357.0,359.625,401500
15,2000-01-25,358.875,379.5,336.0,377.625,414783
16,2000-01-26,382.125,408.375,379.5,397.5,878317
17,2000-01-27,406.5,415.5,378.375,384.75,1031917
18,2000-01-28,384.375,385.125,348.0,357.75,568800
19,2000-01-31,358.5,359.25,339.0,348.0,343917
20,2000-02-01,350.25,350.25,338.25,343.5,205517
21,2000-02-02,343.5,372.0,343.5,357.375,390067
22,2000-02-03,365.625,370.5,347.25,357.375,354067
23,2000-02-04,369.0,372.0,355.5,362.25,246950
24,2000-02-07,351.75,371.25,348.0,361.5,329717
25,2000-02-08,361.5,362.25,338.25,348.375,1567083
26,2000-02-09,350.625,356.25,339.0,350.625,529117
27,2000-02-10,350.625,351.0,336.0,337.5,307933
28,2000-02-11,339.0,339.75,321.0,323.25,235717
29,2000-02-14,329.625,334.125,323.25,326.25,228417
30,2000-02-15,331.5,331.5,313.5,318.0,221433
31,2000-02-16,317.25,321.75,312.75,317.625,193033
32,2000-02-17,324.75,334.5,317.25,330.0,281433
33,2000-02-18,329.25,330.0,306.0,306.0,290850
34,2000-02-22,306.375,312.0,291.0,300.75,242783
35,2000-02-23,301.125,318.75,300.375,311.25,313117
36,2000-02-24,339.0,345.0,319.875,340.5,894867
37,2000-02-25,343.875,345.75,328.5,341.25,401167
38,2000-02-28,344.625,345.0,321.0,323.25,229117
39,2000-02-29,324.75,342.0,312.0,335.625,465383
40,2000-03-01,354.75,388.5,354.0,386.25,2040883
41,2000-03-02,393.0,430.5,393.0,429.0,1558650
42,2000-03-03,435.0,450.375,422.625,450.0,1235600
43,2000-03-06,453.0,558.0,452.25,541.125,2516400
44,2000-03-07,579.75,580.5,459.0,471.75,2291917
45,2000-03-08,508.125,539.625,474.75,525.375,1705367
46,2000-03-09,535.5,585.0,520.5,562.125,1778400
47,2000-03-10,564.0,587.25,554.25,567.0,684417
48,2000-03-13,516.0,598.5,494.25,575.625,749767
49,2000-03-14,584.25,625.5,569.25,569.625,833183
50,2000-03-15,567.75,569.25,528.0,534.0,423417
51,2000-03-16,538.5,553.125,498.0,527.625,490267
52,2000-03-17,521.625,552.0,516.0,540.0,191567
53,2000-03-20,506.25,516.375,462.0,466.125,678683
54,2000-03-21,456.0,503.25,453.0,487.5,442467
55,2000-03-22,492.75,528.0,492.75,522.0,367000
56,2000-03-23,517.5,538.125,510.0,528.0,340483
57,2000-03-24,536.25,552.375,525.375,543.0,344750
58,2000-03-27,547.125,560.25,543.0,552.0,217650
59,2000-03-28,541.5,551.25,513.0,521.625,236783
60,2000-03-29,522.0,526.875,490.5,490.875,393783
61,2000-03-30,479.25,496.5,471.0,486.75,473467
62,2000-03-31,490.5,492.0,437.625,480.0,442117
63,2000-04-03,465.375,466.125,390.0,392.25,617133
64,2000-04-04,413.25,453.0,348.0,451.5,839733
65,2000-04-05,440.625,453.0,408.0,431.625,409817
66,2000-04-06,435.75,476.25,435.75,462.75,315733
67,2000-04-07,481.5,516.0,445.875,468.375,617167
68,2000-04-10,473.625,473.625,426.0,437.25,387383
69,2000-04-11,421.5,424.125,372.0,390.375,741083
70,2000-04-12,398.25,399.0,359.25,360.75,509250
71,2000-04-13,369.0,390.75,363.0,372.75,736000
72,2000-04-14,357.0,372.0,311.25,351.28125,1033517
73,2000-04-17,333.75,340.5,297.75,312.375,730683
74,2000-04-18,316.5,389.625,292.5,384.0,1059817
75,2000-04-19,381.0,390.75,342.0,390.375,581250
76,2000-04-20,395.25,415.125,385.5,407.25,406567
77,2000-04-24,378.0,396.0,337.5,370.5,538417
78,2000-04-25,390.75,415.5,373.5,387.375,501533
79,2000-04-26,396.0,396.375,366.0,383.25,529317
80,2000-04-27,360.0,405.75,357.0,389.625,372867
81,2000-04-28,390.375,402.0,375.75,379.5,484467
82,2000-05-01,387.375,395.25,378.375,381.375,471267
83,2000-05-02,381.75,387.0,354.0,357.0,283417
84,2000-05-03,352.5,354.0,330.75,348.09375,304650
85,2000-05-04,350.25,370.875,339.0,347.625,332667
86,2000-05-05,344.25,356.25,340.875,344.625,264800
87,2000-05-08,349.125,357.75,329.25,329.25,204667
88,2000-05-09,331.125,332.25,303.75,317.625,348650
89,2000-05-10,312.0,321.75,300.375,309.375,316133
90,2000-05-11,314.25,317.25,294.75,297.0,292850
91,2000-05-12,301.5,310.5,295.875,298.125,253617
92,2000-05-15,309.0,310.5,270.75,302.625,520033
93,2000-05-16,311.25,343.40625,311.25,324.375,852017
94,2000-05-17,317.625,319.5,299.25,304.125,522450
95,2000-05-18,304.5,309.0,279.0,282.375,534167
96,2000-05-19,279.0,287.25,267.0,268.5,389450
97,2000-05-22,270.0,270.0,246.375,266.625,505200
98,2000-05-23,268.875,269.25,240.0,243.0,413433
99,2000-05-24,240.0,241.5,198.375,219.0,1009067
100,2000-05-25,241.125,250.875,210.75,217.5,831933
101,2000-05-26,217.875,222.75,201.75,216.75,259833
102,2000-05-30,222.75,237.75,214.5,235.5,393217
103,2000-05-31,232.125,234.0,223.5,228.75,287783
104,2000-06-01,232.125,254.25,231.0,251.625,638033
105,2000-06-02,255.0,286.5,255.0,279.0,601767
106,2000-06-05,278.625,309.0,271.875,294.0,514350
107,2000-06-06,295.5,295.5,264.375,264.375,309833
108,2000-06-07,263.25,277.5,261.0,270.0,342200
109,2000-06-08,277.125,280.125,265.5,273.375,379233
110,2000-06-09,279.75,282.0,267.0,270.75,254267
111,2000-06-12,270.0,276.0,246.375,252.0,310533
112,2000-06-13,252.75,265.5,246.75,261.0,246167
113,2000-06-14,262.5,271.5,258.0,259.125,184217
114,2000-06-15,267.375,274.875,252.75,256.5,279133
115,2000-06-16,259.875,264.0,252.75,259.125,178700
116,2000-06-19,259.125,268.5,257.25,267.375,151750
117,2000-06-20,275.25,284.25,270.375,279.0,625800
118,2000-06-21,275.25,276.75,264.0,270.0,181900
119,2000-06-22,273.75,282.0,264.0,271.875,307267
120,2000-06-23,267.75,268.5,234.75,250.875,968700
121,2000-06-26,252.75,253.5,226.125,228.0,629400
122,2000-06-27,229.125,242.25,228.375,240.0,257050
123,2000-06-28,240.0,246.75,237.0,241.125,269817
124,2000-06-29,215.625,223.3125,199.875,220.875,1322883
125,2000-06-30,219.0,229.5,213.0,227.90625,407750
126,2000-07-03,230.625,240.0,222.0,240.0,106400
127,2000-07-05,234.75,235.5,222.0,222.75,158133
128,2000-07-06,222.375,230.25,216.0,228.375,214517
129,2000-07-07,227.625,228.375,222.0,225.375,127150
130,2000-07-10,227.625,228.75,222.75,223.5,172133
131,2000-07-11,223.5,223.5,194.25,195.0,634233
132,2000-07-12,205.5,217.5,195.75,213.75,787533
133,2000-07-13,219.0,233.625,211.5,230.625,568333
134,2000-07-14,236.25,244.125,229.875,236.625,875950
135,2000-07-17,240.75,244.5,234.0,237.375,458517
136,2000-07-18,237.375,242.25,223.5,232.5,468683
137,2000-07-19,229.78125,241.5,225.0,238.5,237933
138,2000-07-20,240.75,245.25,237.0,243.375,268400
139,2000-07-21,243.0,251.25,237.0,240.375,403917
140,2000-07-24,234.0,234.375,183.0,186.75,2586733
141,2000-07-25,199.125,199.125,180.0,187.5,1710217
142,2000-07-26,186.75,187.5,169.125,171.75,867600
143,2000-07-27,168.0,168.0,144.375,154.875,1140833
144,2000-07-28,157.875,159.0,138.75,147.0,948967
145,2000-07-31,153.0,153.0,135.75,141.75,974450
146,2000-08-01,151.125,159.75,147.375,149.625,1063017
147,2000-08-02,151.875,154.875,146.25,148.875,555367
148,2000-08-03,144.375,146.25,140.25,145.875,403267
149,2000-08-04,148.125,150.375,142.5,145.5,285817
150,2000-08-07,147.0,167.25,142.5,165.0,814500
151,2000-08-08,166.5,179.625,159.375,168.0,774417
152,2000-08-09,173.25,174.0,149.625,153.75,605400
153,2000-08-10,153.75,153.75,141.0,142.5,624050
154,2000-08-11,138.0,148.5,137.25,144.0,373750
155,2000-08-14,147.0,152.625,138.0,147.375,550533
156,2000-08-15,144.75,157.5,144.375,152.25,496783
157,2000-08-16,152.625,163.5,150.0,150.75,507367
158,2000-08-17,150.0,154.5,146.625,151.5,417683
159,2000-08-18,154.5,159.0,150.375,158.625,372950
160,2000-08-21,160.875,160.875,150.0,153.0,359183
161,2000-08-22,155.25,155.25,147.75,148.5,179900
162,2000-08-23,149.625,155.25,147.0,152.625,410533
163,2000-08-24,155.625,168.0,155.25,162.75,785600
164,2000-08-25,162.1875,164.25,156.75,159.0,469117
165,2000-08-28,159.75,164.25,157.125,160.125,269200
166,2000-08-29,160.125,166.125,160.125,165.0,402150
167,2000-08-30,163.125,174.0,162.0,166.5,575617
168,2000-08-31,170.625,171.0,155.625,163.125,575533
169,2000-09-01,162.375,164.25,153.75,155.625,430633
