,Date,Open,High,Low,Close,Volume
0,2000-01-03,3.765625,3.765625,3.75,3.75,25600
1,2000-01-04,3.75,3.96875,3.75,3.8125,62400
2,2000-01-05,3.804688,3.859375,3.773438,3.859375,13600
3,2000-01-06,3.84375,3.90625,3.84375,3.90625,36000
4,2000-01-07,3.9375,3.9375,3.9375,3.9375,17600
5,2000-01-10,3.96875,3.96875,3.90625,3.9375,5600
6,2000-01-11,3.960938,3.960938,3.960938,3.960938,1600
7,2000-01-12,3.929688,3.929688,3.84375,3.875,20000
8,2000-01-13,3.875,3.921875,3.875,3.890625,19200
9,2000-01-14,3.921875,3.9375,3.859375,3.859375,13600
10,2000-01-18,3.828125,3.882813,3.820313,3.851563,15200
11,2000-01-19,3.820313,3.820313,3.8125,3.8125,31200
12,2000-01-20,3.8125,3.8125,3.78125,3.8125,16000
13,2000-01-21,3.78125,3.890625,3.78125,3.890625,14400
14,2000-01-24,3.890625,3.9375,3.859375,3.859375,13600
15,2000-01-25,3.859375,3.859375,3.859375,3.859375,6400
16,2000-01-26,3.859375,3.859375,3.859375,3.859375,0
17,2000-01-27,3.828125,3.859375,3.8125,3.859375,4800
18,2000-01-28,3.859375,3.859375,3.859375,3.859375,4800
19,2000-01-31,3.84375,3.84375,3.828125,3.84375,20000
20,2000-02-01,3.875,3.929688,3.875,3.875,23200
21,2000-02-02,3.90625,3.90625,3.875,3.882813,16000
22,2000-02-03,3.9375,3.984375,3.929688,3.984375,25600
23,2000-02-04,4.0,4.046875,3.96875,4.046875,36000
24,2000-02-07,4.046875,4.046875,4.0,4.0,11200
25,2000-02-08,4.0,4.0,3.9375,3.96875,20000
26,2000-02-09,3.96875,4.0,3.96875,4.0,6400
27,2000-02-10,4.0,4.0,4.0,4.0,0
28,2000-02-11,4.0,4.109375,4.0,4.078125,35200
29,2000-02-14,4.046875,4.078125,4.015625,4.078125,23200
30,2000-02-15,4.109375,4.125,4.078125,4.125,11200
31,2000-02-16,4.125,4.125,4.09375,4.125,6400
32,2000-02-17,4.09375,4.125,4.09375,4.125,6400
33,2000-02-18,4.15625,4.203125,4.109375,4.125,16800
34,2000-02-22,4.09375,4.09375,4.09375,4.09375,1600
35,2000-02-23,4.0625,4.0625,4.015625,4.015625,8000
36,2000-02-24,4.0,4.0,4.0,4.0,800
37,2000-02-25,4.0,4.0,3.9375,3.9375,5600
38,2000-02-28,3.90625,3.90625,3.84375,3.84375,16800
39,2000-02-29,3.835938,3.867188,3.835938,3.835938,20000
40,2000-03-01,3.828125,3.828125,3.828125,3.828125,1600
41,2000-03-02,3.820313,3.875,3.8125,3.875,12800
42,2000-03-03,3.84375,3.875,3.84375,3.84375,21600
43,2000-03-06,3.828125,3.828125,3.820313,3.820313,18400
44,2000-03-07,3.820313,3.84375,3.796875,3.796875,62400
45,2000-03-08,3.828125,3.828125,3.8125,3.828125,4800
46,2000-03-09,3.828125,3.828125,3.828125,3.828125,1600
47,2000-03-10,3.8125,3.84375,3.8125,3.84375,11200
48,2000-03-13,3.84375,3.84375,3.84375,3.84375,6400
49,2000-03-14,3.84375,3.84375,3.84375,3.84375,6400
50,2000-03-15,3.875,3.875,3.875,3.875,1600
51,2000-03-16,3.90625,4.015625,3.875,4.015625,44000
52,2000-03-17,4.0,4.0,3.875,3.9375,85600
53,2000-03-20,3.96875,4.03125,3.9375,4.03125,42400
54,2000-03-21,4.0625,4.078125,4.0625,4.0625,7200
55,2000-03-22,4.085938,4.109375,4.085938,4.109375,11200
56,2000-03-23,4.109375,4.109375,4.109375,4.109375,0
57,2000-03-24,4.140625,4.203125,4.140625,4.164063,8800
58,2000-03-27,4.15625,4.265625,4.15625,4.265625,17600
59,2000-03-28,4.296875,4.46875,4.296875,4.4375,12800
60,2000-03-29,4.453125,4.53125,4.453125,4.5,79200
61,2000-03-30,4.53125,4.546875,4.5,4.53125,24800
62,2000-03-31,4.507813,4.578125,4.507813,4.53125,36800
63,2000-04-03,4.609375,4.671875,4.59375,4.59375,42400
64,2000-04-04,4.625,4.625,4.5625,4.5625,7200
65,2000-04-05,4.5625,4.5625,4.46875,4.46875,20800
66,2000-04-06,4.4375,4.4375,4.4375,4.4375,2400
67,2000-04-07,4.40625,4.40625,4.28125,4.28125,25600
68,2000-04-10,4.3125,4.3125,4.3125,4.3125,2400
69,2000-04-11,4.28125,4.28125,4.265625,4.265625,21600
70,2000-04-12,4.265625,4.375,4.265625,4.375,15200
71,2000-04-13,4.40625,4.40625,4.40625,4.40625,800
72,2000-04-14,4.375,4.375,4.21875,4.21875,98400
73,2000-04-17,4.25,4.25,4.21875,4.25,13600
74,2000-04-18,4.28125,4.28125,4.234375,4.234375,7200
75,2000-04-19,4.265625,4.265625,4.265625,4.265625,3200
76,2000-04-20,4.28125,4.28125,4.28125,4.28125,11200
77,2000-04-24,4.257813,4.257813,4.234375,4.234375,16800
78,2000-04-25,4.21875,4.21875,4.21875,4.21875,800
79,2000-04-26,4.1875,4.1875,4.1875,4.1875,800
80,2000-04-27,4.1875,4.1875,4.1875,4.1875,0
81,2000-04-28,4.1875,4.1875,4.046875,4.046875,25600
82,2000-05-01,4.015625,4.046875,3.90625,3.96875,43200
83,2000-05-02,3.9375,3.9375,3.90625,3.9375,8800
84,2000-05-03,3.9375,3.9375,3.9375,3.9375,0
85,2000-05-04,3.9375,3.9375,3.9375,3.9375,800
86,2000-05-05,3.9375,3.9375,3.9375,3.9375,0
87,2000-05-08,3.96875,3.96875,3.9375,3.9375,4000
88,2000-05-09,3.9375,4.0,3.9375,4.0,6400
89,2000-05-10,4.03125,4.03125,3.96875,3.96875,24000
90,2000-05-11,3.96875,3.96875,3.960938,3.960938,4000
91,2000-05-12,3.96875,3.984375,3.96875,3.96875,5600
92,2000-05-15,3.96875,3.96875,3.96875,3.96875,0
93,2000-05-16,3.953125,3.984375,3.953125,3.953125,24800
94,2000-05-17,3.953125,3.953125,3.953125,3.953125,24000
