,Date,Open,High,Low,Close,Volume
0,2000-01-03,17.936333,18.602697,17.714211,18.158455,23298
1,2000-01-04,17.741976,17.769741,17.714211,17.714211,3039
2,2000-01-05,17.492088,18.269514,17.464325,18.269514,5515
3,2000-01-06,17.769741,18.213984,17.769741,18.213984,2364
4,2000-01-07,18.213984,18.213984,17.783625,17.783625,12381
5,2000-01-10,17.769741,18.269514,17.769741,18.269514,3714
6,2000-01-11,17.769741,17.769741,15.992767,16.548071,58189
7,2000-01-12,16.49254,16.603601,16.21489,16.21489,27350
8,2000-01-13,16.770193,17.492088,16.21489,16.21489,40406
9,2000-01-14,16.881254,16.881254,16.270418,16.603601,11480
10,2000-01-18,16.020533,16.21489,15.937236,16.159357,22060
11,2000-01-19,16.21489,16.381479,16.103828,16.21489,21272
12,2000-01-20,16.49254,16.49254,15.881706,15.881706,27350
13,2000-01-21,15.992767,15.992767,15.881706,15.881706,20709
14,2000-01-24,15.881706,15.881706,14.160262,14.993219,42094
15,2000-01-25,15.826176,15.826176,15.048749,15.10428,32077
16,2000-01-26,15.10428,15.437462,15.10428,15.10428,49185
17,2000-01-27,15.74288,15.74288,14.771097,14.771097,31627
18,2000-01-28,14.993219,15.437462,14.771097,14.882158,21610
19,2000-01-31,14.78498,14.882158,14.771097,14.882158,7316
20,2000-02-01,14.826628,14.826628,14.493445,14.548975,39618
21,2000-02-02,14.548975,14.715567,13.382836,13.660488,45133
22,2000-02-03,14.548975,15.270871,13.549427,13.979788,102646
23,2000-02-04,14.660036,14.660036,14.215793,14.215793,9904
24,2000-02-07,14.215793,14.437915,13.216245,14.437915,107936
25,2000-02-08,13.771549,14.715567,13.771549,14.660036,15870
26,2000-02-09,14.215793,15.10428,14.215793,14.937688,32302
27,2000-02-10,14.326854,15.048749,14.326854,14.660036,7428
28,2000-02-11,14.687802,14.771097,14.493445,14.660036,6753
29,2000-02-14,14.326854,14.660036,14.104732,14.104732,51323
30,2000-02-15,14.437915,14.660036,14.437915,14.660036,9229
31,2000-02-16,14.660036,14.771097,14.215793,14.215793,15757
32,2000-02-17,14.437915,14.660036,14.437915,14.493445,46146
33,2000-02-18,14.326854,14.493445,14.326854,14.326854,3827
34,2000-02-22,14.493445,14.604506,13.771549,13.771549,84188
35,2000-02-23,13.771549,13.993671,13.660488,13.660488,17783
36,2000-02-24,13.771549,13.771549,13.604958,13.604958,88915
37,2000-02-25,13.604958,13.771549,13.604958,13.604958,29376
38,2000-02-28,13.771549,13.771549,13.604958,13.716019,73271
39,2000-02-29,13.660488,13.771549,13.549427,13.771549,39505
40,2000-03-01,13.660488,13.993671,13.604958,13.938141,13956
41,2000-03-02,13.993671,14.993219,13.729901,14.993219,49860
42,2000-03-03,14.771097,14.771097,13.771549,13.771549,46146
43,2000-03-06,13.82708,15.437462,13.716019,15.437462,71357
44,2000-03-07,14.076967,15.326402,14.049201,14.049201,33315
45,2000-03-08,14.215793,14.882158,14.049201,14.882158,25774
46,2000-03-09,14.882158,15.326402,14.660036,15.10428,14407
47,2000-03-10,15.326402,15.326402,14.660036,14.660036,11143
48,2000-03-13,14.660036,14.660036,14.660036,14.660036,1126
49,2000-03-14,14.771097,15.020984,14.771097,14.937688,14069
50,2000-03-15,14.882158,14.965454,14.660036,14.715567,17896
51,2000-03-16,14.909923,15.312519,14.909923,15.270871,22398
52,2000-03-17,14.771097,14.882158,14.715567,14.882158,8441
53,2000-03-20,15.10428,15.10428,14.882158,14.882158,13056
54,2000-03-21,14.882158,15.326402,14.882158,15.326402,29601
