,Date,Open,High,Low,Close,Volume
0,2000-01-03,146.25,146.25,135.0,136.875,943
1,2000-01-04,135.0,135.0,129.375,129.375,270
2,2000-01-05,127.5,131.25,127.5,127.5,270
3,2000-01-06,127.5,127.5,127.5,127.5,0
4,2000-01-07,129.375,131.25,129.375,131.25,107
5,2000-01-10,131.25,131.25,123.75,127.5,30
6,2000-01-11,127.5,127.5,123.75,127.5,203
7,2000-01-12,127.5,127.5,127.5,127.5,3
8,2000-01-13,125.625,125.625,123.75,123.75,1880
9,2000-01-14,123.75,123.75,121.875,123.75,6123
10,2000-01-18,123.75,127.5,123.75,123.75,737
11,2000-01-19,125.625,127.5,125.625,127.5,100
12,2000-01-20,123.75,123.75,123.75,123.75,470
13,2000-01-21,123.75,123.75,123.75,123.75,163
14,2000-01-24,121.875,123.75,121.875,121.875,1007
15,2000-01-25,121.875,123.75,121.875,123.75,90
16,2000-01-26,123.75,127.5,121.875,121.875,77
17,2000-01-27,125.625,131.25,123.75,127.5,750
18,2000-01-28,125.625,129.375,125.625,129.375,67
19,2000-01-31,127.5,127.5,123.75,123.75,167
20,2000-02-01,123.75,123.75,123.75,123.75,20
21,2000-02-02,123.75,123.75,123.75,123.75,0
22,2000-02-03,121.875,123.75,121.875,121.875,133
23,2000-02-04,125.625,125.625,121.875,121.875,107
24,2000-02-07,120.0,125.625,120.0,125.625,57
25,2000-02-08,123.75,125.625,123.75,125.625,133
26,2000-02-09,125.625,127.5,121.875,127.5,2523
27,2000-02-10,125.625,125.625,125.625,125.625,10
28,2000-02-11,127.5,127.5,127.5,127.5,50
29,2000-02-14,123.75,123.75,121.875,121.875,123
30,2000-02-15,125.625,125.625,121.875,121.875,37
31,2000-02-16,121.875,121.875,121.875,121.875,0
32,2000-02-17,123.75,123.75,121.875,121.875,80
33,2000-02-18,121.875,121.875,120.0,121.875,153
34,2000-02-22,121.875,121.875,120.0,120.0,157
35,2000-02-23,120.0,121.875,116.25,120.0,1367
36,2000-02-24,125.625,125.625,116.25,120.0,2823
37,2000-02-25,121.875,121.875,116.25,116.25,120
38,2000-02-28,116.25,118.125,116.25,116.25,120
39,2000-02-29,116.25,129.375,116.25,127.5,2107
40,2000-03-01,129.375,138.75,129.375,135.0,2310
41,2000-03-02,131.25,131.25,127.5,127.5,737
42,2000-03-03,123.75,129.375,123.75,125.625,570
43,2000-03-06,125.625,129.375,125.625,129.375,33
44,2000-03-07,125.625,125.625,123.75,123.75,473
45,2000-03-08,121.875,125.625,121.875,125.625,1477
46,2000-03-09,129.375,140.625,129.375,129.375,1963
47,2000-03-10,131.25,131.25,120.0,120.0,1157
48,2000-03-13,116.25,120.0,116.25,116.25,2220
49,2000-03-14,114.375,114.375,108.75,110.625,370
