,Date,Open,High,Low,Close,Volume
0,2000-01-03,3.75,3.8125,3.75,3.75,20200
1,2000-01-04,3.6875,3.75,3.625,3.71875,34800
2,2000-01-05,3.71875,3.875,3.5625,3.875,13300
3,2000-01-06,3.875,3.9375,3.6875,3.9375,508200
4,2000-01-07,3.9375,3.9375,3.75,3.875,12100
5,2000-01-10,3.875,3.9375,3.75,3.8125,17100
6,2000-01-11,3.90625,3.9375,3.8125,3.8125,40100
7,2000-01-12,3.8125,3.84375,3.625,3.625,89700
8,2000-01-13,3.6875,3.8125,3.65625,3.75,36500
9,2000-01-14,3.8125,4.5,3.8125,4.125,45300
10,2000-01-18,4.0625,4.125,3.875,4.0,164200
11,2000-01-19,4.25,4.375,4.125,4.3125,27800
12,2000-01-20,4.1875,4.5,4.1875,4.25,4100
13,2000-01-21,4.21875,4.875,4.1875,4.875,31600
14,2000-01-24,5.0,6.0,4.75,5.5,374300
15,2000-01-25,5.75,5.75,4.5,4.625,45200
16,2000-01-26,4.96875,5.0,4.625,4.90625,29100
17,2000-01-27,4.875,4.875,4.5625,4.71875,329500
18,2000-01-28,4.71875,4.734375,4.625,4.625,59100
19,2000-01-31,4.4375,4.78125,4.4375,4.5,34800
20,2000-02-01,4.5,4.875,4.5,4.8125,109800
21,2000-02-02,4.9375,5.0,4.5625,4.875,57500
22,2000-02-03,4.75,4.875,4.6875,4.8125,217400
23,2000-02-04,4.8125,4.875,4.5,4.6875,88600
24,2000-02-07,4.59375,5.125,4.5625,5.125,60400
25,2000-02-08,5.0,5.1875,4.75,4.875,88100
26,2000-02-09,5.0,5.0,4.671875,4.671875,25700
27,2000-02-10,4.71875,4.75,4.5,4.6875,30500
28,2000-02-11,4.5,4.9375,4.5,4.53125,39700
29,2000-02-14,5.0,5.0,4.53125,4.625,20000
30,2000-02-15,4.625,4.625,4.375,4.5625,84700
31,2000-02-16,4.5625,4.75,4.53125,4.59375,13500
32,2000-02-17,4.375,4.71875,4.375,4.71875,18100
33,2000-02-18,4.75,4.75,4.5,4.71875,57900
34,2000-02-22,4.75,4.75,4.4375,4.625,32000
35,2000-02-23,4.6875,4.75,4.5625,4.5625,162200
36,2000-02-24,4.625,4.6875,4.5625,4.6875,25900
37,2000-02-25,4.6875,4.75,4.5,4.75,11500
38,2000-02-28,4.5625,4.875,4.5625,4.875,20000
39,2000-02-29,4.6875,5.5,4.6875,5.5,60400
40,2000-03-01,5.25,5.5,4.5625,4.5625,38500
41,2000-03-02,5.0,5.0,4.625,4.75,89500
42,2000-03-03,4.8125,4.9375,4.4375,4.4375,62000
43,2000-03-06,4.5,4.625,4.5,4.625,65800
44,2000-03-07,4.5625,4.6875,4.5625,4.6875,20100
45,2000-03-08,4.625,4.75,4.5625,4.5625,60000
46,2000-03-09,4.75,4.75,4.5625,4.75,7800
47,2000-03-10,4.5625,4.875,4.5625,4.75,23500
48,2000-03-13,4.75,4.8125,4.5,4.625,9700
49,2000-03-14,4.6875,4.828125,4.6875,4.828125,35200
50,2000-03-15,4.84375,4.84375,4.375,4.625,31500
51,2000-03-16,4.875,5.03125,4.6875,5.03125,48000
52,2000-03-17,4.6875,5.25,4.59375,5.0,115800
53,2000-03-20,4.8125,5.25,3.875,4.0,98700
54,2000-03-21,4.0,4.875,4.0,4.875,8100
55,2000-03-22,4.75,4.984375,4.625,4.875,17000
56,2000-03-23,4.9375,5.25,4.71875,5.25,31700
57,2000-03-24,4.875,5.0,4.875,5.0,4900
58,2000-03-27,4.875,4.875,4.375,4.5,66700
59,2000-03-28,4.5,4.71875,4.5,4.5,20200
60,2000-03-29,4.5625,5.25,4.5,4.625,59100
61,2000-03-30,5.0,5.0625,4.875,5.0625,30200
62,2000-03-31,5.0625,5.4375,5.0,5.4375,42500
63,2000-04-03,5.4375,5.4375,5.125,5.4375,75900
64,2000-04-04,5.4375,5.4375,5.1875,5.375,127200
65,2000-04-05,5.1875,5.4375,5.1875,5.40625,39000
66,2000-04-06,5.4375,5.5,5.3125,5.4375,72600
67,2000-04-07,5.4375,5.5625,5.34375,5.5625,54300
68,2000-04-10,5.375,5.625,5.34375,5.34375,43500
69,2000-04-11,5.375,5.625,5.375,5.4375,11700
70,2000-04-12,5.5,5.5,5.0,5.25,35300
71,2000-04-13,4.8125,5.1875,4.8125,5.0,18900
72,2000-04-14,4.9375,5.375,4.875,5.0625,57000
73,2000-04-17,4.875,5.1875,4.65625,4.875,39200
74,2000-04-18,4.828125,5.25,4.765625,5.25,27200
75,2000-04-19,5.375,5.4375,4.875,4.875,16300
76,2000-04-20,5.0,5.5,5.0,5.25,54800
77,2000-04-24,4.65625,5.125,4.65625,5.125,14600
78,2000-04-25,4.875,5.125,4.75,5.0,6900
79,2000-04-26,4.75,5.125,4.75,5.09375,55700
80,2000-04-27,4.9375,5.21875,4.8125,5.0625,86400
81,2000-04-28,4.875,5.25,4.875,5.25,13600
82,2000-05-01,4.875,5.1875,4.875,5.125,187200
83,2000-05-02,4.96875,5.25,4.96875,5.0,28600
84,2000-05-03,5.125,5.4375,5.0625,5.4375,30100
85,2000-05-04,5.5,5.5,5.25,5.25,55800
86,2000-05-05,5.4375,5.5,5.375,5.4375,89200
87,2000-05-08,5.3125,5.5,5.3125,5.375,10200
88,2000-05-09,5.5,5.75,5.40625,5.53125,22100
89,2000-05-10,5.46875,5.75,5.4375,5.4375,2700
90,2000-05-11,5.4375,5.4375,5.4375,5.4375,1200
91,2000-05-12,5.375,5.75,5.375,5.40625,6200
92,2000-05-15,5.375,5.8125,5.375,5.4375,11500
93,2000-05-16,5.671875,5.75,5.5625,5.6875,9300
94,2000-05-17,5.375,5.6875,5.375,5.625,19600
95,2000-05-18,5.4375,5.6875,5.4375,5.59375,23100
96,2000-05-19,5.34375,5.5625,5.25,5.5,15500
97,2000-05-22,5.375,5.6875,5.375,5.625,11900
98,2000-05-23,5.375,5.5625,5.375,5.375,7600
99,2000-05-24,5.375,5.5625,5.125,5.375,47400
100,2000-05-25,5.375,5.4375,5.375,5.375,111700
101,2000-05-26,5.375,5.5,5.25,5.375,15900
102,2000-05-30,5.375,5.375,5.375,5.375,12400
103,2000-05-31,5.25,5.75,5.25,5.5,15600
104,2000-06-01,5.46875,5.625,5.4375,5.5625,36000
105,2000-06-02,5.53125,5.75,5.5,5.75,34300
106,2000-06-05,5.625,5.625,5.25,5.25,10700
107,2000-06-06,5.625,5.625,5.375,5.5,254900
108,2000-06-07,5.375,5.375,5.0,5.0,87200
109,2000-06-08,5.25,5.5,4.875,4.9375,163300
110,2000-06-09,5.0,5.75,5.0,5.6875,86700
111,2000-06-12,5.5,5.5,5.5,5.5,2000
112,2000-06-13,5.125,5.5,5.125,5.4375,12400
113,2000-06-14,5.375,5.375,5.375,5.375,5100
114,2000-06-15,5.125,5.75,5.125,5.75,179200
115,2000-06-16,5.75,5.75,5.5,5.65625,147700
116,2000-06-19,5.5625,5.6875,5.5,5.59375,48200
117,2000-06-20,5.5625,5.625,5.5,5.5625,22900
118,2000-06-21,5.5625,5.625,5.4375,5.4375,45200
119,2000-06-22,5.46875,5.5625,5.375,5.4375,199300
120,2000-06-23,5.40625,5.4375,5.3125,5.3125,101700
121,2000-06-26,4.8125,5.125,4.78125,4.90625,125700
122,2000-06-27,5.125,5.125,4.9375,5.0,10600
123,2000-06-28,4.96875,5.09375,4.8125,5.0,19600
124,2000-06-29,4.875,4.875,4.5,4.78125,38000
125,2000-06-30,4.75,6.0,4.75,5.5625,97500
126,2000-07-03,5.3125,5.5625,5.1875,5.5625,22200
127,2000-07-05,5.5,5.5625,5.25,5.3125,35300
128,2000-07-06,5.1875,5.4375,5.1875,5.4375,15700
129,2000-07-07,5.4375,5.5625,5.4375,5.5,43300
130,2000-07-10,5.4375,5.625,5.4375,5.53125,123400
131,2000-07-11,5.53125,5.65625,5.5,5.5625,209900
132,2000-07-12,5.5,5.6875,5.4375,5.625,311100
133,2000-07-13,5.75,5.75,5.625,5.6875,614300
134,2000-07-14,5.6875,6.0,5.6875,6.0,28300
135,2000-07-17,6.0,6.0,5.8125,5.8125,13800
136,2000-07-18,5.71875,5.875,5.375,5.78125,24900
137,2000-07-19,5.625,5.75,5.5,5.625,2700
138,2000-07-20,5.890625,6.0,5.5625,5.5625,31600
139,2000-07-21,5.5625,6.3125,5.5625,6.0625,55600
140,2000-07-24,6.125,6.25,5.75,5.8125,20700
141,2000-07-25,5.8125,6.0,5.375,5.375,69500
142,2000-07-26,5.8125,6.0,5.4375,6.0,40700
143,2000-07-27,6.0,6.0,5.9375,5.9375,16000
144,2000-07-28,5.9375,6.0625,5.9375,6.0,9600
145,2000-07-31,6.0,6.0625,6.0,6.0625,4100
146,2000-08-01,5.9375,6.125,5.875,6.0,69600
147,2000-08-02,5.9375,5.9375,5.9375,5.9375,400
148,2000-08-03,5.90625,6.1875,5.875,5.875,19700
