,Date,Open,High,Low,Close,Volume
0,2000-01-03,16.4375,16.4375,15.8125,15.875,35500
1,2000-01-04,15.8125,15.875,15.5625,15.6875,41400
2,2000-01-05,15.75,15.75,15.625,15.6875,36700
3,2000-01-06,15.8125,15.875,15.6875,15.75,33300
4,2000-01-07,15.75,15.875,15.75,15.875,13400
5,2000-01-10,16.0,16.0,15.6875,15.75,39900
6,2000-01-11,15.6875,15.6875,15.1875,15.1875,56400
7,2000-01-12,15.1875,15.375,14.5,14.5625,43800
8,2000-01-13,14.6875,14.6875,14.125,14.3125,70400
9,2000-01-14,14.4375,14.625,14.0,14.0,71000
10,2000-01-18,14.125,14.25,14.0,14.0,52000
11,2000-01-19,14.125,14.625,14.125,14.5,32600
12,2000-01-20,14.5,15.125,14.5,15.125,33300
13,2000-01-21,14.9375,16.125,14.9375,16.125,189400
14,2000-01-24,16.0625,16.1875,15.8125,16.0625,108100
15,2000-01-25,16.0,16.0625,15.875,15.9375,41600
16,2000-01-26,16.0,16.0,15.875,16.0,10400
17,2000-01-27,16.0,16.0625,15.625,15.625,39200
18,2000-01-28,15.8125,16.0,15.625,15.625,32800
19,2000-01-31,15.75,15.75,15.25,15.375,44400
20,2000-02-01,15.375,15.5,15.125,15.3125,70400
21,2000-02-02,15.375,15.5625,15.375,15.5625,37700
22,2000-02-03,15.5625,15.625,15.5,15.625,38400
23,2000-02-04,15.75,16.0,15.75,15.9375,53000
24,2000-02-07,16.0,16.3125,15.9375,16.125,31700
25,2000-02-08,16.125,16.25,16.125,16.125,61100
26,2000-02-09,16.0,16.1875,16.0,16.125,30800
27,2000-02-10,16.1875,16.1875,16.0,16.0,28000
28,2000-02-11,15.9375,16.0625,15.9375,15.9375,27600
29,2000-02-14,15.8125,15.9375,15.75,15.9375,48300
30,2000-02-15,15.9375,16.125,15.9375,16.0625,27800
31,2000-02-16,16.0625,16.25,16.0625,16.25,34300
32,2000-02-17,16.0625,16.375,15.9375,16.375,49900
33,2000-02-18,16.4375,16.4375,16.3125,16.3125,71500
34,2000-02-22,16.0625,16.0625,15.5,15.875,46600
35,2000-02-23,16.0,16.125,16.0,16.125,36300
36,2000-02-24,16.0,16.0625,16.0,16.0625,21600
37,2000-02-25,16.0625,16.0625,15.75,15.9375,30300
38,2000-02-28,15.9375,15.9375,15.25,15.9375,43600
39,2000-02-29,15.9375,16.0625,15.875,16.0625,93300
40,2000-03-01,16.0625,16.25,16.0,16.25,62100
41,2000-03-02,16.25,16.25,16.125,16.125,73400
42,2000-03-03,16.125,16.125,15.9375,16.0,44800
43,2000-03-06,16.0,16.0,15.75,15.9375,11600
44,2000-03-07,15.875,16.0,15.8125,16.0,60400
45,2000-03-08,16.1875,16.375,16.0625,16.375,70500
46,2000-03-09,16.5,16.625,16.375,16.625,97900
47,2000-03-10,16.625,16.625,16.25,16.25,56800
48,2000-03-13,16.1875,16.3125,16.0625,16.0625,48900
49,2000-03-14,16.1875,16.1875,15.625,15.625,52500
50,2000-03-15,15.6875,15.9375,15.625,15.75,41300
51,2000-03-16,15.75,16.1875,15.75,16.0625,53300
52,2000-03-17,15.8125,16.25,15.8125,16.25,66200
53,2000-03-20,16.4375,16.5,16.1875,16.3125,41300
54,2000-03-21,16.25,16.25,15.9375,16.0625,30000
55,2000-03-22,16.1875,16.3125,16.1875,16.25,17100
56,2000-03-23,16.3125,16.375,16.25,16.3125,20300
57,2000-03-24,16.3125,16.3125,16.0625,16.1875,11200
58,2000-03-27,16.125,16.125,15.75,15.875,17000
59,2000-03-28,16.0,16.0,15.625,15.625,31100
60,2000-03-29,15.75,15.8125,15.5625,15.5625,30700
61,2000-03-30,15.6875,16.125,15.6875,16.0,37200
62,2000-03-31,16.125,16.375,16.0625,16.375,45100
63,2000-04-03,16.375,16.5,16.0,16.4375,40100
64,2000-04-04,16.3125,16.75,16.3125,16.625,69300
65,2000-04-05,16.5,17.125,16.375,17.125,26900
66,2000-04-06,17.25,17.25,16.71875,16.75,27100
67,2000-04-07,16.875,17.0,16.625,16.875,20600
68,2000-04-10,16.875,16.875,16.375,16.375,17500
69,2000-04-11,16.375,16.5625,16.25,16.25,30800
70,2000-04-12,16.25,16.375,16.1875,16.1875,12800
71,2000-04-13,16.1875,16.3125,16.125,16.25,20800
72,2000-04-14,16.25,16.25,15.75,16.0,27600
73,2000-04-17,15.75,16.375,15.4375,15.75,189500
74,2000-04-18,15.625,15.625,15.4375,15.5,20500
75,2000-04-19,15.4375,15.5,15.4375,15.4375,14200
76,2000-04-20,15.5,15.5,15.3125,15.3125,60600
77,2000-04-24,15.3125,15.375,15.0,15.0,41100
78,2000-04-25,15.0,15.0625,15.0,15.0625,18600
79,2000-04-26,15.0,15.1875,15.0,15.1875,100300
80,2000-04-27,15.0625,15.3125,14.9375,15.3125,56100
81,2000-04-28,15.25,15.5,15.125,15.4375,126100
82,2000-05-01,15.4375,15.5,15.0,15.0625,112000
