,Date,Open,High,Low,Close,Volume
0,2000-01-03,20.625,20.6875,19.5625,19.9375,130700
1,2000-01-04,19.8125,19.8125,19.1875,19.375,156100
2,2000-01-05,19.125,20.125,19.0625,19.875,217600
3,2000-01-06,19.9375,20.375,19.8125,20.375,396000
4,2000-01-07,20.5,20.5,20.0625,20.25,196100
5,2000-01-10,20.25,21.25,20.0625,20.8125,150200
6,2000-01-11,20.75,20.9375,20.5,20.5625,93800
7,2000-01-12,20.625,20.9375,20.5625,20.625,141500
8,2000-01-13,20.6875,21.1875,20.5625,21.125,163400
9,2000-01-14,21.375,23.8125,21.3125,23.0,548300
10,2000-01-18,23.0625,24.125,23.0,24.0625,529600
11,2000-01-19,24.5,24.5,23.96875,24.4375,1184000
12,2000-01-20,24.25,24.375,24.0,24.125,497100
13,2000-01-21,24.25,24.4375,23.6875,23.6875,300100
14,2000-01-24,24.375,24.5,24.0625,24.1875,409500
15,2000-01-25,24.1875,24.4375,23.9375,24.1875,407700
16,2000-01-26,23.875,24.125,23.8125,24.0,498600
17,2000-01-27,23.9375,24.125,23.4375,24.0,655600
18,2000-01-28,24.125,24.125,23.5625,23.9375,344700
19,2000-01-31,23.875,24.125,23.75,24.0,238900
20,2000-02-01,23.9375,24.0625,23.625,23.75,169600
21,2000-02-02,23.875,24.0625,23.8125,23.9375,183000
22,2000-02-03,24.0,24.0,23.625,23.6875,84400
23,2000-02-04,23.75,23.9375,23.625,23.75,146500
24,2000-02-07,23.875,23.875,23.375,23.5625,154900
25,2000-02-08,23.5625,23.875,23.5625,23.75,167300
26,2000-02-09,23.8125,23.9375,23.125,23.125,627600
27,2000-02-10,23.125,23.125,22.5625,22.8125,202800
28,2000-02-11,23.0,23.1875,22.75,22.8125,103300
29,2000-02-14,22.9375,23.1875,22.8125,23.0625,115300
30,2000-02-15,23.0625,23.375,22.9375,23.375,130100
31,2000-02-16,23.25,23.3125,22.75,22.8125,100600
32,2000-02-17,22.8125,23.0625,22.75,22.8125,120700
33,2000-02-18,22.8125,22.8125,21.75,22.0625,76100
34,2000-02-22,22.1875,23.0,22.1875,22.875,156000
35,2000-02-23,22.9375,23.0625,22.8125,22.875,151200
36,2000-02-24,22.9375,22.9375,22.375,22.75,232500
37,2000-02-25,23.1875,23.3125,22.6875,22.75,165500
38,2000-02-28,22.875,22.875,22.125,22.1875,105500
39,2000-02-29,22.3125,22.875,22.0625,22.125,112300
40,2000-03-01,22.0625,22.1875,21.25,21.25,122500
41,2000-03-02,21.4375,21.4375,20.9375,21.0,135100
42,2000-03-03,21.125,22.9375,21.125,22.9375,402000
43,2000-03-06,23.0,23.8125,22.875,23.0,259900
44,2000-03-07,23.0,25.625,23.0,25.0625,637900
45,2000-03-08,25.25,26.0,25.0,26.0,363300
46,2000-03-09,26.0,27.1875,26.0,27.125,442700
47,2000-03-10,26.5,27.1875,26.4375,27.0625,465400
48,2000-03-13,26.625,27.125,26.0625,27.125,318600
49,2000-03-14,27.0,27.0,26.5,26.9375,265100
50,2000-03-15,26.5,26.8125,26.125,26.375,248800
51,2000-03-16,26.375,28.25,26.25,27.875,324200
52,2000-03-17,27.875,28.75,26.9375,28.75,389000
53,2000-03-20,28.25,28.3125,26.75,27.25,289100
54,2000-03-21,27.25,28.75,27.25,28.6875,185200
55,2000-03-22,28.5625,29.0,27.6875,28.625,314600
56,2000-03-23,28.25,28.4375,27.75,27.8125,185700
57,2000-03-24,27.9375,28.125,27.3125,27.75,180800
58,2000-03-27,28.5,28.5,26.5,26.6875,298900
59,2000-03-28,26.8125,28.875,26.75,28.875,230300
60,2000-03-29,28.25,29.5,28.125,29.0625,341400
61,2000-03-30,28.8125,29.5,28.75,28.75,310200
62,2000-03-31,28.75,30.5,28.5,30.5,628200
63,2000-04-03,29.75,30.875,29.125,29.5,333800
64,2000-04-04,29.3125,29.9375,27.1875,28.0,482300
65,2000-04-05,28.25,28.9375,28.0,28.25,162300
66,2000-04-06,28.25,28.625,27.75,28.0,190500
67,2000-04-07,27.9375,29.0,27.25,29.0,171500
68,2000-04-10,28.75,28.75,27.3125,27.3125,141300
69,2000-04-11,27.75,28.25,27.4375,27.6875,164100
70,2000-04-12,27.6875,27.9375,27.25,27.75,140000
71,2000-04-13,27.875,27.875,27.0,27.1875,114800
72,2000-04-14,27.1875,27.1875,25.5,25.5625,153600
73,2000-04-17,25.75,26.375,25.6875,26.25,118300
74,2000-04-18,26.25,26.375,25.5625,26.1875,242000
75,2000-04-19,26.3125,26.375,25.25,25.375,191100
76,2000-04-20,25.5625,25.9375,25.5625,25.75,115500
77,2000-04-24,25.625,25.6875,25.1875,25.3125,57300
78,2000-04-25,25.375,25.375,24.75,25.0625,92800
79,2000-04-26,26.25,26.75,25.8125,25.8125,271200
80,2000-04-27,25.625,26.625,25.625,26.25,137400
81,2000-04-28,26.25,27.125,26.25,27.0,195900
82,2000-05-01,27.75,27.75,27.375,27.5,113800
83,2000-05-02,27.3125,27.3125,26.875,27.0625,129900
84,2000-05-03,26.875,27.0,26.3125,26.375,150800
85,2000-05-04,26.375,28.375,26.375,27.875,371200
86,2000-05-05,27.625,27.6875,27.3125,27.5,94700
87,2000-05-08,27.125,27.75,26.875,27.625,129000
88,2000-05-09,27.875,28.3125,27.5625,28.25,217500
89,2000-05-10,27.9375,28.125,27.0,27.0,114500
90,2000-05-11,27.0,27.625,27.0,27.125,323700
91,2000-05-12,27.125,27.125,26.75,26.8125,150000
92,2000-05-15,26.9375,27.1875,26.8125,26.9375,103800
93,2000-05-16,26.9375,27.3125,26.875,27.0625,158300
94,2000-05-17,27.1875,27.5,26.75,26.9375,63900
95,2000-05-18,27.0,27.1875,26.375,26.5,83900
96,2000-05-19,26.25,26.9375,26.125,26.625,80000
97,2000-05-22,26.8125,27.25,26.625,26.6875,167900
98,2000-05-23,26.6875,27.375,26.625,26.75,156900
99,2000-05-24,26.8125,27.625,26.8125,27.3125,258000
100,2000-05-25,27.6875,27.9375,26.6875,27.0,561700
101,2000-05-26,27.0,27.375,26.875,26.875,802600
102,2000-05-30,27.0,27.1875,26.9375,27.0,223700
103,2000-05-31,26.875,26.9375,26.0625,26.0625,198600
104,2000-06-01,26.25,26.5625,26.0625,26.5625,116700
105,2000-06-02,27.0625,27.625,26.9375,27.4375,161900
106,2000-06-05,27.4375,27.875,27.4375,27.46875,161500
107,2000-06-06,27.625,27.875,27.0625,27.1875,120600
108,2000-06-07,27.4375,28.4375,27.25,28.375,263600
109,2000-06-08,29.25,29.25,27.8125,28.125,302700
110,2000-06-09,28.5,28.875,27.75,28.625,202700
111,2000-06-12,28.75,29.8125,28.75,29.25,245600
112,2000-06-13,29.1875,29.625,28.78125,28.78125,131900
113,2000-06-14,28.8125,30.4375,28.6875,29.71875,216400
114,2000-06-15,29.75,30.3125,29.4375,30.0,156900
115,2000-06-16,30.0,30.25,29.875,30.09375,174300
116,2000-06-19,29.75,29.8125,28.65625,29.5,161900
117,2000-06-20,29.625,29.625,28.75,29.0625,90200
118,2000-06-21,29.0,29.25,28.875,28.9375,96300
119,2000-06-22,29.0,29.5,28.0625,28.1875,94300
120,2000-06-23,28.3125,28.5625,27.625,27.875,114600
121,2000-06-26,28.0,28.125,27.5,27.8125,96600
122,2000-06-27,27.8125,28.6875,27.8125,28.125,1240100
123,2000-06-28,28.25,28.625,28.1875,28.5,225000
124,2000-06-29,28.25,29.5,27.125,29.25,226500
