,Date,Open,High,Low,Close,Volume
0,2000-01-03,8.375,8.6875,8.3125,8.3125,488100
1,2000-01-04,8.25,8.3125,8.0625,8.0625,343400
2,2000-01-05,8.125,8.4375,7.8125,7.875,939500
3,2000-01-06,7.9375,7.9375,7.0,7.4375,861500
4,2000-01-07,7.625,8.1875,7.375,7.8125,570500
5,2000-01-10,8.15625,9.0625,8.125,8.5,785800
6,2000-01-11,8.4375,8.5625,7.9375,8.0,590900
7,2000-01-12,8.1875,8.375,7.75,8.0,590600
8,2000-01-13,8.4375,8.5625,7.9375,8.0,1140500
9,2000-01-14,8.0625,8.25,7.875,8.125,1128900
10,2000-01-18,8.25,8.25,7.8125,7.875,699500
11,2000-01-19,7.9375,8.125,7.625,7.875,675800
12,2000-01-20,8.0,8.125,7.5,7.59375,483900
13,2000-01-21,7.5,7.9375,7.5,7.625,441000
14,2000-01-24,7.625,7.625,7.125,7.1875,563500
15,2000-01-25,7.375,7.46875,7.0,7.1875,384100
16,2000-01-26,7.3125,7.3125,6.9375,7.0625,566900
17,2000-01-27,7.0625,7.1875,6.9375,7.0625,348700
18,2000-01-28,7.0625,7.0625,6.8125,6.9375,768000
19,2000-01-31,4.53125,5.0,3.5625,3.71875,8448300
20,2000-02-01,3.9375,3.96875,3.125,3.21875,3985900
21,2000-02-02,3.65625,4.125,3.4375,4.125,2483300
22,2000-02-03,4.25,4.625,4.1875,4.5,1152100
23,2000-02-04,4.53125,4.75,4.25,4.5,1103300
24,2000-02-07,4.5625,4.625,4.03125,4.0625,761300
25,2000-02-08,4.125,4.25,3.65625,3.96875,702000
26,2000-02-09,4.0,4.0625,3.78125,3.8125,552300
27,2000-02-10,3.9375,3.9375,3.5,3.625,947000
28,2000-02-11,3.65625,3.875,3.375,3.75,851100
29,2000-02-14,3.75,3.75,3.4375,3.625,938900
30,2000-02-15,3.5625,3.75,3.5,3.53125,374700
31,2000-02-16,3.5625,3.5625,3.375,3.375,559000
32,2000-02-17,3.5,3.65625,3.375,3.46875,424100
33,2000-02-18,3.5,3.5625,3.25,3.25,764800
34,2000-02-22,3.3125,3.3125,3.1875,3.25,813500
35,2000-02-23,3.25,3.4375,3.25,3.25,512900
36,2000-02-24,3.375,3.5,3.1875,3.25,744400
37,2000-02-25,3.21875,3.25,2.9375,3.0,996600
38,2000-02-28,2.9375,3.25,2.875,3.1875,587900
39,2000-02-29,3.28125,3.75,3.1875,3.40625,884000
40,2000-03-01,3.4375,3.53125,3.03125,3.25,400400
41,2000-03-02,3.25,3.25,3.0,3.03125,357000
42,2000-03-03,3.0625,3.5,3.0,3.4375,493100
43,2000-03-06,3.4375,3.75,3.3125,3.625,640700
44,2000-03-07,3.671875,3.71875,3.3125,3.625,249200
45,2000-03-08,3.625,3.65625,3.375,3.65625,424100
46,2000-03-09,3.625,3.6875,3.25,3.5,368800
47,2000-03-10,3.5625,3.5625,3.375,3.40625,595500
48,2000-03-13,3.25,3.5625,3.125,3.375,475800
49,2000-03-14,3.34375,3.46875,3.3125,3.4375,501400
50,2000-03-15,3.4375,3.46875,3.25,3.25,190700
51,2000-03-16,3.1875,3.3125,3.125,3.25,264100
52,2000-03-17,3.1875,3.25,3.03125,3.1875,324000
53,2000-03-20,3.125,3.3125,3.0625,3.125,195400
54,2000-03-21,3.0625,3.40625,3.0625,3.34375,272700
55,2000-03-22,3.25,3.375,3.0,3.25,449400
56,2000-03-23,3.25,3.375,3.1875,3.25,391900
57,2000-03-24,3.3125,3.375,3.125,3.3125,324000
58,2000-03-27,3.375,3.4375,3.0625,3.3125,390500
59,2000-03-28,3.375,3.375,3.0625,3.1875,295000
60,2000-03-29,3.125,3.21875,3.0,3.125,196300
61,2000-03-30,3.125,3.125,2.0625,3.0,286400
62,2000-03-31,3.0625,3.1875,2.75,2.90625,358000
63,2000-04-03,2.90625,3.0,2.6875,2.6875,208400
64,2000-04-04,2.875,2.875,2.375,2.40625,731900
65,2000-04-05,2.4375,2.875,2.375,2.75,507200
66,2000-04-06,2.875,3.0,2.75,2.96875,191300
67,2000-04-07,3.0,3.3125,3.0,3.1875,399800
68,2000-04-10,3.25,3.5,3.1875,3.25,352400
69,2000-04-11,3.28125,3.46875,3.1875,3.4375,443900
70,2000-04-12,3.375,3.46875,3.1875,3.3125,180100
71,2000-04-13,3.21875,3.25,3.0,3.0625,183800
72,2000-04-14,3.0,3.0625,2.5625,2.75,233600
73,2000-04-17,2.78125,2.9375,2.75,2.90625,322000
74,2000-04-18,2.9375,2.9375,2.75,2.75,186200
75,2000-04-19,2.875,3.0625,2.8125,2.9375,132400
76,2000-04-20,3.0,3.125,2.9375,3.0625,191800
77,2000-04-24,2.875,3.0625,2.875,2.90625,92300
78,2000-04-25,3.0625,3.0625,2.75,3.0,187500
79,2000-04-26,3.0,3.0625,2.90625,3.0,118000
80,2000-04-27,3.0,3.3125,2.9375,3.1875,230200
81,2000-04-28,3.25,3.375,3.125,3.25,508400
82,2000-05-01,3.34375,3.5,3.125,3.375,298700
83,2000-05-02,3.5,3.75,3.4375,3.46875,473300
84,2000-05-03,3.375,3.75,3.375,3.6875,234100
85,2000-05-04,3.625,4.0,3.5625,3.96875,336800
86,2000-05-05,3.875,4.0,3.8125,3.96875,255800
87,2000-05-08,3.875,3.875,3.4375,3.5,510200
88,2000-05-09,3.71875,3.78125,3.0625,3.0625,1091200
89,2000-05-10,3.0625,3.125,2.96875,3.125,324900
90,2000-05-11,3.25,3.375,3.0,3.1875,763900
91,2000-05-12,3.0625,3.25,3.0625,3.1875,211000
92,2000-05-15,3.25,3.3125,3.0625,3.21875,84400
93,2000-05-16,3.25,3.3125,3.125,3.25,202400
94,2000-05-17,3.25,3.3125,3.15625,3.234375,103500
95,2000-05-18,3.21875,3.3125,2.78125,2.8125,361500
96,2000-05-19,2.96875,2.96875,2.734375,2.890625,307700
97,2000-05-22,2.75,3.0,2.6875,2.875,100900
98,2000-05-23,2.9375,2.9375,2.71875,2.75,92300
