,Date,Open,High,Low,Close,Volume
0,2000-01-03,8.53125,8.53125,7.875,7.875,142200
1,2000-01-04,7.875,8.09375,7.875,8.0625,70400
2,2000-01-05,8.1875,8.3125,8.09375,8.09375,64400
3,2000-01-06,8.03125,8.03125,7.90625,7.9375,48400
4,2000-01-07,7.84375,8.3125,7.84375,8.3125,49400
5,2000-01-10,8.125,8.59375,8.125,8.4375,83200
6,2000-01-11,8.25,8.40625,8.1875,8.34375,73400
7,2000-01-12,8.28125,8.59375,8.15625,8.59375,52600
8,2000-01-13,8.59375,8.59375,8.1875,8.28125,30600
9,2000-01-14,8.1875,8.25,7.96875,8.125,94000
10,2000-01-18,8.0,8.25,7.8125,8.21875,101800
11,2000-01-19,8.21875,8.21875,7.78125,8.125,135800
12,2000-01-20,8.0625,8.625,8.03125,8.625,111200
13,2000-01-21,8.5625,8.625,8.25,8.5625,79600
14,2000-01-24,8.5,8.625,8.1875,8.1875,152400
15,2000-01-25,8.125,8.25,8.125,8.25,76600
16,2000-01-26,8.21875,8.4375,8.21875,8.4375,98600
17,2000-01-27,8.5,8.6875,8.5,8.625,71200
18,2000-01-28,8.5,8.53125,8.40625,8.40625,61000
19,2000-01-31,8.40625,8.40625,8.28125,8.28125,43000
20,2000-02-01,8.28125,8.28125,8.0625,8.125,67400
21,2000-02-02,8.125,8.125,7.84375,8.03125,82200
22,2000-02-03,8.0,8.21875,8.0,8.09375,44000
23,2000-02-04,8.0625,8.21875,7.78125,8.21875,63200
24,2000-02-07,8.3125,8.46875,8.28125,8.46875,32600
25,2000-02-08,8.46875,8.5,8.0625,8.09375,99400
26,2000-02-09,8.1875,8.1875,7.75,7.875,136200
27,2000-02-10,8.0,8.28125,7.9375,8.28125,61800
28,2000-02-11,8.15625,8.21875,8.0,8.0625,43400
29,2000-02-14,8.0625,8.25,8.0,8.25,69000
30,2000-02-15,8.1875,8.1875,8.0,8.1875,46200
31,2000-02-16,8.1875,8.21875,8.09375,8.15625,29000
32,2000-02-17,8.28125,8.375,8.25,8.34375,51800
33,2000-02-18,8.34375,8.34375,8.1875,8.1875,47400
34,2000-02-22,8.1875,8.21875,7.9375,8.15625,125400
35,2000-02-23,8.09375,8.21875,8.0,8.21875,157000
36,2000-02-24,8.28125,8.34375,7.9375,8.0,95800
37,2000-02-25,7.75,8.09375,7.75,8.09375,213600
38,2000-02-28,8.1875,8.1875,7.96875,8.15625,70800
39,2000-02-29,8.03125,8.3125,7.9375,8.3125,152400
40,2000-03-01,8.3125,8.5,8.25,8.5,178600
41,2000-03-02,8.375,8.375,8.28125,8.3125,43400
42,2000-03-03,8.28125,8.4375,8.1875,8.3125,18000
43,2000-03-06,8.28125,8.3125,8.21875,8.3125,16200
44,2000-03-07,8.25,8.40625,8.25,8.34375,77000
45,2000-03-08,8.40625,8.40625,8.25,8.34375,109600
46,2000-03-09,8.28125,8.28125,8.0,8.1875,57600
47,2000-03-10,8.25,8.3125,8.0625,8.1875,52800
48,2000-03-13,8.0625,8.15625,7.84375,7.9375,101200
49,2000-03-14,7.90625,7.96875,7.6875,7.96875,89800
50,2000-03-15,7.96875,7.96875,7.625,7.6875,45000
51,2000-03-16,7.53125,7.75,7.375,7.75,123600
52,2000-03-17,7.25,7.53125,7.25,7.53125,96200
53,2000-03-20,7.5,7.5,7.0625,7.0625,99600
54,2000-03-21,7.0625,7.0625,6.875,6.90625,65800
55,2000-03-22,6.78125,6.84375,6.71875,6.8125,40400
56,2000-03-23,6.875,7.09375,6.84375,7.03125,85800
57,2000-03-24,7.0,7.25,7.0,7.09375,59400
58,2000-03-27,7.03125,7.1875,7.0,7.15625,27200
59,2000-03-28,7.09375,7.09375,6.8125,6.84375,54000
60,2000-03-29,6.8125,6.9375,6.75,6.875,50800
61,2000-03-30,6.875,7.15625,6.875,7.15625,123200
62,2000-03-31,7.15625,7.25,7.15625,7.21875,47800
63,2000-04-03,7.21875,7.28125,7.21875,7.25,29800
