,Date,Open,High,Low,Close,Volume
0,2000-01-03,0.609375,0.65625,0.59375,0.625,11600
1,2000-01-04,0.625,0.625,0.625,0.625,0
2,2000-01-05,0.6875,0.6875,0.65625,0.6875,5400
3,2000-01-06,0.609375,0.609375,0.609375,0.609375,400
4,2000-01-07,0.75,0.75,0.6875,0.75,21400
5,2000-01-10,0.78125,0.828125,0.75,0.78125,59000
6,2000-01-11,0.90625,1.0,0.859375,0.921875,458200
7,2000-01-12,1.0,1.09375,0.96875,1.046875,642800
8,2000-01-13,1.03125,1.125,0.9375,0.984375,226400
9,2000-01-14,0.992188,1.03125,0.96875,1.03125,130200
10,2000-01-18,1.039063,1.5,1.03125,1.1875,313200
11,2000-01-19,1.3125,1.3125,1.25,1.28125,342200
12,2000-01-20,1.296875,1.296875,1.125,1.140625,342600
13,2000-01-21,1.203125,1.21875,1.0625,1.125,137600
14,2000-01-24,1.140625,1.3125,1.125,1.1875,217200
15,2000-01-25,1.25,1.25,1.125,1.1875,170600
16,2000-01-26,1.265625,1.265625,1.125,1.15625,163800
17,2000-01-27,1.21875,1.25,1.0625,1.125,97400
18,2000-01-28,1.15625,1.1875,1.125,1.15625,60400
19,2000-01-31,1.171875,1.21875,1.125,1.15625,45600
20,2000-02-01,1.171875,1.203125,1.0625,1.15625,71800
21,2000-02-02,1.203125,1.203125,1.0625,1.125,51000
22,2000-02-03,1.203125,1.21875,1.09375,1.15625,51400
23,2000-02-04,1.15625,1.15625,1.0,1.0625,89800
24,2000-02-07,1.125,1.125,1.0,1.0,122800
25,2000-02-08,1.0,1.0625,1.0,1.015625,113200
26,2000-02-09,1.03125,1.09375,1.0,1.09375,111600
27,2000-02-10,1.09375,1.140625,1.0,1.0625,97800
28,2000-02-11,1.140625,1.15625,1.03125,1.109375,136800
29,2000-02-14,1.140625,1.1875,1.03125,1.15625,230800
30,2000-02-15,1.140625,1.1875,1.140625,1.1875,50600
31,2000-02-16,1.1875,1.1875,1.140625,1.140625,158200
