,Date,Open,High,Low,Close,Volume
0,2001-12-13,1.189167,1.475,1.189167,1.433333,56373600
1,2001-12-14,1.434167,1.440833,1.370833,1.391667,11307600
2,2001-12-17,1.391667,1.425,1.383333,1.415,1756800
3,2001-12-18,1.408333,1.4475,1.391667,1.438333,3585600
4,2001-12-19,1.4375,1.775,1.433333,1.725833,3352800
5,2001-12-20,1.7,1.9,1.645833,1.654167,3855600
6,2001-12-21,1.674167,1.675,1.654167,1.658333,3246000
7,2001-12-24,1.661667,1.6875,1.634167,1.6625,968400
8,2001-12-26,1.658333,1.716667,1.651667,1.693333,2115600
9,2001-12-27,1.708333,1.740833,1.69,1.733333,2372400
10,2001-12-28,1.720833,1.816667,1.720833,1.791667,1108800
11,2001-12-31,1.823333,1.925,1.7725,1.829167,451200
12,2002-01-02,1.889167,1.889167,1.82,1.833333,1448400
13,2002-01-03,1.824167,1.8375,1.824167,1.833333,328800
14,2002-01-04,1.836667,1.836667,1.7825,1.8125,549600
15,2002-01-07,1.7875,1.8075,1.7,1.714167,789600
16,2002-01-08,1.7175,1.766667,1.7125,1.766667,1184400
17,2002-01-09,1.766667,1.766667,1.726667,1.726667,697200
18,2002-01-10,1.7375,1.7375,1.653333,1.713333,552000
19,2002-01-11,1.688333,1.808333,1.6875,1.766667,194400
20,2002-01-14,1.783333,1.783333,1.731667,1.746667,129600
21,2002-01-15,1.75,1.754167,1.733333,1.75,94800
22,2002-01-16,1.75,1.755,1.670833,1.670833,150000
23,2002-01-17,1.668333,1.71,1.516667,1.629167,1036800
24,2002-01-18,1.61,1.640833,1.593333,1.625,834000
25,2002-01-22,1.608333,1.683333,1.6,1.683333,470400
26,2002-01-23,1.655,1.809167,1.655,1.809167,231600
27,2002-01-24,1.799167,1.82,1.75,1.795833,108000
28,2002-01-25,1.795833,1.804167,1.7625,1.804167,253200
29,2002-01-28,1.7875,1.7875,1.645833,1.693333,1384800
30,2002-01-29,1.686667,1.75,1.686667,1.708333,742800
31,2002-01-30,1.709167,1.709167,1.675833,1.676667,1068000
32,2002-01-31,1.671667,1.696667,1.508333,1.541667,3235200
