,Date,Open,High,Low,Close,Volume
0,2000-01-03,4.270833,4.401042,4.192708,4.244792,348240
1,2000-01-04,4.192708,4.348958,4.140625,4.166667,468720
2,2000-01-05,4.166667,4.270833,4.140625,4.21875,431040
3,2000-01-06,4.270833,4.505208,4.270833,4.401042,115200
4,2000-01-07,4.401042,4.583333,4.401042,4.53125,118320
5,2000-01-10,4.583333,4.609375,4.479167,4.557292,80160
6,2000-01-11,4.557292,4.557292,4.427083,4.505208,76320
7,2000-01-12,4.453125,4.635417,4.401042,4.583333,526560
8,2000-01-13,4.583333,4.895833,4.557292,4.817708,166320
9,2000-01-14,4.817708,4.895833,4.739583,4.791667,348720
10,2000-01-18,4.84375,4.973958,4.791667,4.869792,89760
11,2000-01-19,4.817708,4.895833,4.791667,4.791667,54000
12,2000-01-20,4.84375,4.973958,4.84375,4.921875,104640
13,2000-01-21,4.921875,5.052083,4.921875,4.947917,301200
14,2000-01-24,5.0,5.078125,4.921875,4.947917,125760
15,2000-01-25,4.895833,4.973958,4.84375,4.895833,174720
16,2000-01-26,4.791667,4.895833,4.479167,4.505208,284640
17,2000-01-27,4.557292,4.817708,4.557292,4.791667,96240
18,2000-01-28,4.739583,5.078125,4.739583,5.052083,158160
19,2000-01-31,5.026042,5.078125,4.973958,5.052083,86400
20,2000-02-01,5.078125,5.104167,4.895833,4.973958,140640
21,2000-02-02,5.026042,5.182292,4.973958,5.052083,102240
22,2000-02-03,5.052083,5.182292,5.052083,5.104167,99600
23,2000-02-04,5.078125,5.104167,4.947917,5.026042,201360
24,2000-02-07,5.026042,5.026042,4.869792,4.947917,172320
25,2000-02-08,4.791667,5.026042,4.791667,5.026042,552000
26,2000-02-09,5.026042,5.260417,5.026042,5.234375,396240
27,2000-02-10,5.182292,5.182292,5.130208,5.182292,61680
28,2000-02-11,5.182292,5.208333,5.0,5.026042,100320
29,2000-02-14,5.026042,5.182292,5.026042,5.078125,39120
30,2000-02-15,5.104167,5.104167,5.0,5.026042,45360
31,2000-02-16,5.078125,5.15625,5.052083,5.104167,80400
32,2000-02-17,5.104167,5.15625,5.026042,5.078125,77280
33,2000-02-18,5.078125,5.130208,5.0,5.104167,76080
34,2000-02-22,5.052083,5.15625,5.039063,5.078125,72960
35,2000-02-23,5.078125,5.104167,4.84375,4.84375,64080
36,2000-02-24,4.895833,4.921875,4.84375,4.84375,104880
37,2000-02-25,4.869792,4.973958,4.817708,4.817708,74400
38,2000-02-28,4.791667,4.817708,4.713542,4.739583,88080
39,2000-02-29,4.791667,4.84375,4.6875,4.84375,116160
40,2000-03-01,4.84375,4.84375,4.6875,4.739583,108240
41,2000-03-02,4.739583,4.765625,4.6875,4.765625,109920
42,2000-03-03,4.739583,4.791667,4.713542,4.791667,193200
43,2000-03-06,4.791667,4.869792,4.765625,4.84375,60960
44,2000-03-07,4.84375,4.84375,4.817708,4.84375,290880
45,2000-03-08,4.84375,4.84375,4.739583,4.765625,19200
46,2000-03-09,4.817708,4.84375,4.791667,4.817708,36960
47,2000-03-10,4.817708,4.817708,4.713542,4.739583,125040
48,2000-03-13,4.765625,4.765625,4.6875,4.713542,49440
49,2000-03-14,4.713542,4.765625,4.713542,4.739583,71760
50,2000-03-15,4.791667,4.791667,4.713542,4.765625,127200
51,2000-03-16,4.765625,4.791667,4.713542,4.739583,105600
52,2000-03-17,4.6875,4.765625,4.6875,4.739583,48000
53,2000-03-20,4.713542,4.713542,4.583333,4.6875,49680
54,2000-03-21,4.635417,4.765625,4.635417,4.713542,99360
55,2000-03-22,4.661458,4.739583,4.53125,4.583333,33120
56,2000-03-23,4.583333,4.6875,4.583333,4.635417,130080
57,2000-03-24,4.6875,4.791667,4.557292,4.583333,124560
58,2000-03-27,4.583333,4.765625,4.583333,4.765625,64800
59,2000-03-28,4.739583,4.765625,4.609375,4.609375,117840
60,2000-03-29,4.609375,4.609375,4.401042,4.453125,175680
61,2000-03-30,4.453125,4.557292,4.401042,4.401042,183840
62,2000-03-31,4.453125,4.635417,4.401042,4.427083,263040
63,2000-04-03,4.479167,4.661458,4.427083,4.53125,318480
64,2000-04-04,4.479167,4.557292,4.453125,4.505208,75360
65,2000-04-05,4.505208,4.6875,4.479167,4.557292,86400
66,2000-04-06,4.557292,4.583333,4.557292,4.583333,44160
67,2000-04-07,4.609375,4.609375,4.557292,4.583333,113520
68,2000-04-10,4.583333,4.609375,4.322917,4.322917,356160
69,2000-04-11,4.375,4.427083,4.348958,4.375,151200
70,2000-04-12,4.427083,4.479167,4.375,4.401042,107760
71,2000-04-13,4.401042,4.453125,4.244792,4.244792,85680
72,2000-04-14,4.192708,4.322917,4.192708,4.322917,80400
73,2000-04-17,4.270833,4.375,4.21875,4.375,62400
74,2000-04-18,4.348958,4.375,4.296875,4.348958,108480
75,2000-04-19,4.322917,4.375,4.322917,4.375,1233840
76,2000-04-20,4.348958,4.427083,4.348958,4.375,85200
77,2000-04-24,4.375,4.375,4.296875,4.348958,39360
78,2000-04-25,4.322917,4.375,4.322917,4.375,439680
79,2000-04-26,4.375,4.375,4.21875,4.270833,314640
80,2000-04-27,4.270833,4.322917,4.192708,4.21875,98160
81,2000-04-28,4.21875,4.322917,4.140625,4.322917,162480
82,2000-05-01,4.53125,4.765625,4.505208,4.739583,145680
83,2000-05-02,4.739583,5.026042,4.635417,4.791667,213120
84,2000-05-03,4.791667,4.895833,4.765625,4.869792,31440
85,2000-05-04,4.869792,4.869792,4.6875,4.713542,92400
86,2000-05-05,4.765625,4.895833,4.765625,4.869792,38400
87,2000-05-08,4.84375,4.84375,4.791667,4.817708,31440
88,2000-05-09,4.635417,4.895833,4.635417,4.895833,73920
89,2000-05-10,4.84375,4.869792,4.609375,4.739583,60240
90,2000-05-11,4.739583,4.765625,4.583333,4.609375,62640
91,2000-05-12,4.609375,4.609375,4.401042,4.479167,75840
92,2000-05-15,4.53125,4.53125,4.401042,4.427083,74160
93,2000-05-16,4.479167,4.635417,4.453125,4.635417,75360
94,2000-05-17,4.661458,4.895833,4.661458,4.869792,77280
95,2000-05-18,4.869792,4.895833,4.6875,4.6875,106080
96,2000-05-19,4.6875,4.869792,4.6875,4.84375,69120
97,2000-05-22,4.869792,5.0,4.869792,5.0,72960
98,2000-05-23,5.0,5.416667,5.0,5.260417,359040
99,2000-05-24,5.260417,5.3125,5.208333,5.286458,76800
100,2000-05-25,5.260417,5.416667,5.260417,5.364583,152400
101,2000-05-26,5.364583,5.390625,5.026042,5.15625,114240
102,2000-05-30,5.182292,5.286458,5.15625,5.208333,88080
103,2000-05-31,5.260417,5.390625,5.208333,5.208333,110880
104,2000-06-01,5.208333,5.46875,5.208333,5.46875,299520
105,2000-06-02,5.46875,5.677083,5.46875,5.572917,96480
106,2000-06-05,5.78125,5.807292,5.677083,5.729167,315840
