,Date,Open,High,Low,Close,Volume
0,2000-01-03,7.083333,7.9375,6.75,7.4375,1063500
1,2000-01-04,7.260417,7.270833,6.75,6.791667,90900
2,2000-01-05,6.75,7.0,6.5,6.75,115500
3,2000-01-06,6.75,6.75,6.541667,6.75,103200
4,2000-01-07,6.541667,6.833333,6.541667,6.5625,228300
5,2000-01-10,6.5625,6.875,6.5625,6.583333,143400
6,2000-01-11,6.479167,6.541667,6.1875,6.270833,159300
7,2000-01-12,6.166667,6.270833,5.666667,6.041667,309600
8,2000-01-13,5.947917,6.125,5.854167,6.083333,276600
9,2000-01-14,6.0625,6.166667,5.979167,6.166667,253800
10,2000-01-18,6.25,6.25,6.083333,6.208333,95400
11,2000-01-19,6.125,6.5,6.083333,6.5,66900
12,2000-01-20,6.479167,6.541667,6.375,6.375,95700
13,2000-01-21,6.395833,6.541667,6.333333,6.5,96300
14,2000-01-24,6.541667,6.541667,6.114583,6.114583,57900
15,2000-01-25,6.166667,6.166667,5.875,6.020833,87000
16,2000-01-26,6.083333,6.083333,5.916667,5.916667,40200
17,2000-01-27,6.083333,6.125,5.833333,6.083333,27300
18,2000-01-28,5.9375,6.125,5.9375,5.9375,35700
19,2000-01-31,6.125,6.125,5.895833,6.0,84900
20,2000-02-01,6.0,6.625,5.916667,6.458333,149700
21,2000-02-02,6.666667,7.1875,6.583333,6.729167,450300
22,2000-02-03,6.8125,6.833333,6.666667,6.666667,44700
23,2000-02-04,6.625,6.708333,6.458333,6.458333,112200
24,2000-02-07,6.666667,6.833333,6.458333,6.583333,46200
25,2000-02-08,6.458333,6.770833,6.458333,6.75,133200
26,2000-02-09,6.916667,6.916667,6.458333,6.583333,142200
27,2000-02-10,6.583333,6.625,6.416667,6.416667,26400
28,2000-02-11,6.416667,6.666667,6.0,6.0,181800
29,2000-02-14,6.041667,6.333333,6.0,6.208333,178800
30,2000-02-15,6.083333,6.333333,6.041667,6.125,57300
31,2000-02-16,6.041667,6.583333,6.0,6.416667,174600
32,2000-02-17,6.541667,6.666667,6.5,6.5,283800
33,2000-02-18,6.5,6.708333,6.5,6.625,171600
34,2000-02-22,6.458333,6.75,6.458333,6.5,165900
35,2000-02-23,6.666667,7.208333,6.666667,7.208333,248400
36,2000-02-24,7.104167,7.25,6.75,6.796875,451200
37,2000-02-25,6.791667,6.927083,6.791667,6.791667,160200
38,2000-02-28,6.854167,7.0,6.791667,6.895833,116700
39,2000-02-29,7.0,7.291667,6.895833,6.9375,154200
40,2000-03-01,6.96875,7.291667,6.895833,7.291667,64200
41,2000-03-02,7.291667,7.333333,7.104167,7.1875,137700
42,2000-03-03,7.208333,7.333333,6.75,6.833333,104400
43,2000-03-06,6.916667,6.916667,6.770833,6.791667,199500
44,2000-03-07,6.791667,6.916667,6.541667,6.604167,39300
45,2000-03-08,6.625,6.625,6.333333,6.5,91800
46,2000-03-09,6.520833,6.520833,6.333333,6.354167,70800
47,2000-03-10,6.291667,6.520833,6.25,6.25,73500
48,2000-03-13,6.25,6.291667,6.125,6.208333,28500
49,2000-03-14,6.208333,6.458333,6.208333,6.4375,27900
50,2000-03-15,6.333333,6.520833,6.333333,6.520833,42900
