,Date,Open,High,Low,Close,Volume
0,2000-01-03,3.59375,3.661458,2.885417,3.25,1405200
1,2000-01-04,3.09375,3.104167,2.78125,2.84375,2026800
2,2000-01-05,2.854167,2.927083,2.791667,2.822917,2210400
3,2000-01-06,2.822917,2.90625,2.572917,2.625,1986000
4,2000-01-07,2.630208,2.96875,2.619792,2.927083,648000
5,2000-01-10,2.979167,3.020833,2.911458,2.96875,1221600
6,2000-01-11,2.947917,2.96875,2.848958,2.848958,596400
7,2000-01-12,2.927083,2.927083,2.833333,2.854167,3552000
8,2000-01-13,2.90625,2.90625,2.833333,2.885417,986400
9,2000-01-14,2.885417,2.927083,2.875,2.921875,2293200
10,2000-01-18,2.927083,2.947917,2.916667,2.942708,2076000
11,2000-01-19,2.940104,3.09375,2.927083,3.010417,2413200
12,2000-01-20,3.104167,3.28125,3.083333,3.276042,2022000
13,2000-01-21,3.291667,3.317708,3.161458,3.25,2014800
14,2000-01-24,3.182292,3.291667,3.177083,3.244792,1581600
15,2000-01-25,3.333333,3.333333,2.583333,3.255208,1291800
16,2000-01-26,3.041667,3.166667,2.833333,3.0,1450200
17,2000-01-27,3.161458,3.166667,2.729167,2.958333,720600
18,2000-01-28,2.958333,3.0625,2.9375,3.015625,414000
19,2000-01-31,3.026042,3.03125,2.708333,2.833333,1330800
20,2000-02-01,2.958333,3.0625,2.875,2.916667,555000
21,2000-02-02,3.0,3.083333,2.958333,3.03125,338400
22,2000-02-03,3.072917,3.166667,3.0,3.145833,933000
23,2000-02-04,3.145833,3.145833,3.083333,3.145833,1452000
24,2000-02-07,3.208333,3.229167,3.15625,3.229167,897000
25,2000-02-08,3.25,3.302083,3.208333,3.21875,1069800
26,2000-02-09,3.223958,3.375,3.21875,3.333333,840000
27,2000-02-10,3.322917,3.677083,3.3125,3.677083,2610600
28,2000-02-11,3.682292,3.6875,3.416667,3.46875,2826600
29,2000-02-14,3.463542,3.583333,3.416667,3.5625,2654400
30,2000-02-15,3.604167,3.604167,3.53125,3.5625,919200
31,2000-02-16,3.546875,3.625,3.541667,3.59375,512400
32,2000-02-17,3.619792,3.645833,3.489583,3.541667,1261800
33,2000-02-18,3.536458,3.541667,3.479167,3.5,1128000
34,2000-02-22,3.479167,3.5625,3.395833,3.5625,2496000
35,2000-02-23,3.5625,3.572917,3.416667,3.473958,1097400
36,2000-02-24,3.458333,3.5,3.166667,3.333333,1694400
37,2000-02-25,3.395833,3.395833,3.229167,3.28125,926400
38,2000-02-28,3.833333,3.958333,3.34375,3.625,3458400
39,2000-02-29,3.708333,3.791667,3.166667,3.505208,1877400
