,Date,Open,High,Low,Close,Volume
0,2000-01-03,27.0,27.0,26.25,26.8125,51000
1,2000-01-04,26.625,26.625,25.5,26.125,60200
2,2000-01-05,26.1875,26.25,25.8125,26.1875,66400
3,2000-01-06,26.0625,26.8125,25.8125,26.6875,36600
4,2000-01-07,26.5625,27.1875,26.4375,27.1875,29300
5,2000-01-10,27.0,27.25,26.8125,26.875,74300
6,2000-01-11,26.9375,26.9375,26.625,26.75,180400
7,2000-01-12,26.75,26.875,26.3125,26.625,191500
8,2000-01-13,26.5,26.875,26.5,26.875,131800
9,2000-01-14,26.75,27.0,26.625,26.875,49800
10,2000-01-18,27.125,27.125,26.5,26.875,56400
11,2000-01-19,26.9375,27.25,26.75,27.25,80800
12,2000-01-20,27.125,27.375,26.75,27.25,39300
13,2000-01-21,27.125,27.125,26.8125,26.875,49500
14,2000-01-24,27.125,27.125,26.625,26.6875,32500
15,2000-01-25,26.75,26.75,26.5,26.5625,23700
16,2000-01-26,26.5,26.875,26.375,26.875,30400
17,2000-01-27,26.75,26.75,26.5,26.625,43700
18,2000-01-28,26.5,26.625,26.375,26.375,88800
19,2000-01-31,26.375,26.4375,25.875,25.875,66200
20,2000-02-01,25.875,26.5,25.75,26.5,105500
21,2000-02-02,26.25,26.4375,26.0,26.0625,91100
22,2000-02-03,26.0,26.1875,25.9375,26.1875,57900
23,2000-02-04,26.0625,26.375,26.0625,26.3125,85400
24,2000-02-07,26.125,26.375,26.0,26.0,146400
25,2000-02-08,26.0,26.9375,26.0,26.5,102600
26,2000-02-09,26.375,26.375,26.125,26.25,146400
27,2000-02-10,26.25,26.3125,26.25,26.3125,67400
28,2000-02-11,26.4375,26.75,26.1875,26.25,127700
29,2000-02-14,26.1875,26.5,26.1875,26.25,190700
30,2000-02-15,26.25,26.5,26.25,26.375,164000
31,2000-02-16,26.375,26.625,26.3125,26.5,423000
32,2000-02-17,26.4375,26.625,26.375,26.625,115400
33,2000-02-18,26.5625,26.625,26.5,26.5,46800
34,2000-02-22,26.5,26.625,26.375,26.5625,198100
35,2000-02-23,26.5,26.625,26.375,26.5625,56100
36,2000-02-24,26.5625,26.5625,26.4375,26.4375,34600
37,2000-02-25,26.4375,26.5625,26.3125,26.375,61000
38,2000-02-28,26.3125,26.4375,26.1875,26.25,87400
39,2000-02-29,26.25,26.8125,26.1875,26.8125,246200
40,2000-03-01,26.8125,26.8125,26.3125,26.375,66600
