,Date,Open,High,Low,Close,Volume
0,2000-01-03,13.3125,13.5625,13.25,13.40625,421000
1,2000-01-04,13.3125,13.4375,12.5,12.5625,426100
2,2000-01-05,12.53125,12.75,11.9375,12.375,639600
3,2000-01-06,12.5,13.0625,12.375,12.5625,802300
4,2000-01-07,12.25,12.5,11.875,12.0625,494600
5,2000-01-10,12.3125,12.75,11.9375,12.0,1473300
6,2000-01-11,11.75,12.25,11.6875,11.6875,426400
7,2000-01-12,11.8125,12.3125,11.625,12.1875,542400
8,2000-01-13,12.46875,12.875,12.4375,12.5625,473600
9,2000-01-14,12.65625,15.25,12.625,13.8125,1865700
10,2000-01-18,13.75,14.5,13.5625,14.0,949900
11,2000-01-19,14.03125,15.25,13.875,14.75,1381100
12,2000-01-20,15.0,15.25,14.0,14.3125,1603500
13,2000-01-21,14.3125,14.625,12.875,13.6875,1651300
14,2000-01-24,13.9375,14.25,13.75,13.875,937800
15,2000-01-25,13.9375,14.25,13.625,14.0625,480400
16,2000-01-26,14.0625,14.625,13.75,13.8125,644300
17,2000-01-27,13.875,14.25,13.8125,14.1875,527000
18,2000-01-28,14.125,14.5625,13.75,13.78125,691700
19,2000-01-31,13.75,14.0,13.0625,13.6875,449800
20,2000-02-01,13.625,14.0,13.5,13.625,229100
21,2000-02-02,13.75,14.6875,13.75,14.625,550600
22,2000-02-03,14.25,16.0,14.0,15.0625,1916800
23,2000-02-04,14.8125,15.4375,14.75,15.0625,607800
24,2000-02-07,15.25,15.4375,14.875,14.9375,611700
25,2000-02-08,15.0,15.875,14.9375,15.6875,1346100
26,2000-02-09,15.9375,15.9375,15.0,15.3125,1007200
27,2000-02-10,15.625,17.75,15.125,17.375,3162700
28,2000-02-11,17.5,18.0,16.375,17.5,2405000
29,2000-02-14,17.75,17.75,17.125,17.4375,501000
30,2000-02-15,17.375,18.125,16.5,17.6875,825300
31,2000-02-16,17.875,19.6875,17.6875,18.6875,1947000
32,2000-02-17,19.125,22.4375,18.75,20.75,4167400
33,2000-02-18,20.875,21.0,20.0,20.3125,1812400
34,2000-02-22,20.4375,21.0625,20.1875,20.9375,1280900
35,2000-02-23,21.0625,22.4375,21.0,21.3125,1522100
36,2000-02-24,21.4375,21.5,20.125,21.0,1288100
37,2000-02-25,21.0,21.0,19.5,19.875,921000
38,2000-02-28,19.375,19.75,18.4375,19.375,885500
39,2000-02-29,19.5,21.125,19.3125,20.8125,1242500
40,2000-03-01,21.0,21.5,19.5625,21.0,1331400
41,2000-03-02,22.125,22.875,21.125,22.1875,1922800
42,2000-03-03,22.4375,22.875,22.25,22.5625,1382800
43,2000-03-06,22.5,24.0,22.375,23.125,1549900
44,2000-03-07,23.0,23.9375,22.0,22.0,1139500
45,2000-03-08,22.5,22.5,21.0,22.0625,1448200
46,2000-03-09,22.0625,22.875,21.4375,22.4375,470600
47,2000-03-10,22.375,23.25,21.75,21.875,831900
48,2000-03-13,21.3125,21.625,20.5,21.25,675000
49,2000-03-14,21.3125,22.5,20.25,20.25,829400
50,2000-03-15,20.25,20.3125,19.0,19.5,848400
51,2000-03-16,20.0,20.375,18.875,20.0,828900
52,2000-03-17,19.5,20.3125,19.0,19.875,511100
53,2000-03-20,20.0625,20.0625,18.25,18.5,820600
54,2000-03-21,18.375,18.5,17.5625,18.1875,907000
55,2000-03-22,18.1875,19.0,18.0625,18.875,895800
56,2000-03-23,18.625,20.34375,18.1875,20.125,982100
57,2000-03-24,20.4375,21.0,20.1875,20.875,1070400
58,2000-03-27,21.0,21.0,19.75,19.8125,497200
59,2000-03-28,19.625,19.8125,18.875,19.4375,440800
60,2000-03-29,19.0625,19.625,18.5,18.578125,549800
61,2000-03-30,18.375,18.875,17.0,17.9375,559300
62,2000-03-31,17.84375,18.375,17.1875,18.25,875700
63,2000-04-03,18.4375,18.5,16.625,16.6875,705200
64,2000-04-04,16.8125,16.875,14.75,16.5,962000
