,Date,Open,High,Low,Close,Volume
0,2000-01-03,54.96875,55.125,51.78125,54.03125,53076000
1,2000-01-04,52.75,53.5,50.875,51.0,50805600
2,2000-01-05,50.03125,52.25,48.625,50.84375,68524000
3,2000-01-06,50.40625,50.9375,49.3125,50.0,48242600
4,2000-01-07,49.6875,53.0,49.6875,52.9375,62260600
5,2000-01-10,54.25,55.0,53.0625,54.90625,50583000
6,2000-01-11,54.0625,54.8125,52.5,53.25,43210200
7,2000-01-12,53.4375,53.75,51.75,51.90625,40757800
8,2000-01-13,53.0,53.25,51.875,53.09375,34494400
9,2000-01-14,54.125,54.625,52.5,53.78125,43623000
10,2000-01-18,53.75,56.25,53.625,56.0,59568600
11,2000-01-19,55.84375,56.5,54.53125,56.15625,45597000
12,2000-01-20,56.6875,57.5625,55.71875,56.1875,41731200
13,2000-01-21,57.4375,57.6875,56.21875,57.625,44974600
14,2000-01-24,57.875,57.875,54.25,54.53125,43787800
15,2000-01-25,54.25,56.4375,53.53125,56.0625,55379800
16,2000-01-26,55.71875,55.875,53.5,53.59375,35308800
17,2000-01-27,54.40625,55.3125,51.875,53.3125,47908600
18,2000-01-28,53.28125,54.6875,51.5,51.9375,49564400
19,2000-01-31,51.46875,54.8125,50.0,54.75,66914600
20,2000-02-01,54.890625,59.0625,54.78125,58.90625,87263000
21,2000-02-02,58.0625,58.875,56.5,56.9375,68449200
22,2000-02-03,57.4375,59.3125,57.25,58.90625,48675200
23,2000-02-04,59.78125,61.25,59.3125,60.5625,52970000
24,2000-02-07,62.03125,62.6875,61.28125,62.59375,48933400
25,2000-02-08,63.9375,64.0,61.84375,62.90625,72100800
26,2000-02-09,66.625,67.5,63.21875,64.40625,107807600
27,2000-02-10,65.3125,68.125,64.28125,67.96875,64314000
28,2000-02-11,66.5625,66.8125,64.0625,65.46875,75471000
29,2000-02-14,66.46875,66.46875,63.46875,65.25,49103800
30,2000-02-15,64.875,65.0625,62.65625,64.0,61367200
31,2000-02-16,63.9375,64.75,63.375,63.585938,46274000
32,2000-02-17,64.46875,65.3125,63.8125,65.25,39656600
33,2000-02-18,65.34375,65.40625,62.78125,62.90625,41600000
34,2000-02-22,63.28125,63.53125,60.625,61.96875,61144400
35,2000-02-23,63.5,69.5,63.15625,69.3125,105707800
36,2000-02-24,68.625,68.875,66.25,68.625,74976000
37,2000-02-25,68.3125,68.625,65.53125,66.375,46451200
38,2000-02-28,65.382813,66.59375,63.8125,65.28125,52048400
39,2000-02-29,66.179688,66.96875,64.632813,66.09375,41688600
40,2000-03-01,66.34375,67.6875,65.0,65.84375,39469400
41,2000-03-02,65.5625,66.75,64.96875,66.375,31939200
42,2000-03-03,67.25,69.46875,66.9375,68.71875,38053800
43,2000-03-06,68.59375,69.0,67.21875,68.0625,33787600
44,2000-03-07,68.875,68.90625,65.375,66.03125,42309600
45,2000-03-08,66.625,67.5,65.0,66.1875,48042400
46,2000-03-09,66.9375,69.992188,66.0625,69.65625,67248600
47,2000-03-10,69.5625,70.9375,68.03125,68.1875,48013600
48,2000-03-13,67.5,70.015625,67.0,68.09375,47557200
49,2000-03-14,68.46875,69.0625,65.84375,65.875,58617400
50,2000-03-15,66.75,67.5,63.3125,64.3125,62863600
51,2000-03-16,64.875,66.6875,62.15625,65.835938,75486200
52,2000-03-17,65.5,67.96875,65.5,67.5,53047600
53,2000-03-20,67.5,68.375,66.28125,67.0625,39242200
54,2000-03-21,67.25,70.6875,66.46875,70.429688,57357400
55,2000-03-22,70.8125,73.375,69.4375,72.1875,59111600
56,2000-03-23,73.125,78.9375,72.0,77.8125,76967200
57,2000-03-24,80.125,81.3125,78.25,79.375,64910400
58,2000-03-27,81.4375,82.0,79.0625,80.0625,47360000
59,2000-03-28,79.5625,80.5,77.5,77.875,42658000
60,2000-03-29,77.9375,78.734375,75.0,76.0625,54776100
61,2000-03-30,74.875,76.75,70.75,73.625,67081600
62,2000-03-31,74.359375,77.8125,72.25,77.3125,53212600
63,2000-04-03,76.875,77.0,72.0,72.9375,61832400
64,2000-04-04,74.0,74.5,64.0,73.125,10846100
65,2000-04-05,70.25,74.875,70.125,72.125,64975400
66,2000-04-06,73.875,74.25,70.75,71.8125,43823900
67,2000-04-07,73.0,75.0,71.625,74.9375,44893800
68,2000-04-10,75.4375,76.0,72.5,72.5625,42264200
69,2000-04-11,72.125,73.6875,68.5,70.0,58865900
70,2000-04-12,69.75,70.6875,64.75,65.0,94231500
71,2000-04-13,66.109375,66.5,61.125,61.125,104047300
72,2000-04-14,60.875,61.0625,55.0625,57.0,14575300
73,2000-04-17,56.9375,66.625,56.671875,66.5,12074800
74,2000-04-18,68.125,69.5,67.0,69.25,80723900
75,2000-04-19,69.75,70.0,65.875,66.125,51863900
76,2000-04-20,66.75,67.6875,64.5625,65.125,36551400
77,2000-04-24,61.5625,63.75,59.25,63.4375,58933700
78,2000-04-25,65.125,66.0625,63.0625,66.0,54357600
79,2000-04-26,66.3125,69.0,65.875,66.75,51055200
80,2000-04-27,64.25,69.125,64.0,69.0,51540300
81,2000-04-28,69.375,70.0,68.0625,69.328125,34352200
82,2000-05-01,69.875,71.875,69.5,71.4375,40694200
83,2000-05-02,71.0,71.6875,67.625,68.0,31282300
84,2000-05-03,67.5625,67.625,63.625,66.0625,47312400
85,2000-05-04,65.4375,66.5,63.5,63.625,40026500
86,2000-05-05,63.8125,67.984375,63.5,67.75,45085600
87,2000-05-08,64.0625,64.625,62.125,62.75,67640000
88,2000-05-09,63.53125,63.6875,60.8125,62.75,70498200
89,2000-05-10,60.5,61.5,58.125,58.5,91957600
90,2000-05-11,59.875,61.125,58.0625,60.25,53912000
91,2000-05-12,60.125,63.0,58.75,59.9375,43915500
92,2000-05-15,59.4375,60.125,57.0,60.0,50519100
93,2000-05-16,61.125,62.265625,58.75,60.5625,50845600
94,2000-05-17,59.25,59.625,58.0,58.0,43334300
95,2000-05-18,58.0,58.3125,55.125,55.375,75639200
96,2000-05-19,53.984375,55.0625,52.4375,53.4375,82841000
97,2000-05-22,53.1875,55.5,50.0,55.25,92259800
98,2000-05-23,55.125,55.625,50.25,50.546875,67684700
99,2000-05-24,50.5,55.5,50.1875,55.125,97110300
100,2000-05-25,56.0625,58.4375,54.0625,54.5,76771500
101,2000-05-26,54.625,55.9375,52.625,54.9375,36022200
102,2000-05-30,57.484375,60.0,57.0,59.875,51328600
103,2000-05-31,58.9375,60.25,56.375,56.9375,49611300
104,2000-06-01,58.578125,61.125,57.875,60.9375,52127600
105,2000-06-02,64.5625,65.75,63.4375,64.375,61997000
106,2000-06-05,63.6875,65.0625,62.4375,63.25,36758700
107,2000-06-06,62.75,63.8125,61.125,61.3125,30704100
108,2000-06-07,61.625,63.5,61.125,62.875,32483900
109,2000-06-08,63.8125,65.0,62.75,63.6875,36633200
110,2000-06-09,64.5,65.0,64.0,64.375,23956400
111,2000-06-12,64.5,64.75,62.125,62.125,22663400
112,2000-06-13,62.375,65.0,61.5,65.0,33430700
113,2000-06-14,64.8125,66.5,64.125,65.1875,33894400
114,2000-06-15,65.5,66.625,64.625,66.5,38430500
115,2000-06-16,66.75,67.9375,65.796875,67.8125,49657300
116,2000-06-19,67.0,69.25,66.25,68.9375,34616900
117,2000-06-20,68.6875,69.5625,66.625,67.125,34001500
118,2000-06-21,65.8125,67.75,65.75,67.4375,27600800
119,2000-06-22,67.0625,67.125,64.4375,64.5625,27506900
120,2000-06-23,64.5625,65.9375,62.5,62.625,25132300
121,2000-06-26,63.078125,63.625,61.0625,62.8125,40313100
122,2000-06-27,62.5625,65.25,62.125,62.25,31635200
123,2000-06-28,62.8125,64.4375,62.125,63.5625,29624000
124,2000-06-29,62.6875,63.515625,60.5,61.1875,36168100
125,2000-06-30,60.8125,63.6875,60.125,63.5625,34402600
126,2000-07-03,63.375,64.875,63.125,64.625,14879800
127,2000-07-05,63.8125,64.75,61.4375,61.875,27383000
128,2000-07-06,62.25,64.875,60.875,64.75,34561900
129,2000-07-07,64.625,65.9375,63.625,65.375,30196900
130,2000-07-10,64.25,65.625,63.0,63.125,29138500
131,2000-07-11,63.0,64.5625,61.625,62.125,33011500
132,2000-07-12,63.375,64.625,62.09375,63.875,32863700
133,2000-07-13,64.0625,67.109375,63.875,65.25,58366200
134,2000-07-14,66.5625,68.75,66.0625,68.25,58353300
135,2000-07-17,67.625,69.75,67.375,69.625,41995400
136,2000-07-18,68.25,69.125,67.0625,67.25,29673200
137,2000-07-19,67.125,67.9375,66.25,66.8125,24010200
138,2000-07-20,67.25,69.75,67.1875,69.5,43828700
139,2000-07-21,68.625,69.625,67.734375,68.125,29126500
140,2000-07-24,67.9375,68.875,65.875,66.0625,29325800
141,2000-07-25,66.625,68.875,65.9375,68.125,32776100
142,2000-07-26,67.0625,69.125,66.375,68.5625,44805400
143,2000-07-27,67.859375,69.0,66.75,68.0,34568500
144,2000-07-28,67.25,69.0,61.9375,62.8125,56395700
145,2000-07-31,62.890625,66.0,62.5625,65.4375,51109200
146,2000-08-01,64.75,65.625,62.3125,63.1875,34942900
147,2000-08-02,63.25,64.5,60.75,60.9375,45361900
148,2000-08-03,59.625,64.875,58.5,64.375,61286400
149,2000-08-04,65.53125,66.875,64.5625,65.5625,41593000
150,2000-08-07,66.203125,67.25,65.25,66.25,39458000
151,2000-08-08,66.0,66.9375,64.875,65.5,46360200
152,2000-08-09,68.875,70.0,67.25,67.8125,94337400
153,2000-08-10,66.625,66.625,63.125,63.375,59673700
154,2000-08-11,62.8125,64.875,62.0,64.3125,48999400
155,2000-08-14,64.0,64.5625,62.375,64.5,29087500
156,2000-08-15,64.1875,64.8125,62.9375,63.1875,33757400
157,2000-08-16,63.5,64.25,62.3125,63.0625,35195300
158,2000-08-17,62.875,64.5,62.265625,63.4375,34739500
