,Date,Open,High,Low,Close,Volume
0,2000-01-03,21.8125,21.90625,21.28125,21.4375,2691200
1,2000-01-04,21.25,21.5,21.21875,21.40625,3370600
2,2000-01-05,21.46875,22.21875,21.21875,21.90625,6213800
3,2000-01-06,22.3125,23.4375,22.21875,23.03125,6081400
4,2000-01-07,23.03125,23.71875,22.84375,23.0,4113000
5,2000-01-10,23.0,23.71875,22.84375,23.46875,3156600
6,2000-01-11,23.21875,23.6875,23.1875,23.46875,3176400
7,2000-01-12,23.21875,23.28125,22.90625,23.03125,3013800
8,2000-01-13,23.15625,23.53125,22.90625,23.125,2002800
9,2000-01-14,23.5,24.15625,23.375,24.0625,2989400
10,2000-01-18,23.84375,23.84375,22.71875,23.5625,3040400
11,2000-01-19,23.5,23.90625,22.6875,23.1875,2004000
12,2000-01-20,23.3125,23.375,22.5625,22.78125,2164600
13,2000-01-21,22.78125,22.78125,21.90625,22.09375,2659600
14,2000-01-24,22.125,22.4375,21.90625,22.4375,1653400
15,2000-01-25,22.4375,22.65625,21.4375,22.25,3080400
16,2000-01-26,22.3125,23.03125,22.28125,22.8125,2465200
17,2000-01-27,22.875,23.0,22.625,22.90625,1466800
18,2000-01-28,22.6875,22.71875,22.0,22.375,2606000
19,2000-01-31,22.3125,22.3125,21.75,21.84375,1826400
20,2000-02-01,21.8125,21.8125,21.140625,21.375,3139800
21,2000-02-02,21.875,22.25,21.28125,21.3125,3168600
22,2000-02-03,21.34375,21.5,20.1875,20.625,4060000
23,2000-02-04,20.25,20.5625,19.90625,20.4375,2953600
24,2000-02-07,20.4375,20.78125,20.03125,20.65625,2017200
25,2000-02-08,20.875,20.90625,18.125,20.03125,10296000
26,2000-02-09,20.09375,20.5,19.8125,20.0,4098600
27,2000-02-10,20.0,20.09375,18.5625,18.75,2402000
28,2000-02-11,18.9375,18.9375,17.96875,18.09375,3009000
29,2000-02-14,18.15625,19.5625,17.84375,19.5,3117800
30,2000-02-15,20.0,20.5625,19.8125,20.21875,2621600
31,2000-02-16,20.34375,20.8125,19.5,19.65625,2736800
32,2000-02-17,20.0,20.3125,19.75,19.90625,2028000
33,2000-02-18,19.78125,20.1875,18.96875,19.25,1174200
34,2000-02-22,19.125,20.25,19.0,20.0,1886400
35,2000-02-23,19.75,19.9375,19.125,19.25,1308400
36,2000-02-24,19.125,19.15625,18.09375,18.5,1469200
