,Date,Open,High,Low,Close,Volume
0,2000-01-03,7.703125,7.734375,7.4375,7.5,394800
1,2000-01-04,7.453125,7.515625,7.40625,7.484375,924400
2,2000-01-05,7.5,7.5,7.375,7.421875,624000
3,2000-01-06,7.390625,7.453125,7.28125,7.453125,450400
4,2000-01-07,7.453125,7.765625,7.421875,7.75,1608400
5,2000-01-10,7.765625,8.109375,7.765625,7.890625,620800
6,2000-01-11,7.84375,7.96875,7.796875,7.875,575600
7,2000-01-12,7.859375,7.859375,7.75,7.84375,676800
8,2000-01-13,7.890625,8.203125,7.890625,8.140625,700000
9,2000-01-14,8.15625,8.15625,7.78125,7.78125,244800
10,2000-01-18,7.75,7.9375,7.734375,7.921875,485200
11,2000-01-19,7.890625,8.0,7.875,7.875,741600
12,2000-01-20,7.921875,7.9375,7.859375,7.921875,332000
13,2000-01-21,7.84375,7.953125,7.84375,7.921875,960000
14,2000-01-24,7.90625,7.96875,7.90625,7.9375,371200
15,2000-01-25,7.9375,8.078125,7.90625,8.015625,1643200
16,2000-01-26,8.015625,9.21875,8.015625,9.0,1582000
17,2000-01-27,9.015625,9.09375,8.25,8.25,1392000
18,2000-01-28,8.3125,8.609375,8.3125,8.40625,1078000
19,2000-01-31,8.453125,8.53125,8.453125,8.5,600000
20,2000-02-01,8.5,8.5,8.296875,8.375,214000
21,2000-02-02,8.40625,8.53125,8.34375,8.390625,456000
22,2000-02-03,8.5,8.71875,8.484375,8.609375,496800
23,2000-02-04,8.625,8.90625,8.625,8.796875,462000
24,2000-02-07,8.765625,8.890625,8.765625,8.859375,767600
25,2000-02-08,8.859375,8.9375,8.859375,8.9375,434400
26,2000-02-09,9.0,9.140625,8.875,9.03125,886400
27,2000-02-10,9.125,9.15625,9.046875,9.09375,394400
28,2000-02-11,9.109375,9.109375,8.828125,8.828125,336800
29,2000-02-14,8.78125,8.78125,8.609375,8.65625,214400
30,2000-02-15,8.6875,8.75,8.671875,8.71875,570000
31,2000-02-16,8.734375,8.8125,8.726563,8.796875,1315200
32,2000-02-17,8.859375,9.0625,8.828125,8.828125,857600
33,2000-02-18,8.859375,8.859375,8.625,8.640625,187200
34,2000-02-22,8.640625,8.8125,8.59375,8.8125,204400
35,2000-02-23,8.796875,8.890625,8.796875,8.875,886400
36,2000-02-24,8.84375,8.96875,8.765625,8.765625,372400
37,2000-02-25,8.734375,8.828125,8.6875,8.75,910400
