,Date,Open,High,Low,Close,Volume
0,2000-01-03,3.805411,3.805411,3.616001,3.650439,840276
1,2000-01-04,3.684878,3.684878,3.374935,3.512687,568774
2,2000-01-05,3.529906,3.581563,3.495468,3.564344,502350
3,2000-01-06,3.547125,3.547125,3.374935,3.374935,2483804
4,2000-01-07,3.409373,3.547125,3.392154,3.495468,684924
5,2000-01-10,3.495468,3.564344,3.426592,3.564344,581841
6,2000-01-11,3.564344,3.564344,3.323277,3.340496,2928805
7,2000-01-12,3.340496,3.374935,3.288839,3.306058,1210505
8,2000-01-13,3.374935,3.392154,3.288839,3.340496,1182556
9,2000-01-14,3.357716,3.495468,3.27162,3.495468,972034
10,2000-01-18,3.340496,3.357716,3.27162,3.323277,883469
11,2000-01-19,3.374935,3.374935,3.202744,3.237182,783289
12,2000-01-20,3.27162,3.27162,3.133868,3.237182,1254061
13,2000-01-21,3.237182,3.237182,3.116649,3.202744,1132103
14,2000-01-24,3.323277,3.340496,3.168306,3.202744,1783272
15,2000-01-25,3.237182,3.237182,2.996115,3.030553,1065680
16,2000-01-26,3.064992,3.168306,3.064992,3.082211,1168037
17,2000-01-27,3.09943,3.202744,3.09943,3.116649,1121214
18,2000-01-28,3.09943,3.133868,3.064992,3.064992,1064954
19,2000-01-31,3.306058,3.306058,3.133868,3.202744,1476562
20,2000-02-01,3.219963,3.219963,3.116649,3.151087,1028657
21,2000-02-02,3.27162,3.27162,3.151087,3.202744,1501970
22,2000-02-03,3.219963,3.426592,3.219963,3.357716,2116841
23,2000-02-04,3.478249,3.478249,3.323277,3.340496,895810
24,2000-02-07,3.409373,3.409373,3.340496,3.392154,1001434
25,2000-02-08,3.392154,3.512687,3.374935,3.409373,1262047
26,2000-02-09,3.564344,3.581563,3.409373,3.426592,766230
27,2000-02-10,3.667658,3.667658,3.392154,3.409373,1729915
28,2000-02-11,3.409373,3.409373,3.27162,3.323277,681295
29,2000-02-14,3.323277,3.478249,3.323277,3.426592,874395
30,2000-02-15,3.443811,3.478249,3.374935,3.426592,1096169
31,2000-02-16,3.443811,3.443811,3.219963,3.219963,1053702
32,2000-02-17,3.357716,3.426592,3.27162,3.27162,1071124
33,2000-02-18,3.219963,3.288839,3.064992,3.27162,1752782
34,2000-02-22,3.27162,3.27162,3.116649,3.237182,818860
35,2000-02-23,3.185525,3.237182,3.09943,3.151087,690006
36,2000-02-24,3.133868,3.185525,3.064992,3.082211,626849
37,2000-02-25,3.151087,3.151087,3.09943,3.09943,1208327
38,2000-02-28,3.09943,3.168306,3.064992,3.116649,581478
39,2000-02-29,3.116649,3.133868,3.064992,3.09943,821038
40,2000-03-01,3.133868,3.323277,3.133868,3.323277,1351700
41,2000-03-02,3.306058,3.340496,3.288839,3.323277,978204
42,2000-03-03,3.323277,3.443811,3.306058,3.340496,670769
43,2000-03-06,3.340496,3.357716,3.185525,3.27162,303080
44,2000-03-07,3.237182,3.254401,3.116649,3.116649,831201
45,2000-03-08,3.09943,3.185525,3.09943,3.151087,743726
46,2000-03-09,3.185525,3.288839,3.168306,3.288839,467142
47,2000-03-10,3.237182,3.254401,3.151087,3.185525,473313
48,2000-03-13,3.133868,3.306058,3.133868,3.185525,618864
49,2000-03-14,3.254401,3.254401,3.09943,3.09943,1324478
50,2000-03-15,3.116649,3.443811,3.116649,3.323277,817045
51,2000-03-16,3.478249,3.874287,3.478249,3.788192,3455111
52,2000-03-17,3.702097,3.770973,3.650439,3.684878,958967
53,2000-03-20,3.702097,3.788192,3.684878,3.719316,554981
54,2000-03-21,3.650439,3.702097,3.581563,3.684878,888914
55,2000-03-22,3.702097,3.719316,3.529906,3.616001,964774
56,2000-03-23,3.63322,3.857068,3.616001,3.753754,1295440
57,2000-03-24,3.788192,3.857068,3.702097,3.702097,672583
58,2000-03-27,3.702097,3.719316,3.581563,3.650439,899803
59,2000-03-28,3.547125,3.63322,3.512687,3.581563,596723
60,2000-03-29,3.581563,3.650439,3.46103,3.512687,1022849
