,Date,Open,High,Low,Close,Volume
0,2000-01-03,50.625,51.0,45.625,47.59375,4614600
1,2000-01-04,45.625,48.1875,44.5,45.84375,3983400
2,2000-01-05,45.117188,46.75,40.0,45.6875,5240200
3,2000-01-06,45.28125,45.28125,41.0625,41.09375,6464000
4,2000-01-07,40.3125,43.9375,40.0625,42.6875,4475400
5,2000-01-10,43.8125,45.75,43.8125,44.21875,3450400
6,2000-01-11,44.46875,45.5625,41.53125,41.875,2585400
7,2000-01-12,42.625,43.875,41.375,42.34375,2277000
8,2000-01-13,42.875,44.5,42.34375,44.46875,1901200
9,2000-01-14,45.0,46.96875,44.875,45.125,2194400
10,2000-01-18,44.375,46.0,43.5,45.84375,1389800
11,2000-01-19,45.875,47.0,44.5,46.125,1397600
12,2000-01-20,46.5,49.3125,45.5,47.65625,3308000
13,2000-01-21,47.375,48.625,46.8125,48.125,3158800
14,2000-01-24,48.1875,52.21875,47.5,47.9375,5550600
15,2000-01-25,48.15625,48.5625,45.625,47.40625,3530600
16,2000-01-26,47.59375,47.625,44.9375,45.03125,1686200
17,2000-01-27,46.5625,46.8125,43.5625,45.1875,1916600
18,2000-01-28,44.5,45.875,41.5,42.09375,3573800
19,2000-01-31,41.25,41.9375,38.46875,40.71875,5925200
20,2000-02-01,41.75,43.96875,41.5625,43.25,5741400
21,2000-02-02,43.8125,43.90625,43.0,43.15625,3059000
22,2000-02-03,43.53125,43.625,41.375,42.625,3950800
23,2000-02-04,42.625,42.625,40.75,41.21875,3958800
24,2000-02-07,41.5,44.0,41.34375,43.59375,2343400
25,2000-02-08,44.1875,46.8125,44.15625,46.125,3898800
26,2000-02-09,46.5625,46.75,45.03125,45.125,3089800
27,2000-02-10,44.59375,46.96875,44.59375,46.59375,1747400
28,2000-02-11,46.5,46.625,44.0625,44.6875,1517200
29,2000-02-14,44.8125,45.3125,43.1875,44.75,1490800
30,2000-02-15,44.8125,45.96875,43.8125,44.5625,2185000
31,2000-02-16,44.25,46.15625,44.125,45.71875,2724000
32,2000-02-17,45.5,48.0,44.5,47.5,2943000
33,2000-02-18,47.96875,48.40625,46.65625,47.0625,2526200
34,2000-02-22,47.40625,50.4375,46.75,50.0,5558000
35,2000-02-23,51.9375,63.75,51.9375,60.40625,14625600
36,2000-02-24,60.25,60.25,55.0,57.0625,5066800
37,2000-02-25,57.375,57.4375,54.0,54.75,3654600
38,2000-02-28,56.1875,58.5,55.1875,55.875,5456000
39,2000-02-29,56.6875,57.6875,55.25,57.0,3355400
40,2000-03-01,58.625,58.75,56.25,57.46875,3153400
41,2000-03-02,57.59375,57.65625,55.4375,56.1875,2364400
42,2000-03-03,56.5,61.6875,56.3125,60.71875,6368000
43,2000-03-06,60.9375,60.9375,57.0,58.09375,3663000
44,2000-03-07,59.5625,63.4375,58.625,60.75,4317400
45,2000-03-08,61.4375,63.875,59.375,63.6875,3414400
46,2000-03-09,65.0,67.78125,63.75,65.15625,4503000
47,2000-03-10,66.5,72.25,66.5,69.0,2838600
48,2000-03-13,64.25,69.25,60.75,64.1875,4939400
49,2000-03-14,65.289063,66.875,61.46875,62.023438,4322800
50,2000-03-15,62.25,62.25,57.5,58.75,2971400
51,2000-03-16,60.625,62.6875,55.25,61.875,5291600
52,2000-03-17,61.71875,61.875,59.8125,60.53125,2201600
53,2000-03-20,60.5,62.0,59.5,60.125,4000600
54,2000-03-21,61.6875,61.6875,57.25,60.0625,4358600
55,2000-03-22,60.625,64.8125,60.625,62.59375,6770600
56,2000-03-23,64.375,73.4375,63.0,72.8125,5510700
57,2000-03-24,74.375,78.4375,74.0625,76.125,4827400
58,2000-03-27,79.0625,81.25,75.5,76.9375,3195500
59,2000-03-28,76.5,76.875,71.625,72.0,2161300
60,2000-03-29,72.0,74.5,70.0625,70.4375,2403500
61,2000-03-30,66.125,74.0,66.0,69.125,2672100
62,2000-03-31,70.875,80.0,66.5,79.0,2402500
63,2000-04-03,76.5625,77.0,70.5,74.1875,3437400
64,2000-04-04,75.1875,75.9375,52.75,68.375,8193400
65,2000-04-05,64.75,66.5,61.1875,63.6875,4825900
66,2000-04-06,66.375,69.75,65.25,68.4375,3079300
67,2000-04-07,71.0,72.875,68.5,72.875,1806300
68,2000-04-10,71.375,72.375,63.75,63.875,2752800
69,2000-04-11,61.9375,62.5,55.0,60.8125,4863400
70,2000-04-12,59.125,61.75,47.0,50.9375,8871800
