,Date,Open,High,Low,Close,Volume
0,2000-01-03,1.15625,1.5,1.125,1.34375,76800
1,2000-01-04,1.28125,1.28125,1.21875,1.25,19200
2,2000-01-05,1.28125,1.28125,1.28125,1.28125,6800
3,2000-01-06,1.28125,1.390625,1.28125,1.390625,81200
4,2000-01-07,1.367188,1.40625,1.34375,1.34375,28000
5,2000-01-10,1.34375,1.390625,1.3125,1.3125,79200
6,2000-01-11,1.28125,1.296875,1.25,1.296875,25600
7,2000-01-12,1.265625,1.265625,1.25,1.25,6800
8,2000-01-13,1.21875,1.21875,0.921875,0.953125,547200
9,2000-01-14,1.039063,1.25,1.0,1.0625,318400
10,2000-01-18,1.0625,1.09375,1.0,1.0,164400
11,2000-01-19,1.03125,1.0625,1.0,1.0,73600
12,2000-01-20,1.03125,1.03125,1.0,1.0,34800
13,2000-01-21,1.0,1.0625,1.0,1.03125,16800
14,2000-01-24,1.0625,1.0625,0.96875,1.0,110400
15,2000-01-25,1.0,1.03125,0.96875,0.96875,64000
16,2000-01-26,0.984375,1.0,0.984375,1.0,16400
17,2000-01-27,0.984375,1.0,0.96875,0.96875,65200
18,2000-01-28,0.96875,1.0,0.9375,0.9375,91200
19,2000-01-31,0.96875,0.96875,0.9375,0.9375,54000
20,2000-02-01,0.96875,1.0,0.96875,1.0,32000
21,2000-02-02,1.0,1.03125,1.0,1.03125,10800
22,2000-02-03,0.984375,1.15625,0.96875,1.046875,53200
23,2000-02-04,1.0625,1.0625,1.046875,1.046875,9600
24,2000-02-07,1.03125,1.046875,1.03125,1.046875,8800
25,2000-02-08,1.0625,1.234375,0.96875,0.96875,150400
26,2000-02-09,0.96875,0.96875,0.96875,0.96875,13200
27,2000-02-10,1.0,1.03125,0.96875,0.96875,3600
28,2000-02-11,1.0,1.03125,0.96875,1.03125,47200
29,2000-02-14,1.0,1.03125,0.984375,0.984375,16800
30,2000-02-15,1.039063,1.039063,0.984375,0.984375,9200
31,2000-02-16,1.03125,1.03125,0.984375,1.007813,56800
32,2000-02-17,0.992188,1.0,0.9375,0.96875,58800
33,2000-02-18,0.96875,0.96875,0.953125,0.953125,4800
34,2000-02-22,0.96875,1.007813,0.96875,0.96875,20400
35,2000-02-23,0.96875,1.0,0.953125,0.953125,28800
36,2000-02-24,0.96875,0.96875,0.953125,0.953125,6400
37,2000-02-25,0.9375,0.9375,0.90625,0.90625,42800
38,2000-02-28,0.953125,0.953125,0.90625,0.90625,29200
39,2000-02-29,0.9375,0.9375,0.90625,0.921875,74400
40,2000-03-01,0.90625,0.9375,0.90625,0.9375,19200
41,2000-03-02,0.890625,0.953125,0.875,0.875,90400
42,2000-03-03,0.875,0.90625,0.875,0.90625,15200
43,2000-03-06,0.875,0.875,0.859375,0.859375,26000
44,2000-03-07,0.875,0.875,0.8125,0.8125,66400
45,2000-03-08,0.78125,0.84375,0.78125,0.8125,47200
46,2000-03-09,0.832031,0.832031,0.765625,0.765625,42400
47,2000-03-10,0.78125,0.8125,0.75,0.8125,30400
48,2000-03-13,0.8125,0.8125,0.8125,0.8125,2800
49,2000-03-14,0.78125,0.8125,0.75,0.8125,12800
50,2000-03-15,0.78125,0.78125,0.78125,0.78125,2400
51,2000-03-16,0.78125,0.78125,0.78125,0.78125,0
52,2000-03-17,0.773438,0.773438,0.71875,0.71875,137600
53,2000-03-20,0.734375,0.75,0.703125,0.703125,150800
54,2000-03-21,0.75,0.75,0.671875,0.671875,153200
55,2000-03-22,0.671875,0.671875,0.59375,0.609375,520800
56,2000-03-23,0.648438,0.671875,0.640625,0.640625,82800
57,2000-03-24,0.671875,0.75,0.671875,0.703125,80400
58,2000-03-27,0.765625,0.84375,0.765625,0.8125,117600
59,2000-03-28,0.8125,0.8125,0.703125,0.78125,10800
60,2000-03-29,0.75,0.78125,0.65625,0.65625,153600
61,2000-03-30,0.6875,0.734375,0.671875,0.6875,40800
62,2000-03-31,0.65625,0.75,0.65625,0.734375,72400
63,2000-04-03,0.75,0.75,0.75,0.75,18800
64,2000-04-04,0.726563,0.8125,0.65625,0.8125,98000
65,2000-04-05,0.75,0.75,0.75,0.75,20000
66,2000-04-06,0.8125,0.859375,0.765625,0.8125,67600
67,2000-04-07,0.8125,0.8125,0.8125,0.8125,39200
68,2000-04-10,0.84375,0.84375,0.78125,0.8125,97200
69,2000-04-11,0.796875,0.796875,0.75,0.796875,37200
70,2000-04-12,0.78125,0.78125,0.78125,0.78125,400
71,2000-04-13,0.78125,0.8125,0.71875,0.71875,61200
72,2000-04-14,0.71875,0.875,0.6875,0.75,55600
73,2000-04-17,0.6875,0.71875,0.6875,0.71875,97200
74,2000-04-18,0.6875,0.78125,0.6875,0.78125,22800
75,2000-04-19,0.765625,0.8125,0.75,0.75,48000
76,2000-04-20,0.75,0.75,0.75,0.75,0
77,2000-04-24,0.75,0.75,0.6875,0.6875,16000
78,2000-04-25,0.65625,0.859375,0.65625,0.8125,54400
79,2000-04-26,0.8125,0.8125,0.8125,0.8125,0
80,2000-04-27,0.8125,0.8125,0.8125,0.8125,32000
81,2000-04-28,0.78125,0.78125,0.765625,0.765625,24400
82,2000-05-01,0.765625,0.765625,0.75,0.75,7600
83,2000-05-02,0.71875,0.75,0.703125,0.75,30800
84,2000-05-03,0.71875,0.75,0.71875,0.75,6800
85,2000-05-04,0.703125,0.734375,0.703125,0.734375,36800
86,2000-05-05,0.75,0.8125,0.75,0.8125,28000
87,2000-05-08,0.84375,0.84375,0.828125,0.84375,1200
88,2000-05-09,0.828125,0.828125,0.828125,0.828125,2800
89,2000-05-10,0.8125,0.84375,0.8125,0.84375,5200
90,2000-05-11,0.8125,0.8125,0.8125,0.8125,8000
91,2000-05-12,0.8125,0.8125,0.679688,0.679688,111200
92,2000-05-15,0.65625,0.8125,0.585938,0.671875,781200
93,2000-05-16,0.65625,0.8125,0.640625,0.78125,59600
94,2000-05-17,0.804688,0.804688,0.78125,0.78125,4400
95,2000-05-18,0.765625,0.78125,0.765625,0.765625,4400
96,2000-05-19,0.78125,0.78125,0.734375,0.734375,12400
97,2000-05-22,0.734375,0.734375,0.609375,0.640625,148400
98,2000-05-23,0.609375,0.640625,0.5625,0.5625,114400
99,2000-05-24,0.59375,0.671875,0.59375,0.59375,18000
100,2000-05-25,0.59375,0.648438,0.59375,0.648438,39600
101,2000-05-26,0.609375,0.6875,0.609375,0.625,34800
102,2000-05-30,0.59375,0.625,0.59375,0.625,96800
103,2000-05-31,0.6875,0.6875,0.625,0.625,22800
104,2000-06-01,0.65625,0.65625,0.65625,0.65625,20000
105,2000-06-02,0.71875,0.75,0.6875,0.6875,28800
106,2000-06-05,0.71875,0.78125,0.6875,0.78125,60000
107,2000-06-06,0.8125,0.8125,0.65625,0.65625,42400
108,2000-06-07,0.6875,0.796875,0.6875,0.6875,95200
109,2000-06-08,0.703125,0.703125,0.6875,0.6875,22000
110,2000-06-09,0.71875,0.796875,0.71875,0.75,6000
111,2000-06-12,0.6875,0.75,0.6875,0.71875,10000
112,2000-06-13,0.6875,0.75,0.6875,0.71875,104400
113,2000-06-14,0.71875,0.71875,0.71875,0.71875,0
114,2000-06-15,0.742188,0.742188,0.6875,0.6875,65600
115,2000-06-16,0.71875,0.71875,0.6875,0.6875,17200
116,2000-06-19,0.734375,0.75,0.734375,0.734375,15600
