,Date,Open,High,Low,Close,Volume
0,2000-01-03,29.416668,30.833332,29.416668,29.791668,399450
1,2000-01-04,29.708332,29.708332,27.791668,27.916668,243600
2,2000-01-05,27.833332,28.333332,27.833332,28.166668,199050
3,2000-01-06,28.0,28.0,26.958332,27.166668,463800
4,2000-01-07,27.041668,29.333332,26.25,29.208332,504000
5,2000-01-10,29.041668,30.0,28.75,30.0,205950
6,2000-01-11,29.875,29.875,28.333332,28.666668,419250
7,2000-01-12,28.75,28.75,27.875,28.125,209250
8,2000-01-13,28.0,29.958332,28.0,29.833332,239100
9,2000-01-14,30.0,31.333332,30.0,30.916668,327900
10,2000-01-18,30.958332,31.333332,30.333332,30.833332,205050
11,2000-01-19,30.666668,33.041668,30.333332,30.375,443250
12,2000-01-20,30.75,31.583332,29.958332,30.875,673800
13,2000-01-21,30.875,33.333332,30.875,33.083332,629700
14,2000-01-24,34.166668,36.0,33.5,34.333332,604050
15,2000-01-25,35.083332,35.083332,33.0,34.958332,378600
16,2000-01-26,33.666668,33.708332,30.833332,32.166668,1281750
17,2000-01-27,32.208332,32.666668,30.875,31.083332,595950
18,2000-01-28,31.083332,31.25,30.0,30.208332,619200
19,2000-01-31,30.0,30.166668,26.041668,28.666668,839400
20,2000-02-01,29.0,29.916668,28.583332,29.666668,313200
21,2000-02-02,30.0,31.541668,29.791668,30.875,386850
22,2000-02-03,30.916668,31.0,30.166668,31.0,342900
23,2000-02-04,31.166668,31.458332,30.666668,30.916668,99150
24,2000-02-07,31.5,33.166668,31.416668,33.083332,257100
25,2000-02-08,33.333332,33.666668,32.5,32.916668,458400
26,2000-02-09,32.958332,33.0,31.125,31.458332,192900
27,2000-02-10,31.625,31.625,30.583332,31.333332,215250
28,2000-02-11,31.25,31.333332,29.916668,30.375,202050
29,2000-02-14,29.833332,30.583332,29.625,30.25,270900
30,2000-02-15,30.666668,31.333332,29.708332,30.833332,245850
31,2000-02-16,31.333332,35.291668,31.166668,34.458332,603750
32,2000-02-17,34.625,39.875,34.625,39.0,971400
33,2000-02-18,39.25,41.0,38.5,40.3125,412400
34,2000-02-22,40.25,44.5,38.625,44.375,519200
35,2000-02-23,44.625,47.0,44.5,45.75,557200
36,2000-02-24,44.25,44.375,42.125,43.75,220600
37,2000-02-25,43.25,44.5,42.3125,43.375,237900
38,2000-02-28,43.375,44.75,41.25,42.75,483800
39,2000-02-29,41.875,52.5,41.8125,50.0,726000
40,2000-03-01,49.0,49.0,47.0,48.0,416500
41,2000-03-02,48.0,52.125,48.0,49.75,363000
42,2000-03-03,49.9375,51.125,49.4375,49.75,136200
43,2000-03-06,49.5,49.75,46.3125,47.3125,244600
44,2000-03-07,47.1875,48.625,46.375,47.3125,201200
45,2000-03-08,47.0625,47.6875,46.25,47.6875,134100
46,2000-03-09,47.6875,48.5,45.25,47.75,205200
47,2000-03-10,48.25,51.1875,48.125,49.875,305700
48,2000-03-13,49.9375,49.9375,47.8125,48.3125,211100
49,2000-03-14,48.0,48.3125,45.875,47.0,251900
50,2000-03-15,46.0625,46.0625,40.5,44.5,520100
51,2000-03-16,44.5,45.125,42.0625,44.9375,277600
52,2000-03-17,44.6875,46.375,44.4375,46.0,170400
53,2000-03-20,46.25,47.75,46.25,47.0,370500
54,2000-03-21,47.0,47.125,43.0,45.6875,195200
55,2000-03-22,45.6875,46.125,43.75,44.9375,284400
56,2000-03-23,44.9375,47.9375,44.9375,47.4375,359000
57,2000-03-24,48.0,49.3125,47.875,49.25,329400
58,2000-03-27,49.875,51.75,49.5625,50.5,340600
59,2000-03-28,50.9375,51.5,47.375,48.25,206900
60,2000-03-29,48.5,49.0,45.5,45.9375,211400
61,2000-03-30,45.4375,45.4375,42.875,44.875,800300
62,2000-03-31,45.25,49.5,45.25,48.75,334600
63,2000-04-03,49.875,56.375,49.0,53.625,711400
64,2000-04-04,53.625,53.875,48.25,50.9375,811200
65,2000-04-05,50.6875,55.25,49.625,51.625,963400
66,2000-04-06,52.125,56.5,52.125,55.8125,599300
67,2000-04-07,57.0,58.25,55.0,55.75,389200
68,2000-04-10,56.875,59.25,55.25,56.25,498000
69,2000-04-11,56.8125,58.75,54.125,55.875,291700
70,2000-04-12,56.125,58.875,55.75,55.75,423400
71,2000-04-13,55.375,55.4375,53.25,54.125,239800
72,2000-04-14,52.125,52.125,48.375,49.125,518000
73,2000-04-17,49.0625,50.375,41.75,45.75,680500
74,2000-04-18,46.0,49.875,45.75,49.875,338900
75,2000-04-19,49.375,50.4375,48.625,48.9375,216000
76,2000-04-20,48.9375,49.8125,48.5,48.9375,128500
77,2000-04-24,48.0625,48.25,45.75,46.3125,346700
78,2000-04-25,46.5625,50.0,46.5625,49.25,291600
79,2000-04-26,49.375,50.4375,48.125,49.9375,210900
80,2000-04-27,49.6875,49.875,47.75,49.875,235900
81,2000-04-28,50.0,52.125,50.0,52.0,233400
82,2000-05-01,52.125,53.375,50.375,53.375,255000
83,2000-05-02,53.375,53.875,50.5625,51.375,229600
84,2000-05-03,51.25,52.0,47.5,47.9375,284700
85,2000-05-04,48.1875,48.5,46.75,48.125,156900
86,2000-05-05,48.375,53.875,48.1875,53.875,446000
