,Date,Open,High,Low,Close,Volume
0,2000-01-03,34.375,34.4375,33.75,33.75,581900
1,2000-01-04,33.5625,34.3125,33.5625,34.1875,602400
2,2000-01-05,34.375,35.875,34.375,35.75,817800
3,2000-01-06,35.25,35.875,35.0625,35.8125,680900
4,2000-01-07,35.8125,36.1875,35.625,36.0625,391100
5,2000-01-10,36.125,36.125,35.0,35.125,481700
6,2000-01-11,35.125,35.25,34.3125,34.4375,544600
7,2000-01-12,34.4375,35.0,34.375,34.5625,749000
8,2000-01-13,34.875,34.875,34.0,34.25,452600
9,2000-01-14,34.125,34.375,33.5625,33.6875,646700
10,2000-01-18,33.25,33.4375,32.5,32.625,740500
11,2000-01-19,32.875,33.5,32.8125,33.25,453700
12,2000-01-20,33.25,33.375,32.8125,32.875,526300
13,2000-01-21,33.125,34.25,33.0,33.5625,695400
14,2000-01-24,34.375,34.5,34.0,34.0,643500
15,2000-01-25,34.125,34.25,32.875,33.0,492000
16,2000-01-26,33.25,34.0,33.0,34.0,341600
17,2000-01-27,34.0,34.25,32.8125,33.3125,469300
18,2000-01-28,33.3125,33.8125,32.5,32.5625,631600
19,2000-01-31,32.625,32.875,32.3125,32.6875,555800
20,2000-02-01,32.75,33.0625,32.5,32.875,626500
21,2000-02-02,32.875,33.0,32.3125,32.5,394000
22,2000-02-03,32.5625,33.125,32.5,32.8125,1015300
23,2000-02-04,32.8125,32.875,31.625,32.25,864300
24,2000-02-07,32.3125,32.375,31.5625,31.5625,467400
25,2000-02-08,31.375,31.625,31.1875,31.5,578900
26,2000-02-09,31.4375,31.6875,31.3125,31.4375,845300
27,2000-02-10,31.4375,32.0625,31.4375,31.8125,690400
28,2000-02-11,31.9375,32.125,31.875,32.125,1652100
29,2000-02-14,31.75,31.875,31.0625,31.25,1234200
30,2000-02-15,31.25,31.375,31.0,31.0625,389600
31,2000-02-16,30.9375,30.9375,30.4375,30.8125,349700
32,2000-02-17,30.8125,30.8125,29.125,29.25,1465300
33,2000-02-18,29.25,29.25,28.0,28.125,1251200
34,2000-02-22,28.25,28.25,27.8125,27.875,961700
35,2000-02-23,27.9375,27.9375,27.5,27.5,1122900
36,2000-02-24,27.5,27.5625,26.3125,26.75,1128600
37,2000-02-25,26.75,27.25,26.1875,26.1875,854600
38,2000-02-28,26.75,27.8125,26.5,27.375,1126000
39,2000-02-29,27.3125,27.8125,27.25,27.5625,609200
40,2000-03-01,27.75,27.875,26.8125,27.125,723200
41,2000-03-02,27.0,27.4375,27.0,27.25,551900
42,2000-03-03,27.5,27.875,27.25,27.375,415500
43,2000-03-06,27.375,27.625,26.9375,27.4375,1350400
44,2000-03-07,27.5,27.9375,27.4375,27.625,628000
45,2000-03-08,27.5,27.9375,27.375,27.5,864200
46,2000-03-09,27.625,27.6875,27.25,27.5,404300
47,2000-03-10,27.5,27.5625,27.375,27.4375,395000
48,2000-03-13,27.25,27.6875,27.25,27.6875,512900
49,2000-03-14,27.5,27.8125,27.375,27.625,473700
50,2000-03-15,27.5,29.125,27.5,29.125,790100
51,2000-03-16,31.0,31.25,30.0625,31.0,1198300
52,2000-03-17,31.0,31.0,30.5625,30.6875,798100
53,2000-03-20,30.5,30.9375,30.4375,30.6875,535200
54,2000-03-21,30.75,31.0625,30.0625,30.5,575300
55,2000-03-22,30.25,30.25,29.1875,29.375,300100
56,2000-03-23,29.4375,30.125,29.3125,30.125,397300
57,2000-03-24,30.0625,30.125,29.0,29.25,1796000
58,2000-03-27,28.75,29.3125,28.75,29.0625,636100
59,2000-03-28,29.0,29.125,28.4375,28.625,761300
60,2000-03-29,28.75,29.25,28.6875,29.0,603600
61,2000-03-30,29.125,29.5625,28.8125,29.125,491900
62,2000-03-31,29.375,29.375,28.75,29.125,553200
63,2000-04-03,29.125,29.4375,28.875,29.0,798300
64,2000-04-04,29.0625,30.1875,29.0,30.1875,1021600
65,2000-04-05,30.0,30.6875,29.5625,29.8125,565800
66,2000-04-06,30.0,30.1875,29.75,29.8125,373800
67,2000-04-07,29.8125,29.9375,29.5,29.6875,375000
68,2000-04-10,29.6875,30.25,29.6875,29.9375,859600
69,2000-04-11,30.125,30.8125,30.0,30.3125,2577100
70,2000-04-12,30.5625,31.3125,30.5,30.625,452300
71,2000-04-13,30.625,32.375,30.625,31.9375,409700
72,2000-04-14,31.75,32.1875,31.1875,31.3125,615700
73,2000-04-17,31.125,32.125,30.8125,31.9375,750800
74,2000-04-18,31.875,32.4375,31.8125,32.25,672000
75,2000-04-19,32.1875,32.75,31.875,32.5,590600
76,2000-04-20,32.5,33.0625,32.375,33.0625,448900
77,2000-04-24,33.125,34.75,33.125,34.75,526900
78,2000-04-25,34.75,35.9375,34.3125,35.625,642000
79,2000-04-26,35.6875,36.8125,35.5625,36.6875,700600
80,2000-04-27,36.3125,36.75,36.125,36.4375,813300
81,2000-04-28,36.4375,36.625,35.0,35.1875,856600
82,2000-05-01,35.0625,35.125,34.0,34.5,836600
83,2000-05-02,34.375,34.875,33.625,33.6875,310100
84,2000-05-03,33.625,33.6875,33.25,33.625,312700
85,2000-05-04,33.4375,34.875,32.9375,34.3125,622500
86,2000-05-05,34.125,34.125,33.5,34.0,174200
87,2000-05-08,33.875,35.6875,33.6875,34.5,420900
88,2000-05-09,34.25,34.4375,33.75,34.25,538400
89,2000-05-10,34.25,34.75,34.0625,34.625,683100
90,2000-05-11,34.5625,35.1875,34.375,35.0625,385600
91,2000-05-12,34.9375,35.0625,34.4375,34.5625,1822500
92,2000-05-15,34.0,34.9375,34.0,34.5,338100
93,2000-05-16,34.25,34.3125,33.125,33.625,721400
