,Date,Open,High,Low,Close,Volume
0,2000-01-03,26.5625,26.875,25.625,26.25,421760
1,2000-01-04,25.625,28.4375,25.625,26.875,676160
2,2000-01-05,27.1875,27.1875,26.25,26.875,350400
3,2000-01-06,26.5625,26.875,25.9375,26.5625,585460
4,2000-01-07,26.5625,30.0,25.9375,28.75,1858820
5,2000-01-10,30.0,31.25,29.375,29.6875,1453460
6,2000-01-11,30.0,34.6875,29.6875,33.125,2169220
7,2000-01-12,33.75,34.6875,31.25,32.1875,940140
8,2000-01-13,32.5,36.5625,31.875,36.25,1397600
9,2000-01-14,36.25,36.5625,34.375,34.6875,887420
10,2000-01-18,35.0,35.0,32.8125,33.75,483960
11,2000-01-19,34.0625,34.0625,30.9375,32.8125,862820
12,2000-01-20,32.5,32.5,30.625,30.9375,439780
13,2000-01-21,31.25,33.4375,30.625,31.875,611100
14,2000-01-24,31.875,32.1875,30.0,30.0,321260
15,2000-01-25,30.625,30.9375,28.125,29.0625,715060
16,2000-01-26,29.375,32.5,26.5625,32.5,1591480
17,2000-01-27,28.125,29.0625,27.5,27.5,649740
18,2000-01-28,27.8125,28.4375,27.1875,27.1875,749400
19,2000-01-31,27.5,27.8125,26.5625,27.5,427480
20,2000-02-01,27.5,27.8125,26.875,26.875,238220
21,2000-02-02,27.1875,28.4375,26.5625,28.4375,587920
22,2000-02-03,28.75,30.625,28.75,29.6875,689380
23,2000-02-04,30.0,30.3125,28.4375,28.4375,539580
24,2000-02-07,28.4375,28.4375,27.8125,28.4375,250540
25,2000-02-08,28.4375,28.75,25.9375,25.9375,700160
26,2000-02-09,27.5,27.5,25.3125,25.9375,789180
27,2000-02-10,25.9375,26.25,24.6875,25.0,1162660
28,2000-02-11,25.625,26.875,25.625,26.5625,1456460
29,2000-02-14,27.1875,27.8125,26.5625,26.5625,538020
30,2000-02-15,27.1875,28.125,26.875,27.5,706680
31,2000-02-16,27.5,28.4375,26.25,26.25,658360
32,2000-02-17,26.875,27.1875,25.3125,25.625,681440
33,2000-02-18,25.9375,26.5625,25.625,26.25,605160
34,2000-02-22,26.5625,27.1875,26.25,26.25,452600
35,2000-02-23,26.25,26.5625,25.9375,25.9375,595800
36,2000-02-24,26.25,26.25,25.625,26.25,449980
37,2000-02-25,25.9375,25.9375,24.0625,25.0,865500
38,2000-02-28,25.3125,25.625,24.375,24.6875,704740
39,2000-02-29,24.6875,25.0,23.75,24.375,676780
40,2000-03-01,24.375,25.9375,23.75,25.9375,806040
41,2000-03-02,25.9375,26.5625,24.375,25.0,781860
42,2000-03-03,25.0,28.75,24.6875,28.125,2092020
43,2000-03-06,28.4375,29.0625,27.8125,28.4375,804060
44,2000-03-07,28.4375,28.4375,24.6875,25.3125,1043240
45,2000-03-08,25.0,25.625,24.6875,25.3125,817320
46,2000-03-09,25.9375,26.875,25.3125,26.25,827520
47,2000-03-10,25.9375,26.25,25.0,25.3125,428400
48,2000-03-13,25.0,25.3125,24.375,25.3125,845600
49,2000-03-14,25.3125,25.3125,24.0625,24.375,546260
50,2000-03-15,24.6875,25.625,24.375,24.6875,833880
51,2000-03-16,25.0,26.5625,24.6875,26.25,860880
52,2000-03-17,26.25,26.5625,25.625,25.9375,481400
53,2000-03-20,25.3125,25.625,25.0,25.625,295860
54,2000-03-21,25.3125,28.4375,25.0,28.4375,1667740
55,2000-03-22,28.4375,29.375,27.1875,28.125,848480
56,2000-03-23,28.75,31.25,28.4375,30.3125,1549720
57,2000-03-24,30.3125,32.1875,30.3125,30.9375,974400
58,2000-03-27,31.25,32.1875,30.625,31.875,666580
59,2000-03-28,30.9375,31.25,29.6875,30.0,540540
60,2000-03-29,30.3125,30.9375,30.0,30.625,686920
61,2000-03-30,30.625,30.9375,28.4375,29.0625,597980
62,2000-03-31,29.6875,30.625,27.8125,28.4375,650320
63,2000-04-03,28.4375,29.6875,28.4375,29.6875,303700
64,2000-04-04,29.6875,29.6875,26.875,28.4375,713280
65,2000-04-05,28.125,28.75,27.8125,27.8125,405260
66,2000-04-06,28.4375,31.5625,28.125,31.25,770680
67,2000-04-07,31.25,32.1875,30.625,30.9375,519760
68,2000-04-10,31.25,33.75,31.25,32.8125,755000
69,2000-04-11,32.8125,34.0625,31.875,33.75,854900
70,2000-04-12,33.75,35.625,33.75,35.0,1830540
71,2000-04-13,35.625,36.25,33.75,33.75,725540
72,2000-04-14,34.375,34.375,29.0625,29.375,1074540
73,2000-04-17,30.0,32.5,29.6875,32.5,983460
74,2000-04-18,31.5625,35.625,31.5625,35.3125,960420
75,2000-04-19,35.3125,40.3125,35.0,39.375,1486420
76,2000-04-20,39.6875,40.3125,37.5,37.5,929820
77,2000-04-24,36.5625,40.9375,35.9375,40.0,804300
78,2000-04-25,42.5,42.5,37.5,39.6875,1652780
79,2000-04-26,40.0,40.3125,37.8125,39.0625,524240
80,2000-04-27,37.5,41.875,37.5,41.25,900920
81,2000-04-28,41.25,41.25,39.375,40.3125,674200
82,2000-05-01,39.6875,40.3125,39.0625,39.6875,393820
83,2000-05-02,39.6875,41.5625,39.0625,40.625,612660
84,2000-05-03,40.625,42.1875,38.4375,38.75,682200
85,2000-05-04,39.375,40.0,38.4375,38.4375,384500
86,2000-05-05,39.0625,41.25,38.75,40.0,437360
87,2000-05-08,40.9375,42.8125,40.3125,41.25,574140
88,2000-05-09,41.25,41.5625,40.3125,40.3125,314100
89,2000-05-10,40.3125,40.625,39.0625,39.6875,370000
90,2000-05-11,40.0,40.3125,38.4375,39.375,278260
91,2000-05-12,39.375,40.3125,38.4375,39.6875,296240
92,2000-05-15,39.6875,40.0,38.4375,38.4375,337800
93,2000-05-16,39.375,41.25,38.75,40.625,591440
94,2000-05-17,40.3125,40.625,39.375,40.3125,213740
95,2000-05-18,40.0,40.3125,39.375,40.0,247500
96,2000-05-19,39.0625,39.375,37.5,38.75,346980
97,2000-05-22,39.0625,39.0625,35.3125,36.5625,502160
98,2000-05-23,35.9375,37.1875,35.625,35.9375,283620
99,2000-05-24,36.875,36.875,34.375,35.0,523020
100,2000-05-25,35.3125,35.9375,33.125,34.0625,397600
101,2000-05-26,34.375,35.3125,32.8125,34.375,237780
102,2000-05-30,34.6875,35.0,31.875,33.125,542400
103,2000-05-31,32.8125,33.75,31.25,31.875,497520
104,2000-06-01,31.875,33.75,31.5625,33.4375,637900
105,2000-06-02,33.75,35.3125,33.125,33.75,438560
106,2000-06-05,33.125,34.0625,33.125,33.125,343120
107,2000-06-06,33.75,34.0625,32.5,33.125,365380
108,2000-06-07,32.8125,35.3125,32.8125,34.6875,458160
109,2000-06-08,34.6875,35.9375,34.0625,35.0,386180
110,2000-06-09,35.0,37.1875,35.0,37.1875,507360
111,2000-06-12,37.1875,37.1875,35.0,35.625,255740
112,2000-06-13,35.3125,36.25,35.0,35.625,182360
113,2000-06-14,35.625,35.9375,34.375,35.625,358760
114,2000-06-15,35.3125,37.5,35.3125,36.875,316120
115,2000-06-16,37.5,37.96875,37.1875,37.8125,377420
116,2000-06-19,37.5,38.125,35.625,36.25,424740
117,2000-06-20,36.875,37.1875,35.0,35.0,327400
118,2000-06-21,35.3125,35.625,34.6875,35.625,233620
119,2000-06-22,35.625,35.625,34.6875,34.6875,250420
120,2000-06-23,35.0,35.3125,34.375,35.0,487020
121,2000-06-26,37.1875,37.8125,36.25,37.1875,374020
122,2000-06-27,37.1875,38.125,36.25,36.5625,255860
123,2000-06-28,36.5625,36.875,35.625,36.640625,276560
124,2000-06-29,36.25,38.125,35.9375,36.5625,394740
125,2000-06-30,36.25,39.6875,35.859375,35.9375,249820
126,2000-07-03,35.9375,36.5625,35.625,36.25,94400
127,2000-07-05,36.5625,38.4375,36.25,38.125,299540
128,2000-07-06,37.8125,38.4375,36.875,37.5,199720
129,2000-07-07,37.1875,37.5,36.25,36.5625,317480
130,2000-07-10,36.5625,37.8125,36.5625,36.875,419300
131,2000-07-11,36.5625,36.875,35.0,35.9375,559040
132,2000-07-12,35.625,36.25,34.375,35.9375,881780
133,2000-07-13,35.625,36.875,35.625,36.875,257460
134,2000-07-14,36.5625,36.5625,35.0,35.9375,348240
135,2000-07-17,35.3125,35.9375,32.8125,35.3125,2320220
136,2000-07-18,34.0625,34.6875,32.1875,34.0625,711160
137,2000-07-19,33.4375,33.4375,30.625,30.9375,908240
138,2000-07-20,31.5625,32.1875,30.625,31.25,508820
139,2000-07-21,31.25,31.5625,30.3125,30.3125,323500
140,2000-07-24,30.3125,30.3125,28.125,28.75,448360
141,2000-07-25,28.75,28.75,27.8125,28.125,356320
142,2000-07-26,28.125,28.125,25.9375,27.1875,528780
143,2000-07-27,27.5,30.625,26.875,30.3125,797160
144,2000-07-28,30.9375,31.25,28.75,28.75,396060
145,2000-07-31,29.0625,30.3125,28.75,29.6875,471700
146,2000-08-01,29.375,29.6875,28.75,29.0625,295740
147,2000-08-02,29.0625,29.6875,28.75,29.0625,283980
148,2000-08-03,28.75,30.9375,28.75,30.3125,460980
149,2000-08-04,30.3125,30.9375,29.375,29.6875,227820
150,2000-08-07,29.6875,31.5625,29.0625,31.25,594000
151,2000-08-08,30.9375,30.9375,29.375,29.375,272880
152,2000-08-09,29.6875,30.3125,28.75,28.75,634180
153,2000-08-10,27.8125,29.0625,27.8125,28.75,389140
154,2000-08-11,28.75,29.6875,28.4375,29.0625,257280
155,2000-08-14,29.6875,31.25,29.375,30.9375,401840
156,2000-08-15,30.625,30.625,28.75,28.75,403820
157,2000-08-16,29.0625,29.375,27.8125,28.125,379440
158,2000-08-17,28.4375,29.0625,28.125,28.125,288100
159,2000-08-18,28.4375,28.75,28.125,28.4375,166760
160,2000-08-21,28.4375,29.0625,28.125,28.75,242080
161,2000-08-22,28.75,29.0625,28.125,28.75,243400
162,2000-08-23,28.75,30.0,28.75,30.0,329060
163,2000-08-24,30.0,30.625,29.375,29.6875,284940
164,2000-08-25,29.375,30.0,29.0625,30.0,156760
165,2000-08-28,30.0,30.9375,30.0,30.9375,210000
166,2000-08-29,31.25,31.875,30.625,30.9375,221660
167,2000-08-30,30.9375,31.5625,30.0,30.9375,173360
168,2000-08-31,30.625,31.25,30.0,30.703125,184620
169,2000-09-01,30.625,31.25,30.0,30.9375,186100
170,2000-09-05,30.9375,33.125,30.625,32.8125,613560
171,2000-09-06,33.125,33.4375,31.5625,32.1875,351880
172,2000-09-07,32.1875,32.1875,31.25,31.875,197360
173,2000-09-08,31.875,35.625,31.5625,35.3125,957580
174,2000-09-11,35.3125,35.625,34.6875,35.3125,306980
175,2000-09-12,35.0,35.3125,33.75,35.0,364520
176,2000-09-13,35.3125,37.5,35.0,37.5,514140
177,2000-09-14,37.1875,38.125,36.875,37.1875,411780
178,2000-09-15,37.5,37.5,35.625,36.25,366460
179,2000-09-18,36.25,36.25,33.75,35.625,341600
180,2000-09-19,33.75,36.25,33.75,36.25,234960
181,2000-09-20,35.625,36.5625,34.6875,36.5625,346880
182,2000-09-21,35.9375,37.1875,35.625,36.5625,299880
183,2000-09-22,36.875,38.75,36.5625,37.5,520120
184,2000-09-25,37.5,37.5,36.5625,37.5,352280
185,2000-09-26,37.1875,38.125,35.9375,37.8125,446240
186,2000-09-27,37.1875,40.625,36.875,40.0,870300
187,2000-09-28,40.0,40.0,38.125,39.6875,437480
188,2000-09-29,39.375,40.625,38.75,40.3125,414700
189,2000-10-02,40.625,43.4375,40.625,42.1875,903940
190,2000-10-03,43.4375,46.25,43.125,45.9375,1302740
191,2000-10-04,45.9375,48.125,45.0,47.5,1387240
192,2000-10-05,46.875,51.875,46.875,51.5625,1513780
193,2000-10-06,55.0,55.0,51.5625,52.8125,1565760
194,2000-10-09,52.8125,53.125,49.375,52.8125,598700
195,2000-10-10,52.1875,54.375,51.5625,53.4375,666440
196,2000-10-11,53.125,53.125,48.75,51.5625,620580
197,2000-10-12,51.5625,52.1875,49.0625,49.375,705260
198,2000-10-13,50.0,50.625,46.25,48.75,1011820
199,2000-10-16,48.75,52.5,48.125,50.625,783260
200,2000-10-17,52.5,55.625,51.875,54.375,1750160
201,2000-10-18,54.375,60.625,53.75,60.3125,1671500
202,2000-10-19,60.0,62.5,56.875,58.4375,1047020
203,2000-10-20,58.75,60.625,58.4375,59.0625,608080
204,2000-10-23,59.6875,60.625,57.8125,58.75,536120
