,Date,Open,High,Low,Close,Volume
0,2000-01-03,25.21875,25.625,24.28125,24.78125,1619000
1,2000-01-04,24.625,24.625,24.25,24.34375,966000
2,2000-01-05,24.0625,24.3125,23.25,23.523438,952200
3,2000-01-06,23.5,24.28125,23.46875,24.21875,925400
4,2000-01-07,24.34375,25.09375,24.25,25.0625,763800
5,2000-01-10,25.625,25.9375,25.3125,25.875,757200
6,2000-01-11,25.5,25.59375,24.5625,25.21875,1092200
7,2000-01-12,25.21875,25.5625,24.6875,25.09375,1190400
8,2000-01-13,25.09375,25.46875,24.875,25.1875,866800
9,2000-01-14,25.1875,26.34375,25.1875,26.34375,1422600
10,2000-01-18,26.0,27.0,25.8125,26.59375,1564400
11,2000-01-19,26.59375,27.0,26.0625,26.84375,893000
12,2000-01-20,26.875,27.0625,26.53125,26.84375,1044200
13,2000-01-21,26.71875,27.75,26.4375,26.75,1159600
14,2000-01-24,27.0625,27.9375,26.78125,27.0,1682600
15,2000-01-25,27.125,27.6875,26.59375,27.0625,796400
16,2000-01-26,27.0,27.8125,26.75,27.625,953600
17,2000-01-27,27.5,27.59375,25.8125,26.59375,1138200
18,2000-01-28,26.53125,26.5625,25.71875,25.96875,1344200
19,2000-01-31,25.5,25.96875,24.75,25.5625,2393400
20,2000-02-01,25.875,25.96875,25.375,25.875,1458800
21,2000-02-02,25.875,26.96875,25.34375,25.71875,1098200
22,2000-02-03,25.75,26.5625,25.71875,25.90625,669600
23,2000-02-04,25.9375,26.09375,25.375,25.40625,261200
24,2000-02-07,25.4375,25.4375,24.59375,25.1875,815400
25,2000-02-08,25.0,25.03125,24.5,25.0,1382000
26,2000-02-09,25.5,25.5,24.125,25.21875,913400
27,2000-02-10,25.0,25.15625,24.5,24.9375,1710600
28,2000-02-11,25.0,25.0625,24.53125,24.875,1317600
29,2000-02-14,24.9375,24.9375,24.34375,24.6875,468200
30,2000-02-15,24.5625,25.15625,24.375,24.96875,614800
31,2000-02-16,25.25,25.6875,24.71875,24.96875,401800
32,2000-02-17,25.0625,25.71875,24.9375,25.5,704800
33,2000-02-18,25.53125,25.6875,25.4375,25.5625,718200
34,2000-02-22,25.4375,25.8125,24.9375,25.8125,541000
35,2000-02-23,25.8125,25.8125,25.3125,25.5,506600
36,2000-02-24,25.6875,25.6875,23.40625,24.1875,930800
37,2000-02-25,23.9375,23.9375,23.03125,23.21875,588800
38,2000-02-28,23.09375,23.5,20.75,22.96875,2444200
39,2000-02-29,23.125,23.28125,21.28125,21.6875,1811000
40,2000-03-01,22.5,22.75,22.125,22.5,2103400
41,2000-03-02,22.375,23.0,22.15625,22.28125,1237800
42,2000-03-03,22.5625,23.03125,22.46875,22.875,783000
43,2000-03-06,23.0,23.1875,22.375,22.53125,991000
44,2000-03-07,21.3125,21.3125,19.0625,20.625,3292000
45,2000-03-08,20.875,21.125,20.0,21.0625,2600600
46,2000-03-09,21.15625,21.5625,20.625,21.5,704600
47,2000-03-10,22.125,22.125,19.875,20.0,2179600
48,2000-03-13,19.75,20.5,19.5625,20.125,1294800
49,2000-03-14,20.34375,20.8125,20.03125,20.28125,1317600
50,2000-03-15,20.3125,22.53125,20.03125,22.5,1352000
51,2000-03-16,22.5,23.96875,21.4375,23.59375,1331000
