,Date,Open,High,Low,Close,Volume
0,2000-01-03,6.09375,6.09375,6.0,6.03125,88400
1,2000-01-04,6.015625,6.015625,6.0,6.015625,62000
2,2000-01-05,6.0,6.046875,6.0,6.03125,57200
3,2000-01-06,6.0,6.125,6.0,6.09375,102800
4,2000-01-07,6.109375,6.15625,6.109375,6.15625,109200
5,2000-01-10,6.25,6.34375,6.25,6.328125,143200
6,2000-01-11,6.3125,6.40625,6.3125,6.34375,503600
7,2000-01-12,6.34375,6.359375,6.3125,6.328125,44400
8,2000-01-13,6.328125,6.375,6.3125,6.375,83200
9,2000-01-14,6.359375,6.40625,6.328125,6.375,58000
10,2000-01-18,6.421875,6.421875,6.34375,6.375,82800
11,2000-01-19,6.359375,6.40625,6.3125,6.40625,142800
12,2000-01-20,6.390625,6.4375,6.34375,6.40625,210800
13,2000-01-21,6.375,6.390625,6.203125,6.265625,283200
14,2000-01-24,6.265625,6.265625,6.15625,6.15625,82000
15,2000-01-25,6.15625,6.15625,6.015625,6.046875,147200
16,2000-01-26,6.015625,6.125,6.015625,6.046875,115200
17,2000-01-27,6.0625,6.09375,6.015625,6.015625,44000
18,2000-01-28,6.015625,6.0625,6.0,6.0,587200
19,2000-01-31,6.03125,6.0625,6.0,6.0,755600
20,2000-02-01,6.015625,6.03125,6.0,6.03125,275200
21,2000-02-02,6.03125,6.09375,6.0,6.0,110000
22,2000-02-03,6.015625,6.0625,6.0,6.0625,608000
23,2000-02-04,6.046875,6.078125,6.0,6.046875,192000
24,2000-02-07,6.046875,6.046875,6.0,6.0,201200
25,2000-02-08,6.03125,6.046875,6.0,6.03125,82400
26,2000-02-09,6.015625,6.046875,6.0,6.0,154000
27,2000-02-10,6.0,6.015625,6.0,6.0,116400
28,2000-02-11,6.0,6.015625,6.0,6.0,227600
29,2000-02-14,6.0,6.0625,6.0,6.046875,221200
30,2000-02-15,6.03125,6.0625,6.0,6.03125,316400
31,2000-02-16,6.0625,6.09375,6.0,6.046875,280800
32,2000-02-17,6.0625,6.0625,6.015625,6.03125,180400
33,2000-02-18,6.046875,6.046875,5.984375,5.984375,321600
34,2000-02-22,6.0,6.0,5.90625,5.9375,210000
35,2000-02-23,5.9375,5.9375,5.828125,5.859375,188000
36,2000-02-24,5.859375,5.875,5.703125,5.75,264400
37,2000-02-25,5.703125,5.78125,5.703125,5.75,262000
38,2000-02-28,5.75,5.765625,5.75,5.765625,91200
39,2000-02-29,5.75,5.765625,5.65625,5.71875,459600
40,2000-03-01,5.71875,5.71875,5.6875,5.703125,261200
41,2000-03-02,5.65625,5.75,5.59375,5.609375,544800
42,2000-03-03,5.609375,5.6875,5.609375,5.6875,160400
43,2000-03-06,5.65625,5.75,5.65625,5.75,149600
44,2000-03-07,5.71875,5.78125,5.71875,5.75,232000
45,2000-03-08,5.765625,5.78125,5.5625,5.734375,162800
46,2000-03-09,5.75,5.75,5.6875,5.734375,178400
47,2000-03-10,5.71875,5.734375,5.703125,5.734375,252800
48,2000-03-13,5.75,5.75,5.671875,5.75,289200
49,2000-03-14,5.75,5.875,5.75,5.84375,437200
50,2000-03-15,5.796875,5.84375,5.765625,5.765625,171600
51,2000-03-16,5.78125,5.96875,5.78125,5.921875,226400
52,2000-03-17,5.90625,5.96875,5.90625,5.921875,210000
53,2000-03-20,5.9375,5.96875,5.875,5.875,63200
54,2000-03-21,5.890625,5.953125,5.859375,5.9375,333600
55,2000-03-22,5.96875,6.03125,5.9375,6.0,239200
56,2000-03-23,5.984375,6.09375,5.984375,6.03125,187200
57,2000-03-24,6.03125,6.0625,6.0,6.0,118400
58,2000-03-27,6.0,6.03125,5.96875,5.96875,144800
59,2000-03-28,5.96875,6.015625,5.953125,5.953125,201200
60,2000-03-29,5.90625,5.921875,5.890625,5.890625,104800
61,2000-03-30,5.921875,5.921875,5.875,5.875,496400
62,2000-03-31,5.84375,5.875,5.765625,5.78125,278800
63,2000-04-03,5.78125,6.0,5.765625,5.9375,355200
64,2000-04-04,5.921875,5.96875,5.875,5.96875,352800
65,2000-04-05,5.921875,5.921875,5.875,5.875,143200
66,2000-04-06,5.90625,5.921875,5.875,5.90625,309200
67,2000-04-07,5.9375,5.984375,5.890625,5.984375,70400
68,2000-04-10,5.984375,5.984375,5.890625,5.9375,84400
69,2000-04-11,5.9375,6.03125,5.875,6.03125,186800
70,2000-04-12,6.03125,6.046875,5.9375,5.9375,74400
71,2000-04-13,5.96875,6.015625,5.9375,6.0,50000
72,2000-04-14,6.03125,6.125,6.015625,6.09375,96000
73,2000-04-17,6.125,6.125,5.9375,5.96875,53600
74,2000-04-18,5.9375,6.0625,5.9375,6.0625,64400
75,2000-04-19,6.03125,6.109375,6.015625,6.0625,42400
76,2000-04-20,6.0625,6.109375,6.03125,6.109375,72400
77,2000-04-24,6.109375,6.125,6.09375,6.109375,88800
78,2000-04-25,6.09375,6.1875,6.09375,6.171875,66800
79,2000-04-26,6.203125,6.25,6.1875,6.25,22400
80,2000-04-27,6.25,6.25,6.203125,6.234375,328000
81,2000-04-28,6.25,6.40625,6.21875,6.25,70000
