,Date,Open,High,Low,Close,Volume
0,2000-01-03,4.296875,4.34375,3.75,3.875,3971200
1,2000-01-04,3.75,3.90625,3.6875,3.875,5402800
2,2000-01-05,3.8125,3.875,3.71875,3.765625,3598000
3,2000-01-06,3.765625,4.125,3.734375,4.078125,3956000
4,2000-01-07,4.125,4.1875,3.984375,4.03125,2756400
5,2000-01-10,3.96875,4.0625,3.90625,4.0625,1998800
6,2000-01-11,4.0,4.15625,4.0,4.09375,2788400
7,2000-01-12,4.078125,4.140625,4.015625,4.09375,2079200
8,2000-01-13,4.125,4.234375,4.109375,4.171875,4296400
9,2000-01-14,4.234375,4.28125,4.140625,4.25,5099200
10,2000-01-18,4.3125,4.484375,4.171875,4.265625,3706800
11,2000-01-19,4.328125,4.453125,4.28125,4.28125,1662400
12,2000-01-20,4.265625,4.28125,4.0,4.1875,4240800
13,2000-01-21,4.234375,4.328125,4.03125,4.0625,7760000
14,2000-01-24,4.0,4.046875,3.859375,3.96875,5458400
15,2000-01-25,3.96875,4.046875,3.890625,3.90625,5332000
16,2000-01-26,3.921875,4.0625,3.921875,3.953125,4566400
17,2000-01-27,3.96875,4.03125,3.8125,3.859375,2605200
18,2000-01-28,3.859375,3.921875,3.796875,3.8125,2298000
19,2000-01-31,3.875,3.984375,3.765625,3.96875,3082800
20,2000-02-01,3.9375,4.046875,3.90625,4.0,2764000
21,2000-02-02,4.0625,4.171875,4.0625,4.125,4101200
22,2000-02-03,4.15625,4.203125,4.03125,4.03125,3419200
23,2000-02-04,4.015625,4.140625,3.8125,3.921875,2589200
24,2000-02-07,3.984375,4.03125,3.859375,3.890625,3120800
25,2000-02-08,3.921875,3.96875,3.828125,3.875,2361600
26,2000-02-09,3.90625,3.96875,3.71875,3.765625,3786400
27,2000-02-10,3.765625,3.96875,3.765625,3.96875,3636800
28,2000-02-11,3.984375,3.984375,3.8125,3.90625,3043600
29,2000-02-14,3.90625,3.96875,3.828125,3.9375,2067200
30,2000-02-15,3.9375,4.125,3.921875,4.0625,2679600
31,2000-02-16,4.09375,4.140625,3.984375,3.984375,2467600
32,2000-02-17,4.015625,4.046875,3.96875,4.046875,4590800
33,2000-02-18,4.046875,4.0625,3.921875,3.921875,2795200
34,2000-02-22,3.90625,3.953125,3.796875,3.875,1354400
35,2000-02-23,3.84375,3.9375,3.671875,3.6875,2829600
36,2000-02-24,3.734375,3.734375,3.4375,3.5,5046800
37,2000-02-25,3.515625,3.5625,3.421875,3.46875,5426400
38,2000-02-28,3.515625,3.625,3.453125,3.546875,3141200
39,2000-02-29,3.546875,3.8125,3.53125,3.8125,8637600
40,2000-03-01,3.875,3.9375,3.8125,3.90625,6214400
41,2000-03-02,4.0,4.46875,4.0,4.4375,8708800
42,2000-03-03,4.4375,4.53125,4.15625,4.328125,6155200
43,2000-03-06,4.28125,4.46875,4.25,4.34375,1912400
44,2000-03-07,4.53125,4.734375,4.40625,4.671875,4027600
45,2000-03-08,4.65625,4.859375,4.53125,4.71875,6978400
46,2000-03-09,4.75,4.78125,4.59375,4.6875,2698800
47,2000-03-10,4.609375,4.78125,4.5,4.640625,4815600
48,2000-03-13,4.578125,4.734375,4.546875,4.5625,1570000
49,2000-03-14,4.578125,4.703125,4.53125,4.625,2675200
50,2000-03-15,4.6875,4.71875,4.46875,4.578125,2478400
51,2000-03-16,4.578125,4.84375,4.5625,4.6875,3574800
52,2000-03-17,4.6875,4.75,4.578125,4.625,1438800
53,2000-03-20,4.578125,4.609375,4.4375,4.59375,2441600
54,2000-03-21,4.59375,4.71875,4.546875,4.671875,3318400
55,2000-03-22,4.78125,4.921875,4.59375,4.734375,7837600
56,2000-03-23,4.75,4.765625,4.6875,4.75,2806000
57,2000-03-24,4.734375,4.78125,4.59375,4.609375,3700000
58,2000-03-27,4.59375,4.71875,4.5625,4.609375,3110800
59,2000-03-28,4.671875,4.96875,4.671875,4.828125,3733600
60,2000-03-29,4.84375,5.421875,4.84375,5.273438,5833600
61,2000-03-30,5.421875,6.015625,5.375,5.75,11296000
62,2000-03-31,5.734375,5.9375,5.296875,5.296875,6144800
63,2000-04-03,5.5,5.84375,5.4375,5.8125,4421600
64,2000-04-04,5.96875,6.015625,5.453125,5.671875,8818400
65,2000-04-05,5.78125,5.875,5.46875,5.578125,4235200
66,2000-04-06,5.640625,5.84375,5.609375,5.8125,2180800
67,2000-04-07,5.796875,5.953125,5.75,5.90625,2288000
