,Date,Open,High,Low,Close,Volume
0,2000-01-03,13.0625,13.375,12.9375,13.1875,27200
1,2000-01-04,13.3125,13.3125,13.0625,13.25,19600
2,2000-01-05,13.125,13.5625,13.0,13.5625,68100
3,2000-01-06,13.5625,14.125,13.5625,14.0625,110500
4,2000-01-07,14.0625,14.5,14.0,14.4375,77500
5,2000-01-10,14.6875,14.75,13.8125,13.9375,59800
6,2000-01-11,14.0625,14.4375,14.0625,14.375,37700
7,2000-01-12,14.5,14.5,14.0625,14.3125,87900
8,2000-01-13,14.3125,14.3125,13.75,14.125,59300
9,2000-01-14,14.1875,14.25,13.8125,14.0,13400
10,2000-01-18,13.75,13.75,13.375,13.625,99000
11,2000-01-19,13.5,13.625,13.375,13.5625,39400
12,2000-01-20,13.625,14.0,13.5,14.0,66200
13,2000-01-21,13.875,14.125,13.75,13.875,80500
14,2000-01-24,13.9375,13.9375,13.5,13.75,27400
15,2000-01-25,13.5,13.875,13.5,13.875,32500
16,2000-01-26,13.75,13.9375,13.75,13.8125,13600
17,2000-01-27,13.875,14.125,13.75,14.0,61200
18,2000-01-28,14.0,14.0,13.6875,13.875,25500
19,2000-01-31,13.8125,14.0,13.75,14.0,34700
20,2000-02-01,14.0,14.125,13.9375,14.0,27700
21,2000-02-02,14.125,14.125,14.0,14.0625,21800
22,2000-02-03,14.125,14.125,14.0,14.0,34100
23,2000-02-04,13.9375,14.0625,13.9375,14.0625,12900
24,2000-02-07,13.8125,14.125,13.75,14.125,79600
25,2000-02-08,14.0,14.125,13.9375,13.9375,40000
26,2000-02-09,13.9375,14.125,13.875,14.0,47000
27,2000-02-10,13.9375,14.0,13.6875,13.6875,57500
28,2000-02-11,13.6875,13.75,13.375,13.5625,22800
29,2000-02-14,13.625,13.625,13.0,13.1875,109700
30,2000-02-15,13.3125,14.125,13.3125,13.9375,64200
31,2000-02-16,14.0,14.0,13.8125,13.9375,40000
32,2000-02-17,13.8125,13.9375,13.625,13.9375,39100
33,2000-02-18,13.875,13.9375,13.8125,13.8125,14000
34,2000-02-22,13.9375,13.9375,13.125,13.125,24500
35,2000-02-23,13.1875,13.75,13.1875,13.75,53000
