,Date,Open,High,Low,Close,Volume
0,2000-01-03,21.21875,21.25,20.9375,21.09375,305200
1,2000-01-04,20.9375,20.96875,20.75,20.9375,492600
2,2000-01-05,20.75,21.375,20.75,21.375,580400
3,2000-01-06,21.25,21.71875,21.25,21.59375,687600
4,2000-01-07,21.75,22.15625,21.71875,22.0,724400
5,2000-01-10,22.0,22.25,21.9375,22.15625,626600
6,2000-01-11,22.1875,22.25,21.90625,22.03125,530800
7,2000-01-12,22.03125,22.0625,21.875,21.9375,430400
8,2000-01-13,21.9375,21.96875,21.6875,21.6875,453200
9,2000-01-14,21.5625,21.8125,21.3125,21.3125,437000
10,2000-01-18,21.25,21.28125,20.90625,21.125,669600
11,2000-01-19,21.0,21.25,21.0,21.21875,673600
12,2000-01-20,21.125,21.4375,21.09375,21.09375,439600
13,2000-01-21,21.09375,21.3125,21.0625,21.3125,338200
14,2000-01-24,21.25,21.28125,21.03125,21.0625,465600
15,2000-01-25,21.03125,21.1875,21.0,21.03125,708600
16,2000-01-26,21.0,21.1875,20.625,21.0625,875400
17,2000-01-27,21.0,21.125,20.84375,21.125,362000
18,2000-01-28,21.15625,21.15625,20.8125,20.9375,330800
19,2000-01-31,21.0,21.03125,20.75,20.75,419400
20,2000-02-01,20.75,21.0,20.71875,21.0,365800
21,2000-02-02,20.875,21.09375,20.875,20.96875,374400
22,2000-02-03,20.875,21.03125,20.75,20.84375,992000
23,2000-02-04,20.78125,20.96875,20.78125,20.875,290800
24,2000-02-07,20.6875,20.9375,20.6875,20.8125,254800
25,2000-02-08,20.84375,21.0,20.78125,20.9375,533600
26,2000-02-09,20.96875,21.0,20.8125,20.84375,282800
27,2000-02-10,20.75,20.84375,20.4375,20.46875,554400
28,2000-02-11,20.5,20.6875,20.21875,20.25,921000
29,2000-02-14,19.5,20.25,19.5,20.0625,693800
30,2000-02-15,20.0,20.125,19.9375,20.09375,665400
31,2000-02-16,19.96875,20.0625,19.84375,19.9375,741600
32,2000-02-17,19.96875,19.96875,19.8125,19.8125,1126000
33,2000-02-18,19.8125,19.90625,19.78125,19.84375,524000
34,2000-02-22,19.78125,19.90625,19.78125,19.8125,489000
35,2000-02-23,19.9375,20.0,19.8125,19.875,408200
36,2000-02-24,19.875,19.96875,19.75,19.75,468200
37,2000-02-25,19.78125,19.875,19.6875,19.75,718600
38,2000-02-28,19.75,19.75,19.625,19.65625,407000
39,2000-02-29,19.625,20.0,19.5,19.96875,1129000
40,2000-03-01,20.0,20.0625,19.78125,20.0,338600
41,2000-03-02,19.75,20.125,19.71875,20.03125,580800
42,2000-03-03,20.0,20.125,19.96875,20.03125,715200
43,2000-03-06,19.875,20.0625,19.875,20.03125,324800
44,2000-03-07,20.0,20.0625,19.875,20.0625,1015200
45,2000-03-08,19.90625,20.0,19.625,19.65625,686800
46,2000-03-09,19.65625,19.875,19.65625,19.6875,1255400
47,2000-03-10,19.625,19.78125,19.5,19.6875,971200
48,2000-03-13,19.5625,19.625,19.4375,19.59375,373800
49,2000-03-14,19.65625,19.75,19.5,19.53125,648600
50,2000-03-15,19.59375,19.6875,19.5625,19.65625,1478200
51,2000-03-16,19.34375,19.75,19.34375,19.625,703000
52,2000-03-17,19.65625,19.84375,19.53125,19.84375,898200
53,2000-03-20,19.71875,19.9375,19.625,19.75,532800
54,2000-03-21,19.6875,20.0,19.5625,20.0,270400
55,2000-03-22,20.0625,20.09375,19.9375,19.96875,564800
56,2000-03-23,19.96875,20.09375,19.9375,20.09375,355200
57,2000-03-24,20.0,20.1875,20.0,20.1875,865400
58,2000-03-27,19.96875,20.1875,19.875,19.90625,1166400
59,2000-03-28,19.9375,20.09375,19.875,19.9375,302200
60,2000-03-29,20.125,20.125,19.96875,20.09375,355800
61,2000-03-30,20.15625,20.21875,20.0,20.21875,947400
62,2000-03-31,20.15625,20.25,20.0,20.09375,678200
63,2000-04-03,20.125,20.5,20.0,20.28125,1209000
64,2000-04-04,20.375,20.71875,20.1875,20.4375,1061400
65,2000-04-05,20.4375,20.8125,20.4375,20.65625,1692000
66,2000-04-06,20.625,20.84375,20.5,20.71875,963400
67,2000-04-07,21.0625,21.125,20.84375,21.0625,554400
68,2000-04-10,21.3125,21.5,21.0625,21.4375,1161600
69,2000-04-11,21.5625,21.5625,21.28125,21.40625,1167400
70,2000-04-12,21.4375,21.71875,21.34375,21.6875,2401800
71,2000-04-13,21.75,22.09375,21.65625,21.9375,1829000
72,2000-04-14,21.96875,22.15625,21.625,21.90625,1112000
73,2000-04-17,22.0,22.0,21.375,21.875,606000
74,2000-04-18,21.875,22.21875,21.84375,22.1875,1607000
75,2000-04-19,22.15625,22.21875,21.9375,22.1875,712800
76,2000-04-20,22.0625,22.15625,22.0,22.09375,484200
77,2000-04-24,22.125,22.40625,22.125,22.40625,919800
78,2000-04-25,22.46875,22.46875,22.28125,22.375,452800
79,2000-04-26,22.46875,22.5625,22.375,22.5625,1246400
80,2000-04-27,22.375,22.75,22.375,22.625,441200
81,2000-04-28,22.5,22.75,22.5,22.75,425000
82,2000-05-01,22.71875,23.0,22.6875,22.9375,854800
83,2000-05-02,23.0,23.5,22.9375,23.1875,961000
84,2000-05-03,23.40625,23.46875,22.53125,23.0,1188800
85,2000-05-04,23.0,23.15625,22.75,23.15625,731600
86,2000-05-05,23.09375,23.21875,23.0,23.15625,709800
87,2000-05-08,23.125,23.21875,23.03125,23.1875,382600
88,2000-05-09,23.25,23.34375,23.125,23.28125,711800
89,2000-05-10,23.40625,23.40625,23.09375,23.125,932000
90,2000-05-11,23.21875,23.34375,22.90625,23.0,542800
91,2000-05-12,22.8125,22.90625,22.625,22.84375,550000
92,2000-05-15,22.75,22.96875,22.6875,22.96875,632600
93,2000-05-16,23.0,23.03125,22.9375,22.96875,567600
94,2000-05-17,22.875,23.0625,22.84375,22.96875,318800
95,2000-05-18,23.0,23.1875,22.875,23.09375,713800
96,2000-05-19,23.0,23.09375,22.90625,22.96875,629000
97,2000-05-22,22.96875,23.0,22.78125,22.9375,614800
98,2000-05-23,22.90625,22.96875,22.8125,22.875,993200
99,2000-05-24,22.8125,22.875,22.375,22.5,770000
100,2000-05-25,22.5,22.53125,22.3125,22.375,804800
