,Date,Open,High,Low,Close,Volume
0,2000-04-17,15.8125,15.8125,13.875,14.75,463000
1,2000-04-18,15.6875,15.875,14.0,14.625,554000
2,2000-04-19,14.9375,15.5625,14.875,15.5,203100
3,2000-04-20,15.875,18.6875,15.875,18.25,489600
4,2000-04-24,17.8125,18.75,17.625,18.25,227200
5,2000-04-25,18.625,18.75,17.6875,17.875,325900
6,2000-04-26,18.75,18.75,17.5,17.8125,304000
7,2000-04-27,17.3125,18.75,17.125,18.0,309500
8,2000-04-28,19.125,19.5,18.375,19.0625,211900
9,2000-05-01,19.28125,24.625,19.0625,24.5,578400
10,2000-05-02,24.625,30.875,24.5,26.875,680800
11,2000-05-03,27.5,28.5,27.125,27.9375,967000
12,2000-05-04,28.125,29.375,28.125,28.125,242900
13,2000-05-05,28.375,28.625,28.0,28.125,171300
14,2000-05-08,27.75,27.875,26.5,26.5,206600
15,2000-05-09,27.125,28.25,26.5,26.5625,273500
16,2000-05-10,26.0,26.0625,21.5,23.125,302700
17,2000-05-11,23.375,23.5,21.5,22.3125,177700
18,2000-05-12,22.0,22.0,20.25,21.0,230800
19,2000-05-15,21.125,21.125,20.25,21.0,77100
20,2000-05-16,20.25,21.5,20.25,21.5,210900
21,2000-05-17,21.375,21.375,20.75,21.125,170400
22,2000-05-18,20.8125,21.0625,20.375,20.375,111600
23,2000-05-19,20.125,23.375,20.125,22.625,225300
24,2000-05-22,22.25,22.5,16.375,18.25,371900
25,2000-05-23,18.0,19.0,16.75,17.375,194400
26,2000-05-24,17.484375,18.0,17.0,17.6875,230100
27,2000-05-25,17.625,18.0,17.4375,17.625,221000
28,2000-05-26,18.125,18.375,17.625,18.0,85500
29,2000-05-30,18.125,18.75,18.0,18.5625,152900
30,2000-05-31,18.625,24.25,18.25,24.25,421000
31,2000-06-01,24.25,24.25,20.0,21.5,218800
32,2000-06-02,21.5,24.0,21.125,22.5,142700
33,2000-06-05,22.75,30.0,22.6875,29.0625,353200
34,2000-06-06,27.625,33.75,27.5625,29.3125,192000
35,2000-06-07,29.375,31.25,28.625,30.9375,429400
36,2000-06-08,30.90625,31.5,26.75,29.0,166400
37,2000-06-09,29.25,30.3125,28.75,30.0625,308300
38,2000-06-12,31.125,31.1875,30.0,30.9375,266600
39,2000-06-13,30.625,30.625,28.5,29.9375,195300
40,2000-06-14,29.375,30.4375,29.0,29.75,213700
41,2000-06-15,29.75,29.875,28.625,29.1875,64500
42,2000-06-16,28.5,28.75,27.0,28.3125,30100
43,2000-06-19,28.0,29.5,28.0,28.8125,166300
44,2000-06-20,29.875,29.9375,28.0,28.9375,167700
