,Date,Open,High,Low,Close,Volume
0,2000-01-03,0.84375,0.875,0.84375,0.875,65600
1,2000-01-04,0.837891,0.851563,0.828125,0.84375,41600
2,2000-01-05,0.84375,0.84375,0.84375,0.84375,18400
3,2000-01-06,0.84375,0.84375,0.828125,0.828125,11200
4,2000-01-07,0.84375,0.84375,0.78125,0.78125,148000
5,2000-01-10,0.8125,0.84375,0.8125,0.832031,197600
6,2000-01-11,0.832031,0.859375,0.820313,0.859375,267200
7,2000-01-12,0.855469,0.859375,0.855469,0.855469,29600
8,2000-01-13,0.84375,0.84375,0.8125,0.835938,19200
9,2000-01-14,0.875,0.890625,0.84375,0.875,576000
10,2000-01-18,0.890625,0.90625,0.867188,0.875,176800
11,2000-01-19,0.882813,0.90625,0.875,0.875,166400
12,2000-01-20,0.875,0.890625,0.84375,0.859375,90400
13,2000-01-21,0.859375,0.875,0.84375,0.84375,28000
14,2000-01-24,0.859375,0.875,0.820313,0.875,108000
15,2000-01-25,0.875,0.875,0.867188,0.867188,40000
16,2000-01-26,0.871094,0.875,0.867188,0.875,92800
17,2000-01-27,0.902344,0.90625,0.875,0.875,81600
18,2000-01-28,0.875,0.898438,0.867188,0.875,272000
19,2000-01-31,0.886719,0.90625,0.84375,0.90625,113600
20,2000-02-01,0.898438,0.898438,0.882813,0.898438,128000
21,2000-02-02,0.882813,0.90625,0.875,0.875,33600
22,2000-02-03,0.875,0.875,0.867188,0.875,112000
23,2000-02-04,0.867188,0.898438,0.867188,0.890625,288000
24,2000-02-07,0.875,0.890625,0.875,0.882813,47200
25,2000-02-08,0.882813,0.890625,0.882813,0.890625,31200
26,2000-02-09,0.882813,0.90625,0.882813,0.898438,565600
27,2000-02-10,0.898438,1.21875,0.890625,1.125,1544000
28,2000-02-11,1.101563,1.125,0.921875,1.058594,304800
29,2000-02-14,1.0625,1.21875,1.046875,1.1875,1274400
30,2000-02-15,1.203125,1.203125,1.109375,1.125,633600
31,2000-02-16,1.125,1.1875,1.125,1.140625,401600
32,2000-02-17,1.132813,1.1875,1.109375,1.117188,104000
33,2000-02-18,1.117188,1.125,0.953125,1.078125,152800
34,2000-02-22,1.101563,1.101563,1.015625,1.03125,52800
35,2000-02-23,1.0625,1.0625,1.0,1.039063,72800
36,2000-02-24,1.0,1.109375,0.976563,1.101563,160800
37,2000-02-25,1.0625,1.0625,1.0,1.0625,45600
38,2000-02-28,1.046875,1.117188,1.007813,1.03125,199200
39,2000-02-29,1.03125,1.09375,1.007813,1.007813,168800
40,2000-03-01,1.021484,1.0625,1.007813,1.007813,125600
41,2000-03-02,1.015625,1.0625,1.015625,1.03125,70400
42,2000-03-03,1.0625,1.0625,1.039063,1.039063,12800
43,2000-03-06,1.0625,1.109375,1.03125,1.070313,159200
44,2000-03-07,1.070313,1.109375,1.0625,1.0625,236800
45,2000-03-08,1.0625,1.0625,0.984375,1.0,100800
46,2000-03-09,1.039063,1.109375,1.015625,1.0625,227200
47,2000-03-10,1.078125,1.117188,1.03125,1.117188,86400
48,2000-03-13,1.085938,1.125,1.046875,1.125,35200
49,2000-03-14,1.070313,1.125,1.046875,1.046875,20000
50,2000-03-15,1.03125,1.03125,1.023438,1.03125,44800
51,2000-03-16,1.109375,1.125,1.054688,1.054688,185600
52,2000-03-17,1.046875,1.09375,1.046875,1.085938,91200
53,2000-03-20,1.0625,1.09375,1.03125,1.0625,88000
54,2000-03-21,1.0625,1.0625,1.023438,1.023438,16800
55,2000-03-22,0.976563,1.0625,0.976563,1.046875,180800
56,2000-03-23,1.0625,1.21875,1.0625,1.125,526400
57,2000-03-24,1.242188,1.242188,1.15625,1.203125,567200
58,2000-03-27,1.21875,1.21875,1.195313,1.203125,171200
59,2000-03-28,1.220703,1.3125,1.210938,1.25,959200
60,2000-03-29,1.265625,1.3125,1.234375,1.3125,640000
61,2000-03-30,1.328125,1.328125,1.210938,1.3125,656000
62,2000-03-31,1.328125,1.414063,1.328125,1.375,790400
63,2000-04-03,1.398438,1.40625,1.265625,1.28125,316800
64,2000-04-04,1.265625,1.328125,1.1875,1.1875,579200
65,2000-04-05,1.164063,1.199219,1.140625,1.15625,144800
66,2000-04-06,1.164063,1.164063,1.0625,1.125,399200
67,2000-04-07,1.09375,1.203125,1.09375,1.203125,107200
68,2000-04-10,1.191406,1.242188,1.1875,1.226563,242400
69,2000-04-11,1.21875,1.25,1.203125,1.25,530400
70,2000-04-12,1.1875,1.1875,1.140625,1.15625,65600
71,2000-04-13,1.15625,1.1875,1.09375,1.09375,52800
72,2000-04-14,1.09375,1.101563,1.0625,1.070313,105600
73,2000-04-17,1.03125,1.054688,0.859375,0.90625,218400
74,2000-04-18,0.882813,1.0625,0.882813,1.0,188000
75,2000-04-19,0.96875,1.015625,0.96875,0.96875,345600
76,2000-04-20,1.0,1.007813,1.0,1.007813,8800
77,2000-04-24,0.9375,0.9375,0.9375,0.9375,18400
78,2000-04-25,0.945313,0.953125,0.9375,0.953125,68800
79,2000-04-26,0.953125,0.96875,0.953125,0.96875,132000
80,2000-04-27,0.875,0.953125,0.875,0.90625,60800
81,2000-04-28,0.9375,0.96875,0.890625,0.96875,85600
82,2000-05-01,0.96875,0.96875,0.953125,0.960938,124800
83,2000-05-02,0.9375,0.9375,0.929688,0.929688,9600
84,2000-05-03,0.953125,0.96875,0.953125,0.96875,468000
85,2000-05-04,0.984375,0.984375,0.953125,0.984375,13600
86,2000-05-05,0.953125,0.953125,0.953125,0.953125,95200
87,2000-05-08,0.9375,0.953125,0.9375,0.9375,32000
88,2000-05-09,0.960938,0.992188,0.960938,0.984375,53600
89,2000-05-10,0.988281,0.992188,0.984375,0.992188,100800
90,2000-05-11,1.0,1.0,0.992188,1.0,162400
91,2000-05-12,1.0,1.0,1.0,1.0,20800
92,2000-05-15,1.0,1.03125,1.0,1.0,18400
93,2000-05-16,1.0,1.0,0.96875,0.96875,53600
94,2000-05-17,1.0,1.0,0.96875,0.96875,30400
95,2000-05-18,0.953125,1.03125,0.953125,1.0,76000
96,2000-05-19,1.0,1.0625,1.0,1.0625,167200
97,2000-05-22,1.03125,1.09375,1.0,1.09375,36800
98,2000-05-23,1.03125,1.085938,1.0,1.0,45600
99,2000-05-24,1.0,1.0,1.0,1.0,36000
100,2000-05-25,1.0,1.03125,1.0,1.03125,204800
101,2000-05-26,1.03125,1.03125,1.0,1.015625,8000
102,2000-05-30,1.03125,1.03125,0.953125,1.0,492000
103,2000-05-31,1.003906,1.007813,0.953125,0.953125,394400
104,2000-06-01,0.988281,1.007813,0.96875,0.96875,24000
105,2000-06-02,0.96875,1.015625,0.953125,0.953125,216000
106,2000-06-05,0.943359,0.943359,0.941406,0.941406,31200
107,2000-06-06,0.9375,1.0,0.9375,1.0,28800
108,2000-06-07,0.9375,0.953125,0.9375,0.953125,23200
109,2000-06-08,0.960938,0.96875,0.953125,0.96875,73600
110,2000-06-09,0.953125,0.953125,0.90625,0.90625,69600
111,2000-06-12,0.90625,0.96875,0.90625,0.953125,48000
112,2000-06-13,0.976563,1.0,0.96875,1.0,330400
113,2000-06-14,0.992188,1.0625,0.992188,1.015625,601600
114,2000-06-15,1.015625,1.015625,1.0,1.0,23200
115,2000-06-16,1.0,1.0,1.0,1.0,48800
116,2000-06-19,1.011719,1.015625,1.0,1.015625,85600
117,2000-06-20,0.984375,1.015625,0.984375,0.984375,317600
118,2000-06-21,1.0,1.03125,1.0,1.015625,220000
119,2000-06-22,1.0,1.015625,0.984375,1.015625,164800
120,2000-06-23,1.007813,1.007813,1.0,1.0,50400
121,2000-06-26,1.0,1.0,1.0,1.0,49600
122,2000-06-27,1.0,1.03125,1.0,1.03125,97600
123,2000-06-28,1.046875,1.0625,1.046875,1.0625,71200
124,2000-06-29,1.0625,1.0625,1.046875,1.046875,85600
125,2000-06-30,1.046875,1.0625,1.046875,1.046875,299200
126,2000-07-03,1.03125,1.0625,1.015625,1.015625,61600
127,2000-07-05,1.046875,1.046875,1.015625,1.015625,162400
128,2000-07-06,1.03125,1.03125,1.015625,1.015625,8000
129,2000-07-07,1.015625,1.046875,1.015625,1.03125,46400
130,2000-07-10,1.046875,1.046875,1.015625,1.03125,27200
131,2000-07-11,1.046875,1.0625,1.015625,1.015625,70400
132,2000-07-12,1.046875,1.046875,1.015625,1.03125,48000
133,2000-07-13,1.0625,1.0625,1.03125,1.03125,28000
134,2000-07-14,1.117188,1.21875,1.101563,1.21875,559200
135,2000-07-17,1.238281,1.238281,1.1875,1.210938,164800
136,2000-07-18,1.1875,1.1875,1.109375,1.109375,184000
137,2000-07-19,1.15625,1.15625,1.109375,1.15625,207200
138,2000-07-20,1.125,1.125,1.109375,1.125,133600
139,2000-07-21,1.109375,1.15625,1.109375,1.15625,12000
140,2000-07-24,1.15625,1.171875,1.117188,1.125,114400
141,2000-07-25,1.15625,1.15625,1.15625,1.15625,257600
142,2000-07-26,1.15625,1.15625,1.15625,1.15625,16000
143,2000-07-27,1.140625,1.140625,1.125,1.125,33600
144,2000-07-28,1.125,1.125,1.109375,1.109375,173600
145,2000-07-31,1.117188,1.125,1.109375,1.109375,118400
146,2000-08-01,1.109375,1.125,1.109375,1.125,91200
147,2000-08-02,1.109375,1.125,1.109375,1.125,144000
148,2000-08-03,1.09375,1.132813,1.078125,1.09375,1737600
149,2000-08-04,1.078125,1.09375,1.078125,1.078125,17600
150,2000-08-07,1.078125,1.109375,1.078125,1.109375,26400
151,2000-08-08,1.109375,1.109375,1.109375,1.109375,0
152,2000-08-09,1.109375,1.140625,1.09375,1.109375,212800
153,2000-08-10,1.128906,1.128906,1.078125,1.082031,297600
154,2000-08-11,1.078125,1.148438,1.078125,1.078125,20800
155,2000-08-14,1.078125,1.078125,1.078125,1.078125,15200
156,2000-08-15,1.070313,1.132813,1.070313,1.132813,148800
157,2000-08-16,1.125,1.125,1.125,1.125,106400
