,Date,Open,High,Low,Close,Volume
0,2000-01-03,13.375,13.458333,12.791667,12.791667,106500
1,2000-01-04,12.666667,12.666667,12.541667,12.625,245100
2,2000-01-05,12.583333,12.75,12.458333,12.625,332400
3,2000-01-06,12.541667,13.083333,12.541667,12.666667,98250
4,2000-01-07,12.583333,12.833333,12.5,12.625,38250
5,2000-01-10,12.708333,12.833333,12.5,12.833333,57150
6,2000-01-11,12.833333,13.583333,12.666667,12.75,168750
7,2000-01-12,12.666667,13.166667,12.666667,12.75,32550
8,2000-01-13,12.75,13.25,12.75,13.208333,67500
9,2000-01-14,13.166667,13.333333,13.041667,13.083333,42150
10,2000-01-18,13.0,13.291667,12.791667,13.041667,64350
11,2000-01-19,13.041667,13.291667,12.958333,13.083333,98400
12,2000-01-20,13.166667,13.25,13.0,13.083333,17400
13,2000-01-21,13.125,13.208333,13.041667,13.125,42300
14,2000-01-24,13.083333,13.625,13.0,13.208333,81300
15,2000-01-25,13.375,13.416667,13.208333,13.208333,39300
16,2000-01-26,13.5,13.666667,13.083333,13.375,180150
17,2000-01-27,13.541667,13.791667,13.291667,13.416667,213450
18,2000-01-28,13.416667,13.666667,13.25,13.666667,102150
19,2000-01-31,13.708333,13.708333,13.166667,13.166667,212400
20,2000-02-01,13.291667,13.458333,13.208333,13.291667,98550
21,2000-02-02,13.333333,14.166667,13.333333,13.958333,126600
22,2000-02-03,14.0,14.791667,14.0,14.708333,373050
23,2000-02-04,14.75,14.75,14.416667,14.458333,68400
24,2000-02-07,14.541667,14.791667,14.458333,14.75,80850
25,2000-02-08,14.708333,14.75,14.583333,14.666667,240900
26,2000-02-09,14.75,14.75,14.333333,14.583333,152550
27,2000-02-10,14.5,14.75,14.5,14.666667,116700
28,2000-02-11,14.666667,14.75,14.666667,14.666667,74850
29,2000-02-14,14.708333,14.833333,14.416667,14.625,162150
30,2000-02-15,14.625,14.875,14.625,14.666667,175800
31,2000-02-16,14.666667,14.958333,14.666667,14.916667,113250
32,2000-02-17,14.916667,15.5,14.916667,15.333333,402150
33,2000-02-18,15.333333,15.375,14.666667,15.208333,120150
34,2000-02-22,15.375,15.958333,15.291667,15.583333,144900
35,2000-02-23,15.583333,16.0,15.333333,15.375,364500
36,2000-02-24,15.458333,15.541667,14.958333,15.208333,226200
37,2000-02-25,15.125,15.125,14.666667,14.875,118950
38,2000-02-28,14.916667,15.25,14.666667,15.125,296700
39,2000-02-29,15.208333,15.583333,15.166667,15.541667,137700
40,2000-03-01,15.458333,15.833333,15.458333,15.75,577350
41,2000-03-02,15.666667,15.958333,15.666667,15.75,185100
42,2000-03-03,15.833333,16.083332,15.75,16.0,103350
43,2000-03-06,16.0,16.333332,16.0,16.125,131550
44,2000-03-07,16.166668,16.166668,15.833333,15.916667,77700
45,2000-03-08,15.958333,16.0,15.208333,15.416667,122250
46,2000-03-09,15.583333,15.958333,15.25,15.833333,118200
47,2000-03-10,15.833333,16.0,15.666667,15.875,146850
48,2000-03-13,15.75,16.125,15.583333,15.666667,158700
49,2000-03-14,15.666667,15.791667,15.291667,15.333333,141600
50,2000-03-15,15.5,16.166668,15.333333,16.125,213750
51,2000-03-16,16.166668,16.75,16.166668,16.541668,218550
52,2000-03-17,16.625,16.916668,16.25,16.625,289500
53,2000-03-20,16.666668,17.166668,16.666668,16.791668,238800
54,2000-03-21,16.791668,16.958332,16.666668,16.958332,156450
55,2000-03-22,16.916668,17.625,16.916668,17.375,371850
56,2000-03-23,17.333332,17.333332,16.583332,16.833332,469200
57,2000-03-24,16.833332,17.291668,16.791668,17.291668,347550
58,2000-03-27,17.333332,17.5,16.916668,17.208332,83400
59,2000-03-28,17.083332,17.166668,16.666668,17.083332,112500
60,2000-03-29,17.083332,17.416668,17.0,17.291668,138450
61,2000-03-30,17.208332,18.458332,17.208332,18.125,388500
62,2000-03-31,17.958332,18.583332,17.916668,18.208332,524850
63,2000-04-03,18.166668,18.291668,18.041668,18.083332,210000
64,2000-04-04,18.125,18.166668,17.958332,18.166668,322650
65,2000-04-05,18.0,18.291668,17.958332,18.041668,132750
66,2000-04-06,18.0,18.875,18.0,18.75,136200
67,2000-04-07,18.583332,18.958332,18.583332,18.791668,128700
68,2000-04-10,18.708332,19.416668,18.708332,19.083332,316950
69,2000-04-11,19.083332,20.0,19.0,19.791668,600450
70,2000-04-12,19.958332,20.833332,19.916668,20.625,603750
71,2000-04-13,20.5,20.5,19.5,19.833332,386850
72,2000-04-14,19.833332,19.916668,19.333332,19.458332,265950
73,2000-04-17,19.083332,19.166668,18.083332,18.5,134100
74,2000-04-18,18.5,18.5,18.166668,18.375,114600
75,2000-04-19,18.458332,18.958332,18.375,18.5,158100
76,2000-04-20,18.375,18.375,17.5,17.916668,195750
77,2000-04-24,17.958332,18.375,17.958332,18.333332,75450
