,Date,Open,High,Low,Close,Volume
0,2000-01-03,6.364583,6.385417,6.166667,6.354167,4728000
1,2000-01-04,6.229167,6.375,5.833333,5.916667,5572200
2,2000-01-05,5.916667,6.395833,5.895833,6.328125,5250600
3,2000-01-06,6.25,6.322917,6.020833,6.130208,4111800
4,2000-01-07,6.104167,6.395833,6.020833,6.359375,3436200
5,2000-01-10,6.34375,6.416667,6.229167,6.34375,4317600
6,2000-01-11,6.239583,6.291667,5.645833,5.6875,5001600
7,2000-01-12,5.708333,5.979167,5.708333,5.9375,5349600
8,2000-01-13,5.984375,6.354167,5.979167,6.333333,4538400
9,2000-01-14,6.375,6.375,6.041667,6.072917,7019400
10,2000-01-18,6.0,6.0625,5.895833,6.0,5345400
11,2000-01-19,6.0625,6.166667,6.0,6.135417,5064600
12,2000-01-20,6.083333,6.197917,6.041667,6.125,5478600
13,2000-01-21,6.166667,6.177083,5.916667,5.947917,9739800
14,2000-01-24,5.958333,6.0,5.614583,5.669271,8083200
15,2000-01-25,5.6875,6.0,5.604167,5.947917,16414800
16,2000-01-26,6.03125,6.041667,5.8125,5.84375,4674600
17,2000-01-27,5.854167,5.895833,5.760417,5.802083,3192000
18,2000-01-28,5.791667,5.802083,5.4375,5.458333,5467200
19,2000-01-31,5.479167,5.8125,5.458333,5.65625,6261600
20,2000-02-01,5.666667,5.729167,5.520833,5.729167,4817400
21,2000-02-02,5.729167,6.270833,5.708333,6.0625,6899400
22,2000-02-03,6.114583,6.208333,5.9375,6.010417,6731400
23,2000-02-04,6.020833,6.083333,5.822917,5.822917,4045800
24,2000-02-07,5.854167,5.875,5.802083,5.84375,3231600
25,2000-02-08,5.895833,6.041667,5.875,6.020833,5332800
26,2000-02-09,6.0,6.041667,5.791667,5.833333,4369800
27,2000-02-10,5.895833,6.03125,5.791667,6.03125,3734400
28,2000-02-11,6.03125,6.104167,5.5625,5.666667,4977000
29,2000-02-14,5.697917,5.75,5.604167,5.65625,3025200
30,2000-02-15,5.645833,5.666667,5.395833,5.510417,5025000
31,2000-02-16,5.479167,5.59375,5.166667,5.333333,5890800
32,2000-02-17,5.34375,5.416667,5.03125,5.041667,8635800
33,2000-02-18,5.010417,5.010417,4.052083,4.552083,34001400
34,2000-02-22,4.5625,5.020833,4.552083,4.65625,12378000
35,2000-02-23,4.625,4.729167,4.479167,4.729167,9028200
36,2000-02-24,4.770833,4.770833,4.479167,4.666667,9739800
37,2000-02-25,4.677083,4.71875,4.625,4.6875,13707600
38,2000-02-28,4.625,4.645833,4.333333,4.479167,13508400
39,2000-02-29,4.541667,4.614583,4.489583,4.541667,11926800
40,2000-03-01,4.541667,4.604167,4.479167,4.583333,5245800
41,2000-03-02,4.5625,4.5625,4.354167,4.427083,4890600
42,2000-03-03,4.4375,4.614583,4.395833,4.572917,7990800
43,2000-03-06,4.59375,4.59375,4.416667,4.427083,8429400
44,2000-03-07,4.416667,4.526042,4.416667,4.5,12684000
45,2000-03-08,4.5,5.0,4.5,4.822917,10782000
46,2000-03-09,4.833333,5.364583,4.75,5.354167,10400400
47,2000-03-10,5.34375,5.729167,5.34375,5.6875,10162800
48,2000-03-13,5.416667,5.466146,5.291667,5.3125,9006600
49,2000-03-14,5.28125,5.541667,5.28125,5.354167,6334200
50,2000-03-15,5.34375,5.479167,5.270833,5.416667,9027000
51,2000-03-16,5.4375,5.833333,5.427083,5.614583,9362400
52,2000-03-17,5.479167,5.645833,5.3125,5.34375,11787000
53,2000-03-20,5.354167,5.552083,5.34375,5.5,5652000
54,2000-03-21,5.489583,5.927083,5.479167,5.921875,8878200
