,Date,Open,High,Low,Close,Volume
0,2000-01-03,1.404664,1.404664,1.33882,1.349794,4413867
1,2000-01-04,1.33882,1.349794,1.305898,1.316872,6382167
2,2000-01-05,1.316872,1.344307,1.305898,1.322359,3984441
3,2000-01-06,1.316872,1.316872,1.278464,1.294925,10413309
4,2000-01-07,1.289438,1.294925,1.245542,1.256516,12134433
5,2000-01-10,1.294925,1.294925,1.207133,1.262003,5304614
6,2000-01-11,1.251029,1.283951,1.240055,1.240055,3745238
7,2000-01-12,1.251029,1.26749,1.207133,1.245542,8069119
8,2000-01-13,1.245542,1.245542,1.218107,1.234568,4189472
9,2000-01-14,1.240055,1.245542,1.185185,1.190672,5962992
10,2000-01-18,1.251029,1.251029,1.207133,1.218107,7202292
11,2000-01-19,1.218107,1.223594,1.174211,1.218107,4370583
12,2000-01-20,1.179698,1.185185,1.135802,1.141289,8424506
13,2000-01-21,1.141289,1.141289,1.080933,1.108368,14132348
14,2000-01-24,1.130316,1.135802,1.102881,1.102881,5229436
15,2000-01-25,1.119342,1.119342,1.08642,1.091907,3294169
16,2000-01-26,1.097394,1.108368,1.075446,1.091907,5369541
17,2000-01-27,1.108368,1.113855,1.075446,1.08642,5501672
18,2000-01-28,1.075446,1.119342,1.069959,1.080933,4682686
19,2000-01-31,1.080933,1.080933,1.058985,1.069959,5402573
20,2000-02-01,1.064472,1.075446,1.053498,1.058985,5974383
21,2000-02-02,1.058985,1.058985,1.026063,1.037037,5953880
22,2000-02-03,1.064472,1.124829,1.03155,1.03155,9447384
23,2000-02-04,1.069959,1.108368,1.064472,1.08642,5385488
24,2000-02-07,1.075446,1.080933,1.058985,1.069959,6265983
25,2000-02-08,1.075446,1.097394,1.053498,1.097394,6623648
26,2000-02-09,1.080933,1.124829,1.080933,1.08642,7725122
27,2000-02-10,1.113855,1.124829,1.058985,1.064472,4599534
28,2000-02-11,1.064472,1.080933,1.053498,1.053498,4239591
29,2000-02-14,1.08642,1.08642,1.037037,1.048011,2814623
30,2000-02-15,1.053498,1.091907,1.037037,1.08642,2233702
31,2000-02-16,1.075446,1.080933,1.037037,1.080933,2852213
32,2000-02-17,1.091907,1.091907,1.058985,1.091907,3301003
33,2000-02-18,1.097394,1.097394,1.064472,1.080933,2050313
34,2000-02-22,1.080933,1.097394,1.080933,1.091907,3050409
35,2000-02-23,1.097394,1.102881,1.064472,1.091907,8336798
36,2000-02-24,1.080933,1.113855,1.069959,1.075446,5655445
37,2000-02-25,1.08642,1.130316,1.075446,1.113855,4274902
38,2000-02-28,1.113855,1.113855,1.08642,1.113855,2466070
39,2000-02-29,1.135802,1.135802,1.113855,1.135802,2954728
40,2000-03-01,1.124829,1.152263,1.124829,1.152263,2411395
41,2000-03-02,1.146776,1.163237,1.130316,1.141289,2992317
42,2000-03-03,1.141289,1.163237,1.119342,1.141289,2033227
43,2000-03-06,1.185185,1.185185,1.08642,1.108368,2403422
44,2000-03-07,1.097394,1.108368,1.069959,1.097394,1578741
45,2000-03-08,1.080933,1.08642,1.058985,1.080933,2761088
46,2000-03-09,1.064472,1.097394,1.058985,1.091907,2577698
47,2000-03-10,1.080933,1.097394,1.058985,1.075446,1783772
48,2000-03-13,1.064472,1.091907,1.064472,1.064472,1641389
49,2000-03-14,1.058985,1.080933,1.042524,1.053498,1547986
50,2000-03-15,1.053498,1.141289,1.03155,1.141289,3359095
51,2000-03-16,1.141289,1.240055,1.130316,1.229081,3100528
52,2000-03-17,1.218107,1.251029,1.196159,1.201646,4463986
53,2000-03-20,1.218107,1.256516,1.179698,1.190672,2777034
54,2000-03-21,1.190672,1.223594,1.179698,1.201646,2437594
55,2000-03-22,1.168724,1.190672,1.130316,1.174211,2823736
56,2000-03-23,1.174211,1.185185,1.15775,1.179698,2192695
57,2000-03-24,1.15775,1.185185,1.152263,1.174211,1918181
58,2000-03-27,1.163237,1.190672,1.135802,1.152263,2946755
59,2000-03-28,1.152263,1.201646,1.141289,1.201646,4633706
60,2000-03-29,1.179698,1.196159,1.15775,1.196159,3189375
61,2000-03-30,1.196159,1.251029,1.185185,1.251029,5125781
62,2000-03-31,1.251029,1.33882,1.218107,1.333333,9955406
63,2000-04-03,1.322359,1.322359,1.289438,1.305898,2407978
64,2000-04-04,1.316872,1.33882,1.26749,1.33882,7820803
65,2000-04-05,1.33882,1.366255,1.316872,1.344307,6182831
66,2000-04-06,1.322359,1.333333,1.294925,1.327846,4360331
67,2000-04-07,1.327846,1.349794,1.283951,1.311385,1739348
68,2000-04-10,1.300412,1.311385,1.278464,1.294925,1642528
69,2000-04-11,1.294925,1.294925,1.278464,1.294925,1971717
70,2000-04-12,1.316872,1.355281,1.311385,1.322359,7025738
71,2000-04-13,1.322359,1.355281,1.316872,1.349794,1981969
72,2000-04-14,1.349794,1.349794,1.289438,1.294925,1963744
73,2000-04-17,1.305898,1.316872,1.240055,1.305898,2419369
74,2000-04-18,1.283951,1.311385,1.272977,1.311385,2040061
75,2000-04-19,1.311385,1.311385,1.26749,1.300412,1876036
76,2000-04-20,1.305898,1.305898,1.262003,1.289438,1025156
77,2000-04-24,1.272977,1.322359,1.256516,1.289438,1852116
78,2000-04-25,1.278464,1.382716,1.272977,1.366255,3026489
79,2000-04-26,1.360768,1.399177,1.355281,1.371742,3962798
80,2000-04-27,1.360768,1.388203,1.33882,1.360768,2903470
81,2000-04-28,1.360768,1.377229,1.333333,1.33882,3261136
82,2000-05-01,1.344307,1.371742,1.322359,1.366255,2279264
83,2000-05-02,1.355281,1.371742,1.344307,1.366255,2386336
84,2000-05-03,1.415638,1.44856,1.39369,1.399177,5378653
85,2000-05-04,1.410151,1.530864,1.410151,1.530864,7567931
86,2000-05-05,1.514403,1.580247,1.470508,1.486968,5730623
87,2000-05-08,1.481481,1.536351,1.470508,1.514403,4086956
88,2000-05-09,1.497942,1.547325,1.492455,1.530864,2651738
89,2000-05-10,1.514403,1.530864,1.508916,1.51989,1240439
90,2000-05-11,1.530864,1.602195,1.508916,1.596708,8094178
91,2000-05-12,1.596708,1.722908,1.591221,1.722908,22578497
92,2000-05-15,1.668038,1.711934,1.646091,1.684499,6583781
93,2000-05-16,1.70096,1.70096,1.640604,1.684499,2488852
94,2000-05-17,1.646091,1.646091,1.563786,1.591221,6504047
